policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Utah_United_States::d332d2c2c4f9e69151dfeb41,Utah_United_States::d332d2c2c4f9e69151dfeb41,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,Run Dining with Discretion to provide resources that empower residents to make low carbon food choices.,Mitigation,,,policy_traces/001_Run_Dining_with_Discretion_to_provide_resources_that_empower.json,,,False,False,,,,,,,,
002,Utah_United_States::646a6b58a8234bd7015ecc23,Utah_United_States::646a6b58a8234bd7015ecc23,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,Support Excess SLC Food Recovery to divert consumable food waste from landfill to food assistance programs.,Mitigation,,,policy_traces/002_Support_Excess_SLC_Food_Recovery_to_divert_consumable_food_w.json,,,False,False,,,,,,,,
003,Utah_United_States::3afe8a87af7bf41dc1263bed,Utah_United_States::3afe8a87af7bf41dc1263bed,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,Implement Green City Growers to expand community garden access by making City-owned/managed land available for development.,Nature-Based Solutions,,,policy_traces/003_Implement_Green_City_Growers_to_expand_community_garden_acce.json,,,False,False,,,,,,,,
004,Utah_United_States::60d641a6497351eeb8291e18,Utah_United_States::60d641a6497351eeb8291e18,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,Implement Salt Lake City FruitShare to divert surplus fruit from local trees to individuals with low access to healthy foods.,Mitigation,,,policy_traces/004_Implement_Salt_Lake_City_FruitShare_to_divert_surplus_fruit_.json,,,False,False,,,,,,,,
006,Utah_United_States::356ae5cfd7cadcb99d206b8f,Utah_United_States::356ae5cfd7cadcb99d206b8f,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,Establish fee structures for residential waste and recycling services that encourage waste reduction.,Mitigation,,,policy_traces/006_Establish_fee_structures_for_residential_waste_and_recycling.json,,,False,False,,,,,,,,
007,Utah_United_States::160cc0e44ad72677d1440f30,Utah_United_States::160cc0e44ad72677d1440f30,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,Expand composting capability in the city to enable food waste diversion.,Mitigation,,,policy_traces/007_Expand_composting_capability_in_the_city_to_enable_food_wast.json,,,False,False,,,,,,,,
008,Utah_United_States::ba4314d86dc7bc55387172a8,Utah_United_States::ba4314d86dc7bc55387172a8,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,Work with local and state partners to develop a long-term plan for regional materials management and explore recycling market development opportunities.,Mitigation,,,policy_traces/008_Work_with_local_and_state_partners_to_develop_a_long_term_pl.json,,,False,False,,,,,,,,
009,Utah_United_States::63820cdf9358021b4d56010d,Utah_United_States::63820cdf9358021b4d56010d,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,Require recycling of debris for major construction and renovation projects permitted by the City through the Construction and Demolition Ordinance.,Mitigation,,,policy_traces/009_Require_recycling_of_debris_for_major_construction_and_renov.json,,,False,False,,,,,,,,
010,Utah_United_States::2584dd0795ed1b55b02418c7,Utah_United_States::2584dd0795ed1b55b02418c7,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,"Require multi-family properties, businesses, and special events to implement recycling programs beginning in 2017 through the Business Recycling Ordinance.",Mitigation,,,policy_traces/010_Require_multi_family_properties_businesses_and_special_event.json,,,False,False,,,,,,,,
012,Utah_United_States::1fcf4a5c3854c8c734abd95c,Utah_United_States::1fcf4a5c3854c8c734abd95c,sub,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",structural header,"Implement a Comprehensive Energy Management Executive Order requiring measures such as energy benchmarking, efficiency investments, facility operator training, and employee engagement to reduce energy waste and spur clean energy development.",Mitigation,Resource Efficiency,M-1,policy_traces/012_Implement_a_Comprehensive_Energy_Management_Executive_Order_.json,,,False,False,,,,,,,,
