City,Policy Name,Policy Details,Classification,Confidence,Extraction Reasoning,Classification Reasoning
Las Vegas,Reduce City Water Use to 90 Gallons Per Person Per Day (Water Conservation & Drought Resilience),"In the face of a changing climate, this plan is closely linked to Southern Nevada Water Authority’s Water Resources Plan and aligns a target to reduce water consumption to 90 gallons per person per day. This can be done by making corresponding code changes, pricing, incentives, and education efforts to meet regional water resources and conservation goals.",Environmental and Resources,high,"Water conservation / drought resilience is a distinct adaptation policy because it sets a measurable per-capita water target (90 gallons per person per day) and prescribes specific implementation mechanisms (code changes, pricing, incentives, education). That combination of a numeric target plus regulatory/economic tools distinguishes it from other resource or land-use policies.","This policy sets a quantitative water-use reduction target tied to regional water-resources planning and uses demand-side measures (codes, pricing, incentives, education) to increase drought resilience. Although it touches governance and social tools, its primary focus is management and conservation of a natural resource — water — so it is distinct from infrastructure, economic, or purely social policies."
Las Vegas,"Increase Urban Tree Canopy to 20% via 100,000 High-Quality Native/Adaptive Trees (Urban Forestry & Heat Mitigation)","Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including: • LVMC and zoning amendments for trees • At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",Environmental and Resources,high,"Urban forestry/heat mitigation is separated because the plan provides specific, measurable tree-planting targets and regulatory actions (LVMC and zoning amendments) directly aimed at reducing urban heat island effects — a different mode of adaptation (green infrastructure) than water or parks.","This policy targets urban forestry and green infrastructure to reduce the urban heat island by expanding native/adaptive tree canopy, so its core action is environmental (planting and managing trees) rather than building or economic programs. Although it mentions zoning and LVMC amendments, those are enabling measures; the primary intervention is ecosystem-based (canopy/forestry) which distinguishes it from governance, housing, or social-only policies."
Las Vegas,Improve Stormwater Pollution Prevention and Implement Regional Flood Control Projects (Flood & Stormwater Resilience),"• Improve stormwater pollution prevention efforts As a specific disruptive hazard that has potential to increase in intensity and frequency over time, specific recommendations and projects from the Regional Flood Control District are included.",Housing and Infrastructure,high,Stormwater and flood resilience was extracted as its own policy because the plan references stormwater pollution prevention and includes specific Regional Flood Control District recommendations to address increasing flood intensity/frequency — this focuses on hydrologic infrastructure and pollution control rather than green infrastructure or land use alone.,"This policy primarily targets implementation of physical stormwater systems and regional flood-control projects (capital works and infrastructure upgrades) along with pollution-prevention measures, so its main action is infrastructure provision and modification rather than purely regulatory, social, or ecosystem management. It is therefore treated as a separate policy from governance, emergency-response, or pure environmental/watershed programs because the emphasis is on building and retrofitting stormwater/flood-control infrastructure at the regional level."
Las Vegas,"Expand Parks System and Ensure Walkable Access to Cool/Open Space (Parks, Cooling, and Connectivity)","Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will • Develop a Parks System Plan and achieve CAPRA certification • Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need • Ensure 85% of dwelling units are within a short walk of a park or trail",Housing and Infrastructure,high,"Parks expansion and walkable access were treated separately because the document prescribes park system planning, acreage targets and walkability goals to provide cooling and resilience benefits — an open-space/cooling strategy that is operationally distinct from tree-planting or flood infrastructure.","This policy is about expanding physical park infrastructure, changing land-use/urban planning targets (acreage per 1,000 residents), and improving walkable connections to open/cool spaces — all actions that modify the built environment and service accessibility. It is therefore treated as an infrastructure/urban development measure rather than primarily an environmental conservation policy or a targeted social-equity program, which is why it is classified separately."
Las Vegas,Eliminate Food Deserts and Expand Urban Agriculture (Food Security & Drought-Resilient Local Food),"Given the lack of regional agriculture, it is necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure: • No food deserts and reduce food swamps by increasing healthy food access • Provide accessibility to community gardens and increase allowable small agricultural uses",Social and Equity,high,"Food security and urban agriculture were separated since they respond to climate-driven supply chain and agricultural risk (no food deserts, more community gardens). This is a resilience strategy addressing food access rather than water, heat, or flood infrastructure.","This policy is focused on improving food security and equitable access to healthy food for urban residents (eliminating food deserts/food swamps and expanding community gardens), so its primary aim is social welfare and equity rather than purely physical infrastructure or natural-resource management. It is treated as a separate policy from Environmental & Resources because, although it involves urban agriculture, the main objective is reducing disparities in access and strengthening community resilience rather than ecosystem conservation or large-scale resource planning."
Las Vegas,Strengthen Public Health Capacity and Adopt Health-in-All-Policies (Health System Resilience),"Due to relatively poor community health metrics and because of the public’s responses with respect to improved health care, the City must work to improve community health indicators by: • Adopting Health-in-all-policies and strengthening partnerships with Southern Nevada Health District • Increasing hospital and ICU capacity, as well as health care access in medically underserved areas • Developing local Health and Wellness Centers",Social and Equity,high,"Health system resilience was separated because it centers on strengthening medical capacity and adopting Health-in-All-Policies — adaptation actions to reduce mortality/morbidity during climate-driven health crises, distinct from infrastructure measures.","This policy was created to address weak community health outcomes by explicitly expanding health services, increasing hospital/ICU capacity, and instituting a Health-in-All-Policies approach in partnership with the local health district. It is identified as a separate policy because its primary goal and interventions target public health service delivery, access for medically underserved populations, and community wellness—distinct from policies focused mainly on physical infrastructure, environmental management, or economic/regulatory instruments."
Las Vegas,Integrate Resilience and Scenario-Based Planning into Land Use & Policy (Adaptive Land-Use Planning),"Plan for uncertainty by considering multiple scenarios for future risk and vulnerability. Intentionally incorporate key issues of resiliency and climate action/adaptation into all land-use planning, policies, and standards.",Governance and Policy,high,Integrating resilience into land-use planning and using scenario-based planning is a policy-level adaptation approach (planning and policy integration) distinct from discrete actions like tree-planting or flood projects; it governs how decisions are made across categories.,"This policy centers on embedding scenario-based, adaptive decision-making into land-use planning processes and standards to manage future risk and vulnerability, so its primary instrument is changes to planning frameworks rather than physical construction or ecosystem management. It is separate from Housing & Infrastructure (which focuses on built assets) and Environmental & Resources (which focuses on ecosystems and resource management) because the core action is institutional and procedural—integrating resilience into policies, standards, and planning processes."
Las Vegas,Prioritize Environmental Justice to Reduce Exposure for Vulnerable Communities (Equitable Adaptation),"Reducing exposure and risk to low-income and minority communities must be prioritized, especially for new transportation and infrastructure projects. The City must: • Ensure an air quality index of 100 or better • Eliminate brownfields within the City by redevelopment efforts • Engage residents of all races, ethnicities, abilities and means in the planning and transportation decision-making process",Social and Equity,high,"Environmental justice is called out separately because the plan explicitly prioritizes reducing exposure and risk for low-income and minority communities (air quality, brownfield removal, inclusive engagement) — an equity-focused adaptation priority distinct in audience and outcomes.","This policy explicitly centers reducing exposure and risk for low-income and minority communities and mandates inclusive engagement in planning, making equitable outcomes the primary objective rather than purely environmental or infrastructure improvements. While it overlaps with environmental (air quality, brownfields) and governance actions (engagement, planning), it is categorized separately because the primary goal and beneficiaries are social equity and protections for vulnerable populations."
Las Vegas,Conduct Hazard Vulnerability Assessment and Maintain Multi-Hazard Mitigation Framework (Hazards & Emergency Resilience),"As a part of this Master Plan, the City completed a vulnerability assessment factoring adaptive capacity and sensitivity for a variety of hazards, as well as recommendations and a framework for mitigation, adaptation, response, and recovery, including: • Drought, Extreme Heat, Flooding • Terrorism, Civil Disobedience-Riots-Social Disturbances • Seismic Activity, Hazardous Materials, Infectious Disease",Governance and Policy,high,"The hazards vulnerability assessment and multi-hazard framework were separated because they establish the systematic process (assessment, mitigation/adaptation/response/recovery) across many hazard types and thus operate as the organizing framework that informs the other, more targeted adaptation measures.","This policy establishes a systematic vulnerability assessment and a multi-hazard mitigation/response framework focused on planning, institutional coordination, and emergency management rather than delivering physical infrastructure or social programs. It is therefore distinct from Environmental & Resources or Housing & Infrastructure policies (which focus on ecosystems or built works) and from Economic or Social policies (which target livelihoods or equity), because its primary action is governance, planning, and preparedness."
Miami-Dade,Countywide Tree Canopy Expansion to 30% by 2030,“Increase community‑wide tree canopy to 30% coverage by 2030. [COMMUNITY RECOMMENDATION ]” “Ensure that all County facilities within the UDB (per 2013 delineation) shall attain an average of at least 30% canopy coverage and all County facilities outside the UDB shall attain an average of at least 50% canopy coverage by 2030”,Environmental and Resources,high,"Countywide target to expand tree canopy is a discrete adaptation commitment with a clear numeric target (30% by 2030). It is focused on cooling, shading, and stormwater benefits and is therefore an adaptation policy distinct from general greening or mitigation actions.","This policy sets explicit, measurable tree‑canopy restoration targets and facility-level requirements focused on urban forestry, ecosystem services (shade, air quality, stormwater), and natural resource management—making its primary purpose environmental. It is separate from infrastructure or governance policies because it targets living green infrastructure and ecological outcomes rather than building/transport systems or procedural/regulatory frameworks."
Miami-Dade,County Facility Canopy and Open Space Planting Requirements,“Ensure that all County facilities within the UDB (per 2013 delineation) shall attain an average of at least 30% canopy coverage and all County facilities outside the UDB shall attain an average of at least 50% canopy coverage by 2030” “Identify which County facilities have 20% or greater open space and determine which open space/bare ground areas at these facilities are not critical to facility function and can be used to plant trees.”,Environmental and Resources,high,"The County facility canopy/open‑space requirement is a specific operational requirement for County properties (different coverage targets for UDB vs outside UDB) and includes a procedural action to identify open space suitable for planting. This focuses on institutional property decisions, so it was separated from the broader canopy target.","This policy sets quantitative urban tree canopy targets and mandates planting on County-owned lands to increase green cover and associated ecosystem services, so its explicit goal and primary intervention are environmental (urban forestry/land cover). It is separate from Housing & Infrastructure or Governance policies because it focuses on natural resource/vegetation outcomes (planting trees and managing open space) rather than buildings, transport, or procedural/regulatory frameworks, and it does not primarily address economic incentives or social equity."
Miami-Dade,Development Mitigation Policy to Ensure Net Increase in Green Infrastructure,"“Develop a mitigation policy, based on area impacted, to ensure that County‑approved development results in a net increase to green infrastructure by the development’s completion date”",Environmental and Resources,high,"The document explicitly proposes a mitigation policy requiring that new development provide a net increase in green infrastructure. This is a regulatory land‑use adaptation tool aimed at reducing vulnerability (urban heat, runoff), so it stands alone as a policy separate from planting or restoration programs.","This policy requires developers to deliver a net increase in green infrastructure at project completion, so its primary objective is improving natural and ecosystem services (e.g., urban canopy, stormwater infiltration, habitat). It is distinct from other likely policies because it targets ecological outcomes and mitigation tied to area impacted rather than construction standards, transport or housing delivery, and is an operational environmental requirement rather than a broad governance or economic incentive measure."
Miami-Dade,Restore Submerged Aquatic Vegetation (SAV) in Biscayne Bay to Historic Levels,"“Reduce pollutant loads to surface waters, including Biscayne Bay, to facilitate recovery of seagrasses to historic levels [COMMUNITY RECOMMENDATION ]” “Restore Submerged Aquatic Vegetation (SAV) coverage in Biscayne Bay to historic baseline Community Recommendation by: • Determining the historic extent of SAV coverage. • Identifying the sources of pollutant loading and quantifying pollutant loads that affect SAV ecology. • Developing Best Management Practices (BMP’s) to reduce pollutant loads to levels that promote SAV recovery. • Establishing science‑based, pollutant load reduction goals and interim targets to improve water quality and codify these limits in Chapter 24. • Identifying targets for seagrass recovery. • Restoring SAV habitats whenever possible. Community Recommendation • Protecting SAV from dredging‑related silt. Community Recommendation”",Environmental and Resources,high,"Restoring SAV is a targeted coastal/blue‑carbon restoration policy with specific steps (historic extent, pollutant load identification, BMPs, recovery targets, dredging protection). Its primary goal is to rehabilitate marine habitat and coastal resilience, distinct from terrestrial greening.","This policy is aimed primarily at restoring a natural ecosystem and improving water quality by reducing pollutant loads and actively restoring seagrass habitats, so it focuses on environmental and resource management actions. While it includes elements of regulatory codification and targets (e.g., codifying load limits in Chapter 24), its explicit goal and primary interventions are ecological recovery, monitoring, and pollutant control—distinct from infrastructure, economic, social, or purely governance-focused policies. Therefore it is categorized separately to reflect its core focus on ecosystem and water-resource restoration."
Miami-Dade,Prioritize Wetland Acquisition & Everglades Restoration (EEL Expansion),"“Prioritize acquisition, by Miami‑Dade County and its partners, of wetlands necessary for implementation of the Comprehensive Everglades Restoration Plan, and within an Environmentally Endangered Lands acquisition footprint.” “To date, Miami‑Dade County’s largest Environmental Endangered Lands Program (EEL) acquisition project is the South Dade Wetlands EEL Preserve. It consists of more than 22,000 acres and completion of a salt intrusion barrier longer than 900 feet along Card Sound Road, converting the area into wetlands.”",Environmental and Resources,high,Wetland acquisition and EEL expansion are concrete land‑acquisition actions tied to large‑scale ecosystem protection (South Dade Wetlands EEL Preserve described as a keystone property). Land acquisition for restoration/adaptation is distinct from operational planting or regulation.,"This policy is focused on acquiring and restoring wetlands to implement the Comprehensive Everglades Restoration Plan and protect environmentally endangered lands, so it was created to preserve ecosystems and restore hydrology and habitat connectivity. It is distinct from infrastructure, governance, social, or economic policies because its primary action is land acquisition and ecosystem restoration rather than building infrastructure, changing regulations, delivering social services, or providing economic incentives."
Miami-Dade,Improve Implementation and Enforcement of Environmental Regulations to Prevent Wetland Loss,“Improve implementation and enforcement of County environmental regulations to eliminate net loss of wetland area and function within Miami‑Dade County. Community Recommendation”,Environmental and Resources,high,The plan calls for improving implementation and enforcement of environmental regulations to prevent net wetland loss. This is a procedural/regulatory governance action (enforcement improvement) distinct from acquisition or restoration projects.,"This policy is aimed specifically at preventing wetland loss and preserving wetland area and function, so its primary objective is protection and management of natural ecosystems and water resources. Although it references enforcement (a governance mechanism), the explicit goal and primary action—eliminating net loss of wetlands—places it in environmental/resource management rather than solely a governance or social policy, making it distinct from policies focused on infrastructure, economic development, or social equity."
Miami-Dade,Enhance Living Shorelines and Restore Historically‑Filled Coastal Wetlands,"“Enhance living shorelines in Biscayne Bay in accordance with existing rules and policies that protect outstanding Florida waters.” “Restore historically‑filled, County‑owned coastal wetland areas whenever possible.”",Environmental and Resources,high,"Living shorelines and restoration of historically filled coastal wetlands is an explicit coastal adaptation policy to reduce erosion, improve storm buffering, and restore ecosystem function — distinct from general SAV restoration because it focuses on shoreline design and filled‑wetland rehabilitation.","This policy focuses on ecological restoration and protection of coastal ecosystems—enhancing living shorelines and restoring historically filled wetlands in Biscayne Bay—to improve habitat, biodiversity, and water quality. It is distinct from infrastructure, economic, social, or governance policies because its primary action is habitat restoration and ecosystem management rather than building/transport projects, financial or workforce measures, social services, or procedural/legislative frameworks."
Miami-Dade,Urban Tree Canopy Assessment and Million Trees Miami Implementation,"“According to the 2021 Urban Tree Canopy Assessment, 20% of Miami‑Dade County is covered by trees.” “Assess current percentage of urban tree canopy cover and work with Million Trees Miami stakeholders to develop new policies, procedures, and timelines to achieve canopy coverage goals.”",Environmental and Resources,high,Urban Tree Canopy Assessment and Million Trees Miami are an evidence‑based program and campaign: the assessment provides monitoring data and Million Trees Miami is a programmatic planting effort. It is operationally distinct from policy targets or regulatory actions.,"This policy targets assessment and expansion of urban tree canopy — an ecosystem-focused intervention (urban forestry, biodiversity, carbon sequestration, stormwater interception) rather than building standards, workforce programs, or regulatory frameworks. It is distinct from infrastructure or social-equity policies because its primary action is managing natural resources and planting/maintaining trees across the urban landscape through a specific Million Trees program."
