policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
"Invest $188 million in equity-focused climate interventions, including building retrofits, expansion of the air quality monitoring network, and planting over 75,000 trees.","To kickstart the implementation of my administration's climate strategy, we are investing $188 million in equity-focused interventions, spanning building retrofits, the expansion of the air quality monitoring network, to the planting of over 75,000 trees.",individual,,Letter from the MAYOR,Cross-sector,Explicit resource allocation ($188 million) tied to specific interventions; qualifies as a policy commitment.,0,individual,individual,,"The statement contains a specific funding amount and lists interventions, but it lacks an explicit timeline/deadline. It does include one measurable outcome (“planting of over 75,000 trees”), but without a date it does not meet the strict “gold standard” requirement (timeline + quantifiable target). The language is primarily an investment announcement (“we are investing…”) rather than a binding mandate, and there’s no clear enforceable mechanism described.",Yes,No,No,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: Present via ""planting of over 75,000 trees"" (measurable output). Budget alone (""$188 million"") is not counted as a quantifiable outcome, but the tree-count is. Timeline: No explicit deadline/year is stated; phrases like ""To kickstart"" indicate near-term intent but not an auditable date, so has_timeline='No'. Binding mechanism: No ordinance/mandate/requirement is described; it is framed as an investment commitment (""we are investing""), so has_binding_mechanism='No'. Spatial specificity: No location/scope (e.g., citywide, specific neighborhoods) is specified, so 'No'. Language strength: ""we are investing"" and ""planting of over 75,000 trees"" indicates a concrete action with a hard number, so strong_language_detected='Yes'. Weak language: No terms like ""encourage""/""explore""/""aim"" appear, so weak_language_detected='No'. STRICT VALID RULE fails because gold standard requires has_timeline='Yes' AND has_quantifiable_target='Yes'; timeline is missing, therefore validation_result='NON-SOUND'. Confidence is capped at 0.4 due to has_timeline='No' for an individual policy.",False
"Plant 75,000 trees by 2026.","Together with city departments and community partners, Chicago has the goal of planting 75,000 trees by 2026.",individual,,TREE EQUITY,AFOLU,"Quantified target with deadline (75,000 trees by 2026).",1,individual,individual,,"The verbatim text states a measurable outcome (“planting 75,000 trees”) and an explicit deadline (“by 2026”), which satisfies the gold-standard measurability criteria. However, it is framed as “the goal of,” which is weak/non-binding language and does not indicate an enforceable mandate or code/ordinance. Overall, it is actionable and measurable but not clearly binding.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.78,"Quantifiable target: Yes — ""planting 75,000 trees"" is a measurable outcome. Timeline: Yes — ""by 2026"" provides an explicit deadline/year. Binding mechanism: No — the text does not mention an ordinance, requirement, mandate, or enforcement mechanism; it is framed as ""the goal of"". Spatial specificity: Yes — applies to ""Chicago"" (named jurisdiction). Weak language: Yes — ""has the goal of"" indicates aspiration rather than obligation. Strong language: No — no enforceable verbs like ""require""/""mandate"" are used (""goal"" framing dominates). STRICT VALID RULE check: Although it meets gold standard (timeline+quant target), it fails language strength because weak_language_detected='Yes' and has_binding_mechanism='No', so result is NON-SOUND.",False
Reduce Chicago's GHG emissions by a minimum of 62% by 2040 based on 2017 inventory levels.,"The 2022 CAP aims to chart an equitable path to reduce Chicago's GHG emissions by a minimum of 62% by 2040.

Guided by the strategies and actions of this plan, the City of Chicago aims to reduce the city's level of GHG emissions by 62% by 2040, based on 2017 GHG inventory levels.",individual,,GHG REDUCTION TARGETS / ACCOUNTABILITY AND IMPLEMENTATION,Cross-sector,Quantifiable economy-wide emissions reduction target with year.,2,individual,individual,,"The statement contains a clear, measurable outcome (62% GHG reduction) referenced to a baseline year (2017 inventory levels) and an explicit deadline (by 2040). However, the verbatim text frames it as an “aim” within a plan (“CAP aims to chart…”, “City… aims to reduce…”), which is weak/non-binding language and does not itself establish an enforceable mechanism (e.g., ordinance/mandate). Under the strict rule, it meets the “gold standard” (timeline + quantifiable target) but fails the language-strength requirement because weak language is present and no binding mechanism is evidenced; therefore it is NON-SOUND as an *individual policy* commitment.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.78,"Quantifiable target: Yes — the text specifies 'reduce Chicago's GHG emissions by a minimum of 62%'. Timeline: Yes — it states 'by 2040'. Spatial specificity: Yes — applies to 'Chicago' / 'the city'. Binding mechanism: No — the passage describes a plan and does not cite any ordinance, mandate, regulation, or enforceable requirement; it uses aspirational framing. Weak language: Yes — 'aims to chart' and 'the City of Chicago aims to reduce' indicate aspiration rather than a binding commitment. Strong language: No — no verbs like 'require/mandate/shall' accompany the target. STRICT VALID RULE check: while the policy is auditable and meets the gold standard (timeline + quantifiable target), it fails the language-strength criterion because weak language is present and there is no binding mechanism; therefore NON-SOUND.",False
Do not count carbon offset credits toward Chicago’s 62% GHG reduction goal; prioritize reducing the City's own emissions before action beyond its borders.,"Chicago will not count offset credits toward its 62% GHG reduction goal achievement. Furthermore, the City will reduce its own emissions before taking action beyond its borders.",individual,,The Role of Offsets,Cross-sector,Clear policy rule restricting use of offsets for meeting the target.,3,individual,individual,,"This is a clear policy rule about accounting: the City “will not count offset credits” toward an existing 62% GHG reduction goal and will prioritize internal emissions reductions first. However, it does not introduce a new quantifiable deliverable beyond restating the existing goal, and it provides no explicit deadline/year for when this rule applies or by when internal reductions must occur. It is actionable as a governance principle but not fully measurable under the strict individual-policy criteria (needs its own timeline + quantifiable outcome).",No,No,No,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: The text says, ""will not count offset credits toward its 62% GHG reduction goal achievement"" but does not set a measurable outcome for this specific policy (it constrains accounting; it does not specify an auditable numeric deliverable such as '0 offsets used starting in year X' or a quantified reduction amount). Therefore has_quantifiable_target=No under the strict requirement for a measurable outcome in the policy itself.
Timeline: No explicit year/deadline is provided; statements are general (""will not count"", ""will reduce"") with no 'by 20XX'. Therefore has_timeline=No.
Binding mechanism: The excerpt does not cite an ordinance, regulation, code change, or enforceable mandate—only an intention statement. Therefore has_binding_mechanism=No.
Spatial specificity: Applies to ""Chicago"" / ""the City"" (""Chicago will not count..."", ""the City will reduce its own emissions""). Therefore has_spatial_specificity=Yes.
Language strength: Uses firm commitment language ""will not count"" and ""will reduce"". Therefore strong_language_detected=Yes.
Weak language: No 'encourage/explore/aim' phrasing is present. Therefore weak_language_detected=No.
STRICT VALID RULE: Fails because has_timeline=No AND has_quantifiable_target=No, so validation_result=NON-SOUND. Confidence capped at 0.4 due to missing timeline/quantifiable target.",False
"Benchmarking Ordinance (2013) requiring covered buildings (50,000 sq ft and larger) to track and annually report energy use to the City and verify data accuracy every three years; expanded in 2019 via Chicago Energy Rating System requiring on-site display of ratings.","Benchmarking Ordinance, 2013: This ordinance supports greater transparency on energy usage across the building sector. Existing municipal, commercial, and residential buildings that are 50,000 square feet and larger are called to track energy use, report to the City annually, and verify data accuracy every three years. Chicago's benchmarking program was expanded in 2019 with the Chicago Energy Rating System, which assigns an energy rating to covered buildings based on their reporting and requires buildings to display the rating in a prominent location onsite.",individual,,CLIMATE FINANCING AND DELIVERY CAPACITY,Buildings,Binding mechanism (ordinance) with clear requirements and thresholds.,4,individual,individual,,"The verbatim text describes an enforceable ordinance with specific compliance requirements (covered buildings ≥50,000 sq ft must track and annually report energy use; verify accuracy every three years; later expansion requires onsite display of an energy rating). It is actionable and auditable, includes explicit reporting/verification cadence (annual; every three years), and clearly specifies the covered population (“50,000 square feet and larger”). However, it does not state a quantifiable *outcome* target (e.g., % energy/GHG reduction), only compliance actions. Under the strict rule for individual policies, lacking a measurable outcome target makes it NON-SOUND.",No,Yes,Yes,Yes,Yes,Yes,NON-SOUND,0.4,"Quantifiable target (OUTCOME): No. The text requires actions (""track energy use, report to the City annually"") but gives no measurable outcome such as an emissions/energy reduction percentage, absolute reduction, or efficiency target.
Timeline: Yes. It includes explicit recurring deadlines: ""report to the City annually"" and ""verify data accuracy every three years"" (also references expansion year ""expanded in 2019"").
Binding mechanism: Yes. It is explicitly an ""Ordinance"" and states requirements, including ""requires buildings to display the rating"".
Spatial specificity: Yes. Applies to ""Existing municipal, commercial, and residential buildings"" in Chicago that are ""50,000 square feet and larger"" (city jurisdiction implied by ""report to the City"" and named Chicago programs).
Weak language: Yes. Uses non-mandatory phrasing in part: buildings ""are called to track energy use"".
Strong language: Yes. Uses mandatory phrasing: ""requires buildings to display the rating"" and specifies firm compliance frequencies (annual; every three years).
STRICT VALID RULE check: Fails gold standard because has_quantifiable_target='No' (even though timeline and binding mechanism are present). Therefore validation_result = NON-SOUND. Confidence capped at 0.4 due to missing quantifiable outcome target.",False
EV Readiness Ordinance (2020) requiring specified new buildings to provide 20% of parking spaces as EV-ready (5+ unit residential with on-site parking; non-residential with 30+ spaces).,"EV Readiness Ordinance, 2020: This ordinance requires new construction of a residential building with 5 or more units and on-site parking to have 20% of parking spaces EV Ready, and in non-residential buildings with 30 or more parking spaces to provide 20% of parking spaces as EV ready.",individual,,CLIMATE FINANCING AND DELIVERY CAPACITY,Transport,Binding mechanism (ordinance) with explicit percentage requirements and applicability thresholds.,5,individual,individual,,"The verbatim text describes an enforceable ordinance that requires a specific, auditable outcome (20% of parking spaces EV-ready) for clearly defined categories of new buildings. It is spatially specific in terms of applicability (new construction of certain residential/non-residential buildings with defined parking thresholds). However, it does not include an explicit deadline/year-by-which beyond the ordinance year reference; the requirement is triggered by “new construction” rather than a stated compliance date. Under the strict rule for individual policies, missing an explicit timeline makes it NON-SOUND and caps confidence.",Yes,No,Yes,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: Yes — the ordinance 'requires...to have 20% of parking spaces EV Ready' and 'provide 20% of parking spaces as EV ready.' Timeline: No — while it is titled 'EV Readiness Ordinance, 2020', the text does not state an explicit deadline such as 'by 2025/2030'; it applies upon 'new construction' without a dated compliance requirement. Binding mechanism: Yes — explicitly described as an 'ordinance' and uses 'requires'. Spatial specificity: Yes — applies to 'new construction of a residential building with 5 or more units and on-site parking' and 'non-residential buildings with 30 or more parking spaces'. Weak language: No — no 'encourage/explore/aim' phrasing. Strong language: Yes — 'requires' with a hard numeric requirement '20%'. STRICT VALID RULE fails because has_timeline != 'Yes' (gold standard not met), so result is NON-SOUND and confidence is capped at 0.4.",False
Chicago Recovery Plan climate investment: Decarbonize Affordable Multifamily Buildings program to retrofit and decarbonize 200 multifamily affordable housing units in underserved communities using $6 million.,Decarbonize Affordable Multifamily Buildings | $6 million | Retrofit and decarbonize 200 multifamily affordable housing units in underserved communities.,individual,,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,Buildings,Resource allocation ($6M) with quantified deliverable (200 units).,6,individual,individual,,"The verbatim text specifies a concrete deliverable (“Retrofit and decarbonize 200 multifamily affordable housing units”) and a funding amount ($6 million) with a defined beneficiary/location category (“in underserved communities”). However, it does not include any explicit deadline or year for completion, so it fails the strict “Gold Standard” requirement (timeline + quantifiable target). Therefore it is NON-SOUND under the individual-policy rule despite having a measurable unit count.",Yes,No,No,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: Yes — the text states, ""Retrofit and decarbonize 200 multifamily affordable housing units,"" which is a measurable outcome (200 units). Timeline: No — there is no explicit deadline/year (no 'by 20XX' or date) in ""Decarbonize Affordable Multifamily Buildings | $6 million | Retrofit and decarbonize 200 multifamily affordable housing units in underserved communities."" Binding mechanism: No — the line item does not indicate an enforceable mandate/ordinance/requirement; it reads as a program investment description only. Spatial specificity: Yes — it specifies the beneficiary/location scope as ""in underserved communities."" Language strength: Strong language detected Yes — ""Retrofit and decarbonize"" is an action verb tied to a hard number (200 units). Weak language detected No — no words like 'encourage'/'explore'/'aim' appear. Strict rule outcome: Fails because has_timeline='No' even though has_quantifiable_target='Yes', so validation_result is NON-SOUND and confidence is capped at 0.4.",False
Chicago Recovery Plan climate investment: Low- or Moderate-Income (LMI) Housing Retrofits program to retrofit and decarbonize 250 LMI homes in underserved communities using $15 million.,Low- or Moderate-Income (LMI) Housing Retrofits | $15 million | Retrofit and decarbonize 250 LMI homes in underserved communities.,individual,,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,Buildings,Resource allocation ($15M) with quantified deliverable (250 homes).,7,individual,individual,,"The verbatim text specifies a concrete deliverable (“Retrofit and decarbonize 250 LMI homes”) and a funding amount, with spatial targeting (“in underserved communities”). However, it does not include any explicit deadline or year. Under the strict rule for individual policies, lack of a timeline makes it NON-SOUND, and confidence must be capped.",Yes,No,No,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: Yes — the text states “Retrofit and decarbonize 250 LMI homes,” which is a measurable outcome (250 homes). Timeline: No — there is no deadline/year/by-when date in “Low- or Moderate-Income (LMI) Housing Retrofits | $15 million | Retrofit and decarbonize 250 LMI homes in underserved communities.” Binding mechanism: No — the text does not indicate an enforceable mandate/ordinance/requirement; it reads as a program/investment line item. Spatial specificity: Yes — it applies to “underserved communities” (and targets “LMI” households). Language strength: Strong language detected = Yes because it uses action verbs “Retrofit and decarbonize” tied to a hard number (250). Weak language detected = No because it does not use hedging verbs like “encourage,” “explore,” or “aim.” STRICT VALID RULE check: fails Gold Standard because has_timeline='No' (even though has_quantifiable_target='Yes'); therefore overall is NON-SOUND. Confidence capped at 0.4 due to missing timeline.",False
"Chicago Recovery Plan climate investment: Expand Canopy Coverage program to plant 75,000 trees over 5 years using $46 million.","Expand Canopy Coverage | $46 million | Plant 75,000 trees over 5 years in underserved community areas.",individual,,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,AFOLU,"Budgeted program with quantified deliverable (75,000 trees) and timeframe (5 years).",8,individual,individual,,"The verbatim text specifies an auditable deliverable (“Plant 75,000 trees”) and an explicit timeframe (“over 5 years”), tied to a defined program line item (“Expand Canopy Coverage | $46 million”) and targeted geography (“in underserved community areas”). This meets the strict requirements for an individual policy: quantifiable target + timeline, and the commitment is action-oriented rather than exploratory.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: Yes — the text states ""Plant 75,000 trees"" (measurable output). Timeline: Yes — the text states ""over 5 years"" (explicit timeframe). Binding mechanism: No — the line item describes an investment/program expansion but does not cite an enforceable ordinance/mandate/code requirement. Spatial specificity: Yes — applies ""in underserved community areas"" (defined target areas). Weak language: No — no 'encourage/aim/explore' phrasing; it is a direct commitment to plant trees. Strong language: Yes — uses action verb ""Plant"" paired with a hard number ""75,000"" and a timeframe ""over 5 years"". Strict valid rule: (1) auditable commitment satisfied by planting 75,000 trees; (2) gold standard satisfied (timeline Yes + quantifiable target Yes); (3) language strength satisfied because weak_language_detected is No (binding mechanism not required).",True
"Enable 2,500 new public passenger electric vehicle charging stations by 2035.","Enable 2,500 new public passenger electric vehicle charging stations by 2035",individual,,Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,Transport,Quantified infrastructure target with deadline; presented as an action in the narrative table and action text.,17,individual,individual,,"The statement is a specific, auditable infrastructure outcome (“2,500 new public passenger electric vehicle charging stations”) with an explicit deadline (“by 2035”). It is measurable and time-bound, and it specifies the application context as “public passenger” EV charging stations (i.e., public-facing siting). However, the phrasing “Enable” signals intent/facilitation rather than a clear binding requirement (e.g., mandate/ordinance), so binding mechanism is not evidenced in the verbatim text. Despite that, it meets the strict “gold standard” (quantifiable target + timeline), so it can be treated as VALID.",Yes,Yes,No,Yes,Yes,No,VALID,0.83,"Quantifiable target: '2,500 new public passenger electric vehicle charging stations' is a measurable outcome (count of stations). Timeline: 'by 2035' provides an explicit deadline/year. Binding mechanism: no enforceable instrument is cited (no 'mandate/require/ordinance/regulation'); the verb 'Enable' suggests facilitation rather than a legal requirement. Spatial specificity: applies to 'public passenger' charging stations (public-facing scope), though it does not name a particular jurisdiction beyond this public context. Weak language: 'Enable' indicates non-binding/aspirational facilitation without specifying enforcement. Strong language: no mandate-like verbs with hard requirements are present. STRICT VALID RULE: passes because it is an auditable deliverable and meets the gold standard (timeline=Yes and quantifiable_target=Yes); language-strength condition is satisfied via gold-standard specificity even though weak language is present and no binding mechanism is shown.",True
