initiative_name,parent_statement,sector,num_sub_actions,coverage_score,coverage_assessment,coherence_score,coherence_assessment,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,weak_signals,strong_signals,initiative_result,confidence_score,initiative_reasoning,final_verdict,sub_assessments,subs_strong,subs_moderate,subs_weak
Pillar 1 | Strategy 1. Retrofit buildings,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",Buildings,5,0.9,"The sub-actions collectively match the parent goal by covering residential (≤4 units and 5+ units), industrial, city-/sister-agency-owned, and commercial buildings, each with explicit targets. A remaining gap is the lack of definition for what qualifies as a “retrofit” (depth/standard), which affects comparability and outcome tracking (energy/GHG reductions).",0.95,"The sub-actions are complementary and non-overlapping, segmenting the building stock into clear categories with aligned retrofit targets and deadlines. Timelines are consistent (near-term 2030/2035 plus a longer-term 2040 step for small residential) and do not conflict.",Yes,Yes,No,No,"No binding mechanism stated, no explicit spatial scope stated, “retrofit” not defined (depth/standard)","5 of 5 subs have numeric targets and deadline years (20% by 2030; 50% by 2040; 90% by 2035), concrete retrofit actions across multiple building types, equity prioritization for low- or moderate-income households",SOUND,0.82,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",True,"[{'action_label': 'Action 1: Retrofit residential buildings with 4 or fewer units (20% by 2030; 50% by 2040; prioritize LMI households)', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 2: Retrofit 20% of total 5+ unit residential buildings by 2030', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 3: Retrofit 20% of total industrial buildings by 2030', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 4: Retrofit 90% of total City-owned and sister agency-owned buildings by 2035', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 5: Retrofit 20% of total commercial buildings by 2035', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",5,0,0
Pillar 1 | Strategy 2. Connect communities to renewable energy,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",Energy,3,0.85,"The sub-actions directly operationalize the parent goal of connecting communities to renewable energy by setting capacity targets (co-owned solar and Chicago-based community renewables) and an equity target for low-income/EJ subscription rates. A remaining gap is the absence of details on how access/utility savings will be delivered (e.g., outreach, enrollment support, financing), but the core outcomes the parent names are covered.",0.9,The three sub-actions are complementary: they grow community renewables supply (MW) and ensure equitable participation (subscription share) with aligned timelines. There are no apparent redundancies or contradictions; the sequencing is plausible (build/expand projects by 2025 while driving subscription equity by 2030).,Yes,Yes,No,Yes,"No binding mechanism (ordinance/regulation) stated, no responsible entities or program design details","All 3 subs have numeric targets (5 MW, 20 MW, 25% low-income/EJ), explicit deadlines (2025, 2030), concrete actions (install/increase/achieve subscription share), equity prioritization",SOUND,0.86,"This initiative aims to increase access to renewable energy and utility savings by expanding community renewables and ensuring equitable participation, with a focus on prioritized households. Sub-action strength count: 3 strong, 0 moderate, 0 weak. The parent provides a clear thematic scope (community renewables/access for households, Chicago context), but it does not establish an enforceable binding mechanism; despite that, the cluster remains highly actionable because each sub-action includes concrete deliverables with measurable targets and timelines. Coverage is high because the actions match the parent’s stated targets (co-owned MW, Chicago-based MW, and low-income/EJ subscription rate), though it omits details on delivery mechanisms. Coherence is high because capacity expansion (2025) aligns with longer-term equity subscription goals (2030) without conflicts. Applying the initiative soundness rule: coverage_score (0.85) and coherence_score (0.9) exceed thresholds, aggregate measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (yes) → SOUND. Verdict is True given confidence_score ≥ 0.55.",True,"[{'action_label': 'Action 1: Install 5 megawatts of co-owned community solar projects by 2025.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 2: Increase Chicago-based community renewables to 20 megawatts by 2025.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 3: Increase community renewables subscriptions to achieve 25% subscribed by low-income and/or environmental justice low-income residents by 2030.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",3,0,0
Pillar 2 | Strategy 1. Reduce waste and landfilling,"Pillar 2 Strategy 1: Reduce waste and landfilling with targets for organics collection, source prevention, and diversion across waste streams.",Waste,6,0.85,"The sub-actions collectively cover the parent goal of reducing waste and landfilling by addressing organics collection, upstream source prevention, and high diversion targets across key streams (CII, C&D, residential). A minor gap is that the text does not specify enforcement/tools (e.g., bans, mandatory separation, pricing, procurement) to ensure the diversion and design-for-disassembly outcomes are achieved.",0.9,"The sub-actions are complementary and organized by major waste streams plus enabling levers (source prevention; design for disassembly). Timelines are consistent (near-term organics, 2030 diversion, longer-term design/residential), with no internal contradictions or redundancies.",Yes,Yes,No,Yes,"enable, implement strategies, no specified policy instruments/enforcement, no numeric outcome for organics/source-prevention/design-for-disassembly items","Community-wide organics program by 2025, 90% diversion (CII) by 2030, 75% diversion (C&D) by 2030, 90% diversion (residential) by 2040, multiple explicit deadlines",SOUND,0.78,"1) The initiative aims to reduce waste and landfilling by shifting to a circular economy through organics collection, source prevention, and high diversion rates across major waste streams. 2) Sub-action strengths: strong = 3 (Actions 3, 4, 6), moderate = 1 (Action 1), weak = 2 (Actions 2, 5). 3) The parent provides spatial scope via 'community-wide' and an overall waste/landfilling frame, but it does not state a binding mechanism (ordinance/regulation), so weaker 'enable/implement strategies' items are not lifted into enforceable commitments. 4) Coverage is high because organics, CII, C&D, and residential streams are all addressed with clear diversion targets and years; the main gap is lack of stated instruments to achieve them. Coherence is high because the actions are non-overlapping, stream-specific, and sequenced over time (2025/2030/2035/2040). 5) Applying the Initiative Soundness Rule: coverage_score (0.85) >= 0.6, coherence_score (0.9) >= 0.5, aggregate_measurability = Yes, at least half of sub-actions are strong/moderate (4/6), and at least one is strong (3 strong). Therefore the initiative is SOUND, and with confidence_score 0.78 the final verdict is True.",True,"[{'action_label': 'Action 1: Introduce community-wide organic waste collection and decomposition by 2025.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Implement equitable waste source prevention strategies by 2030.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Divert 90% of commercial, industrial, and institutional waste by 2030.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 4: Divert 75% of construction and demolition waste by 2030.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 5: Enable building design for disassembly and reuse by 2035.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 6: Divert 90% of residential waste by 2040.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",3,1,2
"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips","Pillar 3 Strategy 1: Make walking, biking, or transit viable options for all trips with actions to expand bikeways/trails, increase shared micromobility, and reach 45% non-car mode share by 2040.",Transport,3,0.7,"The sub-actions collectively support the parent goal of making walking, biking, and transit viable by addressing (1) infrastructure expansion and (2) increased shared micromobility usage, and (3) an overall non-car mode share outcome target. A gap is that transit service/reliability actions are not specified here (despite transit being part of the stated goal), and the bikeway/trail expansion lacks defined scale (e.g., miles) or timeframe.",0.85,"The three sub-actions are complementary: expanding low-stress bikeways/trails enables more cycling, increasing Divvy/micromobility drives uptake, and the 2040 mode-share target provides an overarching outcome metric. There are no contradictions, but the plan would be stronger with interim milestones and clearer definitions/metrics for the infrastructure buildout.",Yes,Yes,No,Yes,"Expand (no miles/corridors specified), no deadline for bikeway/trail expansion, no explicit transit service actions despite transit being in the stated goal","30% increase in Divvy/shared micromobility trips by 2030, 45% of all trips by non-car modes by 2040, clear mode-shift outcome framing",PARTIAL,0.72,"This initiative targets mode shift by making walking, biking, transit, and shared micromobility viable for all trips, pairing infrastructure improvements with usage growth and an overall mode-share goal. Sub-action strength mix: 2 strong (Actions 2–3) and 1 moderate (Action 1), with the moderate item being a concrete build/expand action but missing a numeric buildout target and timeline. The parent header provides clear city context (Chicagoans; citywide implication) but does not establish a binding mechanism (no ordinance/mandate), so enforcement strength is limited to programmatic intent. Coverage is good because the pieces align to the stated objective, but it is not complete because transit improvements are not articulated and the infrastructure expansion is not scoped (e.g., miles, network coverage, or year-by-year delivery). Coherence is high because the actions form a logical chain from enabling conditions (bikeways/trails) to adoption (micromobility trips) to outcome (45% trips by 2040). Applying the initiative soundness rule: it has adequate coverage (>=0.4), strong coherence, and clear measurable targets at the cluster level, but not all SOUND conditions are met because one action lacks timeline/quantification; therefore the initiative is PARTIAL, and it is worth keeping given confidence >= 0.55.",True,"[{'action_label': 'Action 1: Expand high-quality and low-stress on-street bikeways and off-street trails.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Increase Divvy bikes and shared micromobility trips 30% by 2030.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 3: Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",2,1,0
Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,"Pillar 3 Strategy 2: Increase transit performance and encourage equitable transit-oriented development through land use updates, commuter benefits, transportation demand management, and parking requirement updates.",Transport,4,0.75,"The sub-actions collectively match the parent statement: land use updates, commuter benefits expansion, required TDM plans for new development, and updated citywide parking requirements. A key gap is the lack of explicit performance outcomes for “increase transit performance” (e.g., ridership, travel time, reliability, or VMT reduction), so progress cannot be tracked beyond completion of policy updates.",0.85,"The sub-actions are complementary and mutually reinforcing: land use policy and parking reforms support transit-oriented development, while commuter benefits and TDM requirements reduce drive-alone demand. The sequence is also plausible (policy updates and program expansion over 2023–2025) with no internal conflicts evident in the text.",No,Yes,No,Yes,"No numeric outcome targets (e.g., ridership/VMT/mode share), vague phrasing ('expand use') without scale, no stated enforcement mechanism in text","All 4 sub-actions have explicit deadline years (2023, 2024, 2025), regulatory-style actions ('require' TDM plans), citywide parking requirement update",PARTIAL,0.6,"This initiative aims to improve transit performance and enable equitable transit-oriented development through four levers: land use policy updates, commuter benefits, mandatory TDM plans for new development, and reforms to parking requirements, each with a 2023–2025 deadline. Sub-action strength mix: 0 strong, 3 moderate (Actions 1, 3, 4) due to concrete policy changes with timelines, and 1 weak (Action 2) because it is not clearly a tangible deliverable and has no scale. The parent header provides a citywide framing (""Update citywide car and bike parking requirements"") and a mobility-network context, but it does not state an ordinance/regulatory authority that would make the whole package clearly binding. Coverage is high because the subs directly correspond to the parent’s listed tools, but the initiative lacks measurable outcome targets, so aggregate measurability is 'No'—progress can be tracked mainly as completion of policy updates rather than transit performance results. Coherence is strong because the actions reinforce each other (TOD-supportive land use + parking reform + demand management + commuter incentives). Applying the initiative soundness rule: it fails SOUND due to aggregate_measurability='No' and no 'strong' sub-actions, but it qualifies as PARTIAL because coverage_score>=0.4, multiple sub-actions are moderate, and deadlines exist across the cluster. Final verdict is True because the initiative is PARTIAL and confidence_score (0.6) meets the >=0.55 threshold.",True,"[{'action_label': 'Action 1: Update land use policies to encourage sustainable development, accessibility, and street safety by 2023.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Expand use of commuter benefits by 2024.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Require transportation demand management plans for new development by 2025.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Update citywide car and bike parking requirements by 2025.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,3,1
Pillar 3 | Strategy 3. Enable zero-emission transit and fleets,"Pillar 3 Strategy 3: Enable zero-emission transit and fleets, including ride-hail/taxi electrification, delivery fleet electrification, City fleet electrification, and regional zero-emission transit fleets.",Transport,4,0.8,"The sub-actions collectively cover the parent goal of enabling zero-emission transit and fleets by addressing the key fleet categories named in the parent (ride-hail/taxi, delivery, City fleet, and regional transit). A gap is that the verbatim text does not describe how these outcomes will be enabled (policy tools, procurement standards, charging strategy, or enforcement), which could limit real-world deliverability despite broad topical coverage.",0.85,"The sub-actions are complementary and non-overlapping: each targets a different fleet segment with a distinct deadline, forming a logical portfolio across private and public fleets. Coherence is high, though the absence of described mechanisms or sequencing (e.g., prerequisites like charging deployment) makes the pathway implicit rather than explicit.",Yes,Yes,No,Yes,"support, enable, achieve (goal language without instruments), no named implementing entity, no interim milestones, undefined terms (equitable, delivery fleets, across Chicagoland)","Explicit years (2030/2035/2040), 100% electrification targets (delivery fleets, City fleet)",PARTIAL,0.6,"1) The initiative aims to transition multiple fleet segments (ride-hail/taxi, delivery, City-owned vehicles, and regional transit) to zero-emission by specified years (2030–2040), including two explicit 100% electrification goals. 2) Strength mix across 4 sub-actions: 1 strong (City fleet 100% by 2035), 1 moderate (delivery fleets 100% by 2035—clear outcome and deadline but vague on the intervention), and 2 weak (ride-hail/taxi and Chicagoland transit—deadline stated but framed as support/achieve without a measurable outcome or concrete instrument). 3) The parent provides a general spatial/institutional framing (fleet types and a regional scope via “across Chicagoland”) but does not provide a binding mechanism (no ordinance/mandate/regulation text), so weaker subs are not lifted into enforceable actions. 4) Coverage is high (0.8) because the listed subs match the parent’s named fleet categories; coherence is also high (0.85) because the subs are distinct and collectively form a portfolio, though the delivery chain is implicit. 5) Applying the initiative soundness rule: aggregate measurability is Yes (multiple deadlines and 100% targets), at least half the subs are strong/moderate (2 of 4), and there is at least one strong sub-action; however, the cluster falls short of SOUND because not enough sub-actions are concrete/mechanism-backed and several are goal statements. Therefore, the initiative is PARTIAL, and final_verdict is True because confidence (0.6) meets the lenient threshold.",True,"[{'action_label': 'Action 1: Support equitable electrification of ride-hail and taxi fleets by 2030', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Enable 100% electrification of delivery fleets by 2035', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'moderate'}, {'action_label': ""Action 3: Electrify 100% of the City's fleet by 2035"", 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 4: Achieve zero-emission transit fleets across Chicagoland by 2040', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}]",1,1,2
Pillar 4 | Strategy 1. 100% clean renewable energy,"Pillar 4 Strategy 1: Achieve 100% clean renewable energy via aggregation of regional clean energy, installing renewables on City property, and reaching community-wide 100% clean renewable energy by 2035.",Energy,3,0.9,"The sub-actions collectively match the parent goal of achieving 100% clean renewable energy by combining regional aggregation/procurement (5,000 MW), direct deployment on City assets (30 MW), and a community-wide 100% target by 2035. A potential gap is that the text does not specify policy tools (e.g., procurement mechanism, utility coordination, or regulatory steps) to ensure the community-wide 100% outcome, but the coverage of scales (regional, municipal, community) is strong.",0.95,"The three sub-actions are complementary and non-redundant: they address supply aggregation, City-owned deployment, and an overarching community-wide outcome. Timelines are consistent (2030 build/aggregation milestones leading toward the 2035 100% goal) with no internal conflicts.",Yes,Yes,No,Yes,"No explicit binding mechanism (ordinance/regulation) described, No described delivery instrument for the community-wide 100% target (e.g., procurement standard, utility/CCA mechanism)","All 3 subs have numeric targets and deadlines, 5,000 MW by 2030 within 250-mile radius, 30 MW on City property by 2030, 100% community-wide by 2035",SOUND,0.9,"This initiative aims to transition Chicago to 100% clean renewable energy by setting near-term supply/deployment milestones (5,000 MW aggregated regionally and 30 MW installed on City property by 2030) and a long-term community-wide endpoint (100% by 2035). Sub-action strength count: 3 strong, 0 moderate, 0 weak. The parent text establishes spatial/institutional scope (Chicago; 250-mile radius; City property; community-wide) but does not provide an explicit binding mechanism, so enforcement is not clearly inherited. Coverage is high because the sub-actions span regional procurement/aggregation, municipal deployment, and the community-wide target; coherence is high because the 2030 milestones logically support the 2035 endpoint and are not redundant. Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half the subs are strong/moderate (all are strong), and at least one sub is strong (yes) → initiative_result = SOUND, and with confidence_score 0.9 the final_verdict is True.",True,"[{'action_label': 'Action 1: Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 2: Install 30 megawatts of clean renewable energy projects on City property by 2030.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 3: Achieve 100% clean renewable energy community-wide by 2035.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",3,0,0
Pillar 4 | Strategy 2. Enable building and personal vehicle electrification,"Pillar 4 Strategy 2: Enable building and personal vehicle electrification with policy support for electrified renovations/new construction and electrification targets across building types, plus expanded EV charging infrastructure.",Buildings,5,0.65,"The sub-actions strongly cover building electrification across major building types (residential, industrial, commercial, and City-owned) and include an enabling policy milestone. However, despite the initiative title/parent statement referencing personal vehicle electrification and expanded EV charging, no sub-action addresses EV charging infrastructure or personal vehicles in the provided verbatim text, leaving a notable gap versus the stated overall aim.",0.75,"The set is internally consistent: an enabling policy action (by 2023) is paired with sector-specific electrification outcome targets (by 2035). The building-type targets are complementary and non-duplicative, though the absence of any EV/personal-vehicle actions reduces coherence with the broader initiative framing.",Yes,Yes,No,No,"No EV charging/personal-vehicle sub-actions despite initiative framing, Action 1 lacks a measurable outcome beyond adopting policies, no explicit binding mechanism (ordinance/regulation) stated","4 of 5 subs have numeric targets, clear deadlines (2023, 2035), quantified electrification across multiple building types including 90% City-owned buildings",SOUND,0.78,"This initiative aims to enable electrification of buildings (and per the title, personal vehicles) by pairing near-term policy support with mid-term electrification outcome targets. Sub-action strength mix: 4 strong (Actions 2–5: clear % electrification by 2035) and 1 moderate (Action 1: concrete policy adoption by 2023 but no quantified outcome). The parent text does not supply an explicit binding mechanism or formal spatial scope; nevertheless, the quantified targets and deadlines make the cluster trackable. Coverage is good for building electrification across key segments, but it does not include any sub-actions on EV charging/personal vehicle electrification mentioned in the parent framing, lowering coverage to 0.65 rather than higher. Coherence is high because the actions align (policy first, then adoption targets) with consistent timelines and no contradictions. Applying the initiative soundness rule: coverage_score (0.65) >= 0.6, coherence_score (0.75) >= 0.5, aggregate_measurability = Yes, at least half of subs are strong/moderate (5/5), and at least one is strong (multiple). Therefore the initiative is SOUND and worth keeping.",True,"[{'action_label': 'Action 1: Enact policies that support electrified renovations and new construction by 2023.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Electrify 30% of total existing residential buildings by 2035.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 3: Electrify 20% of total existing industrial buildings by 2035.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 4: Electrify 10% of total existing commercial buildings by 2035.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 5: Electrify 90% of total existing City-owned buildings by 2035.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",4,1,0
Pillar 4 | Strategy 3. Align building codes and standards with climate best practices,"Pillar 4 Strategy 3: Align building codes and standards with climate best practices, including strengthening policies for green roofs/walls and enabling net-zero-carbon construction.",Buildings,2,0.55,"The two sub-actions match the parent’s stated components: vegetative/green roof policy strengthening and a longer-term shift toward net-zero-carbon construction. However, the cluster does not specify what code/standards changes will be adopted or what specific performance requirements will define “net-zero-carbon,” leaving an implementation gap for translating alignment into enforceable requirements.",0.75,"The sub-actions are complementary: near-term policy strengthening for green infrastructure (by 2023) and a long-term enabling pathway for net-zero-carbon construction (by 2040). There is no contradiction, but the initiative lacks intermediate milestones or defined instruments that connect “enable” and “strengthen policies” to concrete code amendments.",No,Yes,No,No,"enable, strengthen policies, no numeric outcome targets, no specified code/standard amendments, no binding mechanism stated",Timelines specified (by 2023; by 2040),WEAK,0.6,"1) Aim: align Chicago building codes/standards with climate best practices through green roof/wall/vegetation supportive policies and net-zero-carbon construction enabling actions. 2) Sub-action strength count: 0 strong, 0 moderate, 2 weak (both have timelines but lack quantifiable outcomes and read as enabling/process-level). 3) Parent inheritance: the parent header does not state an ordinance/regulatory mandate or explicit citywide scope; therefore weak subs are not lifted by inherited binding or scope context. 4) Coverage/coherence: coverage is moderate because the subs reflect the two themes named in the parent, but they do not specify the concrete code changes or measurable endpoints; coherence is fairly good because the actions are directionally consistent and staged (2023 vs 2040). 5) Soundness rule: fails PARTIAL because there is no measurable target (only deadlines) and all subs are weak; therefore the initiative is WEAK.",False,"[{'action_label': 'Action 1: Strengthen policies supporting green roofs/walls, tree planting, and vegetative cover (by 2023)', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Enable net-zero-carbon construction (by 2040)', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,2
Pillar 4 | Strategy 4. Decommission fossil power,Pillar 4 Strategy 4: Decommission fossil power by developing a fossil-fuel plants transition strategy by 2024.,Energy,1,0.5,"The sub-action matches the parent goal narrowly: it covers producing a transition strategy by 2024. However, it does not cover actual decommissioning steps (retirement schedules, capacity reductions, replacement resources, or equity/worker transition outcomes), so the parent’s implied outcome ('decommission fossil power') is only indirectly addressed.",0.7,"With only one sub-action that mirrors the parent, there are no internal contradictions and the initiative is internally consistent. Coherence is limited mainly because the cluster lacks additional complementary actions (e.g., closure milestones, procurement, or remediation steps).",No,No,No,No,"strategy-only deliverable, no numeric decommissioning/retirement targets, no binding mechanism stated, no explicit scope stated","explicit deadline (by 2024), clear deliverable (transition strategy)",PARTIAL,0.58,"1) This initiative aims to decommission fossil power by first producing a fossil-fuel plants transition strategy by 2024. 2) Sub-action strength mix: 0 strong, 1 moderate, 0 weak (the action is concrete and time-bound but not outcome-quantified). 3) The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit spatial scope that would strengthen or clarify implementation expectations for the sub-action. 4) Coverage is partial (0.5) because writing a strategy is only an enabling step toward decommissioning and omits retirement/closure and replacement milestones; coherence is decent (0.7) because the single action aligns with the parent without conflict. 5) Applying the soundness rule: it cannot be SOUND because aggregate_measurability is 'No' and there is no strong sub-action; it meets PARTIAL because coverage_score >= 0.4 and there is at least one moderate action with a clear deadline (2024), indicating a non-aspirational planning commitment.",True,"[{'action_label': 'Action 1: Develop a fossil-fuel plants transition strategy by 2024.', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,1,0
