policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Austin_Texas_United_States::f7a340ac520ab1626c0b3cd0,Austin_Texas_United_States::f7a340ac520ab1626c0b3cd0,sub,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,Ensure benefits of building decarbonization programs flow to low-income communities and communities of color through comprehensive energy poverty mitigation and partnerships.,Mitigation,,,policy_traces/001_Ensure_benefits_of_building_decarbonization_programs_flow_to.json,,,False,False,,,reclassify,0.77,,Resource Efficiency,True,False
002,Austin_Texas_United_States::bec080c459983ecdcc83c35d,Austin_Texas_United_States::bec080c459983ecdcc83c35d,sub,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,"Enhance resident and building owner understanding of energy consumption via outreach, culturally relevant communications, expanded benchmarking for existing buildings, and better access to energy and water data.",Mitigation,,,policy_traces/002_Enhance_resident_and_building_owner_understanding_of_energy_.json,,,False,False,,,keep,0.86,True,,,False
003,Austin_Texas_United_States::9feff14dcf02d560468edc8f,Austin_Texas_United_States::9feff14dcf02d560468edc8f,sub,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,"Achieve net-zero carbon building milestones through new building energy codes/amendments and incentives/education for existing building decarbonization, in collaboration with utilities and with equity focus.",Mitigation,,,policy_traces/003_Achieve_net_zero_carbon_building_milestones_through_new_buil.json,,,False,False,,,,,,,,
004,Austin_Texas_United_States::c3505fa867d2f08fc23431e5,Austin_Texas_United_States::c3505fa867d2f08fc23431e5,sub,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,Create equitable workforce development and training opportunities for emerging building-related technologies by partnering with local unions and education/advocacy organizations serving low-income communities and communities of color.,Mitigation,,,policy_traces/004_Create_equitable_workforce_development_and_training_opportun.json,,,False,False,,,,,,,,
006,Austin_Texas_United_States::dd2b58367ccdaa39a384cff4,Austin_Texas_United_States::dd2b58367ccdaa39a384cff4,sub,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,Develop a refrigerant destruction program that places a price on older high ozone-depleting and high-GWP refrigerants to increase capture and safe destruction.,Mitigation,,,policy_traces/006_Develop_a_refrigerant_destruction_program_that_places_a_pric.json,,,False,False,,,,,,,,
007,Austin_Texas_United_States::e00720a85bbd28bc2cf4e763,Austin_Texas_United_States::e00720a85bbd28bc2cf4e763,sub,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,Move forward with building code amendments and other local actions to allow/encourage low and no-GWP refrigerants as soon as feasible.,Mitigation,,,policy_traces/007_Move_forward_with_building_code_amendments_and_other_local_a.json,,,False,False,,,,,,,,
008,Austin_Texas_United_States::f9b8815f30f99750d895e8fa,Austin_Texas_United_States::f9b8815f30f99750d895e8fa,sub,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"Create incentives for refrigerant leak detection, prevention, and repair in partnership with food retail, restaurants, warehouses, and HVAC companies, prioritizing outreach to small businesses owned by people of color.",Mitigation,,,policy_traces/008_Create_incentives_for_refrigerant_leak_detection_prevention_.json,,,False,False,,,,,,,,
009,Austin_Texas_United_States::eeee02debe59b433307365c0,Austin_Texas_United_States::eeee02debe59b433307365c0,sub,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"Create an awareness, education, and training campaign for HVAC service providers and related stakeholders; lead by example with refrigerant leak detection/repair at City-owned facilities.",Mitigation,,,policy_traces/009_Create_an_awareness_education_and_training_campaign_for_HVAC.json,,,False,False,,,,,,,,
010,Austin_Texas_United_States::1bf08d9db806c56883c06688,Austin_Texas_United_States::1bf08d9db806c56883c06688,sub,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"Reduce the volume/use of refrigerants, particularly high-GWP refrigerants, by expanding and prioritizing codes and incentives favoring passive design, reduction, and efficiency.",Mitigation,,,policy_traces/010_Reduce_the_volumeuse_of_refrigerants_particularly_high_GWP_r.json,,,False,False,,,,,,,,
012,Austin_Texas_United_States::e1634ec4a4e9f7c75b89b577,Austin_Texas_United_States::e1634ec4a4e9f7c75b89b577,sub,Reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline by 2030 (with project embodied carbon not exceeding 500 kg CO2e/m2).,standalone parent policy,"Develop City of Austin design and construction specifications and purchasing agreements to deliver healthy, low-carbon buildings, prioritizing community facilities serving low-income communities and communities of color first.",Mitigation,,,policy_traces/012_Develop_City_of_Austin_design_and_construction_specification.json,,,False,False,,,,,,,,
