policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Columbus_Ohio_United_States::66cb8464b3990c5261dc5dfc,Columbus_Ohio_United_States::66cb8464b3990c5261dc5dfc,sub,Strategy 1: Empower a community of climate leaders.,structural header,"Incorporate climate action programs into GreenSpot by adapting GreenSpot outreach initiatives to increase climate change awareness, with targets of 200 training events and 1,000 new community partner signatory commitments by 2030.",Adaptation,,,policy_traces/001_Incorporate_climate_action_programs_into_GreenSpot_by_adapti.json,,,False,False,,,reclassify,0.84,,Mitigation,True,False
003,Columbus_Ohio_United_States::689ebe8bf8faa16c3364fd4d,Columbus_Ohio_United_States::689ebe8bf8faa16c3364fd4d,sub,Strategy 2: Develop a clean energy economy.,structural header,"Support green business initiatives to spur job creation, targeting 10,000 new green jobs by 2030.",Mitigation,,,policy_traces/003_Support_green_business_initiatives_to_spur_job_creation_targ.json,,,False,False,,,keep,0.86,True,,,False
004,Columbus_Ohio_United_States::f13d3e256377e3504ff38dab,Columbus_Ohio_United_States::f13d3e256377e3504ff38dab,sub,Strategy 2: Develop a clean energy economy.,structural header,Increase annual sustainable development funding by establishing a green bank by 2025 and reaching $250 million average annual PACE investments by 2030.,Mitigation,,,policy_traces/004_Increase_annual_sustainable_development_funding_by_establish.json,,,False,False,,,keep,0.82,True,,,False
006,Columbus_Ohio_United_States::3752baa47c1e39029d321911,Columbus_Ohio_United_States::3752baa47c1e39029d321911,sub,Strategy 4: Support a healthy and resilient community.,structural header,Develop a regional adaptive management strategy with prioritized strategies outlined by 2025; implement short-term strategies by 2030; and implement long-term strategies by 2050.,Adaptation,,,policy_traces/006_Develop_a_regional_adaptive_management_strategy_with_priorit.json,,,False,False,,,,,,,,
007,Columbus_Ohio_United_States::496e5bd2d83fbd2996d78947,Columbus_Ohio_United_States::496e5bd2d83fbd2996d78947,sub,Strategy 4: Support a healthy and resilient community.,structural header,Conduct 'Ambition 2025' to outline a 7% increase to GHG modeling reduction by 2025 and implement reduction strategies by 2030 and long-term strategies by 2050.,Mitigation,,,policy_traces/007_Conduct_Ambition_2025_to_outline_a_7_increase_to_GHG_modelin.json,,,False,False,,,,,,,,
008,Columbus_Ohio_United_States::644aabe2c790e921cffdf5b5,Columbus_Ohio_United_States::644aabe2c790e921cffdf5b5,sub,Strategy 4: Support a healthy and resilient community.,structural header,Establish a coordinated network of resilience hubs by developing an implementation plan for priority locations by 2025 and implementing resilience hubs within a 15-minute walk for all residents by 2050.,Adaptation,,,policy_traces/008_Establish_a_coordinated_network_of_resilience_hubs_by_develo.json,,,False,False,,,,,,,,
009,Columbus_Ohio_United_States::96373d47953d045500a7192b,Columbus_Ohio_United_States::96373d47953d045500a7192b,sub,Strategy 4: Support a healthy and resilient community.,structural header,Establish a regional emergency alert system for climate hazards by 2025.,Adaptation,,,policy_traces/009_Establish_a_regional_emergency_alert_system_for_climate_haza.json,,,False,False,,,,,,,,
010,Columbus_Ohio_United_States::e61c337c074fdc9ecb5fbc7d,Columbus_Ohio_United_States::e61c337c074fdc9ecb5fbc7d,sub,Strategy 4: Support a healthy and resilient community.,structural header,Increase development density by establishing vacant property redevelopment targets by 2025 and ensuring 40% of new housing is within 1/4 mile of employment centers by 2030 and 60% by 2050.,Mitigation,,,policy_traces/010_Increase_development_density_by_establishing_vacant_property.json,,,False,False,,,,,,,,
011,Columbus_Ohio_United_States::dd8e2dba433d1d4dbe783f10,Columbus_Ohio_United_States::dd8e2dba433d1d4dbe783f10,sub,Strategy 4: Support a healthy and resilient community.,structural header,"Increase equitable access to green space by tracking and expanding to 430 accessible green spaces by 2030, 500 by 2050, and ensuring access to green space within a 10-minute walk for all residents by 2050.",Adaptation,,,policy_traces/011_Increase_equitable_access_to_green_space_by_tracking_and_exp.json,,,False,False,,,,,,,,
012,Columbus_Ohio_United_States::a3535296e0bfb6fef76ad484,Columbus_Ohio_United_States::a3535296e0bfb6fef76ad484,sub,Strategy 4: Support a healthy and resilient community.,structural header,Implement water adaptation strategies by implementing short-term Sustaining Scioto strategies by 2025 and completing mid-term strategies by 2050.,Adaptation,,,policy_traces/012_Implement_water_adaptation_strategies_by_implementing_short_.json,,,False,False,,,,,,,,
