policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Kuwait::f59d9f490906a498c4067c50,Kuwait::f59d9f490906a498c4067c50,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,"Implement green belts and increase protected areas to adapt to dust storms, including the 'Kuwait Green Wall Project' to plant 315,000 trees for a 420 km wall along the borderline; started in 2015 and ongoing.",Nature-Based Solutions,,,policy_traces/001_Implement_green_belts_and_increase_protected_areas_to_adapt_.json,,,False,False,,,,,,,,
002,Kuwait::a31fba85b08529425f75e75f,Kuwait::a31fba85b08529425f75e75f,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,"Undertake agricultural projects to develop crops adapted to high temperatures and resistant to salinity and drought, including introducing more than 50 tree types under an Agriculture Master Plan and implementing varieties such as Conocarpus, Ficus, Prosopis, and date palm trees.",Adaptation,,,policy_traces/002_Undertake_agricultural_projects_to_develop_crops_adapted_to_.json,,,False,False,,,,,,,,
003,Kuwait::fd225b40e3dcb56c84189fc0,Kuwait::fd225b40e3dcb56c84189fc0,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,"Establish a 'Food security' project with FAO in cooperation with Kuwait to undertake twelve projects across fisheries, water resources, natural resources, animal production, animal health, and technical capacity development, with a budget of $850,000 and 1–5 year timeframe.",Adaptation,,,policy_traces/003_Establish_a_Food_security_project_with_FAO_in_cooperation_wi.json,,,False,False,,,keep,0.77,True,,,False
004,Kuwait::dd23cae757074cc2bc2be4bd,Kuwait::dd23cae757074cc2bc2be4bd,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,"Establish a regional database and information center to support fisheries management and aquaculture development (FAO/PAAFR), with budget of $250,000/year (joint project initiated December 2016).",Adaptation,,,policy_traces/004_Establish_a_regional_database_and_information_center_to_supp.json,,,False,False,,,,,,,,
005,Kuwait::4f7042500daefcc3a998583d,Kuwait::4f7042500daefcc3a998583d,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,"Establish fisheries farms as an adaptation step under food security, including Nile tilapia culture in farms using brackish water (5–8 ppt) in Al-Wafra, Abdali and Al-Sulybia areas; budget $250,000/year.",Adaptation,,,policy_traces/005_Establish_fisheries_farms_as_an_adaptation_step_under_food_s.json,,,False,False,,,,,,,,
006,Kuwait::a1a4055291914dd55c15d524,Kuwait::a1a4055291914dd55c15d524,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,Assess historic climate records for the past 70 years and develop future projection climatic scenarios until 2100 (project started 2012 by Kuwait University and UN Environment).,Adaptation,,,policy_traces/006_Assess_historic_climate_records_for_the_past_70_years_and_de.json,,,False,False,,,,,,,,
007,Kuwait::a6d9c9656dca294d93a7c299,Kuwait::a6d9c9656dca294d93a7c299,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,"Establish the electronic environmental Monitoring Information System of Kuwait (eMISK) to build and maintain a comprehensive geo-environmental database and GIS system for updating and analyzing environmental data (started 2015, ongoing).",Adaptation,,,policy_traces/007_Establish_the_electronic_environmental_Monitoring_Informatio.json,,,False,False,,,,,,,,
008,Kuwait::696957953a9cb761ce8f7e08,Kuwait::696957953a9cb761ce8f7e08,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,Establish eMISK Industry as a national program to collect an environmental inventory of industrial facilities in Kuwait.,Adaptation,,,policy_traces/008_Establish_eMISK_Industry_as_a_national_program_to_collect_an.json,,,False,False,,,,,,,,
009,Kuwait::90cddffe28eb1cba22fbcc15,Kuwait::90cddffe28eb1cba22fbcc15,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,Implement eMISK Waste to manage the fleet of industrial liquid waste vehicles and organize the logistics process.,Mitigation,,,policy_traces/009_Implement_eMISK_Waste_to_manage_the_fleet_of_industrial_liqu.json,,,False,False,,,keep,0.67,True,,,False
010,Kuwait::ce526256c209d9df7d388e24,Kuwait::ce526256c209d9df7d388e24,sub,"Projects and National Initiatives: Kuwait lists ongoing and past climate change adaptation projects and initiatives across sectors (water, agriculture, fisheries, coastal, health, waste, awareness).",structural header,Implement eMISK Marine to promote and facilitate an information management system supporting policies and programs for integrated coastal and ocean management in Kuwait.,Adaptation,,,policy_traces/010_Implement_eMISK_Marine_to_promote_and_facilitate_an_informat.json,,,False,False,,,,,,,,
