policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Fiji::b8f9a11e24e4d574972161c7,Fiji::b8f9a11e24e4d574972161c7,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,"Prepare, communicate and maintain successive NDCs that the Minister intends Fiji to achieve.",Mitigation,,,policy_traces/001_Prepare_communicate_and_maintain_successive_NDCs_that_the_Mi.json,,,False,False,,,,,,,,
002,Fiji::485ca10568224a46e56953af,Fiji::485ca10568224a46e56953af,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,Pursue domestic mitigation measures aimed at achieving Fiji's NDC objectives.,Mitigation,,,policy_traces/002_Pursue_domestic_mitigation_measures_aimed_at_achieving_Fijis.json,,,False,False,,,,,,,,
003,Fiji::8c67f3ea96afbf386a8e66ee,Fiji::8c67f3ea96afbf386a8e66ee,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,"Communicate an updated NDC every 5 years that progresses beyond the current NDC and reflects highest possible ambition, informed by the global stocktake.",Mitigation,,,policy_traces/003_Communicate_an_updated_NDC_every_5_years_that_progresses_bey.json,,,False,False,,,,,,,,
004,Fiji::f0ac2691cd44ff58ad218159,Fiji::f0ac2691cd44ff58ad218159,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,"Provide necessary information for clarity, transparency and understanding when communicating Fiji's NDC.",Adaptation,,,policy_traces/004_Provide_necessary_information_for_clarity_transparency_and_u.json,,,False,False,,,reclassify,0.7,,Mitigation,True,False
005,Fiji::4674057869e75d2f52525104,Fiji::4674057869e75d2f52525104,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,Adhere to any common time frames agreed by the CMA when communicating Fiji's NDC.,Resource Efficiency,,,policy_traces/005_Adhere_to_any_common_time_frames_agreed_by_the_CMA_when_comm.json,,,False,False,,,reclassify,0.78,,Mitigation,True,False
006,Fiji::f98d697fc3e75a9df5f0d156,Fiji::f98d697fc3e75a9df5f0d156,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,Account for Fiji's NDC in a way that promotes environmental integrity and avoids double counting.,Mitigation,,,policy_traces/006_Account_for_Fijis_NDC_in_a_way_that_promotes_environmental_i.json,,,False,False,,,,,,,,
007,Fiji::0088011d376e10f1fb06c2c6,Fiji::0088011d376e10f1fb06c2c6,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,"Engage in adaptation planning processes and implement actions including developing or enhancing relevant plans, policies or contributions, as appropriate.",Adaptation,,,policy_traces/007_Engage_in_adaptation_planning_processes_and_implement_action.json,,,False,False,,,,,,,,
008,Fiji::3c16e398d6dcc483fa8c1a42,Fiji::3c16e398d6dcc483fa8c1a42,sub,"Minister must take all reasonable steps to prepare, communicate, maintain and update successive NDCs, pursue domestic mitigation measures, and communicate an NDC every 5 years with progression and highest possible ambition, including specified accounting and reporting information.",standalone parent policy,Provide a national inventory report and information necessary to track progress in implementing and achieving Fiji's NDC.,Adaptation,,,policy_traces/008_Provide_a_national_inventory_report_and_information_necessar.json,,,False,False,,,,,,,,
010,Fiji::700b982dad214b193c464568,Fiji::700b982dad214b193c464568,sub,"Minister may introduce and implement economy-wide mitigation regulations/measures including carbon pricing/ETS, emissions fees, fiscal incentives/levies, sink protection measures, sustainable building regulations, and awareness programmes.",standalone parent policy,"Introduce and implement a carbon pricing mechanism, including an emissions trading scheme.",Mitigation,,,policy_traces/010_Introduce_and_implement_a_carbon_pricing_mechanism_including.json,,,False,False,,,,,,,,
011,Fiji::1b2bcbf24fcde4f4a8f2a341,Fiji::1b2bcbf24fcde4f4a8f2a341,sub,"Minister may introduce and implement economy-wide mitigation regulations/measures including carbon pricing/ETS, emissions fees, fiscal incentives/levies, sink protection measures, sustainable building regulations, and awareness programmes.",standalone parent policy,Prescribe emissions-based fees/charges payable to the State on emissions above a prescribed level.,Mitigation,,,policy_traces/011_Prescribe_emissions_based_feescharges_payable_to_the_State_o.json,,,False,False,,,,,,,,
