policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Los_Angeles_California_United_States::0c9c2006135b6d52925dca82,Los_Angeles_California_United_States::0c9c2006135b6d52925dca82,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Measure ES1: Develop a sunset strategy for all oil and gas operations, including collaboration with jurisdictions/utilities and development of an ordinance.",Mitigation,,,policy_traces/001_Measure_ES1_Develop_a_sunset_strategy_for_all_oil_and_gas_op.json,,,False,False,,,,,,,,
002,Los_Angeles_California_United_States::f53eda5f5cfeb49a25b16f2b,Los_Angeles_California_United_States::f53eda5f5cfeb49a25b16f2b,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Collaborate with other local jurisdictions and utilities to develop a sunset strategy for all oil and gas operations prioritizing disproportionately affected communities and develop an ordinance.,Mitigation,,,policy_traces/002_Collaborate_with_other_local_jurisdictions_and_utilities_to_.json,,,False,False,,,,,,,,
003,Los_Angeles_California_United_States::1a0c4462ecb424416262ae4f,Los_Angeles_California_United_States::1a0c4462ecb424416262ae4f,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Develop a policy requiring examination of all active, idle, and abandoned oil wells for fugitive GHG emissions and coordinate with agencies conducting fugitive emissions data.",Mitigation,,,policy_traces/003_Develop_a_policy_requiring_examination_of_all_active_idle_an.json,,,False,False,,,,,,,,
004,Los_Angeles_California_United_States::7fa617a86ba31357cd429d7a,Los_Angeles_California_United_States::7fa617a86ba31357cd429d7a,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Develop a carbon removal strategy that considers direct air capture and carbon capture and sequestration (CCS).,Mitigation,,,policy_traces/004_Develop_a_carbon_removal_strategy_that_considers_direct_air_.json,,,False,False,,,,,,,,
005,Los_Angeles_California_United_States::d02569410597ab479ba24948,Los_Angeles_California_United_States::d02569410597ab479ba24948,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Measure ES2: Procure zero-carbon electricity by transitioning County facilities to 100% renewable electricity services and completing community enrollment in 100% green power/green rate options.,Mitigation,,,policy_traces/005_Measure_ES2_Procure_zero_carbon_electricity_by_transitioning.json,,,False,False,,,,,,,,
006,Los_Angeles_California_United_States::50705f0fd658baf421bbde19,Los_Angeles_California_United_States::50705f0fd658baf421bbde19,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Transition all County facilities within unincorporated areas to CPA's 100% Green Power option, SCE's 100% Green Rate option, or other available 100% renewable electricity service.",Mitigation,,,policy_traces/006_Transition_all_County_facilities_within_unincorporated_areas.json,,,False,False,,,,,,,,
007,Los_Angeles_California_United_States::de938662728cc6b85ae6459b,Los_Angeles_California_United_States::de938662728cc6b85ae6459b,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Complete enrollment of the community in CPA's 100% Green Power option or SCE's Green Rate option.,Mitigation,,,policy_traces/007_Complete_enrollment_of_the_community_in_CPAs_100_Green_Power.json,,,False,False,,,,,,,,
008,Los_Angeles_California_United_States::129ee2be882775db2780faec,Los_Angeles_California_United_States::129ee2be882775db2780faec,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Measure ES3: Increase renewable energy production through requirements for rooftop solar in new development, solar installations on existing buildings and County facilities, community-shared solar, affordable housing renewable energy requirements/incentives, and streamlined permitting for solar and storage.",Mitigation,,,policy_traces/008_Measure_ES3_Increase_renewable_energy_production_through_req.json,,,False,False,,,,,,,,
009,Los_Angeles_California_United_States::fdfef6a8b2f6bca072010378,Los_Angeles_California_United_States::fdfef6a8b2f6bca072010378,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Require rooftop solar PV for all new development.,Mitigation,,,policy_traces/009_Require_rooftop_solar_PV_for_all_new_development.json,,,False,False,,,,,,,,
010,Los_Angeles_California_United_States::1da97f08b68a552494a65cfe,Los_Angeles_California_United_States::1da97f08b68a552494a65cfe,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Install rooftop solar PV at existing buildings.,Mitigation,,,policy_traces/010_Install_rooftop_solar_PV_at_existing_buildings.json,,,False,False,,,,,,,,
011,Los_Angeles_California_United_States::d4610266cb577beaae8ee400,Los_Angeles_California_United_States::d4610266cb577beaae8ee400,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Identify and install solar PV systems at existing viable County facilities and properties.,Mitigation,,,policy_traces/011_Identify_and_install_solar_PV_systems_at_existing_viable_Cou.json,,,False,False,,,,,,,,
012,Los_Angeles_California_United_States::eb41e0883a8353b19a646601,Los_Angeles_California_United_States::eb41e0883a8353b19a646601,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Explore feasibility to install community-shared solar facilities on County properties where opportunities exist.,Mitigation,,,policy_traces/012_Explore_feasibility_to_install_community_shared_solar_facili.json,,,False,False,,,,,,,,
013,Los_Angeles_California_United_States::a6f5ffcdb298a9305e4e4b0c,Los_Angeles_California_United_States::a6f5ffcdb298a9305e4e4b0c,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Require and incentivize renewable energy for affordable housing developments for both new development and existing buildings.,Mitigation,,,policy_traces/013_Require_and_incentivize_renewable_energy_for_affordable_hous.json,,,False,False,,,,,,,,
014,Los_Angeles_California_United_States::622f4d599ffe218d277612d9,Los_Angeles_California_United_States::622f4d599ffe218d277612d9,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Streamline and prioritize permitting for solar and battery storage projects.,Mitigation,,,policy_traces/014_Streamline_and_prioritize_permitting_for_solar_and_battery_s.json,,,False,False,,,,,,,,
015,Los_Angeles_California_United_States::ece681f7094338051fe8694f,Los_Angeles_California_United_States::ece681f7094338051fe8694f,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Measure ES4: Increase energy resilience by investing in storage and microgrids, deploying resilience hubs, creating an energy map, conducting feasibility studies for solar/storage microgrids and adopting regulations/standards, and promoting efficiency/resilience in critical service facilities.",Adaptation,,,policy_traces/015_Measure_ES4_Increase_energy_resilience_by_investing_in_stora.json,,,False,False,,,,,,,,
016,Los_Angeles_California_United_States::7aa10b92eefdc003adace574,Los_Angeles_California_United_States::7aa10b92eefdc003adace574,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Develop a program to deploy community resilience hubs at scale.,Adaptation,,,policy_traces/016_Develop_a_program_to_deploy_community_resilience_hubs_at_sca.json,,,False,False,,,,,,,,
017,Los_Angeles_California_United_States::bc9dc187875f32632375355f,Los_Angeles_California_United_States::bc9dc187875f32632375355f,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Invest in energy storage and microgrids at critical County facilities through CPA's Power Ready Program.,Mitigation,,,policy_traces/017_Invest_in_energy_storage_and_microgrids_at_critical_County_f.json,,,False,False,,,,,,,,
018,Los_Angeles_California_United_States::f3e1b76562b545a43372acbc,Los_Angeles_California_United_States::f3e1b76562b545a43372acbc,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Develop a publicly accessible community energy map identifying opportunities for distributed energy resources and microgrids to improve energy resiliency.,Adaptation,,,policy_traces/018_Develop_a_publicly_accessible_community_energy_map_identifyi.json,,,False,False,,,,,,,,
019,Los_Angeles_California_United_States::e36d96e6c619bb9c121105fe,Los_Angeles_California_United_States::e36d96e6c619bb9c121105fe,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Conduct feasibility studies to identify priority areas for solar and storage and microgrids and adopt regulations establishing this use and development standards.,Mitigation,,,policy_traces/019_Conduct_feasibility_studies_to_identify_priority_areas_for_s.json,,,False,False,,,,,,,,
020,Los_Angeles_California_United_States::8c548873b58851f87d8176d6,Los_Angeles_California_United_States::8c548873b58851f87d8176d6,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Develop a Countywide program to promote energy efficiency and resilience measures in facilities providing critical community services.,Mitigation,,,policy_traces/020_Develop_a_Countywide_program_to_promote_energy_efficiency_an.json,,,False,False,,,keep,0.86,True,,,False
021,Los_Angeles_California_United_States::7199edbebc7c9c217c172cb6,Los_Angeles_California_United_States::7199edbebc7c9c217c172cb6,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Measure ES5: Establish GHG requirements for new development through new requirements (reach codes/ordinances/conditions), a CAP consistency checklist, evaluating programs requiring General Plan amendments, and establishing an Offsite GHG Reduction Program.",Mitigation,,,policy_traces/021_Measure_ES5_Establish_GHG_requirements_for_new_development_t.json,,,False,False,,,,,,,,
022,Los_Angeles_California_United_States::00c3ee1f536b7152916e4e16,Los_Angeles_California_United_States::00c3ee1f536b7152916e4e16,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Identify new requirements for new development (reach codes, ordinances, conditions of approval) to reduce GHG emissions across energy, transportation, waste, water, and other sources, including affordability considerations and supporting measures to defray first costs.",Mitigation,,,policy_traces/022_Identify_new_requirements_for_new_development_reach_codes_or.json,,,False,False,,,,,,,,
023,Los_Angeles_California_United_States::a9fca11202f5f11909674142,Los_Angeles_California_United_States::a9fca11202f5f11909674142,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,"Implement the 2045 CAP consistency review checklist for new development to demonstrate consistency with CAP strategies, measures, and actions.",Mitigation,,,policy_traces/023_Implement_the_2045_CAP_consistency_review_checklist_for_new_.json,,,False,False,,,,,,,,
024,Los_Angeles_California_United_States::c863cd1d04872dad3fe92eca,Los_Angeles_California_United_States::c863cd1d04872dad3fe92eca,sub,"Strategy 1: Decarbonize the Energy Supply through measures including a sunset strategy for oil and gas operations, procuring zero-carbon electricity, increasing renewable energy production, increasing energy resilience, and establishing GHG requirements for new development.",structural header,Evaluate a program for reducing GHG emissions for new development that require General Plan amendments.,Mitigation,,,policy_traces/024_Evaluate_a_program_for_reducing_GHG_emissions_for_new_develo.json,,,False,False,,,,,,,,
