policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
"Adopt and implement New York State's Climate Leadership and Community Protection Act (Climate Act) emission reduction requirements: reduce economywide GHG emissions 40% by 2030 and 85% by 2050 from 1990 levels, and achieve net zero emissions statewide by 2050.","This Scoping Plan includes recommendations to meet the Climate Act's nation-leading goals and requirements, including actions to achieve a reduction in economywide greenhouse gas (GHG) emissions of 40% by 2030 and 85% by 2050 from 1990 levels, which will put New York on a path toward carbon neutrality...

It identifies actions needed for New York to achieve... a 40% reduction in statewide GHG emissions from 1990 levels by 2030, an 85% reduction in statewide GHG emissions from 1990 levels by 2050, and net zero emissions statewide by 2050.",individual,,Chapter 1. Executive Summary / 1.1 Climate Action,Economy-wide,"Statutory, quantified statewide emissions targets with deadlines; clearly a binding policy requirement under the Climate Act.",54,individual,individual,,"The verbatim text specifies clear, measurable statewide GHG reduction outcomes (40% by 2030; 85% by 2050 from 1990 levels; net zero by 2050) and explicit deadlines, framed as “goals and requirements” of the Climate Act. This meets the auditability requirement (deliverable outcomes), the gold standard (quantifiable targets + timeline), and uses strong, non-aspirational language tied to statutory “requirements,” indicating a binding mechanism.",Yes,Yes,Yes,Yes,No,Yes,VALID,0.9,"Quantifiable targets: verbatim text states “reduction in economywide greenhouse gas (GHG) emissions of 40% by 2030 and 85% by 2050 from 1990 levels” and “net zero emissions statewide by 2050.” Timeline: explicit deadlines “by 2030” and “by 2050.” Binding mechanism: described as “the Climate Act's nation-leading goals and requirements,” indicating statutory requirements rather than optional guidance. Spatial specificity: applies to “New York” / “statewide” (“net zero emissions statewide,” “statewide GHG emissions”). Language strength: uses action/requirement framing (“goals and requirements,” “actions needed… to achieve…”) with hard numbers and dates; no weak verbs like encourage/explore without targets.",True
Meet the Climate Act electricity mandates: 70% renewable electricity by 2030 and 100% zero-emission electricity by 2040.,"It identifies actions needed for New York to achieve 70% renewable electricity by 2030, 100% zero-emission electricity by 2040...

The Climate Act requires that 70% of statewide electricity come from renewable energy sources by 2030 (70x30) and that the State achieve a zero-emission electricity system by 2040 (100x40).",individual,,1.1 Climate Action / Electricity,Electricity,"Quantified, dated clean electricity requirements explicitly stated as Climate Act requirements.",55,individual,individual,,"The verbatim text states binding statewide requirements under New York’s Climate Act with clear, measurable percentage targets and explicit deadline years (70% renewable electricity by 2030; zero-emission electricity system by 2040). This is an auditable outcome commitment, not merely an aspirational goal, and it specifies statewide applicability.",Yes,Yes,Yes,Yes,No,Yes,VALID,0.93,"Quantifiable target: ""70% of statewide electricity come from renewable energy sources"" and ""achieve a zero-emission electricity system"" (paired with 70x30 and 100x40). Timeline: explicit deadlines ""by 2030"" and ""by 2040"". Binding mechanism: ""The Climate Act requires that..."" indicates an enforceable statutory mandate rather than a voluntary program. Spatial specificity: applies to ""statewide electricity"" / ""State"" (New York). Weak language: although ""identifies actions needed"" appears, the core commitment is framed as a legal requirement, not 'encourage/aim/explore'. Strong language: ""requires"" plus hard numeric targets (70% by 2030; 100% by 2040). Therefore it meets the strict rule (auditable + both timeline and quantifiable target; no weak-only framing).",True
"Meet the Climate Act clean energy deployment requirements: install 6,000 MW distributed solar by 2025, procure/deploy 3,000 MW energy storage by 2030, and procure 9,000 MW offshore wind by 2035.","It also requires that the State install 6,000 megawatts (MW) of distributed solar by 2025, 3,000 MW of energy storage by 2030, and 9,000 MW of offshore wind by 2035.",individual,,Electricity,Electricity,Specific capacity targets with deadlines; clearly policy requirements under the Climate Act.,56,individual,individual,,"The verbatim text states explicit, enforceable requirements (“requires that the State install…”) with clear, measurable capacity targets (MW) and specific deadlines (by 2025/2030/2035). The policy is auditable (installed/procured MW can be tracked) and not merely aspirational.",Yes,Yes,Yes,Yes,No,Yes,VALID,0.92,"Quantifiable targets: the text specifies measurable outcomes in MW: ""install 6,000 megawatts (MW) of distributed solar"", ""3,000 MW of energy storage"", and ""9,000 MW of offshore wind"". Timeline: explicit deadlines are provided: ""by 2025"", ""by 2030"", and ""by 2035"". Binding mechanism: the text uses mandatory language indicating a legal requirement: ""It also requires that the State install..."". Spatial specificity: scope is clearly defined at the state level: ""the State"". Weak language: no terms like encourage/aim/explore appear; it is framed as a requirement. Strong language: mandatory verb ""requires"" and action verb ""install"" are paired with hard numbers and deadlines.",True
"DEC must draft and promulgate enforceable regulations by January 1, 2024 to ensure New York meets the statewide GHG emission limits (40% by 2030 and 85% by 2050 from 1990 levels).","DEC will have until January 1, 2024, to draft and promulgate enforceable regulations to ensure that the State meets the Climate Act's statewide GHG emission limits (i.e., 40% reduction in Statewide GHG emissions by 2030 and 85% reduction by 2050, both from 1990 levels) as outlined in the Scoping Plan.",individual,,1.5 Next Steps,Economy-wide,Time-bound regulatory mandate with explicit deadline and purpose.,57,individual,individual,,"The verbatim text describes a binding, enforceable requirement for DEC to issue (“draft and promulgate enforceable regulations”) by a specific date (January 1, 2024). It also includes quantified statewide emissions outcomes (40% by 2030 and 85% by 2050 from 1990 levels). The commitment is auditable (regulations issued by the deadline) and measurable (emissions limits with clear percentage targets and years), with strong mandatory language and no merely aspirational phrasing.",Yes,Yes,Yes,Yes,No,Yes,VALID,0.93,"Quantifiable target: Text specifies measurable outcomes: “40% reduction in Statewide GHG emissions by 2030 and 85% reduction by 2050, both from 1990 levels.” Timeline: Includes explicit deadlines/years: “until January 1, 2024” and targets “by 2030” and “by 2050.” Binding mechanism: States “draft and promulgate enforceable regulations,” indicating an enforceable regulatory mandate. Spatial specificity: Applies to a defined jurisdiction: “the State” / “Statewide GHG emissions” (New York State). Language strength: Uses strong verbs with enforceability and targets: “draft and promulgate enforceable regulations to ensure that the State meets… limits.” Weak language: No ‘encourage/aim/explore’ phrasing present; obligation is mandatory and time-bound. Therefore passes strict validity (auditable commitment + timeline + quantifiable targets; strong language and binding mechanism).",True
"PSC must issue a comprehensive review of the renewable energy program by July 1, 2024 and every two years thereafter, covering progress toward 70% renewable electricity by 2030 and 100% zero-emission electricity by 2040 and including program progress for 9 GW offshore wind (2035), 6 GW solar PV (2025), and 3 GW energy storage (2030).","By July 1, 2024, and every two years thereafter, the PSC will issue a comprehensive review of the renewable energy program, including progress in meeting the overall targets for 70% renewable electricity by 2030 and 100% zero-emission electricity by 2040. This review will also include a progress update on the programs the PSC has established to require procurement of 9 GW of offshore wind by 2035, 6 GW of solar PV by 2025, and 3 GW of energy storage by 2030.",individual,,1.5 Next Steps,Electricity,Clear procedural requirement with recurring schedule and defined scope.,58,individual,individual,,"The verbatim text contains an auditable requirement (“PSC will issue a comprehensive review”) with a clear deadline (“By July 1, 2024, and every two years thereafter”) and ties that review to explicit, measurable electricity targets (70% renewables by 2030; 100% zero-emission by 2040) plus specific procurement quantities with deadlines (9 GW offshore wind by 2035; 6 GW solar PV by 2025; 3 GW storage by 2030). This is actionable and measurable, and the language is mandatory (“will issue,” “require procurement”).",Yes,Yes,Yes,No,No,Yes,VALID,0.86,"Quantifiable target(s): Text includes measurable outcomes: ""70% renewable electricity by 2030"" and ""100% zero-emission electricity by 2040"" plus procurement quantities ""9 GW of offshore wind by 2035, 6 GW of solar PV by 2025, and 3 GW of energy storage by 2030."" Timeline: Explicit deadlines are provided: ""By July 1, 2024, and every two years thereafter"" and multiple target years (""by 2030"", ""by 2040"", ""by 2035"", ""by 2025""). Binding mechanism: Mandatory/authoritative language indicates an enforceable requirement on the agency: ""the PSC will issue a comprehensive review"" and programs ""established to require procurement"" of specified GW amounts. Spatial specificity: No explicit location/jurisdictional phrase (e.g., state/citywide) appears in the excerpt beyond the institution name PSC, so mark 'No' under strict reading. Language strength: Strong terms present—""will issue"" and ""require procurement""—paired with hard numbers and dates; no weak verbs like ""encourage"" or ""explore"" appear. Therefore it meets the strict rule (auditable commitment + timeline + quantifiable targets, with strong/binding language).",True
Implement an economywide cap-and-invest program to ensure Climate Act emission limits are met and to generate revenues for investments (including benefits for Disadvantaged Communities) while addressing leakage risk; offsets to have little or no role; include rebates/other mechanisms to mitigate impacts on low- and moderate-income households.,"The Scoping Plan recommends implementation of an economywide cap-and-invest program that would ensure the Climate Act's emission limits are met while providing support for clean technology market development.

Offsets would have little, if any, role in a cap-and-invest program designed to comply with the Climate Act.

In addition, the strategy recommends rebates or other mechanisms to mitigate the program's financial impacts on LMI households...",individual,,Economywide Cap-and-Invest Program,Economy-wide,"Named program recommendation with defined mechanism (cap-and-invest), design constraints (offsets limited), and specified equity/consumer provisions.",59,individual,individual,,"This is a recommendation to implement an economywide cap-and-invest program with design features (limited offsets; rebates for LMI households). However, the provided text does not include an explicit deadline/year or any quantifiable, measurable outcome target (it references meeting “the Climate Act’s emission limits” but does not restate numeric limits or a schedule). It also reads as a “recommends implementation” statement rather than an enacted binding requirement. Under the strict rule for individual policies, it fails the gold-standard criteria (timeline + quantifiable target), so it is NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text says the program would 'ensure the Climate Act's emission limits are met' but provides no numeric emissions limit, % reduction, cap level, or other measurable outcome in the excerpt. Timeline: No. There is no explicit deadline/year (e.g., 'by 2030') in the provided text. Binding mechanism: No. The text uses non-binding phrasing: 'The Scoping Plan recommends implementation...' and 'the strategy recommends rebates...' rather than 'shall/require/mandate' or an adopted regulation. Spatial specificity: Yes. It is explicitly 'economywide' ('implementation of an economywide cap-and-invest program'). Weak language: Yes, due to 'recommends' appearing multiple times. Strong language: No; although 'ensure' appears, it is not paired with hard numbers or an enforceable mandate in the excerpt. Therefore it fails the strict VALID rule (missing both timeline and quantifiable target) and is NON-SOUND.",False
"Adopt advanced State building codes requiring new buildings to be built to a zero-emission and highly efficient standard without fossil-fuel combustion equipment starting in 2025 for low-rise residential new construction and 2028 for commercial new construction, including incorporating strategies for building resilience.","Advanced State codes is a key strategy for requiring residential and commercial buildings to be built to a zeroemission and highly efficient standard (without equipment used for the combustion of fossil fuels) starting in 2025 for low-rise residential new construction and in 2028 for commercial new construction, and for incorporating strategies for building resilience.",individual,,Buildings — Adopt Zero-Emission Codes and Standards and Require Energy Benchmarking for Buildings,Buildings,"Concrete regulatory action with start dates and clear performance requirement (zero-emission, no fossil combustion equipment).",60,individual,individual,,"The statement describes an enforceable policy action (advanced State building codes) with explicit applicability (new low-rise residential and new commercial buildings), explicit start years (2025 and 2028), and a clear auditable requirement (zero-emission, highly efficient, and no fossil-fuel combustion equipment). While it lacks a numeric outcome (e.g., % reduction, number of buildings), building-code requirements are inherently measurable via compliance checks; however, under the strict rubric, “quantifiable target” requires an explicit measurable outcome in the text, which is not present.",No,Yes,Yes,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: No — the text sets a performance standard but does not state a numeric measurable outcome (e.g., % reduction, counts, MW), only that buildings be built to a 'zeroemission and highly efficient standard' and 'without equipment used for the combustion of fossil fuels'. Timeline: Yes — explicit start years are given: 'starting in 2025 for low-rise residential new construction' and 'in 2028 for commercial new construction'. Binding mechanism: Yes — it specifies 'Advanced State codes' as a strategy 'for requiring' buildings to meet the standard, indicating enforceable code requirements. Spatial specificity: No — it does not name a jurisdiction or bounded geography (it refers generally to 'State codes' but not which state/where). Weak language: No — uses directive wording 'key strategy for requiring'. Strong language: Yes — includes 'requiring' and a clear prohibition 'without equipment used for the combustion of fossil fuels' with defined effective years. Strict valid rule fails because has_quantifiable_target is No (gold standard requires both timeline and quantifiable target).",False
Adopt equipment standards requiring buildings to transition to modern technologies such as heat pumps when equipment is replaced to achieve needed emissions reductions in the buildings sector.,This Scoping Plan includes recommendations for the adoption of equipment standards that require buildings to transition to modern technologies such as heat pumps that achieve the needed emissions reductions in the sector when equipment is replaced.,individual,,Buildings — Adopt Zero-Emission Codes and Standards and Require Energy Benchmarking for Buildings,Buildings,Specific recommended standards tied to a trigger (equipment replacement) and a named technology (heat pumps).,61,individual,individual,,"The statement describes a recommendation to adopt equipment standards that would require a transition to heat pumps at the time of equipment replacement. However, the verbatim text does not provide any explicit numeric emissions-reduction target, adoption/coverage target, or a deadline/year by which the standards must be adopted or achieved. It is therefore not auditable against a measurable outcome and fails the “gold standard” requirement (timeline + quantifiable target). It also reads as a recommendation rather than confirming an enacted binding code/mandate.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text states ""achieve the needed emissions reductions"" but provides no measurable outcome (no %, tons CO2e, number of buildings, etc.). Timeline: No. There is no explicit deadline/year; ""when equipment is replaced"" is a trigger condition, not a date. Binding mechanism: No. It is framed as ""recommendations for the adoption"" rather than an enacted requirement/ordinance/code. Spatial specificity: No. No jurisdiction or area of applicability is stated beyond the general ""sector"". Weak language: Yes, due to ""includes recommendations for the adoption"". Strong language: No, because while it contains ""require buildings to transition,"" it lacks hard numbers and is not presented as an enacted mandate. STRICT VALID RULE fails because has_timeline='No' and has_quantifiable_target='No', so it is NON-SOUND.",False
Implement energy benchmarking with disclosure requirements and building performance standards to encourage efficient operation and capital investments in high-performance envelopes and efficient HVAC systems.,"In addition, energy benchmarking with disclosure requirements and building performance standards will encourage efficient operation of buildings and capital investments in high-performance building envelopes and efficient heating, ventilation, and air conditioning (HVAC) systems.",individual,,Buildings — Adopt Zero-Emission Codes and Standards and Require Energy Benchmarking for Buildings,Buildings,"Concrete policy instruments (benchmarking, disclosure, performance standards) with stated purpose.",62,individual,individual,,"The text describes policy instruments (energy benchmarking, disclosure requirements, and building performance standards), but it does not specify any measurable outcome (e.g., % energy reduction, number of buildings covered, performance threshold) or any deadline/year for implementation or compliance. It also uses non-binding, motivational framing (“will encourage”), and does not clearly establish an enforceable mandate in the excerpt. Under the strict rule for individual policies, lack of both a quantifiable target and a timeline makes it NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No — the excerpt mentions instruments but no measurable outcome/threshold (no %, kBtu/sf, number of buildings, etc.). Timeline: No — no deadline/year is stated. Binding mechanism: No — while it references 'disclosure requirements' and 'building performance standards', the excerpt does not state that they are mandated/required by law or code; it only says they 'will encourage'. Spatial specificity: No — no jurisdiction or area of application (e.g., citywide, certain districts) is specified. Weak language: Yes — 'will encourage' indicates aspirational intent without enforceable or numeric commitments. Strong language: No — no mandatory verbs paired with hard numbers appear. Therefore, it fails the gold standard (no timeline + no quantifiable target) and is NON-SOUND.",False
"Scale up public funding and low-cost financing for building decarbonization, including strategic funding to accelerate market adoption of weatherization, electrification, energy efficiency and resiliency upgrades, expanded dedicated support for low- and moderate-income households/affordable and public housing/Disadvantaged Communities, and support for thermal energy networks and workforce transition.","Public funding should be scaled up and used strategically to accelerate wide market adoption of weatherization, electrification, and additional energy efficiency and resiliency upgrades; to expand dedicated financial support for LMI households, affordable and public housing, and Disadvantaged Communities... and to promote thermal energy networks with support for transitioning the existing workforce and workforce development.",individual,,Buildings — Scale Up Public Financial Incentives and Expand Access to Public and Private Low-Cost Financing for Building Decarbonization,Buildings,Explicit recommendation to scale funding/financing with defined beneficiary groups and covered measures.,63,individual,individual,,"The statement is a broad recommendation to “scale up” funding and use it “strategically” to accelerate adoption of multiple building upgrades and to “promote” thermal energy networks. However, it provides no deadline/year, no measurable outcome (e.g., number of homes weatherized, % electrification, emissions reduction), and no binding mechanism (mandate/requirement). While it names beneficiary groups (LMI households, Disadvantaged Communities), it remains non-auditable and largely aspirational.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text includes no measurable outcome; it states funding should be ""scaled up"" and used to ""accelerate wide market adoption"" but gives no numbers (e.g., units, %, MtCO2e). Timeline: No. There is no explicit deadline or year; phrases like ""should be scaled up"" are not time-bound. Binding mechanism: No. The language is advisory (""should"") and promotional (""promote""), with no ordinance/mandate/requirement. Spatial specificity: Yes. It specifies beneficiary/priority geographies/communities: ""LMI households, affordable and public housing, and Disadvantaged Communities."" Weak language: Yes, evidenced by ""should be scaled up,"" ""used strategically,"" ""accelerate"" and ""promote"" without hard targets. Strong language: No; there are no enforceable verbs paired with hard numbers. Under the strict rule for individual policies, lacking both timeline and quantifiable target makes it NON-SOUND.",False
