policy_id,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path
000,parent,,standalone parent policy,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Adaptation,,,policy_traces/000_Dakar_will_improve_the_living_environment_and_public_hygiene.json
001,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,"Dakar will strengthen networks for observing, measuring and collecting climate, coastal and urban pollution data.",Adaptation,Resource Efficiency,A-2,policy_traces/001_Dakar_will_strengthen_networks_for_observing_measuring_and_c.json
002,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will reduce the number of people vulnerable to the effects of climate change through awareness-raising and communication.,Adaptation,Mitigation,A-3,policy_traces/002_Dakar_will_reduce_the_number_of_people_vulnerable_to_the_eff.json
003,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will reduce the vulnerability of populations to heatwaves.,Adaptation,Resource Efficiency,A-2,policy_traces/003_Dakar_will_reduce_the_vulnerability_of_populations_to_heatwa.json
004,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will increase initiatives to protect populations against risks and disasters linked to extreme events and climate change.,Adaptation,Mitigation,A-3,policy_traces/004_Dakar_will_increase_initiatives_to_protect_populations_again.json
005,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will reduce air pollutants by 2030 to improve air quality and lower the rate of respiratory disease.,Mitigation,,,policy_traces/005_Dakar_will_reduce_air_pollutants_by_2030_to_improve_air_qual.json
006,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will increase urban green spaces by 150 hectares by 2030.,Adaptation,,,policy_traces/006_Dakar_will_increase_urban_green_spaces_by_150_hectares_by_20.json
007,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will increase areas of ecological urban agriculture and access to better quality agricultural products by 2030 to strengthen food security.,Adaptation,Resource Efficiency,A-2,policy_traces/007_Dakar_will_increase_areas_of_ecological_urban_agriculture_an.json
008,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,standalone parent policy,Dakar will increase the proportion of infrastructure adapted and resilient to climate risks.,Adaptation,Resource Efficiency,A-2,policy_traces/008_Dakar_will_increase_the_proportion_of_infrastructure_adapted.json
009,individual,,,Dakar has set a target to reduce GHG emissions by 54% by 2050.,Mitigation,Resource Efficiency,M-1,policy_traces/009_Dakar_has_set_a_target_to_reduce_GHG_emissions_by_54_by_2050.json
010,individual,,,Dakar has set a target to reduce the energy bill in its built heritage by 75% by 2050.,Mitigation,Resource Efficiency,M-1,policy_traces/010_Dakar_has_set_a_target_to_reduce_the_energy_bill_in_its_buil.json
011,individual,,,Dakar aims to increase the share of LEDs to 75% of total street lighting lamps by 2050.,Resource Efficiency,Mitigation,RE-1,policy_traces/011_Dakar_aims_to_increase_the_share_of_LEDs_to_75_of_total_stre.json
012,individual,,,Dakar aims to increase the modal share of BRT to 20% and TER to 15% by 2050.,Mitigation,Adaptation,M-2,policy_traces/012_Dakar_aims_to_increase_the_modal_share_of_BRT_to_20_and_TER_.json
013,individual,,,Dakar aims to increase the share of new households in transit-oriented development to 25% by 2050.,Mitigation,Adaptation,M-2,policy_traces/013_Dakar_aims_to_increase_the_share_of_new_households_in_transi.json
014,individual,,,Dakar aims for 50% of organic waste and 30% of garden waste to be composted by 2050.,Mitigation,Nature-Based Solutions,M-3,policy_traces/014_Dakar_aims_for_50_of_organic_waste_and_30_of_garden_waste_to.json
015,individual,,,Dakar aims for 32% of wastewater treatment to be done through activated sludge treatment by 2050.,Adaptation,Resource Efficiency,A-2,policy_traces/015_Dakar_aims_for_32_of_wastewater_treatment_to_be_done_through.json
