policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Liberia::2adcfaa3c4df0ba5de490079,Liberia::2adcfaa3c4df0ba5de490079,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",Agriculture adaptation strategy: strengthen Ministry of Agriculture capacity; improve integrated pest/disease/weed management and resistant varieties; assess crop vulnerability/suitability by agro-ecological zones; and enhance climate-proof agro-infrastructure to raise farmer productivity.,Adaptation,,policy_traces/001_Agriculture_adaptation_strategy_strengthen_Ministry_of_Agric.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
002,Liberia::c1845432c4913b7677f3d95f,Liberia::c1845432c4913b7677f3d95f,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Agriculture adaptation strategy: support communities via indigenous knowledge dissemination, insurance schemes, early warning/early action systems, vaccination campaigns and disease control to cope with climate variability.",Adaptation,,policy_traces/002_Agriculture_adaptation_strategy_support_communities_via_indi.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
003,Liberia::2ae7e07deb1344906064b014,Liberia::2ae7e07deb1344906064b014,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Agriculture adaptation strategy: develop and introduce integrated soil fertility management, water harvesting, and conservation techniques to improve soil fertility and cope with aridity, waterlogging and floods.",Adaptation,A-1,policy_traces/003_Agriculture_adaptation_strategy_develop_and_introduce_integr.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
004,Liberia::e3602753d6165b26b9168035,Liberia::e3602753d6165b26b9168035,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Agriculture adaptation strategy: strengthen CARI capacity for climate-smart agriculture, including establishing seed banks and improving soil management, crop diversification, and livestock breeds; and develop climate-resilient crops including drought-resistant and flood-tolerant varieties and gene banks.",Adaptation,,policy_traces/004_Agriculture_adaptation_strategy_strengthen_CARI_capacity_for.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
005,Liberia::a09ef28bbea98efa0cde4a30,Liberia::a09ef28bbea98efa0cde4a30,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",Coastal adaptation strategy: develop and implement coastal zone policy/design/management plan; develop an integrated coastal management plan and early warning system with training; promote disaster risk management and preparedness; rehabilitate and protect wetlands and mangroves; and climate-proof new coastal infrastructure investments.,Adaptation,,policy_traces/005_Coastal_adaptation_strategy_develop_and_implement_coastal_zo.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
006,Liberia::2e3a0999eadf17ba9e255d64,Liberia::2e3a0999eadf17ba9e255d64,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Coastal adaptation strategy: design and implement a strategic communication action plan to inform and educate the public on climate change-related coastal changes, challenges, and adaptation options.",Adaptation,,policy_traces/006_Coastal_adaptation_strategy_design_and_implement_a_strategic.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
007,Liberia::008f4a041791762abd356078,Liberia::008f4a041791762abd356078,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Energy adaptation strategy: establish and promote a national solar energy program and other energy-efficient lighting technologies, including provision of energy-efficient technologies for schools, public institutions, and households.",Mitigation,,policy_traces/007_Energy_adaptation_strategy_establish_and_promote_a_national_.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
008,Liberia::7b945347f9c18640bcc8bf45,Liberia::7b945347f9c18640bcc8bf45,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Energy adaptation strategy: promote energy plantations to reduce pressure on natural forests, regulate sustainable biomass energy use, support community-based off-grid/mini-grids, conserve/protect water catchments for hydropower and municipal supply, and prevent sedimentation affecting hydropower generation.",Adaptation,,policy_traces/008_Energy_adaptation_strategy_promote_energy_plantations_to_red.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
009,Liberia::ca8173fd0bc061efcce81be2,Liberia::ca8173fd0bc061efcce81be2,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).","Fisheries adaptation strategy: strengthen capacity of fisheries authorities for research/monitoring/enforcement; support artisanal fishing communities with training, gear and alternative livelihoods; establish monitoring/reporting/verification and adaptive management; support research on climate pressures; identify/map/protect valuable fisheries areas including marine protected areas; reduce external stressors via regulatory measures; integrate fisheries into national adaptation and food security policies; establish early warning and information/communication networks; and regulate fishing to prevent overexploitation.",Adaptation,,policy_traces/009_Fisheries_adaptation_strategy_strengthen_capacity_of_fisheri.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
010,Liberia::d442a8d2f66f65c3961fa54b,Liberia::d442a8d2f66f65c3961fa54b,sub,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",Forestry adaptation strategy: strengthen FDA capacity and logistics; implement sustainable/alternative livelihoods for forest-dependent communities; promote community forest activities beyond timber extraction; establish comprehensive forest (including NTFPs) monitoring; implement reforestation/afforestation in degraded areas; map and manage forest water catchments; consolidate protected area networks with landscape connectivity; strengthen coordination with other agencies; enforce anti-poaching regulations and a wildlife code of ethics; and implement communication strategies to raise awareness on climate impacts and adaptation.,Nature-Based Solutions,,policy_traces/010_Forestry_adaptation_strategy_strengthen_FDA_capacity_and_log.json,trace_initiative_policies_valid.csv,parent_statement,"Liberia will implement proposed adaptation strategies through sectoral strategies under the NAP Process for priority sectors (agriculture, coastal zones, forestry, energy, waste management, fisheries) and cross-cutting sectors (water resources, biodiversity).",,,False,False,,,,,,
