policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Bahrain::8c4d6cdae49b44920c27c3a3,Bahrain::8c4d6cdae49b44920c27c3a3,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,"Integrate energy efficiency objectives into building codes/regulations for design, construction, and maintenance of structures (NEEAP initiative).",Mitigation,,,policy_traces/001_Integrate_energy_efficiency_objectives_into_building_codesre.json,,,False,False,,,keep,0.9,True,,,False
002,Bahrain::959236053c2c9e6d1a115c8e,Bahrain::959236053c2c9e6d1a115c8e,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,"Introduce demand-side minimum efficiency standards for lighting, appliances, motor vehicles, and street lighting (NEEAP initiative).",Resource Efficiency,,,policy_traces/002_Introduce_demand_side_minimum_efficiency_standards_for_light.json,,,False,False,,,,,,,,
003,Bahrain::6ea1e11695b0100d518e1d66,Bahrain::6ea1e11695b0100d518e1d66,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,Improve supply-side efficiency in electricity generation including transmission and distribution efficiency enhancements and installation of smart meters (NEEAP initiative).,Mitigation,,,policy_traces/003_Improve_supply_side_efficiency_in_electricity_generation_inc.json,,,False,False,,,,,,,,
004,Bahrain::7d09f3bd9b9aab84067ecd83,Bahrain::7d09f3bd9b9aab84067ecd83,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,Introduce district cooling using highly efficient industrial-grade equipment and insulated underground piping networks (NEEAP initiative).,Resource Efficiency,,,policy_traces/004_Introduce_district_cooling_using_highly_efficient_industrial.json,,,False,False,,,,,,,,
005,Bahrain::db99d7ffc715e23dc8c81457,Bahrain::db99d7ffc715e23dc8c81457,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,Retrofit government buildings and pursue other green building initiatives (NEEAP initiative).,Mitigation,,,policy_traces/005_Retrofit_government_buildings_and_pursue_other_green_buildin.json,,,False,False,,,keep,0.86,True,,,False
006,Bahrain::dfec18a2443035605ddb2172,Bahrain::dfec18a2443035605ddb2172,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,Reform power subsidies and transport-related subsidies to offset perverse incentives for wasteful consumption (NEEAP initiative).,Mitigation,,,policy_traces/006_Reform_power_subsidies_and_transport_related_subsidies_to_of.json,,,False,False,,,,,,,,
007,Bahrain::7f6818c0623b3db3dc234ac6,Bahrain::7f6818c0623b3db3dc234ac6,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,"Bahrain is gradually strengthening electricity tariffs as part of electricity subsidy reform, increasing residential tariffs for the first 3,000 kWh/month from US$0.008/kWh to US$0.08/kWh by 2019 and increasing industrial tariffs above 5,000 kWh/month from US$0.04/kWh to US$0.08/kWh by 2019.",Mitigation,,,policy_traces/007_Bahrain_is_gradually_strengthening_electricity_tariffs_as_pa.json,,,False,False,,,keep,0.86,True,,,False
008,Bahrain::9c39636151c29f58e63f81a8,Bahrain::9c39636151c29f58e63f81a8,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,Bahrain is reforming transport fuel subsidies by increasing retail gasoline prices (regular 91 octane from US$0.21 to US$0.30 and premium 95 octane from US$0.26 to US$0.42) to target a 4% reduction in annual fuel use in the light-duty vehicle fleet.,Mitigation,,,policy_traces/008_Bahrain_is_reforming_transport_fuel_subsidies_by_increasing_.json,,,False,False,,,keep,0.93,True,,,False
009,Bahrain::4e5c7fa94fa55c23febb62c7,Bahrain::4e5c7fa94fa55c23febb62c7,sub,Implement the National Energy Efficiency Action Plan (NEEAP) launched in 2017 with 22 initiatives across sectors to reduce energy use by 6% by 2025 relative to average energy use over 2009-2013.,standalone parent policy,Bahrain implemented fuel economy labels for light-duty vehicles on all new vehicles of model year 2018 to increase consumer awareness as part of vehicle efficiency standards and labeling.,Mitigation,,,policy_traces/009_Bahrain_implemented_fuel_economy_labels_for_light_duty_vehic.json,,,False,False,,,,,,,,
011,Bahrain::b39510d941564ad151a17637,Bahrain::b39510d941564ad151a17637,sub,"Implement the National Renewable Energy Action Plan (NREAP) with targets of 5% renewable energy (255 MW installed capacity) by 2025 and 10% (710 MW) by 2035, using solar, wind, and waste-to-energy with public and private investment.",standalone parent policy,"Adopt net metering to enable consumers to generate on-site, grid-connected renewable energy (e.g., rooftop solar panels).",Mitigation,,,policy_traces/011_Adopt_net_metering_to_enable_consumers_to_generate_on_site_g.json,,,False,False,,,,,,,,
012,Bahrain::4cbfd00097f5f0c7dcd94e14,Bahrain::4cbfd00097f5f0c7dcd94e14,sub,"Implement the National Renewable Energy Action Plan (NREAP) with targets of 5% renewable energy (255 MW installed capacity) by 2025 and 10% (710 MW) by 2035, using solar, wind, and waste-to-energy with public and private investment.",standalone parent policy,Use feed-in tariffs via a tender-based mechanism with long-term power purchase agreements to support renewable energy.,Mitigation,,,policy_traces/012_Use_feed_in_tariffs_via_a_tender_based_mechanism_with_long_t.json,,,False,False,,,,,,,,
013,Bahrain::6b14d99f28c035788e2ddfcf,Bahrain::6b14d99f28c035788e2ddfcf,sub,"Implement the National Renewable Energy Action Plan (NREAP) with targets of 5% renewable energy (255 MW installed capacity) by 2025 and 10% (710 MW) by 2035, using solar, wind, and waste-to-energy with public and private investment.",standalone parent policy,Apply renewable energy mandates for new buildings (NREAP policy instrument).,Mitigation,,,policy_traces/013_Apply_renewable_energy_mandates_for_new_buildings_NREAP_poli.json,,,False,False,,,,,,,,
015,Bahrain::4cb3a36e755c4c0199ef16c8,Bahrain::4cb3a36e755c4c0199ef16c8,sub,Bahrain considered two strategic adaptation interventions for the municipal water sector to stabilize future water supply-demand equilibrium under climate change (per-capita demand reduction and leakage reduction).,structural header,"Reduce per capita municipal water demand by 33% from 183 to 122 m3/person/year by 2035, with a policy start year of 2016, using demand-side management policies (awareness, strengthened block tariffs, and new legislation).",Resource Efficiency,,,policy_traces/015_Reduce_per_capita_municipal_water_demand_by_33_from_183_to_1.json,,,False,False,,,,,,,,
016,Bahrain::ace65c91527a865ffc9e0155,Bahrain::ace65c91527a865ffc9e0155,sub,Bahrain considered two strategic adaptation interventions for the municipal water sector to stabilize future water supply-demand equilibrium under climate change (per-capita demand reduction and leakage reduction).,structural header,Implement awareness raising campaigns and government incentives to promote municipal water efficiency and conservation.,Resource Efficiency,,,policy_traces/016_Implement_awareness_raising_campaigns_and_government_incenti.json,,,False,False,,,,,,,,
