initiative_name,parent_statement,sector,num_sub_actions,coverage_score,coverage_assessment,coherence_score,coherence_assessment,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,weak_signals,strong_signals,initiative_result,confidence_score,initiative_reasoning,final_verdict,parent_row_type,parent_row_type_reasoning,sub_assessments,subs_strong,subs_moderate,subs_weak
URBAN FORESTRY,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,Adaptation,2,0.7,The two sub-actions align with the parent goal of reducing heat hazards through green infrastructure: one addresses enabling policy (LVMC/zoning amendments) and one addresses on-the-ground delivery (tree planting/canopy increase). A key gap is the absence of any stated timeline for when code changes and the canopy/tree targets must be achieved.,0.85,"The sub-actions are complementary and logically sequenced: amend code/zoning to support trees, then plant trees to increase canopy. No contradictions are present, but the plan would be stronger with aligned deadlines and interim milestones.",No,Yes,No,No,"no deadlines/years stated, 'steps must be taken' generic framing","explicit numeric targets (≥100,000 trees, canopy to 20%), concrete policy lever (LVMC and zoning amendments)",PARTIAL,0.62,"This initiative aims to reduce urban heat hazards by expanding green infrastructure/urban forestry. Sub-action strength count: 0 strong, 2 moderate, 0 weak—both are concrete, and one includes measurable outcomes (100,000 trees; canopy to 20%), but neither includes a timeline. The parent text provides motivation (urban heat island) but does not establish a binding mechanism (e.g., ordinance adoption requirement) or a defined spatial scope (e.g., citywide), so sub-actions cannot inherit those missing elements. Coverage is fairly good because it pairs enabling regulation with implementation, but it lacks timing and accountability details, which lowers aggregate measurability. Applying the initiative soundness rule: it fails SOUND because aggregate_measurability is 'No' and there is no 'strong' sub-action; it meets PARTIAL because coverage is >=0.4 and there is measurable content in the cluster (numeric tree/canopy target).",True,standalone parent policy,,"[{'action_label': 'Action 1: LVMC and zoning amendments for trees', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Plant ≥100,000 trees and increase canopy to 20%', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,2,0
PARKS AND CONNECTIVITY,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Adaptation,3,0.8,"The sub-actions collectively support the parent goal of improving quality of life through park planning and access targets: they include a system-wide plan (Parks System Plan/CAPRA) and two access/level-of-service outcome targets (acres per 1,000 residents and percent of units within walking distance). A key gap is the lack of any stated timeline or interim milestones for achieving these targets, which limits trackability over time.",0.85,"The actions are complementary and logically aligned: planning/certification can guide where to add acreage, while the acreage and walk-access targets provide measurable endpoints. There are no internal contradictions, but the plan does not specify sequencing, responsible departments, or timelines to connect planning to delivery.",Yes,Yes,No,No,"No explicit deadlines/years, no stated binding mechanism (ordinance/mandate), vague term 'short walk' not defined in distance/time","Numeric targets (7 acres per 1,000 residents; 85% of dwelling units within a short walk), concrete deliverables (Parks System Plan, CAPRA certification)",PARTIAL,0.62,"This initiative aims to improve park system quality and resident access by committing to (1) a Parks System Plan and CAPRA certification, (2) a level-of-service target for park acreage (7 acres per 1,000 residents) focused on areas of need, and (3) an access/proximity target (85% of dwelling units within a short walk of a park or trail). Across the three sub-actions, 0 are strong, 3 are moderate, and 0 are weak: two have clear numeric outcomes, while the planning/certification action is a concrete enabling step but not quantified. The parent provides a clear actor (“the City will”) but does not provide a binding mechanism or geographic scope statement that would strengthen enforceability or clarify applicability. Coverage is high because the sub-actions match the parent’s planning-and-access framing, but timelines and definitions (e.g., what counts as a “short walk”) are missing, which reduces practical measurability and accountability. Coherence is strong because the plan/certification can guide investments to meet the acreage and proximity targets, with no contradictions. Applying the soundness rule: coverage_score (0.8) and coherence_score (0.85) pass, and aggregate_measurability is Yes, but the initiative lacks any strong sub-action (no timelines anywhere), so it is rated PARTIAL. With all subs at least moderate and clear numeric targets present, confidence is set above the 0.55 threshold.",True,standalone parent policy,The parent text states a substantive commitment (“the City will” followed by specific commitments) rather than merely naming a section/pillar.,"[{'action_label': 'Action 1: Develop a Parks System Plan and achieve CAPRA certification', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Ensure 85% of dwelling units are within a short walk of a park or trail', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,3,0
FOOD AND URBAN AGRICULTURE,Food and Urban Agriculture: take actions to improve healthy food access and allow small agricultural uses.,Agriculture,2,0.6,"The two sub-actions directly mirror the parent’s stated aims (healthy food access and small agricultural uses/community gardens), so topical coverage is good. However, the cluster does not specify the key levers (e.g., zoning/code changes, incentives, procurement, siting, or program delivery details) needed to fully realize the parent goal.",0.7,"The sub-actions are complementary: one focuses on access outcomes (food deserts/swamps) and the other on enabling local production/community gardens. There is no internal contradiction, but both items are stated at the same aspirational level without sequencing or defined instruments.",No,No,No,No,"No numeric targets, no deadlines/years, outcome-only statements (“No food deserts”, “reduce food swamps”, “provide accessibility”, “increase allowable”), no stated mechanism (zoning/code/program) or scope",None,WEAK,0.6,"This initiative aims to improve healthy food access (eliminate food deserts/reduce food swamps) and to expand community gardens/small agricultural uses. Both sub-actions are weak (0 strong, 0 moderate, 2 weak) because they lack quantifiable metrics (e.g., number of outlets, distance thresholds, acreage, households served), lack timelines, and do not specify concrete deliverables or policy instruments. The parent provides intent (“the City must ensure”) but does not add binding mechanism (ordinance/code change) or spatial scope (citywide/neighborhood targets) that could strengthen the subs via inheritance. Coverage is moderate-to-good (0.6) because the subs match the parent bullet points, while coherence is fairly high (0.7) since the actions align and are non-contradictory; the major gap is operationalization. Applying the initiative soundness rule: it fails SOUND because aggregate_measurability is 'No' and there are no strong/moderate sub-actions; it also fails PARTIAL because there is no measurable target or deadline anywhere in the cluster. Therefore the initiative is WEAK and does not meet the threshold to keep as an actionable plan.",False,standalone parent policy,"The parent text uses commitment language (“the City must ensure”) and states intended outcomes, functioning as the initiative’s substantive policy intent rather than a mere organizational label.","[{'action_label': 'Action 1: Eliminate food deserts and reduce food swamps by increasing healthy food access.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Provide accessibility to community gardens and increase allowable small agricultural uses.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,2
ENVIRONMENTAL JUSTICE,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Cross-sector,4,0.55,"The sub-actions generally align with the parent goal of reducing exposure and risk for overburdened communities (air quality, brownfields, stormwater pollution, and inclusive engagement). However, they do not explicitly target or operationalize prioritization for low-income/minority communities (e.g., no criteria for project siting, mitigation requirements, or monitoring focused on those communities).",0.7,"The sub-actions are thematically consistent: they address multiple environmental risk pathways (air, land contamination, water pollution) plus procedural justice (engagement). There is no clear sequencing (e.g., assess → set priorities → implement → monitor), but there are no contradictions.",No,No,No,Yes,"No deadlines/years, mostly broad verbs ('improve', 'engage'), no explicit equity metrics or prioritization criteria, no stated enforcement mechanism","AQI threshold of 100 or better, citywide scope ('within the City')",PARTIAL,0.6,"This initiative aims to reduce environmental exposure and risk for low-income and minority communities, especially tied to transportation and infrastructure projects. Sub-action strength mix: 0 strong, 2 moderate (AQI ≤100; eliminate brownfields via redevelopment), and 2 weak (improve stormwater efforts; engage residents) because most items lack timelines and measurable deliverables. The parent provides a clear thematic focus (environmental justice) and implies a city responsibility (“The City must”), and it establishes city relevance, but it does not specify an enforceable mechanism (ordinance/regulation) or a monitoring/implementation framework that would make the sub-actions binding. Coverage is partial (0.55) because the actions address relevant exposure pathways but do not specify how prioritization for overburdened communities will be executed or measured. Coherence is fairly high (0.7) because the actions are complementary (air/land/water/procedural justice) with no conflicts, though not clearly sequenced. Applying the initiative soundness rule: it is not SOUND because aggregate_measurability is No and there is no strong sub-action; it qualifies as PARTIAL because coverage is >=0.4 and at least one measurable element exists in the cluster (AQI 100 or better). Verdict is kept (final_verdict True) because result is PARTIAL and confidence is 0.60 (>=0.55).",True,standalone parent policy,"The parent text states a substantive commitment and directive (“Reducing exposure and risk… must be prioritized… The City must:”), rather than merely labeling a section; it frames the goal that the listed sub-actions are meant to implement.","[{'action_label': 'Action 1: Ensure an air quality index of 100 or better.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Eliminate brownfields within the City through redevelopment.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Improve stormwater pollution prevention efforts.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 4: Engage residents of all races, ethnicities, abilities, and means in the planning and transportation decision-making process.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,2,2
EQUITABLE EDUCATION,"Equitable Education: implement actions to improve K-12 outcomes, early education coordination, and teacher attraction/education.",Cross-sector,3,0.45,"The sub-actions broadly align with the parent goal (K-12 outcomes, early education coordination, and teacher attraction/education). However, they do not specify what interventions will be delivered (e.g., specific programs, funding mechanisms, service expansions), so coverage of ""implement actions"" is only conceptual rather than operational.",0.7,"The three sub-actions are complementary (student outcomes, early education pipeline, and teacher workforce). There are no internal contradictions, but the items are essentially slogans and do not establish sequencing or linkages (e.g., how early education coordination leads to measurable K-12 improvements).",No,No,No,No,"ensure, enhance, support coordinated efforts, attract or educate, no metrics, no deadlines, no defined deliverables",None,WEAK,0.6,"1) The initiative aims to improve equitable educational outcomes by focusing on K-12 results, early education program enhancement/coordination with the school district, and teacher attraction/education. 2) Sub-action strength count: 0 strong, 0 moderate, 3 weak (all are non-quantified, non-timed, and not stated as concrete deliverables). 3) The parent does not provide binding authority (no ordinance/mandate/code change) or spatial/institutional scope (beyond general reference to the City), so there is little inherited context to strengthen the sub-actions. 4) Coverage is partial conceptually (it touches the right themes) but operational gaps are large because no specific actions, responsible parties, or mechanisms are described; hence coverage_score 0.45. Coherence is relatively high (0.7) because the topics fit together without conflict. 5) Applying the soundness rule: aggregate_measurability is 'No' and there are no strong/moderate sub-actions, so the initiative cannot be SOUND or PARTIAL; it is WEAK.",False,standalone parent policy,"The parent text asserts a substantive commitment framing (""The City recognizes... and is building upon the successes..."") and then lists intended actions, rather than serving as a mere section label. However, it still lacks operational details.","[{'action_label': 'Action 1: Ensure equitable improvement of overall educational outcomes for K-12.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Enhance early education programs and support coordinated efforts with Clark County School District.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Attract or educate new teachers.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,3
ECONOMIC & WORKFORCE DEVELOPMENT,"Economic & Workforce Development: implement actions aligned with the regional Comprehensive Economic Development Strategy to diversify the economy, including target industry promotion, partnerships, and new workforce institutions.",Cross-sector,3,0.5,"The sub-actions broadly support economic diversification and workforce development, including in clean energy, but they do not specify climate outcomes (e.g., clean-energy job growth, training throughput, emissions-related objectives). As a result, they only partially operationalize the parent intent and provide limited trackable linkage to climate goals.",0.85,"The sub-actions are complementary and logically sequenced: industry promotion is paired with education/training partnerships, and the request for a new NSHE institution reinforces longer-term workforce capacity. There are no internal contradictions, but the cluster remains high-level and non-operational due to missing targets and timelines.",No,Yes,No,No,"promoting and attracting, developing partnerships, request development, no numeric outcomes, no deadlines/years",None,WEAK,0.6,"1) The initiative aims to align economic/urban development with the regional Comprehensive Economic Development Strategy to diversify the economy, including clean energy, via promotion, higher-education partnerships, and a new workforce-focused institution. 2) Strength mix: 0 strong, 0 moderate, 3 weak—each sub-action is stated as an intention (promote/develop/request) without measurable outputs or deadlines. 3) The parent text does not provide an enforceable mechanism (no ordinance/mandate) and does not set a clear spatial/institutional scope that would strengthen the subs; it mainly provides strategic alignment language. 4) Coverage is partial (0.5) because the actions relate to the parent’s diversification/workforce theme but do not define deliverables that would demonstrate progress, especially for the clean-energy component; coherence is high (0.85) because the pieces fit together logically. 5) Applying the initiative soundness rule: it fails SOUND because aggregate_measurability is 'No' and there are no strong/moderate sub-actions; it also fails PARTIAL because there is no measurable target or deadline anywhere in the cluster. Therefore the initiative result is WEAK and final_verdict is False.",False,standalone parent policy,,"[{'action_label': 'Action 1: Promote and attract occupations in target industries (including clean energy)', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Develop partnerships with UNLV/CSN, expand campuses, develop workforce training', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Request development of a new 2–4 year NSHE institution tailored to workforce development', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,3
HOUSING,"Housing: improve the diversity of housing types with TOD, infill, and diverse housing options by removing zoning barriers, incentivizing and integrating affordable housing, and providing financial tools for housing stakeholders.",Buildings,3,0.55,"The sub-actions collectively align with the parent’s stated approach (zoning barrier removal, affordability, and financial tools) and therefore broadly cover the conceptual goal of improving housing diversity via TOD and infill. However, the parent also references “identified for each area of the city,” but no area-specific actions, scope definition, or implementation details are provided.",0.75,"The three sub-actions are complementary and non-contradictory: regulatory reform (zoning), affordability expansion, and financing/tools are common pillars of housing delivery. The main issue is that they are all framed at the same abstract level, without sequencing, deliverables, or responsible parties.",No,No,No,No,"no numeric targets, no deadlines/years, process/aspirational phrasing (remove barriers, increase options, provide tools), no responsible actor beyond generic 'the City'",None,WEAK,0.6,"This initiative aims to increase housing type diversity and support TOD/infill by (1) removing zoning barriers and integrating affordable housing, (2) expanding affordability options and removing affordability barriers, and (3) providing financial tools for stakeholders. Across the three sub-actions, 0 are strong, 0 are moderate, and 3 are weak because none include measurable outcomes or timelines, and they are stated as broad intentions rather than specific interventions. The parent provides neither a binding mechanism (e.g., ordinance/code amendments) nor a defined spatial scope (e.g., citywide applicability with mapped areas), so weaker subs are not lifted by inherited context. Coverage is partial-to-moderate because the subs match the parent’s themes, but the lack of operational detail leaves major gaps in how TOD/infill and “each area of the city” would be implemented. Coherence is relatively high because the pillars are logically compatible, but the cluster fails the soundness rule due to no aggregate measurability and no strong/moderate sub-actions; therefore the initiative result is WEAK and the final verdict is False.",False,standalone parent policy,"The parent text states a substantive policy intent (“the City must improve the diversity of housing types with TOD, infill…”) rather than merely labeling a section, even though it lacks operational detail.","[{'action_label': 'Action 1: Remove zoning barriers and incentivize and integrate affordable housing.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Increase affordable housing options and remove barriers to affordability.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Provide financial tools and strategies for developers, homeowners, and investors.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,3
HOMELESSNESS,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",Cross-sector,3,0.55,"The sub-actions generally align with the parent goal (intervention via Courtyard/MORE, a Housing First approach, and poverty reduction as an upstream driver). However, they do not spell out key elements implied by the parent (specific prevention/diversion measures, regional stakeholder roles, shelter/housing supply actions, or quantified intermediate milestones) that would be needed to credibly deliver a 50% reduction and functional zero by 2050.",0.7,"The sub-actions are complementary and non-contradictory: outreach/intervention services and Housing First can work together, and poverty reduction supports prevention upstream. The main coherence weakness is the lack of sequencing/roles (e.g., what the regional coordination entails) and absence of interim milestones connecting actions to the 50% reduction target.",Yes,Yes,No,No,"continue and enhance (no specifics), employ an approach (no targets), reduce poverty (no defined interventions), no interim milestones, no assigned responsibilities, no spatial scope stated","50% reduction in total unsheltered homeless population, functional zero homelessness in 2050",PARTIAL,0.6,"1) The initiative aims to coordinate prevention/diversion with regional stakeholders to reduce unsheltered homelessness by 50% and reach functional zero by 2050. 2) Sub-action strengths: 0 strong, 2 moderate (concrete but unquantified actions), 1 weak (aspirational upstream outcome with no mechanism). 3) The parent supplies a measurable outcome (50%) and a timeline endpoint (2050) but does not provide a binding mechanism or clear spatial/institutional scope that would strengthen accountability for the sub-actions. 4) Coverage is partial (0.55) because the subs point in the right direction but omit key delivery components (defined prevention/diversion programs, housing supply/placement capacity, regional partner commitments, and interim targets). Coherence is fairly good (0.7) because the actions are mutually reinforcing and not redundant, but they lack sequencing and operational detail. 5) Applying the initiative soundness rule: it is not SOUND (no sub-action is strong). It qualifies as PARTIAL because coverage_score >= 0.4, at least one sub-action is moderate, and the cluster contains at least one measurable target/timeline (50% reduction; 2050 functional zero) in the parent text.",True,standalone parent policy,"The parent text makes a substantive commitment with explicit outcomes (reduce unsheltered homelessness by 50% and reach functional zero in 2050), rather than merely serving as an organizational header.","[{'action_label': 'Action 1: Continue intervention role with City’s Courtyard and MORE team', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Employ a ‘Housing First’ approach', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Reduce the number of individuals in poverty', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,2,1
COMPLETE STREETS,Complete Streets: recommend a new layered Complete Street network to improve the City’s overall modal split and jobs-housing balance and coordinate/completion of major transportation projects with state and regional partners.,Transport,4,0.5,"The sub-actions align with the parent’s “coordination and completion of major projects” component by listing the specific projects to be coordinated/completed. However, they do not describe Complete Streets design elements or specify how these projects will improve modal split or jobs–housing balance, leaving a major gap versus the parent’s stated outcomes.",0.7,"The sub-actions are consistent with each other: they are a simple, non-contradictory list of major corridor/interchange projects to coordinate with partners. There is no sequencing, prioritization, or differentiation in approach across projects, but there are also no internal conflicts.",No,Yes,No,Yes,"no numeric targets, no deadlines/years, recommends (non-binding language), outcomes (modal split/jobs-housing balance) not operationalized, project list without complete-streets design specifics","named major projects (Downtown Access Project, I-15, I-11, Summerlin Parkway), coordination with state and regional partners, completion of infrastructure projects",WEAK,0.6,"This initiative aims to create a layered Complete Street network and improve modal split and jobs–housing balance by coordinating/completing several major transportation projects with state/regional partners. Across 4 sub-actions, 0 are strong, 4 are moderate, and 0 are weak: each sub-action names a concrete project to complete/coordinate, but none includes a quantifiable outcome target or a timeline. The parent provides city-level intent/scope (improving the City’s modal split/jobs-housing balance) but does not supply a binding mechanism (no ordinance/mandate) or measurable performance indicators that would lift the sub-actions into trackable commitments. Coverage is partial (0.5) because the project list supports the ‘coordinate and complete major projects’ piece but does not specify complete-streets treatments or measurable mode-shift outcomes. Coherence is fairly good (0.7) because the items are consistent and non-overlapping as a project list. Applying the initiative soundness rule: it is not SOUND because aggregate_measurability is 'No' and there are no strong sub-actions; it is not PARTIAL because the cluster lacks any measurable target or deadline anywhere. Therefore the initiative result is WEAK and the final verdict is False.",False,standalone parent policy,,"[{'action_label': 'Action 1: Coordinate and complete the Downtown Access Project and future I-15 improvements with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Coordinate and complete Sheep Mountain Pkwy and I-11 with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Coordinate and complete Summerlin Parkway improvements with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Coordinate and complete system-to-system interchanges with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,4,0
PUBLIC HEALTH AND SOCIAL SERVICES,"Public Health and Social Services: improve community health indicators by adopting Health-in-all-policies, expanding healthcare capacity and access, completing UNLV School of Medicine build-out, and developing local Health and Wellness Centers.",Health,4,0.65,"The sub-actions align with the parent goal of improving community health indicators by addressing governance (health-in-all-policies), capacity (hospital/ICU), workforce/education (UNLV School of Medicine), and service delivery (Health and Wellness Centers). However, the parent goal is outcome-oriented while the subs provide no explicit performance indicators, quantities, or milestones to ensure the actions collectively translate into measurable health improvements.",0.7,"The four sub-actions are complementary (policy integration, capacity/access expansion, medical education district build-out, and community wellness infrastructure) and do not conflict. However, there is no stated sequencing (e.g., timelines, responsible entities, or dependency order), so the plan reads as a list rather than an integrated delivery roadmap.",No,No,No,No,"no numeric targets, no deadlines/years, broad/aspirational phrasing ('must work to improve'), no responsible actors or delivery milestones","focus on tangible interventions (increase hospital/ICU capacity, complete medical school build-out, develop wellness centers)",WEAK,0.6,"1) Aim: improve community health indicators through cross-sector health governance, expanded acute-care capacity and access, medical education/district development, and local wellness center development. 2) Sub-strength mix: 0 strong, 3 moderate (Actions 2–4 are tangible but unquantified), 1 weak (Action 1 is largely process/approach without deliverables). 3) Parent context: the parent provides neither a binding mechanism (no ordinance/mandate) nor a defined spatial scope (no citywide/neighborhood specification), so it does not upgrade the measurability or enforceability of the sub-actions. 4) Coverage/coherence: coverage is reasonably broad across health system levers (score 0.65) and the set is non-contradictory (coherence 0.7), but it lacks an implementation pathway because there are no timelines, milestones, or accountable entities. 5) Soundness rule: fails SOUND because aggregate_measurability is 'No' and there is no 'strong' sub-action; fails PARTIAL because there is no measurable target or deadline anywhere in the cluster. Therefore the initiative is WEAK and not sufficiently trackable/actionable as written.",False,standalone parent policy,"The parent text states a substantive commitment: 'the City must work to improve community health indicators by' listing specific action areas, which functions as a policy commitment rather than a mere section label.","[{'action_label': 'Action 1: Adopt Health-in-all-policies and strengthen partnerships with the Southern Nevada Health District.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Increase hospital and ICU capacity and improve healthcare access in medically underserved areas.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Complete the build-out of the UNLV School of Medicine and leverage the Las Vegas Medical District.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Develop local Health and Wellness Centers.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,3,1
