policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Brussles_Belgium::01250bde771582269e8263fe,Brussles_Belgium::01250bde771582269e8263fe,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Reduce the energy consumption of City of Brussels buildings by 40% compared with 2008 (by 2030).,Mitigation,,,policy_traces/001_Reduce_the_energy_consumption_of_City_of_Brussels_buildings_.json,,,False,False,,,keep,0.93,True,,,False
002,Brussles_Belgium::fe5311a59718ce42249d1039,Brussles_Belgium::fe5311a59718ce42249d1039,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Set intermediate building-stock targets: city/CPAS public buildings to reach average EPC C+; SISP social housing renovation plan to meet regional average EPC C+ by 2040 with priorities met by 2030; CPAS/Régie homes rated EPC F/G to be downgraded by 2033.,Resource Efficiency,,,policy_traces/002_Set_intermediate_building_stock_targets_cityCPAS_public_buil.json,,,False,False,,,,,,,,
003,Brussles_Belgium::acb03c6b5730750f4c9a37ea,Brussles_Belgium::acb03c6b5730750f4c9a37ea,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Reduce by at least 55% (vs. 2008) all emissions linked to the energy consumption of City Council/Régie/CPAS/SISP public buildings by 2030.,Mitigation,,,policy_traces/003_Reduce_by_at_least_55_vs_2008_all_emissions_linked_to_the_en.json,,,False,False,,,,,,,,
004,Brussles_Belgium::17a68fb91f2837c7808f043d,Brussles_Belgium::17a68fb91f2837c7808f043d,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Enhance city flat roofs for climatic functions using the “Living Roofs” tool at design stage and implement “Living Roofs” recommendations for priority sites.,Mitigation,,,policy_traces/004_Enhance_city_flat_roofs_for_climatic_functions_using_the_Liv.json,,,False,False,,,,,,,,
005,Brussles_Belgium::27b13f7a86a76b5c593a9204,Brussles_Belgium::27b13f7a86a76b5c593a9204,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Propose to the region a 10% reduction in energy consumption by 2030 compared with 2008.,Mitigation,,,policy_traces/005_Propose_to_the_region_a_10_reduction_in_energy_consumption_b.json,,,False,False,,,keep,0.9,True,,,False
006,Brussles_Belgium::69669f858d864feafd4bc53d,Brussles_Belgium::69669f858d864feafd4bc53d,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,"Propose doubling regional photovoltaic solar production to 100 GWh/year, with City Council contributing 6 GWh.",Mitigation,,,policy_traces/006_Propose_doubling_regional_photovoltaic_solar_production_to_1.json,,,False,False,,,,,,,,
007,Brussles_Belgium::0d8848612b641d5a09e8b3c7,Brussles_Belgium::0d8848612b641d5a09e8b3c7,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Ensure 100% of electricity consumed by the city's public buildings comes from renewable energy produced in Belgium.,Mitigation,,,policy_traces/007_Ensure_100_of_electricity_consumed_by_the_citys_public_build.json,,,False,False,,,,,,,,
008,Brussles_Belgium::91408af07abeaac9e632d46d,Brussles_Belgium::91408af07abeaac9e632d46d,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Develop at least one “Positive Energy Neighbourhood” in the city.,Mitigation,,,policy_traces/008_Develop_at_least_one_Positive_Energy_Neighbourhood_in_the_ci.json,,,False,False,,,,,,,,
009,Brussles_Belgium::8d72e4232c5541b64d0d467b,Brussles_Belgium::8d72e4232c5541b64d0d467b,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Develop an urban heating network in the city in collaboration with Brussels Energy.,Mitigation,,,policy_traces/009_Develop_an_urban_heating_network_in_the_city_in_collaboratio.json,,,False,False,,,,,,,,
010,Brussles_Belgium::02f44ba7d6be3ac38830acac,Brussles_Belgium::02f44ba7d6be3ac38830acac,sub,"An exemplary energy policy and building management (2030 strategic objectives) for energy efficiency, renewable/local energy, and sustainable construction/renovation.",structural header,Develop energy communities: set up at least one energy community and one collective self-consumption project in each neighbourhood.,Mitigation,,,policy_traces/010_Develop_energy_communities_set_up_at_least_one_energy_commun.json,,,False,False,,,,,,,,
