policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Luxor_Egypt::9a7ffd5794deb9bd2caf3a63,Luxor_Egypt::9a7ffd5794deb9bd2caf3a63,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"For municipal buildings, the Municipality will implement a staff awareness campaign and behavioural measures to reduce electricity use (targeting a 10% cut) and promote an internal challenge supported by the Environmental Awareness Unit (EAU).",Mitigation,,,policy_traces/001_For_municipal_buildings_the_Municipality_will_implement_a_st.json,,,False,False,,,keep,0.9,True,,,False
002,Luxor_Egypt::a44a7446f2561621536d260f,Luxor_Egypt::a44a7446f2561621536d260f,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"For municipal buildings, the Governorate will implement a long-term programme to replace equipment with energy-efficient systems, including switching to LED lighting and installing motion sensors, and improving heating/cooling management systems.",Mitigation,,,policy_traces/002_For_municipal_buildings_the_Governorate_will_implement_a_lon.json,,,False,False,,,keep,0.86,True,,,False
003,Luxor_Egypt::4fc6d39e0576d77c9808edc7,Luxor_Egypt::4fc6d39e0576d77c9808edc7,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"The City of Luxor will create a revolving fund to replace old street lighting lamps with LED, reinvesting savings to achieve full replacement over time.",Resource Efficiency,,,policy_traces/003_The_City_of_Luxor_will_create_a_revolving_fund_to_replace_ol.json,,,False,False,,,,,,,,
004,Luxor_Egypt::e3be85070056278a537c64ea,Luxor_Egypt::e3be85070056278a537c64ea,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"The City of Luxor will develop a street lighting strategic plan with differentiated lighting levels and technical solutions (e.g., sensors, midnight reduction) supported by public consultation and monitoring of energy and budget savings.",Resource Efficiency,,,policy_traces/004_The_City_of_Luxor_will_develop_a_street_lighting_strategic_p.json,,,False,False,,,,,,,,
005,Luxor_Egypt::77fe56c1b0ce735c088f8a1a,Luxor_Egypt::77fe56c1b0ce735c088f8a1a,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"For water delivery, Governorate services will conduct a detailed assessment of the water distribution network and wastewater treatment to identify energy-saving investments (e.g., variable speed pumps, high-efficiency equipment) and consider establishing a SCADA monitoring and control system.",Mitigation,,,policy_traces/005_For_water_delivery_Governorate_services_will_conduct_a_detai.json,,,False,False,,,keep,0.9,True,,,False
006,Luxor_Egypt::63221b8e734cb42c858c8f2a,Luxor_Egypt::63221b8e734cb42c858c8f2a,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"For solid waste management, the Governorate will undertake a comprehensive waste management assessment to enable separate collection and recycling, optimize collection, explore biodigesters, and explore landfill methane recovery; and will implement public awareness to reduce waste and improve recycling.",Mitigation,,,policy_traces/006_For_solid_waste_management_the_Governorate_will_undertake_a_.json,,,False,False,,,,,,,,
007,Luxor_Egypt::5ca5ad2783fa8589461e19f5,Luxor_Egypt::5ca5ad2783fa8589461e19f5,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,The City of Luxor will implement a fleet plan to improve fleet management and awareness to reduce fuel consumption and progressively replace old vehicles with new ones (including using leasing to avoid heavy investments).,Mitigation,,,policy_traces/007_The_City_of_Luxor_will_implement_a_fleet_plan_to_improve_fle.json,,,False,False,,,,,,,,
008,Luxor_Egypt::5b84da9c32c12dc63e0fc513,Luxor_Egypt::5b84da9c32c12dc63e0fc513,sub,"Luxor will implement actions on Governorate buildings and services (street lighting, water distribution & sanitation, waste management) as the first priority within its direct responsibility to demonstrate leadership and enable wider stakeholder mobilisation.",standalone parent policy,"The Governorate of Luxor will set up a dedicated Environmental Awareness Unit (EAU) to raise awareness across key publics on energy, water, waste, and climate issues, and will launch actions including materials, an annual energy festival/day, and targeted campaigns (e.g., positive energy schools, mosque campaigns, tourism operators).",Mitigation,,,policy_traces/008_The_Governorate_of_Luxor_will_set_up_a_dedicated_Environment.json,,,False,False,,,,,,,,
010,Luxor_Egypt::ff6417cd2dc529e534433e27,Luxor_Egypt::ff6417cd2dc529e534433e27,sub,"Luxor will implement the action plan on the City of Luxor by mobilizing stakeholders (residents, shops, businesses, tourism operators, farmers, etc.) to achieve energy reduction and renewable energy development.",standalone parent policy,"For transport, Luxor will promote a short-term negotiation process with transport providers to adopt a common charter to improve transport services (routes, stops, timing) and reduce inefficient competition.",Mitigation,,,policy_traces/010_For_transport_Luxor_will_promote_a_short_term_negotiation_pr.json,,,False,False,,,,,,,,
011,Luxor_Egypt::e2f83ab90813468dee29e031,Luxor_Egypt::e2f83ab90813468dee29e031,sub,"Luxor will implement the action plan on the City of Luxor by mobilizing stakeholders (residents, shops, businesses, tourism operators, farmers, etc.) to achieve energy reduction and renewable energy development.",standalone parent policy,"Luxor will develop and implement a Sustainable, Clean and Green Urban Mobility Master Plan, including prioritising public transport and walking/cycling, creating/empowering a public transport authority, promoting new engine technologies, adopting a rapid transit bus system from the airport to the city centre, and establishing emissions monitoring.",Mitigation,,,policy_traces/011_Luxor_will_develop_and_implement_a_Sustainable_Clean_and_Gre.json,,,False,False,,,,,,,,
