policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Chile::abae3620eb550bf56a2dec42,Chile::abae3620eb550bf56a2dec42,sub,Contribution in Just Transition and Sustainable Development N°1-2-3 (SP1-2-3).,"Ensure application of the Section 3.2 social pillar criteria in the update, elaboration and implementation of the NDC (SP1).",Adaptation,,policy_traces/001_Ensure_application_of_the_Section_32_social_pillar_criteria_.json,trace_initiative_policies_valid.csv,parent_statement,Contribution in Just Transition and Sustainable Development N°1-2-3 (SP1-2-3).,,,False,False,,,,,,
002,Chile::e81ed04e56f0ecd53303af1f,Chile::e81ed04e56f0ecd53303af1f,sub,Contribution in Just Transition and Sustainable Development N°1-2-3 (SP1-2-3).,"Establish a mechanism to measure, report and verify application of the Section 3.2 criteria (SP2).",Adaptation,,policy_traces/002_Establish_a_mechanism_to_measure_report_and_verify_applicati.json,trace_initiative_policies_valid.csv,parent_statement,Contribution in Just Transition and Sustainable Development N°1-2-3 (SP1-2-3).,,,False,False,,,,,,
003,Chile::8d312e7bba82cae8ca19db5f,Chile::8d312e7bba82cae8ca19db5f,sub,Contribution in Just Transition and Sustainable Development N°1-2-3 (SP1-2-3).,"Develop by 2021 a Strategy for Just Transition to protect rights of vulnerable groups during energy matrix decarbonization, ensuring active citizen participation (SP3).",Mitigation,,policy_traces/003_Develop_by_2021_a_Strategy_for_Just_Transition_to_protect_ri.json,trace_initiative_policies_valid.csv,parent_statement,Contribution in Just Transition and Sustainable Development N°1-2-3 (SP1-2-3).,,,False,False,,,,,,
005,Chile::8ed0fff1a3ec048cd1436a81,Chile::8ed0fff1a3ec048cd1436a81,sub,Contribución en Mitigación N°1 (M1).,"Chile will keep its GHG emissions budget to no more than 1,100 MtCO2eq for 2020–2030, with emissions peaking by 2025 and reaching 95 MtCO2eq by 2030 (M1).",Mitigation,,policy_traces/005_Chile_will_keep_its_GHG_emissions_budget_to_no_more_than_110.json,trace_initiative_policies_valid.csv,parent_statement,Contribución en Mitigación N°1 (M1).,,,False,False,,,,,,
006,Chile::c05c163a788cb9ba113ea56a,Chile::c05c163a788cb9ba113ea56a,sub,Contribución en Mitigación N°1 (M1).,"In 2020, Chile will establish a public-private dialogue roundtable to define policy for the use of markets under Article 6, with guidelines to preserve environmental integrity, avoid double-counting, and promote sustainable development (M1).",Mitigation,,policy_traces/006_In_2020_Chile_will_establish_a_public_private_dialogue_round.json,trace_initiative_policies_valid.csv,parent_statement,Contribución en Mitigación N°1 (M1).,,,False,False,,,,,,
009,Chile::91f794dc30f30cbccaf636f4,Chile::91f794dc30f30cbccaf636f4,sub,Contribution to Adaptation N°2 (A2).,"Strengthen national coordination on adaptation through the national adaptation plan and adaptation plans for 11 priority sectors, using them as inputs to an Adaptation Communication to the UNFCCC by 2022 at the latest (A2).",Adaptation,,policy_traces/009_Strengthen_national_coordination_on_adaptation_through_the_n.json,trace_initiative_policies_valid.csv,parent_statement,Contribution to Adaptation N°2 (A2).,,,False,False,,,,,,
010,Chile::180198d0a9b11306746dc561,Chile::180198d0a9b11306746dc561,sub,Contribution to Adaptation N°2 (A2).,Update the National Adaptation Plan by 2022 and begin its implementation (A2a).,Adaptation,,policy_traces/010_Update_the_National_Adaptation_Plan_by_2022_and_begin_its_im.json,trace_initiative_policies_valid.csv,parent_statement,Contribution to Adaptation N°2 (A2).,,,False,False,,,,,,
011,Chile::ce313bb2a35ff8cd6d7e0e9d,Chile::ce313bb2a35ff8cd6d7e0e9d,sub,Contribution to Adaptation N°2 (A2).,"Develop initial adaptation plans for water resources, coastal areas, and the mining sector by 2022 and begin implementation (A2b).",Adaptation,,policy_traces/011_Develop_initial_adaptation_plans_for_water_resources_coastal.json,trace_initiative_policies_valid.csv,parent_statement,Contribution to Adaptation N°2 (A2).,,,False,False,,,,,,
012,Chile::d409424d152320ddceb78798,Chile::d409424d152320ddceb78798,sub,Contribution to Adaptation N°2 (A2).,"Update and implement sectoral adaptation plans on the stated 2021–2028 schedule (including updates for Agriculture and Forestry, Biodiversity, Fisheries and Aquaculture, Health, Facilities, Energy, Cities, Tourism, Water Resources, Coastal Areas, and Mining) (A2c).",Adaptation,,policy_traces/012_Update_and_implement_sectoral_adaptation_plans_on_the_stated.json,trace_initiative_policies_valid.csv,parent_statement,Contribution to Adaptation N°2 (A2).,,,False,False,,,,,,
013,Chile::0482c94c86e6d90235d0820d,Chile::0482c94c86e6d90235d0820d,sub,Contribution to Adaptation N°2 (A2).,"By 2025, strengthen subnational climate capacities and institutionality and begin implementing adaptation/mitigation via Regional Climate Change Action Plans in 10 regions; by 2030, all 16 regions will have climate action plans (A3).",Adaptation,,policy_traces/013_By_2025_strengthen_subnational_climate_capacities_and_instit.json,trace_initiative_policies_valid.csv,parent_statement,Contribution to Adaptation N°2 (A2).,,,False,False,,,,,,
