policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
"Hiroshima City sets greenhouse gas reduction targets of 80% below FY2013 by FY2050, 30% below FY2013 by FY2030, and 5% below FY2013 by FY2020.","| Timeframe            | Target Year   | Reduction Target (Total Target Amount)            |
| Long-term Target     | FY2050        | Compared to FY2013 ▲ 80%                          |
| Mid-term Target *1   | FY2030        | Compared to FY2013 ▲ 30%                          |
| Short-term Target *2 | FY2020        | Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) |",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) / 2. Reduction target for greenhouse gas emissions,Cross-sectoral,"This is an explicit quantified emissions-reduction commitment with target years, so it clearly qualifies as a policy.",0,individual,individual,,"The policy statement is strongly grounded in the verbatim text. The document provides explicit greenhouse gas reduction targets tied to specific fiscal years: “FY2050” with “Compared to FY2013 ▲ 80%,” “FY2030” with “Compared to FY2013 ▲ 30%,” and “FY2020” with “Compared to FY2013 ▲ 5%.” This satisfies the core requirements for a measurable and time-bound climate commitment. It is an auditable outcome target rather than a vague aspiration or budget allocation.

However, the excerpt does not explicitly show a binding legal or regulatory mechanism such as an ordinance, mandate, or enforceable code provision. It also does not explicitly specify spatial applicability in the snippet beyond the policy statement’s reference to “Hiroshima City.” Since the statement itself is city-specific and the targets are attributable to Hiroshima City, spatial specificity is reasonably present. The language is target-setting rather than weak promotional language, and the quantified percentages plus years indicate strong policy language even without explicit legal enforceability in the excerpt.

Overall, this meets the strict validity standard because it contains a clear measurable outcome and explicit timeline, with no weak language.",Yes,Yes,No,Yes,No,Yes,VALID,0.91,"1) Quantifiable target: Yes. The text gives measurable outcome targets: 'Compared to FY2013 ▲ 80%', 'Compared to FY2013 ▲ 30%', and 'Compared to FY2013 ▲ 5%'. These are explicit emissions reduction percentages, not budget figures. 2) Timeline: Yes. The text includes explicit target years: 'FY2050', 'FY2030', and 'FY2020'. 3) Auditable commitment: Yes. The policy defines concrete emissions reduction outcomes against a baseline year (FY2013), which can be monitored and verified. 4) Binding mechanism: No. The excerpt shows target-setting but does not mention an ordinance, mandate, legal requirement, or code change. 5) Spatial specificity: Yes. The policy statement identifies 'Hiroshima City', making the scope city-specific. 6) Weak language: No. The text does not use vague verbs like 'encourage', 'promote', 'explore', or 'aim'. 7) Strong language: Yes. The table sets formal targets with hard numbers and years, indicating a firm commitment: 'Target Year FY2050 ... ▲ 80%', 'FY2030 ... ▲ 30%', 'FY2020 ... ▲ 5%'. 8) Strict valid rule: Passed. The policy contains an auditable commitment, has_timeline='Yes', has_quantifiable_target='Yes', and weak_language_detected='No'. Therefore validation_result is 'VALID'.",True
"Hiroshima City will focus mitigation actions on four pillars: environmentally-friendly people and offices, large-scale introduction of innovative technology, development of a low-carbon city, and a low-carbon city network.","In order to achieve the vision for Hiroshima, the direction of measures is restructured into the following 4 pillars based on the direction defined by 'Hiroshima Carbon Minus 70' for clarifying the direction, prioritizing measures and promoting 'solidarity between cities,' which is becoming the international mainstream of global warming countermeasures.

Basically, until the deadline of the short-term targets in FY2020, the actions will focus on the first and second pillars to build a foundation for the type of city Hiroshima aims to become. Meanwhile, systems necessary for the third and fourth pillars will be prepared.

From FY2020, based on the development of the first and the second pillars, the focus will move on to the third and fourth pillars, realizing the city Hiroshima aims to become by FY2050.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) / 3. Direction of measures for achieving the reduction target,Cross-sectoral,"This is a concrete framework directing implementation and sequencing of mitigation measures, not mere background.",1,individual,individual,,"The statement describes a strategic framework and sequencing of mitigation activity across four pillars, with references to FY2020 and FY2050. However, the verbatim text does not provide a measurable outcome target tied to this specific policy statement. It says actions will “focus” on pillars, “systems necessary... will be prepared,” and the focus will “move on” to later pillars, which indicates planning and prioritization rather than an auditable, quantified deliverable. Because the strict rule requires both an explicit timeline and a quantifiable target for an individual policy, this is NON-SOUND despite the presence of years.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.38,"1) Auditable commitment: The text sets a strategic direction but not a concrete measurable deliverable. It states that measures are 'restructured into the following 4 pillars' and that 'the actions will focus on the first and second pillars' while 'systems necessary for the third and fourth pillars will be prepared.' These are planning/process commitments rather than auditable outcomes. 2) Timeline: Yes. The text includes explicit years and deadlines: 'until the deadline of the short-term targets in FY2020,' 'From FY2020,' and 'by FY2050.' 3) Quantifiable target: No. Although there are dates and references to pillars, there is no measurable outcome such as emissions reduced by X%, MW installed, buildings retrofitted, or similar. '4 pillars' is a structural framework, not a climate outcome target. 4) Binding mechanism: No. The text does not indicate an enforceable ordinance, mandate, legal requirement, or code change. 5) Spatial specificity: Yes. The policy is explicitly about 'Hiroshima' and 'the city Hiroshima aims to become,' so the place of application is identified. 6) Language strength: Weak language is present because the text uses non-binding planning verbs such as 'will focus,' 'will be prepared,' and 'the focus will move on,' without hard numeric deliverables. Strong language with hard numbers is absent. 7) Strict valid rule: Fails because has_quantifiable_target = 'No'. Therefore validation_result = 'NON-SOUND'. Confidence is capped below 0.4 because an individual policy lacks a quantifiable target.",False
"For households, Hiroshima City will promote energy-saving actions and environmental learning and education through global warming prevention campaigns.","Take  measures  to  promote  energy  saving  actions  and  environment-related  learning/education  by  global warming prevention campaign, etc.",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household,Buildings,"This is a specific intervention directed at households, supported by explicit action language ('Take measures').",2,individual,individual,,"The policy statement describes a general promotional and educational activity rather than an auditable, measurable policy commitment. The verbatim text says, ""Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc."" This indicates intent to encourage behavior change, but it does not specify a deadline, quantified outcome, enforceable mechanism, or a clearly bounded deliverable. Because the strict validity rule requires both an explicit timeline and a quantifiable target for an individual policy, this should be classified as NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.19,"1) Quantifiable target: No. The text states, 'Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc.' There is no measurable outcome such as percentage reduction, number of households reached, or units installed. 2) Timeline: No. The verbatim text provides no explicit year, deadline, or completion date. 3) Binding mechanism: No. 'Take measures' is generic administrative phrasing and does not indicate an enforceable ordinance, mandate, code revision, or legal requirement. 4) Spatial specificity: No. Although the broader statement references Hiroshima City and households, the verbatim text itself does not specify a geographic application area such as citywide, districts, or neighborhoods. 5) Weak language: Yes. The phrase 'promote energy saving actions' is classic weak language centered on encouragement rather than required outcomes. 6) Strong language: No. There are no hard-number commitments paired with directive verbs like 'require,' 'install,' or 'achieve.' 7) Auditable commitment: Fails. The action is a campaign/education effort without a defined deliverable that can be objectively verified. Therefore, under the strict valid rule requiring both timeline and quantifiable target, the policy is NON-SOUND.",False
"For households, Hiroshima City will promote the introduction of low-carbon houses such as ZEH and ZEB and energy-saving devices based on the national Top Runner Program.","Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household,Buildings,"This is an explicit programmatic commitment naming technologies and interventions, making it extractable.",3,individual,individual,,"The statement is extractable as a buildings-policy measure, but it does not meet the strict standard for a VALID individual climate policy. The verbatim text describes an intention to “promote the introduction” of ZEH, ZEB, and energy-saving devices, which is a programmatic direction rather than an auditable commitment with a measurable deliverable. It contains no explicit deadline or year, no quantifiable outcome target such as number of homes, percentage uptake, or emissions reduction, and no clear binding mechanism like a mandate, ordinance, or code revision. The wording is also weak because “promote” signals encouragement rather than requirement. Therefore, it should be classified as NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.22,"1) Auditable commitment: The text says, 'Take measures to promote the introduction of low-carbon houses' and references ZEH, ZEB, and Top Runner devices. This is a promotional or supportive action, not a clearly auditable deliverable such as requiring installation, retrofitting a set number of buildings, or achieving a defined emissions outcome. 2) Quantifiable target: No measurable outcome is stated. There is no percentage, number of houses/buildings, energy savings amount, or emissions reduction target. Mentioning ZEH, ZEB, and the Top Runner Program does not itself constitute a quantifiable target. Therefore has_quantifiable_target = 'No'. 3) Timeline: The text provides no explicit year, deadline, or completion date such as 'by 2030'. Therefore has_timeline = 'No'. 4) Binding mechanism: There is no indication of an enforceable authority, such as a mandate, ordinance, regulation, code amendment, or compulsory standard. The phrase 'promote the introduction' is non-binding. Therefore has_binding_mechanism = 'No'. 5) Spatial specificity: The text does not specify where the measure applies using terms like 'citywide,' 'in Hiroshima City households,' or named districts within the operative verbatim text. It is framed generally. Therefore has_spatial_specificity = 'No'. 6) Language strength: The operative verb is 'promote,' which is weak, encouragement-based language. No hard-number action verbs like 'require,' 'install,' or 'achieve' appear with measurable commitments. Therefore weak_language_detected = 'Yes' and strong_language_detected = 'No'. 7) Strict valid rule: The policy fails the gold-standard requirement because both has_timeline and has_quantifiable_target are 'No'. It also uses weak language without a binding mechanism. Therefore validation_result = 'NON-SOUND'.",False
"For households, Hiroshima City will promote environmentally friendly lifestyles and low-carbon communities led by residents.","Promote  the  shift  to  an  environmentally-friendly  lifestyle  developing  low-carbon  communities,  etc.  with residents' initiative, under the concept of 'Develop our town by ourselves'.",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household,Cross-sectoral,"This is a concrete municipal measure to promote resident-led low-carbon communities, though less quantified than other items.",4,individual,individual,,"The policy statement is not sufficiently actionable or measurable under the strict validation rule. The verbatim text says Hiroshima City will “Promote the shift to an environmentally-friendly lifestyle” and “develop[] low-carbon communities... with residents' initiative,” which indicates encouragement rather than a binding, auditable commitment. There is no explicit deadline or year, no quantifiable outcome target such as a percentage reduction or number of households reached, and no enforceable mechanism like an ordinance or mandate. While the policy is directionally climate-relevant, it is too vague to qualify as a valid individual policy.",No,No,No,No,Yes,No,NON-SOUND,0.18,"Auditability: The text states 'Promote the shift to an environmentally-friendly lifestyle developing low-carbon communities' which is a promotional/process-oriented action, not a clearly auditable deliverable. Quantifiable target: No measurable outcome is given; there is no percentage, number, capacity, or other hard metric in the text. Timeline: No explicit deadline or year such as 'by 2030' appears. Binding mechanism: No ordinance, mandate, code requirement, or enforceable authority is referenced; the phrase 'with residents' initiative' further suggests voluntary action. Spatial specificity: The text does not specify a particular geography of application such as citywide, district-level, or neighborhood-specific; it only refers generally to 'our town,' which is not sufficiently specific. Weak language: 'Promote' is weak language because it signals encouragement without a hard target. Strong language: No hard directive verb tied to a numeric target is present. Therefore, the policy fails the gold-standard requirement of both timeline and quantifiable target and is NON-SOUND.",False
Hiroshima City targets ZEH adoption in newly built detached houses at 50% by FY2020 and almost 100% by FY2030.,"| NameofIndex                                                                             | Current Status   | Short-term(FY2020)   | Mid-term (FY2030)   |
|                                                                                         | ZEH                                                                                     | 4.3% (FY2015)    | 50%                  | Almost100%          |",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household / Key Performance Indicator (KPI),Buildings,"Although presented as a KPI, this row states a clear adoption target for a named low-carbon housing intervention.",5,individual,individual,,"The policy statement is grounded in the verbatim table, which shows a specific measurable outcome for ZEH adoption: ""50%"" in the short term ""(FY2020)"" and ""Almost100%"" in the mid-term ""(FY2030),"" relative to a baseline of ""4.3% (FY2015)."" This satisfies the quantifiable target and timeline criteria. It is also an auditable commitment because it identifies a concrete outcome metric rather than only funding or planning activity.

However, the verbatim text is presented as an index/KPI table and does not explicitly show a binding mechanism such as a mandate, ordinance, or required code change. Spatial specificity is also not explicit in the quoted text itself, even though the statement references Hiroshima City. Because the evidence is target-based but not clearly enforceable, this is sounder than a vague aspiration but falls short of the strictest standard for an individual binding policy. Confidence is therefore moderate rather than maximal.",Yes,Yes,No,No,No,No,NON-SOUND,0.74,"1) Quantifiable target: Yes. The verbatim text states '50%' for 'Short-term(FY2020)' and 'Almost100%' for 'Mid-term (FY2030)' for 'ZEH,' with baseline '4.3% (FY2015).' These are measurable outcome targets. 2) Timeline: Yes. The table explicitly includes 'FY2020' and 'FY2030.' 3) Auditable commitment: Yes. The metric is an outcome indicator for ZEH adoption, not merely a budget or study. 4) Binding mechanism: No. The verbatim text is a KPI/index table and does not mention an ordinance, mandate, requirement, or code revision. 5) Spatial specificity: No. The quoted text itself does not specify where the target applies; 'Hiroshima City' appears in the policy statement, not in the verbatim evidence. 6) Weak language: No. The table presents direct targets rather than words like 'encourage' or 'explore.' 7) Strong language: No. Although there are hard numbers, the verbatim text does not use forceful implementation verbs such as 'require,' 'mandate,' or 'install.' 8) Strict valid rule assessment: It passes the gold-standard fields of timeline and quantifiable target, and there is no weak language. However, because the text reads as a target/KPI without explicit implementation authority, it is better classified as NON-SOUND under a strict individual-policy standard.",False
Hiroshima City targets low-carbon houses at 50% of newly built detached houses by FY2020.,"| NameofIndex                                                                             | Current Status   | Short-term(FY2020)   | Mid-term (FY2030)   |
|                                                                                         | Low-carbon house                                                                        | 1.3% (FY2015)    | 50%                  | -                   |",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household / Key Performance Indicator (KPI),Buildings,This is a concrete target for low-carbon housing uptake and thus qualifies as a policy commitment.,6,individual,individual,,"The statement is grounded in the table, which shows a measurable outcome for the share of low-carbon houses: current status is ""1.3% (FY2015)"" and short-term target is ""50%"" for FY2020. This satisfies the quantifiable target and timeline requirements. It is also sector-relevant to Buildings. However, the verbatim text appears to be a target table rather than an explicitly binding policy instrument such as an ordinance, mandate, or code change. Spatial specificity is only implicit from the policy statement (""Hiroshima City""), not clearly stated in the verbatim text itself. The commitment is still auditable because it specifies an outcome metric and deadline, but confidence is moderated by the lack of explicit binding mechanism language in the grounded text.",Yes,Yes,No,No,No,No,VALID,0.84,"Quantifiable target: Yes. The verbatim text gives a measurable outcome: 'Low-carbon house ... 1.3% (FY2015) ... 50%' indicating a target share of houses. Timeline: Yes. The table explicitly labels the short-term target as 'FY2020'. Binding mechanism: No. There is no evidence in the verbatim text of an enforceable authority such as an ordinance, mandate, or code requirement; it is presented as a target table only. Spatial specificity: No. The verbatim text does not explicitly state where the target applies; 'Hiroshima City' appears in the policy statement, not the quoted table. Weak language: No. The table presents a direct target rather than hedging language like 'encourage' or 'aim'. Strong language: No. Although there is a hard number, the verbatim text does not contain directive verbs such as 'require', 'mandate', 'install', or 'achieve'. Validation result: VALID. The policy is auditable because it specifies a concrete deliverable (share of low-carbon houses), includes a quantifiable target ('50%'), and includes a deadline ('FY2020'). Under the strict rule, weak language is absent, so the lack of explicit binding mechanism does not by itself invalidate it.",True
Hiroshima City targets ZEB adoption in newly built apartment buildings at almost 100% by FY2030.,"| NameofIndex                                                                             | Current Status   | Short-term(FY2020)   | Mid-term (FY2030)   |
| Newly-built apartment buildings                                                         | ZEB                                                                                     | -                | -                    | Almost100%          |",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household / Key Performance Indicator (KPI),Buildings,This is a quantified future adoption target for a named building standard.,7,individual,individual,,"The statement is grounded in the table entry for “Newly-built apartment buildings” with a mid-term (FY2030) target of “Almost100%” for “ZEB.” This provides a measurable outcome target and an explicit timeline. It is also sector-specific and applies to a defined building category, which gives sufficient spatial/applicability specificity for policy evaluation. However, the verbatim text does not show a binding mechanism such as a mandate, ordinance, or code requirement. It reads more like a target than an enforceable policy instrument. Under the strict rule, the policy has the gold-standard elements of timeline and quantifiable target, and there is no obvious weak language in the verbatim text. Therefore it can be treated as VALID, but with moderate confidence because enforceability is not explicit.",Yes,Yes,No,Yes,No,No,VALID,0.84,"1) Quantifiable target: Yes. The verbatim text gives a measurable outcome for the category 'Newly-built apartment buildings' with the mid-term (FY2030) value 'Almost100%'. This is an adoption-rate target, not merely a budget. 2) Timeline: Yes. The table explicitly includes 'Mid-term (FY2030)', which provides a clear deadline year. 3) Binding mechanism: No. The text does not mention any ordinance, mandate, requirement, code revision, or other enforceable authority; it only presents a target. 4) Spatial/applicability specificity: Yes. The measure applies to the defined scope 'Newly-built apartment buildings', which identifies where/what stock the target concerns within the city's policy context. 5) Weak language: No. The verbatim text is a tabular target and does not use verbs such as 'encourage', 'promote', or 'explore'. 6) Strong language: No. Although the target is numeric, the verbatim text itself does not contain directive verbs like 'mandate', 'require', 'install', or 'achieve'. 7) Strict valid rule: Passes because it is an auditable commitment (near-universal ZEB adoption in a named building category), has both a quantifiable target and timeline, and does not rely on weak language. Therefore the validation result is VALID.",True
"Hiroshima City targets household fuel cell installations of 15,000 by FY2020 and 56,000 by FY2030.","| Number of introduced household fuel cells (Total)                                       | Number of introduced household fuel cells (Total)                                       | 822 (FY2015)     | 15,000               | 56,000              |",individual,,Chapter 5: Concrete measures for achieving the reduction target / Household / Key Performance Indicator (KPI),Energy,This gives explicit numerical deployment targets for a named household energy technology.,8,individual,individual,,"The policy statement is grounded in the verbatim text, which provides explicit measurable outcome targets for household fuel cell installations: ""15,000"" and ""56,000,"" with associated deadlines ""FY2020"" and ""FY2030."" This satisfies the key measurability and timeline requirements. The deliverable is auditable because it concerns the total number of introduced household fuel cells. However, the verbatim text does not clearly indicate a binding legal or regulatory mechanism such as a mandate, ordinance, or code change. Spatial specificity is only implicit through the policy statement's reference to Hiroshima City, while the verbatim table itself does not explicitly restate the geography. Because the core target is concrete, time-bound, and outcome-based, the policy is sound under the strict rule despite the lack of explicit binding mechanism, and the language is target-oriented rather than weak.",Yes,Yes,No,No,No,Yes,VALID,0.89,"Quantifiable target: Yes. The verbatim text states numeric outcome targets for deployment: '15,000' and '56,000' under 'Number of introduced household fuel cells (Total)'. These are measurable outcomes, not budgets. Timeline: Yes. The table includes explicit years: 'FY2020' and 'FY2030' (with baseline '822 (FY2015)'). Binding mechanism: No. The verbatim text is a target table and does not mention any enforceable authority such as a law, mandate, ordinance, or code requirement. Spatial specificity: No. The verbatim text itself does not specify where the target applies; although the policy statement mentions Hiroshima City, the grounded table excerpt lacks explicit geographic scope. Weak language: No. The excerpt presents direct numeric targets rather than verbs like 'encourage' or 'explore'. Strong language: Yes. The policy sets hard numbers tied to years for installations, indicating a concrete achievement target. Auditable commitment: Yes, because the deliverable is the total number of household fuel cells introduced. Under the strict valid rule, the policy has both a quantifiable target and timeline, and there is no weak language requiring a binding override. Therefore validation_result is VALID.",True
Hiroshima City targets more than 80% household LED lighting adoption by 50% of citizens by FY2020 and almost 100% by FY2030.,| Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | 12.5% (FY2016)   | 50%                  | Almost100%          |,individual,,Chapter 5: Concrete measures for achieving the reduction target / Household / Key Performance Indicator (KPI),Buildings,This is a quantified implementation target for efficient lighting in households.,9,individual,individual,,"The policy statement is grounded in the verbatim text and describes a measurable outcome: the share of citizens who have introduced LED lighting for more than 80% of household lighting. The text includes a baseline of 12.5% in FY2016 and target values of 50% and almost 100%, which indicates quantifiable targets. The presence of fiscal year references in the policy statement and tabular progression supports an explicit timeline, interpreted as FY2020 and FY2030 from the statement. The policy is spatially specific to Hiroshima City through the policy statement. However, the verbatim text does not show an enforceable mechanism such as a mandate, ordinance, or binding code; it reads as a target indicator rather than a binding requirement. The language is target-oriented rather than weak, but because binding authority is not evident, this is best treated as a measurable municipal target rather than a clearly enforceable individual policy. It is still sufficiently actionable and measurable under the strict rule because it has both timeline and quantifiable target, and there is no clearly weak language like “encourage” or “explore.”",Yes,Yes,No,Yes,No,Yes,VALID,0.84,"Quantifiable target: Yes. The verbatim text gives measurable outcome values for the indicator 'Rate of citizens who have introduced LED lighting for more than 80% of household lighting' with '12.5% (FY2016)', '50%', and 'Almost100%'. This is an outcome metric, not merely a budget. Timeline: Yes. The evidence includes 'FY2016' in the table, and the policy statement specifies target years 'by FY2020' and 'by FY2030', providing explicit deadlines. Binding mechanism: No. Neither the verbatim text nor the statement cites an ordinance, mandate, code revision, or other enforceable authority; it appears to be a city target/indicator. Spatial specificity: Yes. The statement applies to 'Hiroshima City', so the geographic scope is specified. Weak language detected: No. The statement uses 'targets' with numeric endpoints rather than words like 'encourage', 'explore', or 'aim' without metrics. Strong language detected: Yes. The statement contains hard numbers linked to achievement levels: '50% ... by FY2020 and almost 100% by FY2030' for LED adoption. Validation result: VALID, because the policy contains an auditable commitment (LED adoption rate), includes a quantifiable target, includes an explicit timeline, and does not rely on weak noncommittal language.",True
