policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Qatar intends to reduce 25% of its GHG emissions by 2030 relative to a Business-As-Usual (BAU) baseline scenario.,"Qatar intends to reduce 25% of its GHG emissions by the year 2030, relative to baseline scenario {BusinessAs-Usual (BAU)}.

The reduction of 25% in GHG emissions for the year 2030, relative to BAU scenario is consistent with provisions stipulated in Articles 4.3, 4.4 and 4.7 of PA.",individual,,1. Executive summary,Economy-wide,Quantifiable national mitigation target with a deadline (25% by 2030 relative to BAU).,0,individual,individual,,"The statement is an economy-wide national mitigation target with a clear quantified outcome (25% reduction) and a specific deadline (by 2030) relative to a BAU baseline. However, the operative verb is “intends,” which is non-binding/aspirational, and the excerpt does not specify an enforceable legal mechanism. Under the strict rule, it still qualifies as VALID because it meets the “gold standard” (timeline + quantifiable target) and weak language is not disqualifying when the gold standard is met (though it lowers confidence somewhat).",Yes,Yes,No,Yes,Yes,No,VALID,0.8,"Quantifiable target: 'reduce 25% of its GHG emissions' / 'reduction of 25% in GHG emissions' provides a measurable outcome (25% reduction) relative to BAU. Timeline: 'by the year 2030' is an explicit deadline. Spatial specificity: applies to the nation ('Qatar'). Binding mechanism: no ordinance/mandate/law is stated; the text uses 'intends' and only notes consistency with Paris Agreement articles, so enforceability is not evidenced. Weak language: 'intends to reduce' indicates aspiration rather than requirement. Strong language: no verbs like 'require/mandate/shall' and no enforceable directive is present. STRICT VALID RULE: passes because it has both a quantified target and a timeline; despite weak language and lack of binding mechanism, it remains an auditable commitment (a defined emissions outcome by a set year).",True
"Qatar Petroleum (QP) is committed to zero routine flaring by 2030 and to reducing onshore flaring to the absolute minimum, including technically feasible non-routine flaring.","The national oil company, Qatar Petroleum (QP), is committed to zero routine flaring by 2030, with a long-term goal to reduce flaring in onshore facilities to the absolute minimum. Technically feasible non-routine flaring is also covered.",individual,,3. Economic Diversification with Mitigation Co-benefits — a) Oil & Gas,Energy,"Specific, time-bound operational commitment in the oil & gas sector (zero routine flaring by 2030).",1,individual,individual,,"The statement contains a clear, auditable operational outcome (“zero routine flaring”) with an explicit deadline (“by 2030”), applying to QP’s operations (implicitly its facilities, with additional mention of “onshore facilities”). However, it is framed as a “committed” corporate pledge rather than an enforceable regulatory mandate, and the “absolute minimum” element is not quantifiable. Overall it meets the strict gold-standard measurability (target + timeline), so it can be treated as VALID, though confidence is tempered by the non-binding nature and partial vagueness around the second clause.",Yes,Yes,No,Yes,No,Yes,VALID,0.81,"Quantifiable target: The text states ""zero routine flaring"" which is a measurable operational outcome (0 routine flaring). Timeline: The text specifies ""by 2030"" / ""zero routine flaring by 2030"". Binding mechanism: It is described as ""committed"" by Qatar Petroleum, with no indication of a law, regulation, or mandatory enforcement instrument; therefore not binding. Spatial specificity: The commitment references ""onshore facilities"" (a defined operational scope/location) and applies to QP facilities. Weak language: No 'encourage/aim/explore' phrasing; it uses commitment language. Strong language: ""committed to zero routine flaring by 2030"" is a firm commitment tied to a hard numeric endpoint (zero) and a deadline. Note: ""reduce ... to the absolute minimum"" is not itself quantifiable, but it is supplementary to the primary measurable commitment.",True
"Qatar will use carbon capture and storage (CCS) as a pivotal measure in the oil and gas sector, including CCS in new LNG facilities and developing/implementing CCS concepts for remaining LNG facilities subject to economic, safety, and environmental considerations.","Carbon capture storage (CCS) will be another pivotal measure for reducing the GHG emissions from the sector.
CCS is included for new LNG facilities and concepts, for remaining LNG facilities will be developed and implemented considering the economic, safety and environmental concerns.",individual,,3. Economic Diversification with Mitigation Co-benefits — a) Oil & Gas,Energy,States a concrete mitigation intervention (CCS) and its intended application to LNG facilities.,2,individual,individual,,"The text indicates an intended mitigation measure (CCS) for LNG facilities, but it lacks key elements required for an “individual policy” to be considered actionable and measurable under the strict rule. There is no explicit deadline/year, no quantifiable outcome (e.g., % capture, MtCO₂/yr, number of facilities retrofitted), and the language is conditional (“considering economic, safety and environmental concerns”) rather than binding. Therefore it is NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The passage mentions CCS as a measure but provides no measurable outcome (no % capture, MtCO2, facility counts): ""CCS will be another pivotal measure"" and ""CCS is included for new LNG facilities"".
Timeline: No. There is no explicit year/deadline; statements are general and undated.
Binding mechanism: No. No ordinance/mandate/requirement is stated; it reads as an intention/plan.
Spatial specificity: Yes. The scope is specified as ""the sector"" and specifically ""new LNG facilities"" and ""remaining LNG facilities"" (applies to LNG facilities within the oil and gas sector).
Weak language: Yes. Implementation is explicitly conditional: ""will be developed and implemented considering the economic, safety and environmental concerns,"" which weakens enforceability.
Strong language: No. While ""will be"" appears, it is not paired with hard numbers or enforceable requirements.
Strict valid rule check: Fails gold standard because has_timeline='No' AND has_quantifiable_target='No'; also weak language present without binding mechanism. لذلك validation_result is NON-SOUND.",False
"Qatar Petroleum introduced a smart leak detection and repair program (LDAR) in 2019 in all upstream and downstream oil and gas facilities, and Qatar plans to move toward a fully integrated fugitive methane monitoring and repair program across all assets.","In 2019, Qatar Petroleum introduced the smart leak detection and repair program (LDAR) in all upstream and downstream facilities of the oil & gas industry. Qatar further plans to move towards a fully integrated fugitive methane monitoring and repair program across all assets.",individual,,3. Economic Diversification with Mitigation Co-benefits — a) Oil & Gas,Energy,Specific program (LDAR) plus a forward plan to expand to integrated methane monitoring/repair.,3,individual,individual,,"The text describes implementation of an LDAR program introduced in 2019 across upstream and downstream facilities, plus an intention to move toward an integrated methane monitoring and repair program. While it is an auditable action (LDAR introduced), it lacks a quantifiable outcome target (e.g., % methane reduction, leak frequency, coverage rate) and does not specify a deadline for the “move towards” integrated monitoring. The forward-looking portion uses weak language (“plans to move towards”), and no binding mechanism is stated. Therefore it fails the strict “timeline + quantifiable target” rule and is NON-SOUND.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text states 'introduced the smart leak detection and repair program (LDAR)' and 'plans to move towards... integrated fugitive methane monitoring and repair program' but provides no measurable outcome (no % reduction, no leak-rate threshold, no coverage percentage).
Timeline: Yes (but limited). The text includes 'In 2019' indicating when LDAR was introduced; however, there is no deadline/year for completing the planned 'move towards' integrated monitoring.
Binding mechanism: No. There is no mention of a law, mandate, regulation, or enforceable requirement—only that Qatar Petroleum 'introduced' a program and Qatar 'plans to move towards' another.
Spatial specificity: Yes. Scope is specified as 'in all upstream and downstream facilities' and 'across all assets.'
Weak language: Yes. 'plans to move towards' is aspirational without a hard target or deadline.
Strong language: No. While 'introduced' indicates an action taken, there are no hard numbers/targets tied to required outcomes.
STRICT VALID RULE check: Fails because has_quantifiable_target='No' (gold standard not met) and weak language is present without any binding mechanism.",False
"Qatar is enhancing energy efficiency in the oil and gas sector through an energy efficiency program that includes initiatives intended to be implemented by 2025 (including seasonal optimization of gas turbine generators and boilers, improved measurement/balancing for fuel gas/steam, and improved reliability of heat recovery steam generators).","Qatar is  enhancing  energy  efficiency  in  the  oil  &  gas  sector  as  a  key  measure  to  reduce  GHG emissions. The energy efficiency program includes several projects that are allocated in upstream facilities  as  well  as  gas-to-liquid  and  downstream  facilities. Amongst  the  variety  of  measures  in energy efficiency, certain initiatives are aimed to be implemented by 2025, e.g., seasonal optimization of gas turbine generators and boilers, improved measurement / balancing for fuel gas / steam, and improved reliability of heat recovery steam generator (HRSGs).",individual,,3. Economic Diversification with Mitigation Co-benefits — a) Oil & Gas,Energy,Time-anchored implementation plan (by 2025) with specific efficiency actions.,4,individual,individual,,"The verbatim text describes an energy efficiency program in Qatar’s oil & gas sector and lists example initiatives “aimed to be implemented by 2025.” This provides a timeline and some concrete action types, but it does not specify any measurable outcome (e.g., % efficiency gain, GHG reductions, fuel saved) or binding/enforceable mechanism. The language is partly aspirational (“aimed”), so under the strict rule for individual policies it is not auditable/measurable enough to be VALID.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text lists initiatives but provides no measurable outcomes (no %, no absolute savings, no GHG reduction amount), only that it is a 'key measure to reduce GHG emissions.' Timeline: Yes — 'initiatives are aimed to be implemented by 2025.' Binding mechanism: No — no ordinance/mandate/requirement is stated; it describes a 'program' with projects. Spatial specificity: Yes — it specifies application in Qatar's 'upstream facilities as well as gas-to-liquid and downstream facilities' in the 'oil & gas sector.' Weak language: Yes — 'initiatives are aimed to be implemented by 2025' indicates intent rather than a requirement. Strong language: No — no mandatory verbs with hard numbers appear. Under the STRICT VALID RULE, it fails the gold standard because has_quantifiable_target is 'No', and it also has weak language without any binding mechanism.",False
Qatar commissioned a CO2 recovery and sequestration facility at Ras Laffan in 2019 with a design capacity of 2.2 MTPA of CO2 capture and storage.,Qatar commissioned the largest CO2 recovery and sequestration facility in the MENA region at Ras Laffan in 2019 with a design capacity of 2.2 MTPA of CO2 capture and storage.,individual,,3. Economic Diversification with Mitigation Co-benefits — a) Oil & Gas,Energy,Concrete implemented mitigation infrastructure with quantified capacity.,5,individual,individual,,"The statement describes an implemented, auditable mitigation action: Qatar “commissioned” a CO₂ recovery and sequestration facility at a specific location (Ras Laffan) in a specific year (2019), with a quantified design capacity (2.2 MTPA). This meets the gold-standard measurability (capacity) and timeline (year commissioned). It is not framed as an aspirational plan, though it does not explicitly state a legal mandate; however, binding mechanism is not required if weak language is absent.",Yes,Yes,No,Yes,No,Yes,VALID,0.9,"Quantifiable target: ""design capacity of 2.2 MTPA of CO2 capture and storage"" provides a measurable outcome (capacity). Timeline: ""in 2019"" is an explicit year. Spatial specificity: ""at Ras Laffan"" specifies where it applies. Binding mechanism: no ordinance/mandate/regulation language is cited; it states an action taken (""commissioned""), so marked No. Weak language: none of ""encourage/aim/explore"" appears; it is declarative implementation. Strong language: ""commissioned"" plus the hard number ""2.2 MTPA"" indicates a concrete, auditable deliverable. STRICT VALID RULE: (1) auditable commitment satisfied by commissioning a facility; (2) gold standard satisfied (timeline Yes + quantifiable target Yes); (3) weak language is No, so binding mechanism not required.",True
"Qatar introduced its first 800 MW solar power plant, which is expected to be operational soon, and aims to expand such efforts to make renewable energy a key driver for ecological and commercial benefits.","Nevertheless,  recently  Qatar  has  made significant progress in reducing the emissions from the power & water sector, by introducing its first 800 MW solar power plant, which shall be operational soon. It is the goal of the State of Qatar to expand these efforts and transform renewable energy into a key driver for ecological and commercial benefits.",individual,,3. Economic Diversification with Mitigation Co-benefits — b) Power & Water,Energy,Specific renewable energy project with quantified capacity; also states an explicit goal to expand efforts.,6,individual,individual,,"The verbatim text mentions a specific project (“first 800 MW solar power plant”) but does not provide an explicit deadline/year for operation (“operational soon” is vague). It also frames broader expansion as a general goal (“goal…to expand…transform”), which is aspirational rather than an auditable commitment with a defined target and timeframe. Therefore it fails the strict validity rule (missing timeline; expansion lacks measurable target and binding mechanism).",Yes,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: The text specifies a measurable capacity, ""first 800 MW solar power plant."" Timeline: No explicit date/year is given; the phrase ""shall be operational soon"" is vague and does not meet the timeline requirement. Binding mechanism: No ordinance/mandate/requirement is described; it states progress and intentions only. Spatial specificity: Applies to a clearly identified jurisdiction, ""the State of Qatar"" / ""Qatar."" Weak language: The expansion is framed aspirationally—""It is the goal of the State of Qatar to expand these efforts and transform renewable energy...""—without a hard numeric target or deadline. Strong language: No enforceable verbs with hard-number outcomes (e.g., require/mandate by year) are present; ""shall be operational soon"" lacks a date and the broader expansion has no quantified deliverable. Because has_timeline='No', the policy fails the gold standard and is NON-SOUND under the strict rule.",False
"Qatar is deploying energy efficiency measures including district cooling and systematic energy labeling for electronic devices, and has implemented specification improvement standards for equipment such as air conditioners to reduce electricity consumption.","Energy efficiency measures such as district cooling and energy labeling for all electronic devices are systematically  being  deployed...

Qatar  has  implemented several  specification  improvement  standards  for  electrical  and  electronic  equipment  such  as  air conditioners resulting in significant savings in electricity consumption.",individual,,3. Economic Diversification with Mitigation Co-benefits — b) Power & Water,Energy,Concrete interventions described as being deployed/implemented (energy labeling; standards for appliances; district cooling).,7,individual,individual,,"The verbatim text describes actions (“systematically being deployed,” “has implemented… standards”) but does not provide any explicit deadline/year or any measurable target/outcome (e.g., % efficiency improvement, units covered, energy saved in GWh). While it implies impact (“significant savings”), this is not quantified, so the policy statement is not auditable to the gold-standard criteria.",No,No,No,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text mentions ""significant savings in electricity consumption"" but gives no numeric outcome (no % reduction, GWh saved, number of devices/equipment covered), and ""energy labeling for all electronic devices"" is a scope statement rather than a measurable outcome. Timeline: No. No year/deadline is provided (only ""are systematically being deployed""). Binding mechanism: No. While it says ""has implemented... specification improvement standards,"" the excerpt does not specify an enforceable legal instrument (e.g., regulation/mandate/code) or compliance requirements. Spatial specificity: Yes, it is explicitly about ""Qatar"". Weak language: No, it uses implementation/deployment language rather than ""encourage/aim"". Strong language: No, there are no hard numbers tied to required actions. STRICT VALID RULE fails because has_timeline='No' and has_quantifiable_target='No'.",False
Qatar has an initiative to phase out incandescent lamps and adopt energy-efficient lighting.,The  initiative  to  phase  out  incandescent  lamps  and  adoption  of  Energy  Efficient  lighting  has contributed in a major way for conservation of Energy and thereby GHG emissions reduction in the State of Qatar.,individual,,3. Economic Diversification with Mitigation Co-benefits — b) Power & Water,Energy,Named initiative indicating a concrete policy action (phasing out incandescent lamps).,8,individual,individual,,"The verbatim text describes an “initiative” that has contributed to energy conservation and GHG reductions, but it does not specify any measurable target (e.g., % of lamps replaced, sales ban date, efficiency standard) or any timeline/deadline for phasing out incandescent lamps. It also does not show a binding mechanism (e.g., regulation/ban/standard). As written, it is not auditable against the strict criteria for an individual policy.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text provides no measurable outcome (no %, number of lamps, efficiency level); it only says the initiative 'has contributed in a major way for conservation of Energy and thereby GHG emissions reduction'. Timeline: No—no date/year/deadline is stated for the 'phase out'. Binding mechanism: No—described as an 'initiative' with no indication of a mandate/ban/required standard. Spatial specificity: Yes—applies to 'the State of Qatar'. Weak language: Yes—uses non-auditable phrasing ('initiative', 'has contributed') without hard targets. Strong language: No—no mandatory verbs with numbers are present. Therefore it fails the strict rule (missing both timeline and quantifiable target), so NON-SOUND.",False
Qatar has committed to electrify its public transport system and is investing in installing charging infrastructure across the country.,The  country  has  also  taken  significant strides  to  adopt  electrification  of  on-road  vehicles  by  committing  to  electrify  its  public  transport system and investing in installation of charging infrastructure across the country.,individual,,3. Economic Diversification with Mitigation Co-benefits — c) Transportation,Transport,Explicit commitment and investment action on electrification and charging infrastructure.,9,individual,individual,,"The statement describes a commitment to electrify public transport and an investment in charging infrastructure, but it lacks any measurable outcome (e.g., number/% of buses electrified, number of chargers) and lacks an explicit deadline/year. The language is generally strong (“committing”, “investing”) but not binding in a regulatory sense, and without targets/timeline it is not auditable under the strict rule.",No,No,No,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No—verbatim text says ""committing to electrify its public transport system"" and ""investing in installation of charging infrastructure"" but provides no numbers (no % electrified, no fleet size, no charger counts). Timeline: No—no year or deadline is stated. Binding mechanism: No—no ordinance/mandate/regulation or enforceable requirement is cited; it is a general commitment/investment statement. Spatial specificity: Yes—""across the country"" specifies where it applies. Weak language: No—does not use 'encourage/explore/aim'; it uses action-oriented terms. Strong language: No—although it says ""committing"" and ""investing"", the rubric requires strong verbs paired with hard numbers; none are present. STRICT VALID RULE fails because both has_timeline and has_quantifiable_target are 'No', so the policy is not measurable/auditable as written.",False
