policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Lebanon will increase its unconditional economy-wide GHG emissions reduction target to 20% below BAU in 2030 and its conditional target to 31% below BAU in 2030.,"This NDC represents a progression beyond Lebanon's 2015 NDC by unconditionally increasing its Greenhouse Gas (GHG) emission target relative to the Business-As-Usual (BAU) scenario from 15% to 20%, and  conditionally  increasing  its  GHG  emission  target  relative  to  the  BAU  scenario  from  30%  to  31%.",individual,,4. Mitigation Contribution,Economy-wide,Quantified national mitigation targets with a clear target year (2030) and unconditional/conditional structure.,0,individual,individual,,"The verbatim text specifies a measurable, economy-wide mitigation outcome (GHG emissions reduction relative to BAU) with explicit percentages (20% unconditional, 31% conditional). However, the provided verbatim text does not explicitly include the target year “2030”; it only describes an increase “from 15% to 20%” and “from 30% to 31%” relative to BAU. Under the strict rule, absence of an explicit timeline in the verbatim_text makes the statement NON-SOUND despite being quantifiable. There is also no clear binding/enforcement mechanism stated (it is an NDC target statement).",Yes,No,No,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: Yes — verbatim text states it is ""increasing its Greenhouse Gas (GHG) emission target relative to the Business-As-Usual (BAU) scenario from 15% to 20%, and conditionally ... from 30% to 31%"", which are measurable percentage reductions vs BAU. Timeline: No — the verbatim text provided does not contain an explicit year or deadline (no '2030' appears). Binding mechanism: No — text describes an NDC target progression but does not indicate an enforceable law/mandate/code. Spatial specificity: Yes — the commitment is national/economy-wide as it refers to ""Lebanon's"" NDC and economy-wide GHG target. Language strength: Strong language detected Yes — it uses commitment language ""increasing ... target"" alongside hard numbers (20%, 31%). Weak language detected No — no 'encourage/aim/explore' phrasing is present. Because has_timeline='No', the strict gold-standard rule (timeline AND quantifiable target) fails, so validation_result is NON-SOUND; confidence is capped at 0.4.",False
Lebanon commits to unconditionally generate 18% of electricity (power demand) and 11% of building-sector heat demand from renewable energy sources by 2030.,"Moreover,  Lebanon  commits  to  unconditionally  generate  18%  of  the  power  demand  (i.e.  electricity demand) and 11% of its heat demand (in the building sector) from renewable energy sources in 2030, compared to a combined 15% in 2015.",individual,,4. Mitigation Contribution,Energy,Quantified renewable energy shares with a deadline (2030).,1,individual,individual,,"The statement is an auditable national commitment with clear, measurable renewable energy share targets (18% electricity demand and 11% building heat demand) and a specific deadline (2030). The language (“commits to unconditionally generate”) is strong and not merely aspirational, making it actionable and measurable under the strict rule.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: Yes — text states “generate 18% of the power demand … and 11% of its heat demand (in the building sector) from renewable energy sources”. Timeline: Yes — “in 2030”. Binding mechanism: No — the excerpt is a commitment statement and does not specify an enforceable law/ordinance/mandate. Spatial specificity: Yes — applies to “Lebanon” and specifies sectoral scope (“building sector”). Weak language: No — no ‘encourage/aim/explore’ phrasing; it uses commitment language. Strong language: Yes — “commits to unconditionally generate” paired with hard percentages and a year. Strict valid rule check: (1) Auditable deliverable present (renewable shares of demand), (2) Gold standard met (timeline + quantifiable targets), (3) No weak language, so passes even without binding mechanism.",True
"Conditionally on international support, Lebanon commits to generate 30% of electricity (power demand) and 16.5% of building-sector heat demand from renewable energy sources by 2030.","Conditionally, Lebanon commits to generate 30% of the power demand (i.e. electricity demand)  and 16.5% of its heat demand (in the building sector) from renewable energy sources in 2030, compared to a combined 20% in 2015 (guided by the IRENA Renewable Energy Outlook:  Lebanon).",individual,,4. Mitigation Contribution,Energy,Quantified conditional renewable energy target for 2030.,2,individual,individual,,"The verbatim text states a clear, auditable outcome target: specified shares of electricity demand (30%) and building-sector heat demand (16.5%) to be met from renewable energy. It also provides an explicit deadline/year (“in 2030”). However, the commitment is explicitly conditional (“Conditionally, Lebanon commits…”), which weakens enforceability/bindingness, though it remains measurable and time-bound. Spatial specificity is implicit at the national level (Lebanon).",Yes,Yes,No,Yes,Yes,Yes,NON-SOUND,0.78,"Quantifiable target: Yes — “generate 30% of the power demand … and 16.5% of its heat demand (in the building sector) from renewable energy sources”. Timeline: Yes — “in 2030”. Binding mechanism: No — no ordinance/law/mandate is cited; it is a national commitment statement only. Spatial specificity: Yes — applies to “Lebanon” (national scope). Weak language: Yes — the commitment is explicitly conditional: “Conditionally, Lebanon commits…”, indicating dependence on international support rather than an unconditional requirement. Strong language: Yes — “commits to generate 30%… and 16.5%…”. STRICT VALID RULE check: Although it has both a timeline and a quantifiable target, it fails the language-strength criterion because weak_language_detected=Yes and there is no binding mechanism to override it, so validation_result=NON-SOUND.",False
"Lebanon commits to reduce power demand through energy-efficiency measures by 3% under BAU in 2030 unconditionally, and by 10% under BAU in 2030 conditionally.","3. A 3% reduction in power demand through energy-efficiency measures in 2030 compared to the demand under the BAU scenario.
...
3. A 10% reduction in power demand through energy-efficiency in 2030 compared to the demand under the BAU scenario.",individual,,4. Mitigation Contribution,Energy,Explicit quantified energy-efficiency targets tied to BAU and a target year (2030).,3,individual,individual,,"The verbatim text contains explicit, measurable outcome targets (3% and 10% reduction in power demand relative to BAU) and an explicit deadline year (2030). This is an auditable commitment in the energy sector (demand reduction via efficiency). However, the excerpt does not itself establish an enforceable legal/administrative mechanism (e.g., mandate/ordinance), nor does it specify a geographic scope beyond the implied national context (“Lebanon” appears only in the policy_statement, not the verbatim_text provided). Language is target-oriented rather than purely aspirational.",Yes,Yes,No,No,No,Yes,VALID,0.85,"Quantifiable target: The text specifies measurable reductions: 'A 3% reduction in power demand' and 'A 10% reduction in power demand' 'compared to the demand under the BAU scenario.' Timeline: Both targets are explicitly for 'in 2030.' Binding mechanism: No ordinance/mandate/regulation or enforcement instrument is stated in the excerpt, so binding authority is not evidenced. Spatial specificity: The excerpt does not state where it applies (no 'Lebanon', 'national', 'citywide', etc. in the provided verbatim_text), so this criterion is not met. Weak language: The statements are framed as direct targets ('A X% reduction... in 2030') rather than 'encourage/aim/explore', so weak language is not detected. Strong language: Presence of hard numbers and a deadline ('3%... in 2030', '10%... in 2030') indicates strong, target-setting language.",True
"Lebanon will establish a transparency framework to improve institutional arrangements, data availability and periodicity, and monitoring and evaluation of mitigation and adaptation projects.","In  order  to  enhance  the  impacts  of policymaking, and to successfully participate in tracking the global progress of the climate fight, a transparency framework will be established to improve institutional arrangements, data availability and periodicity, as well as monitoring and  evaluation  of  mitigation  and  adaptation projects.",individual,,CAE6: Enhanced Monitoring and Transparency,Cross-cutting,Concrete institutional commitment (“will be established”) specifying the mechanism and its functions.,4,individual,individual,,"The statement commits to establishing a “transparency framework,” which is an institutional/process action. However, it does not specify an explicit deadline/year, nor any measurable outcome targets (e.g., number of reports, coverage %, data frequency, M&E indicators achieved). It also lacks evidence of a binding legal mechanism (law/ordinance/mandatory requirement). Under the strict rule for individual policies, it fails the gold-standard requirement (timeline + quantifiable target), so it is NON-SOUND.",No,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: No — the text says a framework ""will be established"" to improve ""institutional arrangements, data availability and periodicity, as well as monitoring and evaluation"" but provides no measurable outcome (no %, counts, or defined reporting frequency). Timeline: No — no explicit date/year/deadline is stated. Binding mechanism: No — no indication of a law, regulation, mandate, or enforceable requirement; only a general commitment. Spatial specificity: No — no explicit jurisdictional scope such as ""nationwide"" or specific regions is stated in the excerpt. Weak language: No — it uses ""will be established"" (commitment), not ""encourage/aim/explore"". Strong language: No — although ""will be established"" is a firm verb, it is not paired with hard numbers/targets as required by the criterion. Therefore the policy fails the strict gold-standard requirement (timeline + quantifiable target) and is NON-SOUND.",False
"Lebanon plans to revise its policymaking process to include gender institutions, youth groups, and vulnerable communities.","Integrated solutions to the climate crisis, as well as  economic  recovery,  cannot  be  performed without the effective inclusion of gender institutions, youth groups and vulnerable communities. Lebanon plans to revise its policymaking  process  to  include  these  groups  which are key to the success of the NDC and are the most impacted by climate impacts.",individual,,CAE5: Comprehensive Integration,Cross-cutting,Specific governance/process reform commitment (revise policymaking to include defined groups).,5,individual,individual,,"This is a governance/process intent (“plans to revise its policymaking process to include these groups”) but it lacks an explicit deadline/year and any measurable outcome (e.g., % representation, number of consultations, formal rule adopted by a date). The language is aspirational (“plans to revise”) rather than binding, so it does not meet the strict requirements for an individual policy to be considered VALID.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The text commits to inclusion but provides no measurable outcome (no counts, percentages, or required representation): ""plans to revise its policymaking process to include these groups"".
Timeline: No. There is no explicit date or deadline; only an intent to act: ""plans to revise"".
Binding mechanism: No. No law, regulation, mandate, or enforceable requirement is cited—only a plan.
Spatial specificity: Yes. The commitment is explicitly for ""Lebanon"" (national scope).
Weak language: Yes. ""plans to revise"" indicates intent without enforceable or measurable parameters.
Strong language: No. No mandatory verbs with hard numbers (e.g., require/achieve by X year) appear.
STRICT VALID RULE check: Fails gold standard because has_timeline='No' and has_quantifiable_target='No'; also weak language is present without a binding mechanism, so it is NON-SOUND.",False
"Lebanon is working towards establishing the Lebanon Green Investment Facility (LGIF) to provide climate and green finance instruments for public and private sectors and technical assistance to create bankable projects, contributing to NDC implementation by increasing investments in climate-friendly projects.","Therefore, Lebanon  is  working  towards    the establishment of the Lebanon Green Investment  Facility  (LGIF) as  stipulated  in  the Government's Financial Recovery Plan, to provide climate and green finance through accessible  and  affordable  finance  instruments for both the public and private sectors, as well as to provide needed technical assistance to various entities to create bankable projects. The LGIF  is  foreseen  to  substantially  contribute  to the  implementation  of  the  NDC  by  increasing investments to climate-friendly projects, through strong donor and investor coordination mechanism and capitalization strategy.",individual,,6. Support Needed for NDC Implementation and Achievement,Finance,"Specific planned facility with defined purpose (finance instruments, technical assistance) to support NDC implementation.",6,individual,individual,,"The statement describes an intention to establish a green investment facility and its general functions (provide finance instruments and technical assistance). However, it lacks any explicit deadline/year for establishment or operation, and it provides no measurable outcome targets (e.g., amount of finance mobilized, number of projects, emissions reduced). The language (“working towards”, “foreseen to contribute”) is weak/aspirational, and while it references being “stipulated” in a recovery plan, it does not clearly establish an enforceable mandate or binding mechanism in the excerpt. Under the strict individual-policy rule, it is NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text mentions providing finance instruments/technical assistance and 'increasing investments to climate-friendly projects' but gives no measurable amount, percentage, or count. Timeline: No. No explicit year/deadline is stated; it says 'working towards the establishment'. Binding mechanism: No. Although 'as stipulated in the Government's Financial Recovery Plan' is referenced, the excerpt does not show an enforceable requirement/mandate or legal instrument creating LGIF. Spatial specificity: Yes. Applies to 'Lebanon' and establishes the 'Lebanon Green Investment Facility (LGIF)'. Weak language: Yes, phrases include 'working towards', 'is foreseen to substantially contribute'. Strong language: No hard requirement verbs with numbers are present. Therefore it fails the strict rule requiring both timeline and quantifiable target, and is NON-SOUND.",False
"Lebanon is developing a climate-proofing methodology to assess and reduce impacts of climate-negative projects and guide investment evaluation through a climate lens, and intends to explore greening foreign investments including ODA while including environmental and social standards (ESS) and gender-responsiveness in project evaluation and implementation.","Moreover, Lebanon  is  currently  developing  a climate-proofing  methodology which  aims  to assess and reduce the impacts of climatenegative projects, as well as potentially guide the evaluation  of  investments,  through  a  climatelens. Ultimately, Lebanon intends to explore the possibility of greening foreign investments including Official Development Assistance (ODA) to  accelerate the achievement of the NDC and avoid locking in  carbon  emissions  on  the  longterm. Finally, the consideration of Environmental  and  Social  Standards  (ESS),  as well as gender-responsiveness should be included in projects' evaluation and implementation.",individual,,6. Support Needed for NDC Implementation and Achievement,Cross-cutting,Concrete planned methodology/tool and explicit intention to apply climate/ESS/gender lenses to investment/project evaluation.,7,individual,individual,,"The statement describes the development of a “climate-proofing methodology” and an intention to “explore” greening foreign investments, plus a recommendation that ESS and gender-responsiveness “should be included.” While directionally relevant, it lacks an explicit deadline, quantifiable outcomes (no % coverage, number of projects, or investment share), and does not establish a binding requirement. The language is largely exploratory/aspirational, so it is not auditable in the strict sense required for an individual policy to be VALID.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No measurable outcome is stated—there are no numbers (e.g., % of investments screened, # of projects climate-proofed). Phrases are qualitative: ""developing a climate-proofing methodology"" and ""aims to assess and reduce the impacts"".
Timeline: No explicit date/year or deadline is provided; only general present/ongoing wording appears (""currently developing"").
Binding mechanism: No enforceable instrument is cited (no law, regulation, mandate, or requirement). The text uses non-binding phrasing like ""intends to explore"" and ""should be included"".
Spatial specificity: Yes—policy clearly applies to ""Lebanon"" and references ""foreign investments including Official Development Assistance (ODA)"" in the national context.
Language strength: Strong language not detected because there are no hard requirements paired with measurable targets.
Weak language: Yes—""aims"", ""potentially guide"", ""intends to explore the possibility"", and ""should be included"" indicate aspiration/exploration rather than an auditable commitment.
STRICT VALID RULE: Fails gold standard because has_timeline='No' and has_quantifiable_target='No'; also weak language present without a binding mechanism, so result is NON-SOUND.",False
Lebanon commits to render climate adaptation action gender responsive.,"Moreover, Lebanon acknowledges that vulnerable groups, especially women, are disproportionately impacted by climatic events, and will therefore commit to render climate adaptation action gender responsive.",individual,,Adaptation Priorities,Adaptation,Explicit commitment to a defined approach (gender-responsive adaptation).,8,individual,individual,,"The statement is a high-level commitment to make adaptation actions “gender responsive,” but it lacks any measurable outcome (no indicators, coverage, or quantified deliverables) and has no deadline or timeframe. The language (“commit to render…”) indicates intent but not an enforceable mechanism (law/mandate) or auditable implementation detail, so it fails the strict validity requirements for an individual policy.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text only says ""commit to render climate adaptation action gender responsive"" with no metrics (e.g., % of projects, number of programs) or measurable outcomes. Timeline: No—no year/deadline is stated. Binding mechanism: No—no ordinance, mandate, regulation, or legally enforceable instrument is mentioned; only an intent statement. Spatial specificity: Yes—applies to ""Lebanon."" Weak language: Yes—uses intent framing ""will therefore commit"" without hard targets. Strong language: No—no required actions with numbers or deadlines. Under the STRICT VALID RULE for individual policies, lacking both timeline and quantifiable target makes it NON-SOUND.",False
"Lebanon will strengthen the agricultural sector's resilience through restoring farmers’ livelihoods and productive capacity, increasing agricultural production and productivity, enhancing agri-food value chains (including fisheries), encouraging private investment and access to climate finance/insurance, strengthening institutions, and increasing household resilience for food and nutrition security.","Adaptation priority 1    | Strengthen the agricultural sector's resilience to enhance Lebanon's agricultural output in a climate-smart manner
Key activities           | • Restore the livelihoods and productive capacity of farmers and producers; • Increase agricultural production and productivity; • Enhance efficiency and competitiveness of agri-food value chains including fisheries; • Encourage private investment along the agri-food value chain including innovative technical solutions and improved access to climate finance and insurance; • Strengthen the enabling institutional environment; • Increase resilience of households with reference to food and nutrition security.",individual,,Adaptation priorities,Agriculture,Sectoral adaptation priority accompanied by a concrete list of implementing activities.,9,individual,individual,,"The statement and supporting text describe an adaptation priority and a set of intended activities (restore livelihoods, increase production, enhance value chains, encourage investment, strengthen institutions, increase household resilience). However, the verbatim text provides no measurable outcome targets (e.g., % yield increase, hectares restored, number of farmers supported) and no explicit timeline or deadline. The language is largely aspirational/programmatic (“increase,” “enhance,” “encourage,” “strengthen”) without an enforceable legal mechanism. Under the strict individual-policy rule, it is therefore NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text lists activities but no measurable outcomes (e.g., it says 'Increase agricultural production and productivity' and 'Enhance efficiency and competitiveness...' with no numbers). Timeline: No—no year/deadline is stated anywhere in the excerpt. Binding mechanism: No—this is framed as an 'Adaptation priority' with 'Key activities' and uses non-mandatory verbs like 'Encourage private investment' and 'Strengthen the enabling institutional environment,' with no ordinance/requirement indicated. Spatial specificity: Yes—policy explicitly applies to 'Lebanon' and the 'agricultural sector' ('Strengthen the agricultural sector's resilience...' in Lebanon). Weak language: Yes—terms like 'encourage', 'strengthen', 'enhance', and 'increase' appear without hard targets ('Encourage private investment...', 'Strengthen...', 'Enhance...'). Strong language: No—no mandate/require/achieve phrasing tied to hard numbers. STRICT VALID RULE fails because has_timeline='No' and has_quantifiable_target='No'.",False
