cluster_id,cluster_type,role,sector,section_header,policy_statement,parent_statement,verbatim_text,extraction_rationale
,parent_with_subs,parent,Buildings,Pillar 1 | Strategy 1. Retrofit buildings,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",,"1 Increase access to utility savings and renewable energy, prioritizing households | 1. Retrofit buildings | A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households B. Retrofit 20%of total 5+ unit residential buildings by 2030 C. Retrofit 20%of total industrial buildings by 2030 D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035 E. Retrofit 20%of total commercial buildings by 2035",A named strategy with multiple lettered sub-actions and quantified targets; extract as parent plus sub-policies.
,parent_with_subs,sub,Buildings,Pillar 1 | Strategy 1. Retrofit buildings,"Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.","Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.","A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households",Lettered action under a parent strategy with quantified targets and dates.
,parent_with_subs,sub,Buildings,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 20% of total 5+ unit residential buildings by 2030.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",B. Retrofit 20%of total 5+ unit residential buildings by 2030,Lettered action under a parent strategy with quantified target and date.
,parent_with_subs,sub,Buildings,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 20% of total industrial buildings by 2030.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",C. Retrofit 20%of total industrial buildings by 2030,Lettered action under a parent strategy with quantified target and date.
,parent_with_subs,sub,Buildings,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035,Lettered action under a parent strategy with quantified target and date.
,parent_with_subs,sub,Buildings,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 20% of total commercial buildings by 2035.,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",E. Retrofit 20%of total commercial buildings by 2035,Lettered action under a parent strategy with quantified target and date.
,parent_with_subs,parent,Energy,Pillar 1 | Strategy 2. Connect communities to renewable energy,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",,"1 Increase access to utility savings and renewable energy, prioritizing households | 2. Connect communities to renewable energy | A. Install 5 megawatts of co-owned community solar proj- ects by 2025 B. Increase Chicago-based community renewables to 20 megawatts by 2025 C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030","Named strategy with multiple lettered, quantified sub-actions; extract parent and subs."
,parent_with_subs,sub,Energy,Pillar 1 | Strategy 2. Connect communities to renewable energy,Install 5 megawatts of co-owned community solar projects by 2025.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",A. Install 5 megawatts of co-owned community solar proj- ects by 2025,Lettered action with quantified MW target and deadline.
,parent_with_subs,sub,Energy,Pillar 1 | Strategy 2. Connect communities to renewable energy,Increase Chicago-based community renewables to 20 megawatts by 2025.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",B. Increase Chicago-based community renewables to 20 megawatts by 2025,Lettered action with quantified MW target and deadline.
,parent_with_subs,sub,Energy,Pillar 1 | Strategy 2. Connect communities to renewable energy,Increase community renewables subscriptions to achieve 25% subscribed by low-income and/or environmental justice low-income residents by 2030.,"Pillar 1 Strategy 2: Connect communities to renewable energy with targets for co-owned community solar, Chicago-based community renewables, and low-income/EJ subscription rates.",C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030,Lettered action with quantified subscription rate target and deadline.
