policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Singapore::2f19e1d515dca66a9e590c8b,Singapore::2f19e1d515dca66a9e590c8b,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Increase industrial energy efficiency.,Mitigation,,,policy_traces/001_Increase_industrial_energy_efficiency.json,,,False,False,,,keep,0.93,True,,,False
002,Singapore::18f0ed84f51b5d8dc2ab41c9,Singapore::18f0ed84f51b5d8dc2ab41c9,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Reduce non-CO2 GHGs from industrial processes.,Mitigation,,,policy_traces/002_Reduce_non_CO2_GHGs_from_industrial_processes.json,,,False,False,,,,,,,,
003,Singapore::195b9d7c273afc1cfb40c44d,Singapore::195b9d7c273afc1cfb40c44d,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Adopt cleaner fuels in industry.,Mitigation,,,policy_traces/003_Adopt_cleaner_fuels_in_industry.json,,,False,False,,,,,,,,
004,Singapore::e6ef424265f65bee7e84def0,Singapore::e6ef424265f65bee7e84def0,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Achieve BCA Green Mark standards for 80% of buildings by 2030.,Mitigation,,,policy_traces/004_Achieve_BCA_Green_Mark_standards_for_80_of_buildings_by_2030.json,,,False,False,,,keep,0.86,True,,,False
005,Singapore::ac4fbd8395f56be1006bfe55,Singapore::ac4fbd8395f56be1006bfe55,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Improve energy efficiency of building tenants.,Mitigation,,,policy_traces/005_Improve_energy_efficiency_of_building_tenants.json,,,False,False,,,keep,0.9,True,,,False
006,Singapore::62b7701c34d84421e1415e0a,Singapore::62b7701c34d84421e1415e0a,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Improve energy efficiency of data centres.,Resource Efficiency,,,policy_traces/006_Improve_energy_efficiency_of_data_centres.json,,,False,False,,,,,,,,
007,Singapore::14a45a5c9637f83eaaa6b4b6,Singapore::14a45a5c9637f83eaaa6b4b6,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Raise Minimum Energy Performance Standards (MEPS) for household appliances and introduce MEPS for more appliances.,Resource Efficiency,,,policy_traces/007_Raise_Minimum_Energy_Performance_Standards_MEPS_for_househol.json,,,False,False,,,,,,,,
008,Singapore::3b8f27fd515653ace5a2e3fd,Singapore::3b8f27fd515653ace5a2e3fd,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Encourage adoption of efficient appliance models.,Mitigation,,,policy_traces/008_Encourage_adoption_of_efficient_appliance_models.json,,,False,False,,,keep,0.86,True,,,False
009,Singapore::39be227446affdee0457fbd0,Singapore::39be227446affdee0457fbd0,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Introduce smart home technology.,Resource Efficiency,,,policy_traces/009_Introduce_smart_home_technology.json,,,False,False,,,keep,0.77,True,,,False
010,Singapore::8cb39cd6bd256a9c0882f274,Singapore::8cb39cd6bd256a9c0882f274,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Achieve 75% use of public transport by 2030.,Mitigation,,,policy_traces/010_Achieve_75_use_of_public_transport_by_2030.json,,,False,False,,,,,,,,
011,Singapore::c2bfe539dedaf1463d928677,Singapore::c2bfe539dedaf1463d928677,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Encourage cycling and walking.,Mitigation,,,policy_traces/011_Encourage_cycling_and_walking.json,,,False,False,,,,,,,,
012,Singapore::562a5f7438268d526b356f94,Singapore::562a5f7438268d526b356f94,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Improve vehicle fuel efficiency.,Mitigation,,,policy_traces/012_Improve_vehicle_fuel_efficiency.json,,,False,False,,,,,,,,
013,Singapore::d3ed49954a1665bee2c7f252,Singapore::d3ed49954a1665bee2c7f252,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Reduce plastics incineration.,Mitigation,,,policy_traces/013_Reduce_plastics_incineration.json,,,False,False,,,,,,,,
014,Singapore::62ea28657a8452715fbe0fd7,Singapore::62ea28657a8452715fbe0fd7,sub,"Strategy package: Improve energy and carbon efficiency across industry, buildings, households, transport, water and waste sectors.",structural header,Improve energy efficiency in desalination and used water treatment.,Mitigation,,,policy_traces/014_Improve_energy_efficiency_in_desalination_and_used_water_tre.json,,,False,False,,,keep,0.93,True,,,False
