mechanism_key,n_policies_tested,n_distinct_labels,majority_label,majority_agreement_rate,has_internal_disagreement,agrees_with_registry,label_distribution
adaptation_planning_framework → institutional_adaptive_capacity,8,1,Adaptation,1.0,False,1.0,{'Adaptation': np.int64(8)}
afforestation_greenbelt → desertification_and_erosion_control,8,2,Nature-Based Solutions,0.875,True,0.125,"{'Nature-Based Solutions': np.int64(7), 'Adaptation': np.int64(1)}"
building_electrification → building_emissions_reduction,5,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(5)}
building_energy_code → energy_use_reduction,8,2,Mitigation,0.875,True,0.875,"{'Mitigation': np.int64(7), 'Resource Efficiency': np.int64(1)}"
building_energy_efficiency_program → energy_use_reduction,7,2,Mitigation,0.5714285714285714,True,0.42857142857142855,"{'Mitigation': np.int64(4), 'Resource Efficiency': np.int64(3)}"
building_performance_ordinance → energy_use_reduction,7,2,Mitigation,0.8571428571428571,True,0.8571428571428571,"{'Mitigation': np.int64(6), 'Resource Efficiency': np.int64(1)}"
building_retuning → energy_use_reduction,6,2,Resource Efficiency,0.5,True,0.5,"{'Resource Efficiency': np.int64(3), 'Mitigation': np.int64(3)}"
cogeneration_waste_to_energy → fossil_generation_displacement_and_methane_capture,8,2,Mitigation,0.875,True,0.875,"{'Mitigation': np.int64(7), 'Resource Efficiency': np.int64(1)}"
desalination_capacity_expansion → water_supply_resilience,5,2,Adaptation,0.8,True,0.8,"{'Adaptation': np.int64(4), 'Mitigation': np.int64(1)}"
economy_wide_ghg_target → emissions_reduction_pathway,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
embodied_carbon_reduction → construction_emissions_reduction,8,2,Mitigation,0.75,True,0.75,"{'Mitigation': np.int64(6), 'Resource Efficiency': np.int64(2)}"
energy_benchmarking_disclosure → market_signal_for_efficiency,8,2,Resource Efficiency,0.75,True,0.75,"{'Resource Efficiency': np.int64(6), 'Mitigation': np.int64(2)}"
energy_storage_deployment → grid_flexibility_and_renewable_integration,8,3,Mitigation,0.625,True,0.625,"{'Mitigation': np.int64(5), 'Resource Efficiency': np.int64(2), 'Adaptation': np.int64(1)}"
environmental_monitoring_system → adaptation_planning_support,8,3,Adaptation,0.375,True,0.375,"{'Adaptation': np.int64(3), 'Mitigation': np.int64(3), 'Resource Efficiency': np.int64(2)}"
ev_charging_infrastructure → ev_adoption_enabling,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
fleet_electrification → transport_emissions_reduction,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
green_infrastructure_expansion → heat_and_stormwater_resilience,6,3,Nature-Based Solutions,0.5,True,0.16666666666666666,"{'Nature-Based Solutions': np.int64(3), 'Mitigation': np.int64(2), 'Adaptation': np.int64(1)}"
modal_shift_to_sustainable_transport → transport_emissions_reduction,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
natural_land_protection → ecosystem_and_carbon_preservation,8,2,Nature-Based Solutions,0.875,True,0.875,"{'Nature-Based Solutions': np.int64(7), 'Mitigation': np.int64(1)}"
organic_waste_composting → landfill_methane_avoidance_and_nutrient_recovery,8,2,Resource Efficiency,0.875,True,0.125,"{'Resource Efficiency': np.int64(7), 'Mitigation': np.int64(1)}"
park_system_expansion → heat_and_stormwater_resilience,8,1,Nature-Based Solutions,1.0,False,0.0,{'Nature-Based Solutions': np.int64(8)}
refrigerant_management → fugitive_emissions_reduction,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
regenerative_agriculture → soil_carbon_and_ecosystem_restoration,8,4,Nature-Based Solutions,0.5,True,0.5,"{'Nature-Based Solutions': np.int64(4), 'Mitigation': np.int64(2), 'Resource Efficiency': np.int64(1), 'Adaptation': np.int64(1)}"
renewable_energy_target → grid_decarbonization,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
residential_building_retrofit → energy_use_reduction,8,2,Resource Efficiency,0.625,True,0.625,"{'Resource Efficiency': np.int64(5), 'Mitigation': np.int64(3)}"
solar_pv_deployment → fossil_generation_displacement,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
sustainable_food_procurement_program → food_system_emissions_reduction,5,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(5)}
transit_oriented_development → transport_emissions_and_land_use_reduction,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
transit_service_expansion → transport_emissions_reduction,8,1,Mitigation,1.0,False,1.0,{'Mitigation': np.int64(8)}
urban_tree_canopy_expansion → heat_mitigation_and_carbon_sequestration,8,1,Nature-Based Solutions,1.0,False,1.0,{'Nature-Based Solutions': np.int64(8)}
waste_diversion → landfill_methane_avoidance,8,2,Resource Efficiency,0.875,True,0.125,"{'Resource Efficiency': np.int64(7), 'Mitigation': np.int64(1)}"
waste_to_energy_conversion → landfill_methane_avoidance_and_energy_recovery,6,2,Resource Efficiency,0.6666666666666666,True,0.3333333333333333,"{'Resource Efficiency': np.int64(4), 'Mitigation': np.int64(2)}"
water_efficiency_standards → per_capita_water_reduction,8,2,Resource Efficiency,0.875,True,0.875,"{'Resource Efficiency': np.int64(7), 'Adaptation': np.int64(1)}"
