policy_id,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path
000,parent,,structural header,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",Mitigation,Adaptation,M-2,policy_traces/000_Approach_1_Benchmark_retune_and_retrofit_existing_buildings_.json
001,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Benchmark 1.3 billion square feet of communitywide buildings by 2026.,Mitigation,Adaptation,M-2,policy_traces/001_Benchmark_13_billion_square_feet_of_communitywide_buildings_.json
002,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,"Retrofit 167,500 homes by 2030 to reduce energy costs 28%, prioritizing Low- to Moderate-Income (LMI) homes.",Mitigation,Resource Efficiency,M-1,policy_traces/002_Retrofit_167500_homes_by_2030_to_reduce_energy_costs_28_prio.json
003,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Adopt a Building Performance Ordinance to ensure benchmarking and retuning of large existing buildings community-wide.,Mitigation,Resource Efficiency,M-1,policy_traces/003_Adopt_a_Building_Performance_Ordinance_to_ensure_benchmarkin.json
004,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,"Expand weatherization assistance through repairs and upgrades to improve energy efficiency, safety, and comfort in Low to Moderate Income (LMI) housing.",Mitigation,Resource Efficiency,M-1,policy_traces/004_Expand_weatherization_assistance_through_repairs_and_upgrade.json
005,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Create a Quality Assurance Verifier position to support the guidelines and applicability of the Building Performance Ordinance.,Mitigation,,,policy_traces/005_Create_a_Quality_Assurance_Verifier_position_to_support_the_.json
006,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,"Offer monetary and/or non-monetary incentives to promote building retrofits, starting with LMI buildings.",Mitigation,Adaptation,M-2,policy_traces/006_Offer_monetary_andor_non_monetary_incentives_to_promote_buil.json
007,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Update Miami-Dade County Government's Electricity Master Plan.,Mitigation,,,policy_traces/007_Update_Miami_Dade_County_Governments_Electricity_Master_Plan.json
008,parent,,structural header,Approach 2: Expand on-site and off-site renewable energy generation.,Mitigation,Resource Efficiency,M-1,policy_traces/008_Approach_2_Expand_on_site_and_off_site_renewable_energy_gene.json
009,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,"Install 61,725 kW of solar energy by 2030 on County buildings, land, and water (equivalent to 7,498 homes' electricity use for one year).",Mitigation,Resource Efficiency,M-1,policy_traces/009_Install_61725_kW_of_solar_energy_by_2030_on_County_buildings.json
010,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,"Install 794,000 kW of solar energy by 2030 on commercial and residential buildings (equivalent to 104,014 homes' electricity use for one year).",Mitigation,Resource Efficiency,M-1,policy_traces/010_Install_794000_kW_of_solar_energy_by_2030_on_commercial_and_.json
011,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Maximize participation in utility-scale renewable energy programs.,Mitigation,Adaptation,M-2,policy_traces/011_Maximize_participation_in_utility_scale_renewable_energy_pro.json
012,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Complete installation of solar on County buildings as identified in Solar Feasibility Study Phase 2.,Mitigation,Resource Efficiency,M-1,policy_traces/012_Complete_installation_of_solar_on_County_buildings_as_identi.json
013,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Establish the Solar Energy Loan Fund program and similar financial mechanisms in Miami-Dade County.,Mitigation,Adaptation,M-2,policy_traces/013_Establish_the_Solar_Energy_Loan_Fund_program_and_similar_fin.json
014,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Require new County buildings to be solar ready.,Mitigation,,,policy_traces/014_Require_new_County_buildings_to_be_solar_ready.json
