policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Seattle_WA_US::2ccded346cdfd577e222aa15,Seattle_WA_US::2ccded346cdfd577e222aa15,sub,"Funding (Transportation Choices): secure adequate funding to implement the Transit, Bicycle, Pedestrian and Freight Master Plans and meet maintenance needs.","Renew and extend the time frame of the Bridging the Gap levy and prioritize investments in transit, pedestrian, and bicycling improvements and system maintenance.",Mitigation,,policy_traces/001_Renew_and_extend_the_time_frame_of_the_Bridging_the_Gap_levy.json,trace_initiative_policies_valid.csv,parent_statement,"Funding (Transportation Choices): secure adequate funding to implement the Transit, Bicycle, Pedestrian and Freight Master Plans and meet maintenance needs.",,,False,False,,,,,,
002,Seattle_WA_US::76c6071131d65980a41a1be0,Seattle_WA_US::76c6071131d65980a41a1be0,sub,"Funding (Transportation Choices): secure adequate funding to implement the Transit, Bicycle, Pedestrian and Freight Master Plans and meet maintenance needs.",Secure local or transit agency authority to levy a motor vehicle excise tax (MVET) at the City or County level.,Mitigation,,policy_traces/002_Secure_local_or_transit_agency_authority_to_levy_a_motor_veh.json,trace_initiative_policies_valid.csv,parent_statement,"Funding (Transportation Choices): secure adequate funding to implement the Transit, Bicycle, Pedestrian and Freight Master Plans and meet maintenance needs.",,,False,False,,,,,,
003,Seattle_WA_US::07149a5e7da30f76066bb54a,Seattle_WA_US::07149a5e7da30f76066bb54a,sub,"Funding (Transportation Choices): secure adequate funding to implement the Transit, Bicycle, Pedestrian and Freight Master Plans and meet maintenance needs.","Work with regional and state partners to adopt a transportation funding strategy, including mechanisms such as a city development authority, a tax on unpaid off-street parking in commercial areas, and comprehensive congestion pricing on limited access highways (and potentially arterials).",Mitigation,,policy_traces/003_Work_with_regional_and_state_partners_to_adopt_a_transportat.json,trace_initiative_policies_valid.csv,parent_statement,"Funding (Transportation Choices): secure adequate funding to implement the Transit, Bicycle, Pedestrian and Freight Master Plans and meet maintenance needs.",,,False,False,,,,,,
005,Seattle_WA_US::2ba58b668caae5d7491aef8b,Seattle_WA_US::2ba58b668caae5d7491aef8b,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Begin construction of 23rd Avenue priority bus corridor.,Mitigation,,policy_traces/005_Begin_construction_of_23rd_Avenue_priority_bus_corridor.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,,,,,,
006,Seattle_WA_US::ee3399cf66019751e78ddcc5,Seattle_WA_US::ee3399cf66019751e78ddcc5,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Complete the preliminary engineering and environmental analysis for the Center City Transit Connector.,Mitigation,,policy_traces/006_Complete_the_preliminary_engineering_and_environmental_analy.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,keep,0.74,True,,,False
007,Seattle_WA_US::7d50e796d3dfd43dbaaf1c52,Seattle_WA_US::7d50e796d3dfd43dbaaf1c52,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Develop a Freight Master Plan with goals to make freight movement more efficient and reduce its impact on greenhouse gas emissions.,Mitigation,,policy_traces/007_Develop_a_Freight_Master_Plan_with_goals_to_make_freight_mov.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,,,,,,
008,Seattle_WA_US::730e1fbed5b24f263572f7df,Seattle_WA_US::730e1fbed5b24f263572f7df,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Build bicycle lanes that are physically separated from traffic in the Center City.,Mitigation,,policy_traces/008_Build_bicycle_lanes_that_are_physically_separated_from_traff.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,,,,,,
009,Seattle_WA_US::0f29c84f052c10538dbee24e,Seattle_WA_US::0f29c84f052c10538dbee24e,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Expand on-street bicycle racks and facilitate provision of off-street bicycle parking and bike sharing.,Mitigation,,policy_traces/009_Expand_on_street_bicycle_racks_and_facilitate_provision_of_o.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,,,,,,
010,Seattle_WA_US::f49bd5e735342314f83fca84,Seattle_WA_US::f49bd5e735342314f83fca84,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Implement bicycle intersection safety improvements on heavily traveled bicycle corridors.,Mitigation,,policy_traces/010_Implement_bicycle_intersection_safety_improvements_on_heavil.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,,,,,,
011,Seattle_WA_US::3d1a15492087e908c84a3550,Seattle_WA_US::3d1a15492087e908c84a3550,sub,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",Improve sidewalks and crossings on arterial streets to connect Urban Centers and Villages.,Mitigation,,policy_traces/011_Improve_sidewalks_and_crossings_on_arterial_streets_to_conne.json,trace_initiative_policies_valid.csv,parent_statement,"Transportation Infrastructure & Service (Transportation Choices): implement actions to expand and improve transit, pedestrian, bicycle, and freight infrastructure and services.",,,False,False,keep,0.74,True,,,False
