policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Publish and implement Aotearoa New Zealand's first national adaptation plan (2022–28) as a government-led multi-year work programme prepared under the Climate Change Response Act 2002.,"This national adaptation plan is published by the Minister of Climate Change under section 5ZT of the Climate Change Response Act 2002.

This plan is a Government-led plan for all New Zealanders that brings together existing actions and proposed future work into a multi-year work programme. Together, these set out what central government will do over the next six years to enable all levels of government, sectors and communities and all New Zealanders to better understand the risks and take action to address them.",individual,,Our first national adaptation plan 2022-28 / A Government-led plan for all New Zealanders,Governance,Formal government plan published under legislation with a defined timeframe (2022–28) and a stated programme of actions.,1,individual,individual,,"The statement is grounded in the verbatim text: it describes publication of a national adaptation plan by the Minister under a specified section of the Climate Change Response Act 2002, and frames it as a six-year (2022–28) government-led work programme. However, the excerpt does not include any quantifiable outcome targets (e.g., % risk reduction, number of assets upgraded), only a process/plan commitment (“set out what central government will do over the next six years”). Under the strict individual-policy rule, lacking a measurable target makes it NON-SOUND despite the clear legal basis and timeframe.",No,Yes,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text describes a plan/work programme but provides no measurable outcome (e.g., % reduction, # actions completed): “brings together existing actions and proposed future work into a multi-year work programme.” Timeline: Yes — explicit multi-year period: “national adaptation plan (2022–28)” and “over the next six years.” Binding mechanism: Yes — statutory publication authority is explicit: “published by the Minister of Climate Change under section 5ZT of the Climate Change Response Act 2002.” Spatial specificity: Yes — applies nationally: “for all New Zealanders” / “all New Zealanders.” Weak language: Yes — capability/enablement framing without hard targets: “to enable… to better understand the risks and take action.” Strong language: No — no mandated numeric deliverables are stated. STRICT VALID RULE fails because gold standard is not met (has_quantifiable_target=No).",False
"Oversee implementation of the emissions reduction plan and national adaptation plan through a climate change interdepartmental executive board and the Climate Change Response Ministers Group, with biennial reporting by the Climate Change Commission.","A climate change interdepartmental executive board will oversee the emissions reduction plan and national adaptation plan, and report on progress. The Climate Change Response Ministers Group, chaired by the Prime Minister, will oversee the plan and drive progress.

Every two years, He Pou a Rangi - Climate Change Commission will report to the Minister of Climate Change on the implementation and effectiveness of the national adaptation plan.",individual,,Implementing the plan and making sure it is effective,Governance,"Creates specific governance and reporting arrangements, including a two-yearly reporting commitment.",2,individual,individual,,"This statement establishes governance structures (an interdepartmental executive board and a ministers group) and a fixed reporting cadence (every two years) for oversight of existing plans. However, it does not include any quantifiable emissions/adaptation outcome target (e.g., % reductions by a year), and the commitments are largely procedural (“oversee”, “report on progress”) rather than an auditable performance deliverable. With timeline present but no measurable outcome target, it fails the gold-standard rule for an individual policy and is therefore NON-SOUND.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text commits to oversight and reporting but contains no measurable outcome (no %, MtCO2e, number of projects, etc.). Evidence: “will oversee the emissions reduction plan and national adaptation plan, and report on progress.” Timeline: Yes—explicit cadence “Every two years … will report”. Binding mechanism: No—no ordinance/mandate/regulatory requirement is stated; phrasing is descriptive of arrangements (“will oversee”, “will report”) without an enforceable legal instrument cited. Spatial specificity: No—no explicit jurisdictional scope like ‘nationally across New Zealand’ is stated in the excerpt (it references national plans but not a defined place of applicability). Weak language: Yes—procedural/oversight verbs without targets: “oversee”, “drive progress”, “report on progress”. Strong language: No—no hard-number requirement verbs. STRICT VALID RULE check: fails because has_timeline=Yes but has_quantifiable_target=No, so not GOLD STANDARD; additionally commitments are process-oriented rather than auditable outcome deliverables.",False
Action 3.1: Provide access to the latest climate projections data by producing national climate projection datasets for Aotearoa by January 2023.,"## Action 3.1: Provide access to the latest climate projections data

The National Institute of Water and Atmospheric Research (NIWA) Projections Project is working to make the global climate projections from the most recent Intergovernmental Panel on Climate Change (IPCC) report (AR6 WG1) more applicable to Aotearoa.

By January 2023, national climate projection datasets for Aotearoa are being produced.",individual,,Action 3.1: Provide access to the latest climate projections data,Data & Information,Named government action with a clear deliverable and deadline (national datasets by January 2023).,3,individual,individual,,"The statement is an individual policy action with an auditable deliverable (“national climate projection datasets for Aotearoa”) and an explicit deadline (“By January 2023”). It is measurable in terms of completion (datasets produced) and is spatially specific (Aotearoa). However, it does not clearly indicate a binding/enforceable mechanism (e.g., legal requirement), and the phrasing (“is working”, “are being produced”) is more descriptive than directive, though still tied to a concrete deliverable.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.78,"Quantifiable target: The deliverable is a concrete, auditable output—""national climate projection datasets for Aotearoa are being produced""—which can be verified as completed (datasets exist/published), even though no numeric quantity is specified. Timeline: Explicit deadline is provided—""By January 2023"". Binding mechanism: No ordinance/mandate/regulatory requirement is stated; text uses program description—""is working to make""—without enforcement language. Spatial specificity: Clearly scoped to ""Aotearoa"". Weak language: Present via process framing—""is working to make""—and passive construction—""are being produced""—rather than a firm requirement. Strong language: No clear mandate/require/install/achieve phrasing with hard numbers. STRICT VALID RULE check: Although timeline and target are present, weak_language_detected is 'Yes' and has_binding_mechanism is 'No', so condition (3) fails; therefore marked NON-SOUND under the strict rule despite being fairly actionable.",False
"Action 3.3: Establish a platform for Māori climate action, including an interim ministerial advisory committee by end of 2022 and development of an enduring platform by 2024, with funding for kaupapa Māori, tangata Māori climate actions.","## Action 3.3: Establish a platform for Māori climate action

The platform will build on three focus areas: ... activate kaupapa Māori, tangata Māori solutions - to enable community action, kaupapa Māori, tangata Māori actions and solutions for the climate emergency will be funded.

By the end of 2022, the Interim Ministerial Committee will be established. By 2024, phase two of the platform for Māori climate action will be developed.",individual,,Action 3.3: Establish a platform for Māori climate action,Governance,"Specific institutional mechanism with stated phases, deadlines, and resourcing/funding intent.",4,individual,individual,,"The text commits to establishing governance structures (an Interim Ministerial Committee by end of 2022 and developing phase two of a platform by 2024), which is auditable and time-bound. However, it does not specify any measurable climate outcome (e.g., number of projects funded, emissions reduced, communities served, or dollars allocated). “Will be funded” indicates intent to resource actions but lacks a quantifiable target, so it does not meet the gold-standard requirement for an individual policy.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text says actions/solutions 'will be funded' but provides no measurable outcome (no $ amount, number of initiatives, or emissions/coverage metric). Timeline: Yes — 'By the end of 2022, the Interim Ministerial Committee will be established. By 2024, phase two... will be developed.' Binding mechanism: No — no ordinance/mandate/regulatory requirement is stated; it is a plan/commitment. Spatial specificity: Yes — explicitly applies to 'Māori climate action' / 'kaupapa Māori, tangata Māori' communities (a defined target population). Weak language: Yes — 'will build on' and 'will be funded' without hard targets indicates non-specific commitment. Strong language: No — while 'will be established/developed' is directive, there are no hard numerical targets attached. STRICT VALID RULE fails because has_quantifiable_target='No' (gold standard not met).",False
"Action 3.4: Raise awareness of climate hazards and preparedness through public education campaigns, including development of a public education strategy for natural hazards by end of March 2024.","## Action 3.4: Raise awareness of climate hazards and how to prepare

Enable and work with communities... to make emergency preparedness a part of everyday life through public awareness and advice. Examples are public education campaigns and resources...

By the end of March 2024, a public education strategy will be developed for natural hazards, and there will be increased availability of information on preparedness for extreme weather events.",individual,,Action 3.4: Raise awareness of climate hazards and how to prepare,Disaster Risk Management,Clear government-led public education commitment with a timeline and defined output (strategy).,5,individual,individual,,"The statement includes an auditable deliverable (“a public education strategy will be developed”) with a specific deadline (“by the end of March 2024”), which satisfies binding timeline and a concrete output. However, it lacks a quantifiable outcome target (e.g., number of campaigns delivered, % population reached, number of resources produced), and the “increased availability of information” portion is not measurable as written. Because the strict rule for individual policies requires both a timeline and a quantifiable target, it is NON-SOUND despite having a deadline.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text commits to outputs/process but does not specify measurable outcome metrics (e.g., # campaigns, # people reached, % increase). Phrases like “increased availability of information on preparedness” are not quantified.
Timeline: Yes. Explicit deadline: “By the end of March 2024, a public education strategy will be developed”.
Binding mechanism: No. No ordinance/mandate/code/enforcement mechanism is stated; it is a plan/action item.
Spatial specificity: No. No location/jurisdiction is specified in the excerpt (e.g., citywide, specific neighborhoods).
Weak language: Yes. Includes non-auditable phrasing such as “Raise awareness”, “Enable and work with communities…”, and “increased availability of information”, which lack hard metrics.
Strong language: No. While “will be developed” is a commitment, it is not paired with hard numeric targets.
Strict rule check: Fails because has_quantifiable_target='No' (gold standard requires both timeline and quantifiable target). Therefore NON-SOUND.",False
Action 3.5: Implement mandatory climate-related disclosures for about 200 of New Zealand's largest financial market participants and decide by 2024 whether to extend mandatory disclosures to public entities.,"## Action 3.5: Support high-quality implementation of climate-related disclosures and explore expansion

The Financial Sector (Climate-related Disclosures and Other Matters) Amendment Act 2021 requires about 200 of Aotearoa New Zealand's largest financial market participants to analyse and publicly disclose their climate-related risks and opportunities each year.

The Government will decide whether to extend mandatory disclosure requirements to public entities by 2024.",individual,,Action 3.5: Support high-quality implementation of climate-related disclosures and explore expansion,Finance,Binding mechanism (Amendment Act requirement) with quantified coverage and a specified future government decision point.,6,individual,individual,,"The verbatim text contains a binding legal mechanism (“Amendment Act 2021 requires…”) and a quantified scope (“about 200… participants”) plus an explicit decision year (“by 2024”) about possible expansion. However, it does not set a quantifiable *outcome* target beyond compliance scope (it mandates annual disclosure but does not specify measurable performance outcomes like emissions reductions, % compliance achieved, etc.). The 2024 item is a decision point (“will decide whether…”) rather than a committed deliverable to extend disclosures. Because the strict rule for individual policies requires both an explicit timeline and a quantifiable outcome target, this is NON-SOUND under the provided rubric (despite being a real binding requirement).",No,Yes,Yes,Yes,Yes,Yes,NON-SOUND,0.4,"Quantifiable target: NO. The text quantifies covered entities ('about 200 of ... largest financial market participants') but does not specify a measurable outcome target (e.g., % compliance by a date, emissions reductions, or other performance metrics). Timeline: YES, because it states 'by 2024' for the decision ('will decide whether to extend ... by 2024'). Binding mechanism: YES, due to 'The Financial Sector (Climate-related Disclosures and Other Matters) Amendment Act 2021 requires ... to analyse and publicly disclose ... each year.' Spatial specificity: YES, it applies to 'Aotearoa New Zealand's ... participants' (national scope). Weak language: YES, as expansion is framed as a decision to be made ('will decide whether to extend...') rather than a commitment to extend. Strong language: YES, because 'requires' indicates a mandate for annual disclosures. Strict rule fails because has_quantifiable_target is 'No' (gold standard unmet), so overall is NON-SOUND.",False
"Action 3.6: Improve natural hazard information on Land Information Memoranda (LIMs) by changing legal requirements, with likely legislative changes to the Local Government Official Information and Meetings Act 1987 by end of 2023.","## Action 3.6: Improve natural hazard information on Land Information Memoranda

Changes to legal requirements for Land Information Memoranda (LIMs) will help people make better-informed decisions about natural hazard risk when buying a property.

By end of 2023, legislative changes will likely have been made to the Local Government Official Information and Meetings Act 1987 to provide for improved natural hazard disclosure in LIMs.",individual,,Action 3.6: Improve natural hazard information on Land Information Memoranda,Governance,Explicit commitment to legal change with a deadline and purpose tied to hazard disclosure.,7,individual,individual,,"The text describes an intended legislative change to improve natural hazard disclosure on LIMs, with an explicit deadline (“By end of 2023”). However, it does not specify a measurable outcome (e.g., percentage of LIMs with hazard info, specific disclosure fields required, number of councils covered). It also uses probabilistic language (“will likely have been made”), weakening the commitment. Therefore it is not sufficiently measurable under the strict rule.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text commits to 'improved natural hazard disclosure in LIMs' but provides no measurable outcome/metric.
Timeline: Yes — 'By end of 2023'.
Binding mechanism: No — it references prospective 'legislative changes' but does not state an enacted mandate/ordinance; additionally it is framed as uncertain.
Spatial specificity: No — no explicit jurisdictional scope (e.g., nationwide, specific councils) is stated beyond the generic LIMs context.
Weak language: Yes — 'legislative changes will likely have been made' is probabilistic.
Strong language: No — no mandatory verb paired with hard numbers/targets; the key commitment is softened by 'likely'.
Strict valid rule: Fails gold standard because has_quantifiable_target='No'. Also fails language strength because weak language is present and no binding mechanism is evidenced.",False
"Action 3.8: Develop and publish guidance for infrastructure asset owners to assess climate risks to physical assets and services, with publication by 2026.","## Action 3.8: Develop guidance for assessing risk and impact on physical assets and the services they provide

Te Waihanga will scope and deliver guidance for asset owners to evaluate risks to their physical assets and the services they provide.

By 2026, the guidance will be published.",individual,,Action 3.8: Develop guidance for assessing risk and impact on physical assets and the services they provide,Infrastructure,Named guidance action with a clear deliverable and deadline (publish by 2026).,8,individual,individual,,"This is an actionable commitment to produce a specific deliverable (“guidance”) with an explicit deadline (“By 2026”). However, it lacks a quantifiable outcome target beyond the binary act of publication (no measurable performance metric such as number of asset owners covered, adoption rate, or risk assessments completed). The language is largely delivery-oriented (“will scope and deliver”), but it is not a binding mandate on asset owners.",No,Yes,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text specifies a deliverable (guidance) but no measurable outcome metric (e.g., % of owners using it, # assessments completed). Evidence: “deliver guidance for asset owners…” and “the guidance will be published.” Timeline: Yes. Evidence: “By 2026, the guidance will be published.” Binding mechanism: No. There is no ordinance/requirement; it is an agency commitment to produce guidance, not an enforceable mandate on others. Spatial specificity: No. No location/jurisdiction scope is stated beyond generic “asset owners.” Weak language: No. It uses commitment language (“will scope and deliver,” “will be published”) rather than “encourage/explore.” Strong language: No. While “will” indicates intent, there are no hard numeric requirements/targets.",False
Action 3.10: Assess socioeconomic and climate vulnerability for Māori by collecting and analysing social data against climate data to target resilience support.,"## Action 3.10: Assess socioeconomic and climate vulnerability for Māori

This action will collect and analyse social data against climate data to determine where support for resilience is most needed.",individual,,Action 3.10: Assess socioeconomic and climate vulnerability for Māori,Communities,Specific intervention to produce an assessment to guide targeted support.,9,individual,individual,,"The statement describes a process activity (collecting and analysing data) intended to inform where resilience support is needed, but it does not include any measurable outcome target (e.g., number of assessments completed, coverage %, support delivered) or any deadline/year. The language is descriptive (“will collect and analyse… to determine…”) without an enforceable mechanism. Under the strict rule for individual policies, missing both a quantifiable target and a timeline makes it NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text states it ""will collect and analyse social data against climate data"" but gives no measurable outcome (no % coverage, number of communities/assessments, or resilience-support quantities). Timeline: No—no deadline/year is provided. Binding mechanism: No—there is no ordinance/mandate/requirement; it is framed as an action description. Spatial specificity: No—""where support for resilience is most needed"" does not specify a defined jurisdiction or locations. Weak language: Yes—primarily a process to ""determine"" need; it is assessment-oriented without a hard deliverable metric. Strong language: No—no 'require/mandate/achieve' plus hard numbers. Therefore it fails the gold standard (no timeline and no quantifiable target) and is NON-SOUND.",False
"Action 3.11: Implement the National Disaster Resilience Strategy by designing a pathway to give effect to its vision, goals and objectives.","## Action 3.11: Implement the National Disaster Resilience Strategy

The National Emergency Management Agency (NEMA) will design a pathway to give effect to the National Disaster Resilience Strategy's vision, goals and objectives.",individual,,Action 3.11: Implement the National Disaster Resilience Strategy,Disaster Risk Management,Commitment to implement an existing national strategy via a defined pathway.,10,individual,individual,,"The statement commits NEMA to “design a pathway” to implement an existing strategy, but it does not specify any measurable outcomes (targets), any deadline/year, or any binding/enforceable mechanism. This is primarily a planning/process commitment (designing a pathway) rather than an auditable delivery commitment with quantified results, so it fails the strict validity rule for individual policies.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text only says NEMA 'will design a pathway to give effect to the ... vision, goals and objectives' and provides no measurable outcome (no %/number/by X). Timeline: No—no date/year/deadline is stated. Binding mechanism: No—no ordinance/mandate/regulation/enforcement language; it is an agency intention ('will design'). Spatial specificity: No—no location/scope such as 'nationwide', 'communities', or named regions is provided in the quoted text. Weak language: Yes—commitment is framed as planning ('design a pathway') rather than delivering quantified implementation outcomes. Strong language: No—no hard requirements paired with numbers. Therefore it fails the gold-standard requirement (timeline+quantifiable target) and is NON-SOUND.",False
