policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Miami_Dade_Florida_United_States::ca74a9a8cf8caab800899926,Miami_Dade_Florida_United_States::ca74a9a8cf8caab800899926,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Benchmark 1.3 billion square feet of communitywide buildings by 2026.,Mitigation,,,policy_traces/001_Benchmark_13_billion_square_feet_of_communitywide_buildings_.json,,,False,False,,,keep,0.86,True,,,False
002,Miami_Dade_Florida_United_States::4e2c900d7d68febc1e9ca631,Miami_Dade_Florida_United_States::4e2c900d7d68febc1e9ca631,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,"Retrofit 167,500 homes by 2030 to reduce energy costs 28%, prioritizing Low- to Moderate-Income (LMI) homes.",Mitigation,,,policy_traces/002_Retrofit_167500_homes_by_2030_to_reduce_energy_costs_28_prio.json,,,False,False,,,keep,0.86,True,,,False
003,Miami_Dade_Florida_United_States::8cd90e2ad0844f3a0fe9b215,Miami_Dade_Florida_United_States::8cd90e2ad0844f3a0fe9b215,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Adopt a Building Performance Ordinance to ensure benchmarking and retuning of large existing buildings community-wide.,Mitigation,,,policy_traces/003_Adopt_a_Building_Performance_Ordinance_to_ensure_benchmarkin.json,,,False,False,,,keep,0.88,True,,,False
004,Miami_Dade_Florida_United_States::58bb986f57396aee328b0658,Miami_Dade_Florida_United_States::58bb986f57396aee328b0658,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,"Expand weatherization assistance through repairs and upgrades to improve energy efficiency, safety, and comfort in Low to Moderate Income (LMI) housing.",Mitigation,,,policy_traces/004_Expand_weatherization_assistance_through_repairs_and_upgrade.json,,,False,False,,,keep,0.86,True,,,False
005,Miami_Dade_Florida_United_States::74dc47814ea7d340e25826cd,Miami_Dade_Florida_United_States::74dc47814ea7d340e25826cd,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Create a Quality Assurance Verifier position to support the guidelines and applicability of the Building Performance Ordinance.,Mitigation,,,policy_traces/005_Create_a_Quality_Assurance_Verifier_position_to_support_the_.json,,,False,False,,,keep,0.86,True,,,False
006,Miami_Dade_Florida_United_States::985a8895898a1a06be08a56a,Miami_Dade_Florida_United_States::985a8895898a1a06be08a56a,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,"Offer monetary and/or non-monetary incentives to promote building retrofits, starting with LMI buildings.",Mitigation,,,policy_traces/006_Offer_monetary_andor_non_monetary_incentives_to_promote_buil.json,,,False,False,,,keep,0.9,True,,,False
007,Miami_Dade_Florida_United_States::2460d2b1769fbd6db717bf1f,Miami_Dade_Florida_United_States::2460d2b1769fbd6db717bf1f,sub,"Approach 1: Benchmark, retune, and retrofit existing buildings to reduce emissions from energy use in buildings.",structural header,Update Miami-Dade County Government's Electricity Master Plan.,Mitigation,,,policy_traces/007_Update_Miami_Dade_County_Governments_Electricity_Master_Plan.json,,,False,False,,,,,,,,
009,Miami_Dade_Florida_United_States::59f073ac050ff7f93b363870,Miami_Dade_Florida_United_States::59f073ac050ff7f93b363870,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,"Install 61,725 kW of solar energy by 2030 on County buildings, land, and water (equivalent to 7,498 homes' electricity use for one year).",Mitigation,,,policy_traces/009_Install_61725_kW_of_solar_energy_by_2030_on_County_buildings.json,,,False,False,,,,,,,,
010,Miami_Dade_Florida_United_States::5af6e123a8ad2a3a6665cdb7,Miami_Dade_Florida_United_States::5af6e123a8ad2a3a6665cdb7,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,"Install 794,000 kW of solar energy by 2030 on commercial and residential buildings (equivalent to 104,014 homes' electricity use for one year).",Mitigation,,,policy_traces/010_Install_794000_kW_of_solar_energy_by_2030_on_commercial_and_.json,,,False,False,,,,,,,,
011,Miami_Dade_Florida_United_States::e8decefab827225162376b3a,Miami_Dade_Florida_United_States::e8decefab827225162376b3a,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Maximize participation in utility-scale renewable energy programs.,Mitigation,,,policy_traces/011_Maximize_participation_in_utility_scale_renewable_energy_pro.json,,,False,False,,,,,,,,
012,Miami_Dade_Florida_United_States::bded3c7fe4ea9c64aa49c41f,Miami_Dade_Florida_United_States::bded3c7fe4ea9c64aa49c41f,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Complete installation of solar on County buildings as identified in Solar Feasibility Study Phase 2.,Mitigation,,,policy_traces/012_Complete_installation_of_solar_on_County_buildings_as_identi.json,,,False,False,,,,,,,,
013,Miami_Dade_Florida_United_States::7f2bb65a89c3da292512316b,Miami_Dade_Florida_United_States::7f2bb65a89c3da292512316b,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Establish the Solar Energy Loan Fund program and similar financial mechanisms in Miami-Dade County.,Mitigation,,,policy_traces/013_Establish_the_Solar_Energy_Loan_Fund_program_and_similar_fin.json,,,False,False,,,,,,,,
014,Miami_Dade_Florida_United_States::78bd5ff9b84625c0eee48b1a,Miami_Dade_Florida_United_States::78bd5ff9b84625c0eee48b1a,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Require new County buildings to be solar ready.,Mitigation,,,policy_traces/014_Require_new_County_buildings_to_be_solar_ready.json,,,False,False,,,keep,0.9,True,,,False
015,Miami_Dade_Florida_United_States::f9d113a731f06c0219799e2b,Miami_Dade_Florida_United_States::f9d113a731f06c0219799e2b,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Cut soft costs for installing on-site solar energy.,Mitigation,,,policy_traces/015_Cut_soft_costs_for_installing_on_site_solar_energy.json,,,False,False,,,,,,,,
016,Miami_Dade_Florida_United_States::863aace96901a2b1d4791d76,Miami_Dade_Florida_United_States::863aace96901a2b1d4791d76,sub,Approach 2: Expand on-site and off-site renewable energy generation.,structural header,Execute an agreement with the U.S. Department of Energy's National Renewable Energy Laboratory (NREL) to pursue mutually beneficial projects to reduce greenhouse gas emissions.,Mitigation,,,policy_traces/016_Execute_an_agreement_with_the_US_Department_of_Energys_Natio.json,,,False,False,,,,,,,,
018,Miami_Dade_Florida_United_States::2054a12a52ea781d055ef3d9,Miami_Dade_Florida_United_States::2054a12a52ea781d055ef3d9,sub,Approach 3: Build ultra-low energy buildings.,structural header,Reduce energy use of new buildings 20% by 2030 below 2020 levels.,Mitigation,,,policy_traces/018_Reduce_energy_use_of_new_buildings_20_by_2030_below_2020_lev.json,,,False,False,,,keep,0.93,True,,,False
