policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Tokyo_Japan::189d9d533ade5293ea602b19,Tokyo_Japan::189d9d533ade5293ea602b19,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will develop regulating reservoirs (including extending the Wide-Area Regulating Reservoir under Loop Road No. 7 as an underground river), improve river discharge capacity in the Tama area, and implement preventive river maintenance using ICT/AI for inspections.",Adaptation,,policy_traces/001_TMG_will_develop_regulating_reservoirs_including_extending_t.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
002,Tokyo_Japan::df440b383eabf16eddbfa67d,Tokyo_Japan::df440b383eabf16eddbfa67d,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will develop sewerage trunk lines and storage to handle 75 mm/hour rainfall in high-risk areas, verify sewerage capacity via runoff simulation for 75 mm/hour rainfall, and strengthen countermeasures in newly identified high-risk districts.",Adaptation,,policy_traces/002_TMG_will_develop_sewerage_trunk_lines_and_storage_to_handle_.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
003,Tokyo_Japan::e0ddb972a9b2227580e21eed,Tokyo_Japan::e0ddb972a9b2227580e21eed,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will set non-binding rainwater runoff control targets (equivalent to 10 mm/hour rainfall) for municipalities, post progress information, consider expanding subsidized prioritized basins, conduct model projects with municipalities, and promote greening to reduce flood damage.",Adaptation,,policy_traces/003_TMG_will_set_non_binding_rainwater_runoff_control_targets_eq.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
004,Tokyo_Japan::92337aa6af2f0e521c9d9c55,Tokyo_Japan::92337aa6af2f0e521c9d9c55,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",TMG will use digital technology to improve disaster preparedness functions of agricultural canal reservoirs and intake gates.,Adaptation,,policy_traces/004_TMG_will_use_digital_technology_to_improve_disaster_prepared.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
005,Tokyo_Japan::93f8d8360410aa51b5f8df02,Tokyo_Japan::93f8d8360410aa51b5f8df02,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will develop storm surge protection facilities for the eastern lowlands, formulate the next Port of Tokyo Coastal Conservation Facilities Development Plan, develop coastal conservation facilities considering climate impacts, and enable remote floodgate operations and monitoring.",Adaptation,,policy_traces/005_TMG_will_develop_storm_surge_protection_facilities_for_the_e.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
006,Tokyo_Japan::a6fb526a06dba6dafcb0e570,Tokyo_Japan::a6fb526a06dba6dafcb0e570,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will construct coastal conservation facilities (e.g., detached breakwaters) on islands to protect coastal villages from high tidal waves caused by typhoons and other disasters.",Adaptation,,policy_traces/006_TMG_will_construct_coastal_conservation_facilities_eg_detach.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
007,Tokyo_Japan::35668166440c963a43bacda9,Tokyo_Japan::35668166440c963a43bacda9,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",TMG will promote removal of utility poles and strengthen support for municipality roads under the Strategy for Accelerating the Removal of Utility Poles.,Adaptation,,policy_traces/007_TMG_will_promote_removal_of_utility_poles_and_strengthen_sup.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
008,Tokyo_Japan::2cb22a4108a43027be2c5f02,Tokyo_Japan::2cb22a4108a43027be2c5f02,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will build redundancy in roads/bridges for disasters by building a highway network, constructing new bridges (including along borders with Chiba), improving access roads to the Tachikawa Wide-Area Disaster Management Base, and upgrading emergency transport routes (bridges, alternative routes, widening).",Adaptation,,policy_traces/008_TMG_will_build_redundancy_in_roadsbridges_for_disasters_by_b.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
009,Tokyo_Japan::302e48d81ccbb65495537b4e,Tokyo_Japan::302e48d81ccbb65495537b4e,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",TMG will diagnose and systematically renew roadside trees in areas with many fallen trees to strengthen their disaster preparedness function.,Adaptation,,policy_traces/009_TMG_will_diagnose_and_systematically_renew_roadside_trees_in.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
010,Tokyo_Japan::30d494d370fd99f0dbf9ae58,Tokyo_Japan::30d494d370fd99f0dbf9ae58,sub,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.","TMG will improve stability of water supply by doubling water conveyance facilities, building wide-area transmission pipe networks with a dual system, and burying pipelines that cross rivers.",Adaptation,,policy_traces/010_TMG_will_improve_stability_of_water_supply_by_doubling_water.json,trace_initiative_policies_valid.csv,parent_statement,"TMG will promote structural and non-structural measures for natural disasters using state-of-the-art technologies and urban facility development, and further improve initiatives to cope with larger typhoons and more frequent heavy rains.",,,False,False,,,,,,
