policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Hong Kong will strive to achieve carbon neutrality before 2050 and set more proactive strategies and measures to reduce carbon emissions.,"The Chief Executive announced in the 2020 Policy Address that Hong Kong would strive to achieve carbon neutrality before 2050.

The Hong Kong Special Administrative Region will strive to achieve carbon neutrality before  2050.  To  this  end,  the  Government will  set  out  more  proactive  strategies  and measures to reduce carbon emissions.",individual,,Hong Kong's Targets,Economy-wide,Explicit government commitment with a clear deadline (before 2050) and stated intent to implement strategies/measures to reduce emissions.,4,individual,individual,,"The verbatim text contains an economy-wide aspiration (“strive to achieve carbon neutrality”) with a timeframe (“before 2050”), but it does not specify any measurable interim or final quantified target definition, sectoral targets, or enforceable mechanism. The language is weak/aspirational (“strive”) and the “strategies and measures” are not described as binding requirements. Under the strict rule for individual policies, missing a quantifiable target makes this NON-SOUND and caps confidence.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: The text says Hong Kong would ""strive to achieve carbon neutrality before 2050"" but provides no measurable emissions pathway, % reductions, caps, or interim milestones; 'carbon neutrality' is stated as an aim without quantified metrics in the excerpt. Timeline: Explicitly states ""before 2050"". Binding mechanism: No indication of an ordinance/mandate/regulation; it says the Government ""will set out more proactive strategies and measures"" which is not an enforceable requirement. Spatial specificity: Applies to ""Hong Kong"" / ""The Hong Kong Special Administrative Region"". Weak language: Uses aspirational wording ""would strive"" and ""will strive"". Strong language: No mandatory verbs with hard numbers are present. STRICT VALID RULE fails because has_quantifiable_target='No' (gold standard not met) and weak language is present without any binding mechanism.",False
Hong Kong aims to reduce total carbon emissions by 50% from the 2005 level before 2035 (from about 40 million tonnes to nearly 20 million tonnes).,"Adopting the prevailing technologies that are relatively mature and cost-effective, we aim to reduce the total carbon emissions by half before 2035 from the 2005 level, i.e. from about 40 million tonnes in 2005 to nearly 20 million tonnes in 2035.",individual,,Medium-term Decarbonisation Targets,Economy-wide,Quantified economy-wide emissions target with timeframe and baseline.,5,individual,individual,,"The statement includes a quantified, outcome-based emissions reduction target (halve total carbon emissions from ~40 Mt to ~20 Mt) with a clear baseline year (2005) and a deadline (“in 2035” / “before 2035”). However, the verbatim text uses weak, non-binding language (“we aim”) and does not specify an enforceable legal mechanism (e.g., mandate/ordinance). Under the strict rule, it has the “gold standard” (timeline + quantifiable target) but fails the language-strength condition because weak language is present and there is no binding mechanism cited. Therefore it is NON-SOUND.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.78,"Quantifiable target: Present — ""reduce the total carbon emissions by half"" and quantified as ""from about 40 million tonnes in 2005 to nearly 20 million tonnes in 2035."" Timeline: Present — ""before 2035"" and explicitly ""in 2035."" Binding mechanism: Not evidenced — no ordinance/mandate/requirement stated; instead it says ""we aim to reduce"" which is aspirational. Spatial specificity: Implicit jurisdiction-wide — the target is stated for Hong Kong's total carbon emissions (economy-wide). Weak language: Present — ""we aim to reduce"". Strong language: Absent — no enforceable verbs like ""require/mandate"" tied to the target. STRICT VALID RULE check: although timeline==Yes and quantifiable_target==Yes, weak_language_detected==Yes and has_binding_mechanism==No, so the language-strength condition fails; therefore NON-SOUND.",False
"The Government will invest about HK$240 billion over the next 15–20 years to implement mitigation and adaptation measures, including energy saving and green buildings, renewable energy, green transport, and waste management.","The Government will be investing another HK$240 billion to support a series of actions to combat climate change.

The Government plans to allocate about $240 billion in the next 15 to 20 years to implement mitigation and adaptation measures to combat climate change, including the four main actions mentioned in this Chapter, covering energy saving and green buildings, RE, green transport and waste management, etc.",individual,,Message from the Chief Executive / Climate Budget,Cross-sector,Concrete resource allocation with an amount and time horizon tied to implementation of climate actions.,6,individual,individual,,"This statement is primarily a budget allocation (“about HK$240 billion”) over a broad time horizon (“next 15 to 20 years”) to “support a series of actions” across multiple areas. While it indicates intent to fund climate measures, it does not specify measurable outcome targets (e.g., emissions reduced, MW of renewables, number of buildings retrofitted) or enforceable requirements. Therefore it is not auditable/measurable enough under the strict individual-policy rule and should be classified as NON-SOUND.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The only number is a budget figure: ""allocate about $240 billion"" / ""investing another HK$240 billion""; this is an input, not a measurable outcome (no % reduction, capacity, units, etc.). Timeline: Yes. The text specifies a time horizon: ""in the next 15 to 20 years."" Binding mechanism: No. It says ""plans to allocate"" and ""will be investing"" but does not cite an ordinance/mandate/required standard or enforcement mechanism. Spatial specificity: No. No jurisdictional or geographic scope is stated beyond generic ""The Government"". Weak language: Yes. Uses non-auditable phrasing without outcome targets, e.g., ""support a series of actions"" and ""plans to allocate"" and broad ""including ... etc."" Strong language: No. No required actions with hard outcome numbers. STRICT VALID RULE check: Fails gold standard because has_quantifiable_target='No' (even though timeline is present); also fails language-strength condition because weak_language_detected='Yes' and has_binding_mechanism='No'.",False
The Government Green Bond Programme will continue with planned green bond issuance totaling about HK$175.5 billion within five years (2021-22 onward) and plans to issue retail green bonds.,"We plan to issue green bonds further, totalling  some HK$175.5  billion  within  the  next  five  years from  2021-22,  having  regard  to  the  market situation.

In  view  of  the growing interest of the general public in green and sustainable development, the Government is also planning to issue retail green bonds to provide opportunities for  members  of  the public  to  take  part  in  green  finance",individual,,Regional Centre for Green Finance,Finance,Specific financing policy with quantified issuance plan and a concrete instrument (retail green bonds).,7,individual,individual,,"This is a concrete financing action (issuing green bonds), and it includes an explicit amount (HK$175.5 billion) and a time window (“within the next five years from 2021-22”). However, the quantified figure is a budget/financing volume, not a measurable climate OUTCOME (e.g., emissions reduced, MW installed, buildings retrofitted). The language is also explicitly conditional (“plan… having regard to the market situation”), which weakens enforceability. Therefore it fails the strict “individual policy” gold standard requiring both a timeline and a quantifiable outcome target.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target (OUTCOME): The text quantifies bond issuance volume, not an outcome. Evidence: ""totalling some HK$175.5 billion"" refers to financing size; there is no stated measurable climate result (e.g., emissions reduction, capacity installed). Per rule, budget/finance figures alone -> has_quantifiable_target=No. Timeline: Evidence: ""within the next five years from 2021-22"" gives an explicit time window -> has_timeline=Yes. Binding mechanism: Wording is a plan/intent with discretion. Evidence: ""We plan to issue"" and ""having regard to the market situation"" and ""planning to issue"" indicate non-binding intent -> has_binding_mechanism=No. Spatial specificity: No jurisdictional scope like ""Hong Kong"" or ""citywide"" is explicitly stated in the excerpt (only ""the Government"") -> has_spatial_specificity=No. Weak language: Evidence: ""plan"" / ""planning"" and conditionality ""having regard to the market situation"" -> weak_language_detected=Yes. Strong language: No mandate/require/shall with hard outcome numbers -> strong_language_detected=No. STRICT VALID RULE fails because has_quantifiable_target is No (and weak language present without binding mechanism).",False
The Government will review Hong Kong’s Climate Action Plan about every five years to update strategies and targets for decarbonisation and other climate actions.,"We will, in line with the spirit of the Paris Agreement, review Hong Kong's Climate Action Plan about every five years to update the strategies and targets for decarbonisation and other actions to combat climate change.",individual,,Steering and Coordination,Governance,Institutionalized review cycle (time-bound process commitment) for updating climate strategies/targets.,8,individual,individual,,"This is a process commitment to periodically “review” and “update” the Climate Action Plan, not a commitment to deliver a specific emissions outcome or implementation milestone. It includes an approximate cadence (“about every five years”) but no explicit deadline year and no measurable target in the quoted text. Language is weak/aspirational (“in line with the spirit… review… update”) and there is no binding mechanism described.",No,No,No,Yes,Yes,No,NON-SOUND,0.25,"Quantifiable target: No — the text only says it will ""update the strategies and targets"" but does not state any measurable outcome (no %, MtCO2e, MW, etc.). Timeline: No — ""about every five years"" is a vague cadence and does not provide an explicit deadline/year (e.g., by 2030). Binding mechanism: No — no ordinance/mandate/regulation is referenced; phrased as ""We will... review"". Spatial specificity: Yes — applies to ""Hong Kong's Climate Action Plan"" (Hong Kong). Weak language: Yes — ""in line with the spirit... review... update"" indicates a non-auditable process. Strong language: No — no required action with hard numbers. Under the strict rule, it fails the gold standard (no timeline + no quantifiable target) and is therefore NON-SOUND.",False
"A Steering Committee on Climate Change and Carbon Neutrality chaired by the Chief Executive was established in mid-2021 to formulate strategy and oversee implementation and coordination, adopting a whole-government approach.",The Steering  Committee  on  Climate  Change and Carbon Neutrality under the chairmanship of  the  Chief  Executive  was  established  in mid-2021 to formulate the overall strategy at the highest level and oversee implementation and coordination.  We will adopt a whole-government  approach  to  formulate  more  holistic and proactive decarbonisation measures,individual,,Steering and Coordination,Governance,Creation of a governance mechanism with defined leadership and mandate to steer implementation.,9,individual,individual,,"The statement describes establishment of a steering committee to “formulate strategy” and “oversee implementation and coordination,” which is a governance/process action rather than an auditable climate outcome. The only time reference (“mid-2021”) indicates when the committee was established, not a deadline for delivering a measurable result. There are no quantifiable targets (e.g., emissions reductions, renewable capacity, number of retrofits), and the language (“formulate,” “adopt”) is largely aspirational. Therefore it fails the strict rule requiring both an explicit timeline (deadline) and a quantifiable target.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text contains no measurable outcome; it only states the committee was established 'to formulate the overall strategy' and 'oversee implementation and coordination.' Timeline: No—'established in mid-2021' is an establishment date, not an explicit deadline/year by which a measurable outcome will be achieved. Binding mechanism: No—no ordinance/mandate/regulation is described; it is an administrative committee. Spatial specificity: No—no jurisdictional scope like 'citywide' or 'in Hong Kong' is explicitly stated in the excerpt. Weak language: Yes—phrases such as 'formulate' and 'We will adopt a whole-government approach' indicate intent/process without hard targets. Strong language: No—no 'require/mandate/achieve' paired with numbers. Under the STRICT VALID RULE for individual policies, it fails the gold standard because has_timeline='No' and has_quantifiable_target='No', so the policy is NON-SOUND.",False
ENB will set up the Office of Climate Change and Carbon Neutrality and an inter-departmental Carbon Neutrality Task Force to strengthen coordination and develop forward-looking decarbonisation policies.,"To  ensure  effective  implementation  of  the measures and follow-up actions, ENB will set up the Office of Climate Change and Carbon Neutrality to strengthen coordination and promote deep decarbonisation, etc. ENB had also set up  an  inter-departmental  Carbon Neutrality T ask Force this year, bringing together the experts from relevant departments  to explore forward-looking decarbonisation policies",individual,,Steering and Coordination,Governance,Specific institutional commitments (office/task force) to coordinate and develop policy.,10,individual,individual,,"The statement commits to establishing/has established new governance bodies (an Office and a Task Force) to coordinate and explore/develop decarbonisation policies. However, it lacks any explicit deadline/year for completion of deliverables, and contains no quantifiable outcome targets. The language also leans toward process (“promote”, “explore”) rather than an auditable emissions/outcome commitment, so it does not meet the strict criteria for an individual policy to be considered VALID.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The text describes setting up institutions but provides no measurable outcome (no %, no tCO2e, no MW, no # of actions), e.g., ""set up the Office... to strengthen coordination and promote deep decarbonisation"" and ""explore forward-looking decarbonisation policies."" Timeline: No. Although it says the Task Force was set up ""this year,"" there is no explicit year or deadline like ""by 2030""; ""this year"" is not an auditable fixed date without a specified year. Binding mechanism: No. There is no ordinance/mandate/regulatory requirement—only an intent/administrative action: ""ENB will set up..."" Spatial specificity: No. No jurisdictional boundary is stated (e.g., citywide, specific districts). Weak language: Yes, due to process-oriented verbs without hard targets: ""promote"" and ""explore"" and ""develop forward-looking... policies."" Strong language: No, because there are no enforceable verbs tied to hard numbers or deadlines. Therefore it fails the STRICT VALID RULE (missing both timeline and quantifiable target, and relies on weak/process language).",False
The Government has set a Green Energy Target to improve the energy performance of the Government by 6% by 2024-25.,We have also set  a  new  Green  Energy  Target  to  further improve the energy performance of the whole Government by 6% by 2024-25.,individual,,Energy Saving and Green Buildings,Buildings,Quantified government operational energy target with a deadline.,11,individual,individual,,"This is an outcome-oriented commitment: improving “energy performance… by 6%” with a clear deadline “by 2024-25,” and it applies to “the whole Government,” which provides scope. However, the phrasing “set a… Target” indicates intent/goal-setting rather than an explicitly binding requirement or enforceable mechanism in the provided text.",Yes,Yes,No,Yes,No,Yes,VALID,0.82,"Quantifiable target: Yes — states ""improve the energy performance of the whole Government by 6%"" (measurable % outcome). Timeline: Yes — explicitly ""by 2024-25"". Binding mechanism: No — text only says ""set a new Green Energy Target"" and does not cite a mandate, regulation, or enforceable requirement. Spatial/scope specificity: Yes — applies to ""the whole Government"" (defines the covered entity/scope). Weak language: No — does not use 'encourage/explore/aim'; it asserts a set target. Strong language: Yes — includes an outcome with a hard number and deadline (""by 6% by 2024-25""). STRICT VALID RULE: Passes because it has both timeline and quantifiable target, and weak language is not detected (binding mechanism not required in that case).",True
"Municipal solid waste charging will be implemented following passage of the MSW charging bill (August 2021), with preparatory work already commenced.","The  Legislative  Council  (LegCo)  passed  the bill on municipal solid waste (MSW) charging in  August  2021.

The Government has already commenced  the  preparatory  work  for  the implementation of MSW charging.",individual,,Municipal solid waste charging,Waste,Concrete regulatory instrument (MSW charging) with enacted legislation and implementation preparations.,12,individual,individual,,"The text confirms that legislation for MSW charging was passed in August 2021 and that preparatory work has begun, indicating a binding mechanism (a passed bill) and a concrete policy instrument (charging). However, it does not specify an implementation date/deadline for when charging will begin, nor does it provide any quantifiable outcome target (e.g., waste reduction %, participation rate, fee level, tonnage diverted). Under the strict rule for individual policies, missing either a timeline or a quantifiable target makes it NON-SOUND.",No,No,Yes,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—verbatim text provides no measurable outcome (no % reduction, tonnage, coverage rate, fee level); it only states the bill was passed and preparatory work commenced. Timeline: No—while it mentions 'passed ... in August 2021', it does not state an explicit deadline or start date for implementation (no 'by YYYY' or 'from DATE'). Binding mechanism: Yes—'LegCo passed the bill on municipal solid waste (MSW) charging in August 2021' indicates enacted legislation. Spatial specificity: No—no jurisdictional scope stated (e.g., 'Hong Kong', 'citywide', districts). Weak language: Yes—'commenced the preparatory work' is process-oriented and does not commit to an auditable, dated rollout in the excerpt. Strong language: No—no hard-number requirements/achievement language present. Therefore, fails GOLD STANDARD (timeline and quantifiable target not present) and is NON-SOUND. Confidence capped at 0.4 due to has_timeline='No' or has_quantifiable_target='No'.",False
"The Government will map out a long-term solution to go “plastic-free” via policies/regulations, publicity, and expanded plastics recycling facilities, and will regulate disposable plastic tableware in phases from 2025.","We  will  map  out  a long-term solution and  go  'plastic-free'  by adopting a multi-pronged approach, which includes formulating suitable policies and regulations, stepping up publicity, and expanding waste plastics recycling supporting facilities

The Government will regulate disposable plastic tableware in phases from 2025.",individual,,Waste Reduction,Waste,Contains concrete regulatory commitment with a start date (from 2025) plus defined policy approach components.,13,individual,individual,,"The statement includes an intention to pursue a “plastic-free” approach and mentions regulating disposable plastic tableware “in phases from 2025.” However, it does not specify a measurable outcome (e.g., % reduction, ban coverage, tonnage reduced) or a deadline by which “plastic-free” will be achieved. “From 2025” indicates a start time but not an auditable end-date or quantified target, and much of the language is plan/strategy-oriented (“map out,” “formulating,” “stepping up,” “expanding”) rather than a defined, measurable deliverable.",No,No,Yes,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text states it will “go 'plastic-free'” and “expand waste plastics recycling supporting facilities” but provides no measurable metric (no % reduction, no tonnage, no facility count/capacity). Timeline: No — “regulate disposable plastic tableware in phases from 2025” provides a start date (“from 2025”) but no explicit deadline/year by which a target is achieved; “long-term solution” is also non-specific. Binding mechanism: Yes — “The Government will regulate disposable plastic tableware” indicates an enforceable regulatory action (regulation), even though details are unspecified. Spatial specificity: No — no jurisdictional scope is explicitly stated in the excerpt beyond “The Government.” Weak language: Yes — “map out a long-term solution,” “formulating suitable policies and regulations,” and “stepping up publicity” are strategy/process terms without hard targets. Strong language: No — while “will regulate” is directive, it is not paired with hard numbers or a defined measurable mandate in the excerpt. Under the strict rule, missing both a quantifiable target and a deadline makes it NON-SOUND.",False
