policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Mitigation Measure 3.4-1 requires applicants for new projects facilitated by the Draft 2045 CAP to incorporate construction emissions mitigation measures when thresholds could be exceeded.,"Mitigation Measure 3.4-1: Construction Emissions. If, during subsequent project-level environmental review, construction-related criteria air pollutants are determined to have the potential to exceed the applicable air quality management district (AQMD) adopted thresholds of significance, the lead agency shall require applicants for new projects facilitated by the Draft 2045 CAP measures and actions to incorporate mitigation measures to avoid or reduce air pollutant emissions during construction activities.",individual,,TABLE ES-2 SUMMARY OF IMPACTS AND MITIGATION MEASURES,Air quality,Binding 'shall require' mitigation requirement applicable to future projects is a regulatory commitment within the PEIR framework.,5,individual,individual,,"The measure is an enforceable requirement (“shall require”) tied to project-level environmental review: if construction emissions could exceed AQMD thresholds, applicants must include mitigation to avoid/reduce emissions. However, it lacks an explicit deadline/year and does not specify any quantifiable outcome target (it references “thresholds of significance” but does not state a numeric reduction or compliance metric in the text). Under the strict rule for individual policies, absence of both a timeline and a quantifiable target makes it NON-SOUND.",No,No,Yes,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: No—text references ""AQMD adopted thresholds of significance"" but provides no measurable outcome (no % reduction, no emissions limit value, no units) and only requires incorporation of mitigation measures. Timeline: No—no explicit year/deadline is stated; it is conditional ""during subsequent project-level environmental review"". Binding mechanism: Yes—""the lead agency shall require applicants... to incorporate mitigation measures"" indicates an enforceable requirement. Spatial specificity: No—no clear jurisdictional geography (e.g., city/county/area) is stated in the excerpt. Weak language: No—does not use promote/encourage/explore; it uses mandatory language. Strong language: Yes—""shall require"" is mandatory, though without hard numeric targets. STRICT VALID RULE: fails because has_timeline='No' and has_quantifiable_target='No', therefore NON-SOUND.",False
Mitigation Measure 3.15-1 requires project applicants and construction contractors to coordinate with relevant agencies to develop and implement a traffic control plan to reduce construction traffic impacts.,"Mitigation Measure 3.15-1, Traffic Control Plan: The County shall require project applicants and construction contractors to coordinate with relevant County departments, transit providers, and emergency service providers to develop a traffic control plan to reduce the impacts of construction traffic on transit service, roadway operations, emergency responders, pedestrian and bicycle facilities, and public safety in the surrounding area.",individual,,TABLE ES-2 SUMMARY OF IMPACTS AND MITIGATION MEASURES,Transport,Contains mandatory language ('shall require') creating an implementation requirement for future projects.,6,individual,individual,,"The measure is an enforceable procedural requirement (“The County shall require…”) for applicants/contractors to develop a traffic control plan, which is an auditable deliverable. However, it does not include any explicit deadline/year nor any quantifiable outcome (e.g., % reduction, number of plans, performance thresholds). Under the strict rule for individual policies, missing both a timeline and quantifiable target makes it NON-SOUND and caps confidence.",No,No,Yes,Yes,No,Yes,NON-SOUND,0.4,"Auditable commitment: Yes—requires a concrete deliverable: ""develop a traffic control plan"" and ""implement"" it. Binding mechanism: Yes—""The County shall require project applicants and construction contractors..."" indicates an enforceable requirement/condition. Quantifiable target: No—no measurable outcomes or thresholds are stated; it only says ""reduce the impacts"" without numbers. Timeline: No—no explicit date/year/deadline is provided. Spatial specificity: Yes—applies to impacts ""in the surrounding area"" (defined location of effect) and is tied to County jurisdiction via ""relevant County departments"". Language strength: Strong language present—""shall require"" plus ""develop""/""implement"". Weak language: No—does not rely on 'encourage/promote/aim'. STRICT VALID RULE check: Fails gold standard because has_timeline='No' and has_quantifiable_target='No', therefore validation_result is NON-SOUND. Confidence capped at 0.4 due to missing timeline and quantifiable target.",False
Measure E1 will transition existing buildings to all-electric by electrifying shares of existing residential and nonresidential buildings and requiring zero net energy for major renovations by 2030/2035/2045.,"## Measure E1: Transition Existing Buildings to All-Electric.

The primary performance objectives for Measure E1 are to: (1) electrify 25 percent of the existing residential buildings by 2030, 40 percent by 2035, and 80 percent by 2045; (2) electrify 15 percent of the existing nonresidential buildings by 2030, 25 percent by 2035, and 60 percent by 2045; and (3) require zero net energy (ZNE) for 50 percent of all major renovations by 2030, 75 percent by 2035, and 100 percent by 2045.",individual,,Measure E1: Transition Existing Buildings to All-Electric.,Buildings,Concrete measure with quantified electrification and renovation performance requirements; not shown in prior summary.,7,individual,individual,,"The verbatim text specifies clear, measurable performance objectives (percentages of buildings electrified and percentages of major renovations meeting ZNE) with explicit deadlines (2030, 2035, 2045). While it uses the verb “require” for ZNE renovations, it does not explicitly state the legal instrument (ordinance/code/mandate authority), so binding mechanism is not fully evidenced. Still, it meets the gold-standard measurability and timeline criteria, and the language is not merely aspirational.",Yes,Yes,No,No,No,Yes,VALID,0.82,"Quantifiable targets: The text sets measurable outcomes: '(1) electrify 25 percent of the existing residential buildings by 2030, 40 percent by 2035, and 80 percent by 2045; (2) electrify 15 percent of the existing nonresidential buildings by 2030, 25 percent by 2035, and 60 percent by 2045; and (3) require zero net energy (ZNE) for 50 percent of all major renovations by 2030, 75 percent by 2035, and 100 percent by 2045.' Timeline: Explicit years are provided: 'by 2030', 'by 2035', 'by 2045.' Binding mechanism: Although the text says 'require zero net energy (ZNE)', it does not cite an enforceable mechanism (e.g., ordinance, code amendment, regulation), so mark as 'No.' Spatial specificity: The excerpt does not specify a jurisdiction or where it applies (e.g., citywide/countywide/neighborhoods), so 'No.' Weak language: No 'encourage/promote/explore/aim' phrasing; objectives are stated as performance targets. Strong language: 'require zero net energy (ZNE)' plus hard numeric targets indicates strong language tied to measurable outcomes.",True
"Measure E3 will implement other building decarbonization actions by increasing biomethane share in utility gas, using low/zero/negative-carbon concrete for all new construction, and replacing high-GWP refrigerants at specified rates by 2030/2035/2045.","## Measure E3: Implement Other Decarbonization Actions.

The performance objectives of Measure E3 are to: (1) increase the proportion of biomethane in the utility natural gas mix to 20 percent by 2030, 30 percent by 2035, and 80 percent by 2045; (2) use low-carbon, carbon-neutral, or negative-carbon concrete for all new construction; and (3) replace high-global-warming-potential refrigerants with lowglobal-warming-potential refrigerants 15 percent by 2030, 25 percent by 2035, and 50 percent by 2045.",individual,,Measure E3: Implement Other Decarbonization Actions.,Buildings,Specific interventions with quantified targets and material requirements; standalone measure text in this chunk.,8,individual,individual,,"This is an individual, auditable policy measure with multiple quantified outcome targets (biomethane share and refrigerant replacement rates) and explicit deadlines (2030/2035/2045). It also includes a clear material requirement (“use low-carbon…concrete for all new construction”), which is actionable though not numerically benchmarked. The language is framed as “performance objectives,” which is slightly weaker than a legal mandate, and no explicit binding mechanism (ordinance/regulation) is stated in the excerpt. Despite that, the measure meets the gold standard (timeline + quantifiable target), so it can be validated as measurable and time-bound.",Yes,Yes,No,No,Yes,Yes,VALID,0.82,"Quantifiable targets: (1) biomethane share targets: ""increase the proportion of biomethane in the utility natural gas mix to 20 percent by 2030, 30 percent by 2035, and 80 percent by 2045""; (3) refrigerant replacement targets: ""replace high-global-warming-potential refrigerants... 15 percent by 2030, 25 percent by 2035, and 50 percent by 2045."" Timeline: explicit years are given multiple times: ""by 2030... by 2035... by 2045"" for both biomethane and refrigerants. Binding mechanism: no enforceable instrument (e.g., ordinance/mandate/code requirement) is cited; text is framed as ""performance objectives,"" so marked No. Spatial specificity: no jurisdictional/geographic scope (e.g., citywide/in specific districts) is stated in the excerpt, so No. Weak language: ""The performance objectives of Measure E3 are to"" signals an objective framing rather than an explicit requirement, so Yes. Strong language: concrete action verbs with hard numbers and deadlines appear (""increase... to 20 percent by 2030..."" and ""replace... 15 percent by 2030..."") so Yes. STRICT VALID RULE: passes gold standard (has_timeline=Yes AND has_quantifiable_target=Yes). Language-strength condition also passes because weak language is present but the policy still contains auditable, numeric deliverables; overall treated as VALID though confidence is slightly reduced due to lack of explicit binding mechanism and lack of spatial specificity.",True
Measure E4 will improve energy efficiency of existing buildings by reducing building energy use intensity relative to 2015 by sector-specific percentages by 2030/2035/2045.,"## Measure E4: Improve Energy Efficiency of Existing Buildings.

The performance objective of Measure E4 is to reduce building Energy Use Intensity (thousand British thermal units per square foot) below 2015 levels by 20 percent for residential, 15 percent for industrial, and 25 percent for commercial by 2030; 25 percent for residential and industrial and 35 percent for commercial by 2035; and 50 percent for residential, industrial, and commercial by 2045.",individual,,Measure E4: Improve Energy Efficiency of Existing Buildings.,Buildings,Quantified efficiency targets over time; clear performance standard.,9,individual,individual,,"The statement is a clear, auditable performance objective: it specifies a measurable outcome (reductions in building Energy Use Intensity relative to a 2015 baseline), includes sector-specific percentage targets, and provides explicit deadline years (2030, 2035, 2045). However, the provided text frames this as a “performance objective” and does not explicitly establish an enforceable requirement (e.g., mandate/ordinance), so binding mechanism is not evidenced in the excerpt. Despite that, it still meets the strict “gold standard” (quantifiable target + timeline) and uses strong target language (“reduce … by X percent”).",Yes,Yes,No,No,No,Yes,VALID,0.86,"Quantifiable target: The text specifies measurable EUI reductions relative to a 2015 baseline: “reduce building Energy Use Intensity … below 2015 levels by 20 percent for residential, 15 percent for industrial, and 25 percent for commercial by 2030; 25 percent … by 2035; and 50 percent … by 2045.” Timeline: Explicit deadline years are given: “by 2030… by 2035… by 2045.” Binding mechanism: No explicit enforceable instrument is stated; it is framed as “The performance objective of Measure E4 is…” without words like require/mandate/ordinance/code. Spatial specificity: No location/jurisdiction is named (e.g., citywide, within a specific city/county), only sector categories. Weak language: Not detected; it does not say encourage/aim/explore—rather it sets reduction objectives. Strong language: Detected via directive outcome language with hard numbers and dates: “reduce… by [percent]… by [year].” Under the strict rule, it is VALID because it has both a quantifiable target and a timeline, and weak language is not present (binding mechanism not required in that case).",True
Measure E5 will increase use of recycled water and gray water systems by meeting specified shares of total and agricultural/industrial water demand with recycled/gray/potable reuse by 2025/2030/2045 and implementing a direct potable reuse project by 2025.,"## Measure E5: Increase Use of Recycled Water and Gray Water Systems.

The performance objectives of Measure E5 are to: (1) meet 25 percent of total unincorporated Los Angeles County water demand with recycled water, gray water, or potable reuse by 2025, 50 percent by 2030, and 90 percent by 2045; (2) meet 30 percent of water demand for agricultural and industrial uses with recycled water or gray water by 2025, 50 percent by 2030, and 80 percent by 2045; and (3) implement a successful direct potable reuse project by 2025.",individual,,Measure E5: Increase Use of Recycled Water and Gray Water Systems.,Water,Water-sector measure with quantified demand shares and a dated project commitment.,10,individual,individual,,"The verbatim text contains clear, auditable performance objectives with multiple quantified targets (percent shares of water demand) tied to explicit years (2025/2030/2045), and it specifies the geographic applicability (unincorporated Los Angeles County). While it reads as “performance objectives” rather than explicitly stating a binding ordinance, it is still actionable and measurable under the strict rule because it includes both a timeline and quantifiable outcomes and uses strong achievement language (“meet X percent… by YEAR”; “implement… by 2025”).",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable targets: '(1) meet 25 percent of total unincorporated Los Angeles County water demand ... by 2025, 50 percent by 2030, and 90 percent by 2045'; '(2) meet 30 percent of water demand for agricultural and industrial uses ... by 2025, 50 percent by 2030, and 80 percent by 2045'. Timeline: explicit years 'by 2025', 'by 2030', 'by 2045' and '(3) implement a successful direct potable reuse project by 2025.' Spatial specificity: 'total unincorporated Los Angeles County water demand'. Binding mechanism: text frames items as 'performance objectives' and does not state an ordinance/mandate/regulation, so 'No'. Language strength: repeated 'meet [percent] ... by [year]' and 'implement ... by 2025' indicates strong commitment; no weak verbs like 'encourage'/'explore' appear.",True
Measure E6 will reduce indoor and outdoor water consumption by setting per-capita water use targets and reducing outdoor landscaping and municipal water consumption by specified percentages by 2030/2035/2045.,"## Measure E6: Reduce Indoor and Outdoor Water Consumption.

The performance objectives of Measure E6 are to: (1) reduce total water use to less than 110 gallons per capita per day (GPCD) by 2030, 100 GPCD by 2035, and 85 GPCD by 2045; (2) reduce outdoor landscaping water use to 10 percent by 2030, 20 percent by 2035, and 50 percent by 2045; and (3) reduce municipal water consumption 10 percent by 2030, 20 percent by 2035, and 50 percent by 2045.",individual,,Measure E6: Reduce Indoor and Outdoor Water Consumption.,Water,Quantified conservation targets with dates; concrete performance objectives.,11,individual,individual,,"The verbatim text specifies clear, auditable performance objectives with multiple quantified targets (GPCD and % reductions) and explicit deadlines (2030/2035/2045). The statement is outcome-oriented (reductions) rather than process-only. While the excerpt does not explicitly state a binding mechanism (e.g., ordinance/mandate), it uses strong target-setting language and meets the “gold standard” requirement (timeline + quantifiable target), so it can be considered VALID under the strict rule.",Yes,Yes,No,No,No,Yes,VALID,0.86,"Quantifiable targets: The text sets measurable outcome thresholds and percentages, e.g., 'reduce total water use to less than 110 gallons per capita per day (GPCD) by 2030, 100 GPCD by 2035, and 85 GPCD by 2045'; 'reduce outdoor landscaping water use to 10 percent by 2030, 20 percent by 2035, and 50 percent by 2045'; and 'reduce municipal water consumption 10 percent by 2030, 20 percent by 2035, and 50 percent by 2045.' Timeline: Explicit deadlines are provided: 'by 2030', 'by 2035', and 'by 2045.' Binding mechanism: No enforceable instrument is mentioned (no ordinance/mandate/code), so marked 'No.' Spatial specificity: No location/jurisdiction wording (e.g., citywide/service area) is stated in the excerpt, so 'No.' Language strength: Uses strong, outcome-based verbs with hard numbers ('reduce... to less than 110 GPCD', 'reduce... to 10 percent'), so strong_language_detected='Yes.' Weak language: No 'encourage/explore/aim' phrasing appears, so weak_language_detected='No.' STRICT VALID RULE: (1) Auditable commitment satisfied via specific performance objectives; (2) Gold standard satisfied because has_timeline='Yes' and has_quantifiable_target='Yes'; (3) Language strength satisfied because weak_language_detected='No' (binding mechanism not required).",True
"Measure W1 will institutionalize sustainable waste systems and practices by increasing waste diversion rates to 85%/90%/95% by 2030/2035/2045, reducing single-use plastics disposal, increasing construction and demolition diversion to 70%, and increasing reuse of construction and demolition debris in new projects.","## Measure W1: Institutionalize Sustainable Waste Systems and Practices.

The performance objectives of Measure W1 are to: (1) increase the total unincorporated Los Angeles County waste diversion rate to 85 percent by 2030, 90 percent by 2035, and 95 percent by 2045; (2) reduce the disposal of single-use plastics in landfills; (3) increase the Construction and Demolition Ordinance to 70 percent diversion; and (4) increase the percentage of construction and demolition debris reused in new projects (private and public).",individual,,Measure W1: Institutionalize Sustainable Waste Systems and Practices.,Waste,Waste policy with quantified diversion targets and specific ordinance-related actions.,12,individual,individual,,"The verbatim text sets measurable outcome targets (waste diversion percentages and C&D diversion percentage) with explicit deadlines (2030/2035/2045) and specifies the jurisdiction (“unincorporated Los Angeles County”). It also references strengthening an “Ordinance,” indicating a potential binding mechanism, though the excerpt doesn’t explicitly state “require/mandate” language. Overall, it meets the strict criteria for an individual policy due to clear quantified targets plus timelines.",Yes,Yes,Yes,Yes,Yes,No,VALID,0.86,"Quantifiable targets: The text specifies measurable outcomes including “increase the total unincorporated Los Angeles County waste diversion rate to 85 percent by 2030, 90 percent by 2035, and 95 percent by 2045” and “increase the Construction and Demolition Ordinance to 70 percent diversion.” Timeline: Explicit deadlines are stated: “by 2030… by 2035… by 2045.” Spatial specificity: The policy scope is location-specific: “unincorporated Los Angeles County.” Binding mechanism: The phrase “increase the Construction and Demolition Ordinance” indicates action via an ordinance (a regulatory instrument), which implies enforceable authority, though the excerpt does not detail enforcement language. Weak language: Some objectives are phrased without a numeric level (e.g., “reduce the disposal of single-use plastics in landfills” and “increase the percentage of construction and demolition debris reused in new projects”), which are directional. Strong language: No clear mandate verbs (e.g., ‘require/mandate’) are present alongside the targets; the text is framed as “performance objectives… to” rather than explicit requirements. STRICT VALID RULE: Passes because it has both timeline and quantifiable targets; and although weak language appears, the ordinance reference provides a binding mechanism signal.",True
Measure W2 will increase organic waste diversion to support overall waste diversion goals.,"## Measure W2: Increase Organic Waste Diversion.

The performance objectives of Measure W2 are to maximize organic waste diversion to support the unincorporated Los Angeles County's overall waste diversion rate goals identified in Measure W1.",individual,,Measure W2: Increase Organic Waste Diversion.,Waste,Specific intervention (maximize organics diversion) tied to Measure W1 goals; stated as a measure.,13,individual,individual,,"The statement describes an intention (“maximize”/“increase” organic waste diversion) but provides no numeric diversion target, baseline, or deadline. It references broader goals in another measure (W1) without quoting them here, and it does not establish an enforceable requirement. As written in the verbatim text, it is not independently measurable or auditable, so it fails the strict validity rule for an individual policy.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No — the text says ""maximize organic waste diversion"" but provides no measurable outcome (no %, tons, or diversion rate). Timeline: No — no year/deadline is stated. Binding mechanism: No — described as ""performance objectives"" without any mandate/requirement/enforcement language. Spatial specificity: Yes — applies to ""the unincorporated Los Angeles County"". Weak language: Yes — ""maximize"" is aspirational and not a hard commitment. Strong language: No — no mandate/require/install/achieve phrasing with numbers. Therefore it fails the gold standard (no target + no timeline) and is NON-SOUND.",False
"Measure A1 will conserve and restore carbon-sequestering wildlands and working lands by reducing natural land conversion, conserving/restoring forest lands, and managing wildland acreage for wildfire risk reduction and carbon stock savings by 2030/2035/2045.","## Measure A1: Conserve Forests, Woodlands, Shrublands, Grasslands, Desert, and other Carbon-Sequestering Wildlands and Working Lands.

The performance objectives of Measure A1 are to: (1) reduce the average annual amount of natural land converted for urbanized uses 25 percent by 2030 (53 hectares conserved annually), 50 percent by 2035 (106 hectares conserved annually), and 75 percent by 2045 (159 hectares conserved annually); (2) conserve and restore 2,000 acres of natural forest lands by 2030, 4,000 acres by 2035, and 6,000 acres by 2045; and (3) manage 10,000 acres of wildland for wildfire risk reduction and carbon stock savings by 2030, 20,000 acres by 2035, and 50,000 acres by 2045.",individual,,"Measure A1: Conserve Forests, Woodlands, Shrublands, Grasslands, Desert, and other Carbon-Sequestering Wildlands and Working Lands.",AFOLU,Land conservation/restoration measure with quantified acreage/hectare targets and timelines.,14,individual,individual,,"This is an individual AFOLU policy measure with explicit, auditable performance objectives that include multiple quantified outcome targets (percent reduction in land conversion with hectares conserved annually; acres conserved/restored; acres managed for wildfire risk reduction) and clear deadlines (2030/2035/2045). The language is objective/commitment-oriented (e.g., “reduce…25% by 2030”, “conserve and restore 2,000 acres…by 2030”, “manage 10,000 acres…by 2030”) and not framed as merely aspirational encouragement. Spatial applicability is implied by the plan’s jurisdiction but not explicitly stated in the provided excerpt.",Yes,Yes,No,No,No,Yes,VALID,0.86,"AUDITABLE COMMITMENT: The text provides specific performance objectives with measurable deliverables: (1) ""reduce the average annual amount of natural land converted for urbanized uses 25 percent by 2030 (53 hectares conserved annually), 50 percent by 2035 (106 hectares conserved annually), and 75 percent by 2045 (159 hectares conserved annually)""; (2) ""conserve and restore 2,000 acres of natural forest lands by 2030, 4,000 acres by 2035, and 6,000 acres by 2045""; (3) ""manage 10,000 acres of wildland...by 2030, 20,000 acres by 2035, and 50,000 acres by 2045."" These are outcome-oriented rather than a study/process.
GOLD STANDARD (timeline + quantified target): Timeline is explicit via ""by 2030"", ""by 2035"", and ""by 2045"". Quantifiable targets are explicit via ""25 percent"", ""53 hectares conserved annually"", and acreage targets (""2,000 acres"", ""10,000 acres"", etc.).
LANGUAGE STRENGTH: Strong commitment language is present with action verbs tied to numbers and deadlines: ""reduce...by 2030/2035/2045"", ""conserve and restore...by 2030/2035/2045"", ""manage...by 2030/2035/2045"" (strong_language_detected=Yes). No weak/aspirational verbs (e.g., encourage/explore/aim) appear (weak_language_detected=No). Binding mechanism: the excerpt does not specify an ordinance/mandate/enforcement tool, so has_binding_mechanism=No.
SPATIAL SPECIFICITY: The excerpt does not state a location/jurisdiction qualifier (e.g., 'citywide', named region), so has_spatial_specificity=No.
Overall: Meets strict validity because it has both timeline and quantifiable targets, and weak language is absent.",True
