policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Waterloo_Ontario_Canada::6f449b2ae060cde8dce2f7ed,Waterloo_Ontario_Canada::6f449b2ae060cde8dce2f7ed,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Map areas vulnerable to heat extremes and use mapping to inform planning and programming initiatives.,Adaptation,,policy_traces/001_Map_areas_vulnerable_to_heat_extremes_and_use_mapping_to_inf.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
002,Waterloo_Ontario_Canada::18a83ea7904c542a56b3bab6,Waterloo_Ontario_Canada::18a83ea7904c542a56b3bab6,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Continue to carry out outreach activities that target vulnerable populations during extreme heat and cold events.,Adaptation,,policy_traces/002_Continue_to_carry_out_outreach_activities_that_target_vulner.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
003,Waterloo_Ontario_Canada::5f49609bc2ff7acabb5e9528,Waterloo_Ontario_Canada::5f49609bc2ff7acabb5e9528,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Update the Emergency Circumstances/Extreme Weather Policy and the Heat Stress/Cold Stress Policy to account for climate change impacts.,Adaptation,,policy_traces/003_Update_the_Emergency_CircumstancesExtreme_Weather_Policy_and.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
004,Waterloo_Ontario_Canada::6ed37de032172ffd595cdf0e,Waterloo_Ontario_Canada::6ed37de032172ffd595cdf0e,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Review winter control practices to ensure climate change impacts are considered and identify opportunities for improvement.,Adaptation,,policy_traces/004_Review_winter_control_practices_to_ensure_climate_change_imp.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
005,Waterloo_Ontario_Canada::163b5352e46d4f66f849eb73,Waterloo_Ontario_Canada::163b5352e46d4f66f849eb73,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.","Carry out education and engagement activities to increase awareness of the importance of 72 hour emergency preparedness and emergency response plans for individuals and families, community organizations, and businesses.",Adaptation,,policy_traces/005_Carry_out_education_and_engagement_activities_to_increase_aw.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
006,Waterloo_Ontario_Canada::6c193cd9f33114f560b62c7e,Waterloo_Ontario_Canada::6c193cd9f33114f560b62c7e,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Investigate the feasibility of implementing warming and cooling centres outside of normal business hours.,Adaptation,,policy_traces/006_Investigate_the_feasibility_of_implementing_warming_and_cool.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
007,Waterloo_Ontario_Canada::aaf749f39470f685aceb22cb,Waterloo_Ontario_Canada::aaf749f39470f685aceb22cb,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Undertake a gap analysis of existing communication processes related to climate change and extreme weather.,Adaptation,,policy_traces/007_Undertake_a_gap_analysis_of_existing_communication_processes.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
008,Waterloo_Ontario_Canada::704e7c432f5e00c0bf10e999,Waterloo_Ontario_Canada::704e7c432f5e00c0bf10e999,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Implement an opt-in email/text alert system to notify community members about extreme weather events and emergencies.,Adaptation,,policy_traces/008_Implement_an_opt_in_emailtext_alert_system_to_notify_communi.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
009,Waterloo_Ontario_Canada::1dd6b1fe46a2c54e0d9e80f2,Waterloo_Ontario_Canada::1dd6b1fe46a2c54e0d9e80f2,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Investigate the feasibility of incorporating extreme weather event and emergency information into the Pingstreet app.,Adaptation,,policy_traces/009_Investigate_the_feasibility_of_incorporating_extreme_weather.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
010,Waterloo_Ontario_Canada::894731274a89ce7c93b4ca88,Waterloo_Ontario_Canada::894731274a89ce7c93b4ca88,sub,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",Enable website updates outside of normal business hours to address extreme weather events and emergency situations.,Adaptation,,policy_traces/010_Enable_website_updates_outside_of_normal_business_hours_to_a.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement the City of Waterloo Corporate Climate Change Adaptation Plan (CCCAP), outlining 37 actions to adapt City assets, operations, and services to climate change impacts.",,,False,False,,,,,,
