policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Las_Vegas_Nevada_United_States::449701dba319c261f50984c8,Las_Vegas_Nevada_United_States::449701dba319c261f50984c8,sub,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,Amend Las Vegas Municipal Code (LVMC) and zoning related to trees.,Adaptation,,policy_traces/001_Amend_Las_Vegas_Municipal_Code_LVMC_and_zoning_related_to_tr.json,trace_initiative_policies_valid.csv,parent_statement,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,,,False,False,,,,,,
002,Las_Vegas_Nevada_United_States::15acfc1cc7bdb47290db01db,Las_Vegas_Nevada_United_States::15acfc1cc7bdb47290db01db,sub,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,"Plant at least 100,000 public and private high-quality native and adaptive trees to increase canopy to 20%.",Adaptation,,policy_traces/002_Plant_at_least_100000_public_and_private_high_quality_native.json,trace_initiative_policies_valid.csv,parent_statement,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,,,False,False,,,,,,
004,Las_Vegas_Nevada_United_States::60ed19946c7e4be95e07eace,Las_Vegas_Nevada_United_States::60ed19946c7e4be95e07eace,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Develop a Parks System Plan and achieve CAPRA certification.,Adaptation,,policy_traces/004_Develop_a_Parks_System_Plan_and_achieve_CAPRA_certification.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.,,,False,False,,,,,,
005,Las_Vegas_Nevada_United_States::1544827ba7692a670e7b88db,Las_Vegas_Nevada_United_States::1544827ba7692a670e7b88db,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,"Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need.",Adaptation,,policy_traces/005_Increase_park_acreage_to_7_acres_per_1000_residents_specific.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.,,,False,False,,,,,,
006,Las_Vegas_Nevada_United_States::366a83d66271f68de3293414,Las_Vegas_Nevada_United_States::366a83d66271f68de3293414,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Ensure 85% of dwelling units are within a short walk of a park or trail.,Adaptation,,policy_traces/006_Ensure_85_of_dwelling_units_are_within_a_short_walk_of_a_par.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.,,,False,False,,,,,,
008,Las_Vegas_Nevada_United_States::9c772ac333b7196d05d2ea05,Las_Vegas_Nevada_United_States::9c772ac333b7196d05d2ea05,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Ensure an air quality index of 100 or better.,Adaptation,,policy_traces/008_Ensure_an_air_quality_index_of_100_or_better.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",,,False,False,reclassify,0.62,,Mitigation,True,False
009,Las_Vegas_Nevada_United_States::98b033553b3abfcd463a1b29,Las_Vegas_Nevada_United_States::98b033553b3abfcd463a1b29,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Eliminate brownfields within the City through redevelopment.,Mitigation,,policy_traces/009_Eliminate_brownfields_within_the_City_through_redevelopment.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",,,False,False,,,,,,
010,Las_Vegas_Nevada_United_States::131d0c50a9bbde5a3cbaab5e,Las_Vegas_Nevada_United_States::131d0c50a9bbde5a3cbaab5e,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Improve stormwater pollution prevention efforts.,Adaptation,,policy_traces/010_Improve_stormwater_pollution_prevention_efforts.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",,,False,False,reclassify,0.8,,Resource Efficiency,True,False
011,Las_Vegas_Nevada_United_States::a74a3e7322ab736ad607c905,Las_Vegas_Nevada_United_States::a74a3e7322ab736ad607c905,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.","Engage residents of all races, ethnicities, abilities, and means in the planning and transportation decision-making process.",Resource Efficiency,,policy_traces/011_Engage_residents_of_all_races_ethnicities_abilities_and_mean.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",,,False,False,reclassify,0.62,,Adaptation,True,False
012,Las_Vegas_Nevada_United_States::5cce772307d177a5bc2709a5,Las_Vegas_Nevada_United_States::5cce772307d177a5bc2709a5,sub,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",Reduce the number of individuals in poverty.,Adaptation,,policy_traces/012_Reduce_the_number_of_individuals_in_poverty.json,trace_initiative_policies_valid.csv,parent_statement,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",,,False,False,,,,,,
