policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,"Miami-Dade County will benchmark, retune, and retrofit existing buildings to reduce building-sector emissions, including large-scale benchmarking, retuning, and home retrofits by 2030.",Mitigation,M-1,policy_traces/000_Miami_Dade_County_will_benchmark_retune_and_retrofit_existin.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will benchmark, retune, and retrofit existing buildings to reduce building-sector emissions, including large-scale benchmarking, retuning, and home retrofits by 2030."
001,sub,"Miami-Dade County will benchmark, retune, and retrofit existing buildings to reduce building-sector emissions, including large-scale benchmarking, retuning, and home retrofits by 2030.",Benchmark 1.3 billion square feet in communitywide buildings by 2026.,Mitigation,M-1,policy_traces/001_Benchmark_13_billion_square_feet_in_communitywide_buildings_.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will benchmark, retune, and retrofit existing buildings to reduce building-sector emissions, including large-scale benchmarking, retuning, and home retrofits by 2030."
002,sub,"Miami-Dade County will benchmark, retune, and retrofit existing buildings to reduce building-sector emissions, including large-scale benchmarking, retuning, and home retrofits by 2030.","Retrofit 167,500 homes to reduce energy costs by 28%, prioritizing low- to moderate-income homes, by 2030.",Mitigation,M-1,policy_traces/002_Retrofit_167500_homes_to_reduce_energy_costs_by_28_prioritiz.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will benchmark, retune, and retrofit existing buildings to reduce building-sector emissions, including large-scale benchmarking, retuning, and home retrofits by 2030."
003,parent,,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.,Mitigation,,policy_traces/003_Miami_Dade_County_will_expand_on_site_and_off_site_renewable.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.
004,sub,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.,"Install 61,725 kW of solar energy by 2030 on County buildings, land, and water.",Mitigation,,policy_traces/004_Install_61725_kW_of_solar_energy_by_2030_on_County_buildings.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.
005,sub,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.,"Install 794,000 kW of solar energy by 2030 on commercial and residential buildings.",Mitigation,,policy_traces/005_Install_794000_kW_of_solar_energy_by_2030_on_commercial_and_.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.
006,sub,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.,Maximize participation in utility-scale renewable energy programs.,Mitigation,,policy_traces/006_Maximize_participation_in_utility_scale_renewable_energy_pro.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will expand on-site and off-site renewable energy generation through major solar deployment and utility-scale renewable participation by 2030.
007,parent,,Miami-Dade County will build ultra-low energy buildings by reducing the energy use of new buildings and transitioning County buildings toward ultra-low energy standards.,Mitigation,M-1,policy_traces/007_Miami_Dade_County_will_build_ultra_low_energy_buildings_by_r.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will build ultra-low energy buildings by reducing the energy use of new buildings and transitioning County buildings toward ultra-low energy standards.
008,sub,Miami-Dade County will build ultra-low energy buildings by reducing the energy use of new buildings and transitioning County buildings toward ultra-low energy standards.,Reduce energy use of new buildings 20% by 2030 below 2020 levels.,Mitigation,M-1,policy_traces/008_Reduce_energy_use_of_new_buildings_20_by_2030_below_2020_lev.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will build ultra-low energy buildings by reducing the energy use of new buildings and transitioning County buildings toward ultra-low energy standards.
009,sub,Miami-Dade County will build ultra-low energy buildings by reducing the energy use of new buildings and transitioning County buildings toward ultra-low energy standards.,All new County buildings will be ultra-low energy by 2030.,Mitigation,M-1,policy_traces/009_All_new_County_buildings_will_be_ultra_low_energy_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,Miami-Dade County will build ultra-low energy buildings by reducing the energy use of new buildings and transitioning County buildings toward ultra-low energy standards.
010,parent,,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030.",Mitigation,M-2,policy_traces/010_Miami_Dade_County_will_reduce_transportation_related_fuel_co.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030."
011,sub,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030.",Shift 10% of transportation mode away from single occupant vehicles by 2030.,Mitigation,M-3,policy_traces/011_Shift_10_of_transportation_mode_away_from_single_occupant_ve.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030."
012,sub,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030.",Electrify the County fleet so that 80% of light vehicles and 50% of buses are electric by 2030.,Mitigation,M-2,policy_traces/012_Electrify_the_County_fleet_so_that_80_of_light_vehicles_and_.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030."
013,sub,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030.",Transition 30% of communitywide vehicles to electric power by 2030.,Mitigation,M-3,policy_traces/013_Transition_30_of_communitywide_vehicles_to_electric_power_by.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030."
014,sub,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030.",Reduce greenhouse gas emissions from Miami International Airport and PortMiami operations by 50% by 2030.,Mitigation,M-1,policy_traces/014_Reduce_greenhouse_gas_emissions_from_Miami_International_Air.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will reduce transportation-related fuel consumption through mode shift, fleet electrification, community vehicle electrification, and emissions reductions from major transport hubs by 2030."
015,parent,,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation.",Nature-Based Solutions,NBS-2,policy_traces/015_Miami_Dade_County_will_expand_and_protect_green_and_blue_spa.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation."
016,sub,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation.",Expand community-wide tree canopy to 30% coverage by 2030.,Nature-Based Solutions,NBS-1,policy_traces/016_Expand_community_wide_tree_canopy_to_30_coverage_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation."
017,sub,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation.",Ensure all County facilities within the Urban Development Boundary attain an average of at least 30% canopy coverage and all County facilities outside the UDB attain an average of at least 50% canopy coverage by 2030.,Nature-Based Solutions,NBS-1,policy_traces/017_Ensure_all_County_facilities_within_the_Urban_Development_Bo.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation."
018,sub,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation.","Reduce pollutant loads to surface waters, including Biscayne Bay, to facilitate recovery of seagrasses to historic levels.",Nature-Based Solutions,NBS-2,policy_traces/018_Reduce_pollutant_loads_to_surface_waters_including_Biscayne_.json,trace_initiative_policies_valid.csv,parent_statement,"Miami-Dade County will expand and protect green and blue spaces through canopy targets, water quality improvements, and habitat preservation."
