policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,individual,,NEW EMISSIONS GOAL FOR AUSTIN,Economy-wide,"Clear, quantified community-wide target with deadline (net-zero GHG by 2040).",0,individual,individual,,"The statement is an auditable, outcome-based commitment: achieving “net-zero community-wide greenhouse gas emissions” with a clear deadline of “by 2040.” It is measurable via an emissions inventory (target = net-zero), applies community-wide (spatial scope), and uses strong commitment language (“will achieve”). While it does not specify an enforcement instrument (ordinance/mandate), the strong language plus quantified target and timeline satisfies the strict validity rule.",Yes,Yes,No,Yes,No,Yes,VALID,0.88,"Quantifiable target: Yes — commits to an outcome of ""net-zero community-wide greenhouse gas emissions"" (measurable via community GHG inventory; net-zero is a defined numeric endpoint). Timeline: Yes — ""by 2040"" provides an explicit deadline. Binding mechanism: No — the text does not reference an ordinance, mandate, regulation, or code requirement; it is a stated commitment only. Spatial specificity: Yes — ""community-wide"" specifies scope of application (city/community-wide). Weak language: No — does not use ""aim,"" ""encourage,"" ""explore,"" etc.; it states ""will achieve."" Strong language: Yes — ""will achieve"" is a strong commitment paired with a concrete target and deadline. STRICT VALID RULE: (1) Auditable commitment met (net-zero outcome). (2) Gold standard met (timeline Yes + quantifiable target Yes). (3) Language strength satisfied because weak language is No (binding mechanism not required).",True
"Austin City Council Resolution 20070215-023 directed the City Manager to make City facilities, fleets, and operations carbon neutral by 2020 and to implement leading climate actions (renewable/efficiency utility leadership, energy-efficient codes, climate action team, and community/regional work).","## 2007 - Original Climate Protection Plan, Resolution 20070215-023
In February 2007, the Austin City Council adopted the first resolution in Austin's history that was focused on climate change. The resolution directed the City Manager to make City of Austin facilities, fleets, and operations carbon neutral by 2020, make Austin Energy the leading utility in the nation for greenhouse gas reduction through renewable energy and energy efficiency, implement the most energy-efficient building codes in the nation, establish an interdepartmental City Climate Action Team, and work with community members, businesses and regional entities on reducing emissions.",individual,,"2007 - Original Climate Protection Plan, Resolution 20070215-023",Cross-sector,Binding directive via City Council resolution with a dated target and specified actions.,2,individual,individual,,"The verbatim text contains an enforceable policy instrument (a City Council resolution) that “directed the City Manager” to achieve a specific, measurable outcome—carbon neutrality for City facilities/fleets/operations—by a clear deadline (2020). It also specifies the scope (“City of Austin facilities, fleets, and operations”) and includes additional action directives. This meets the strict validity rule because it has both a quantifiable outcome target and a timeline, and the directive language indicates a binding mechanism rather than mere encouragement.",Yes,Yes,Yes,Yes,No,Yes,VALID,0.86,"Quantifiable target: The resolution 'directed the City Manager to make City of Austin facilities, fleets, and operations carbon neutral'—a measurable outcome (carbon neutral status) for a defined emissions boundary (city operations). Timeline: explicit deadline 'by 2020'. Binding mechanism: 'Austin City Council adopted the... resolution' and it 'directed the City Manager to' take actions, indicating an official mandate-like directive. Spatial/scope specificity: applies to 'City of Austin facilities, fleets, and operations' (city government operations) and references Austin Energy. Language strength: verbs 'directed' and 'to make... carbon neutral by 2020' indicate a hard commitment; additional directives include 'implement' and 'establish'. Weak language: while one clause says 'work with community members... on reducing emissions' (softer), the core commitment is directive with a deadline and outcome, so weak-language-only characterization does not apply.",True
"Austin City Council Resolution 20140410-024 adopted the goal of net-zero community-wide greenhouse gas emissions (preferably as soon as feasible) and directed the City Manager to review 2007 goals and create a stakeholder process for a new community-wide plan focused on energy, transportation, and waste/industrial emissions sources.","## 2014 - Net-zero by 2050, Resolution 20140410-024
In April 2014, the Austin City Council adopted the goal of net-zero community-wide greenhouse gas emissions with the preference to achieve it as soon as feasible. The resolution also directed the City Manager to review the goals from the 2007 plan and create a stakeholder process to develop a new community-wide plan focused on energy, transportation, and waste/industrial emissions sources.",individual,,"2014 - Net-zero by 2050, Resolution 20140410-024",Economy-wide,Formal goal adoption and implementation directive stated in resolution text.,3,individual,individual,,"The verbatim text describes a council resolution that (1) adopts an overarching net-zero community-wide GHG goal and (2) directs the City Manager to review prior goals and convene a stakeholder process to develop a new plan. While it names a desired outcome (net-zero emissions), it does not state an explicit deadline/year in the provided excerpt, using only “as soon as feasible,” and it does not provide an auditable, quantified interim target or required actions. Under the strict rule for individual policies, the lack of an explicit timeline makes it NON-SOUND despite being a formal resolution.",Yes,No,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: The text states a measurable outcome goal: ""net-zero community-wide greenhouse gas emissions."" Timeline: No explicit year or deadline is provided; it only says ""with the preference to achieve it as soon as feasible,"" which is not an auditable timeline. Binding mechanism: It is a formal governmental action and includes a directive: ""the Austin City Council adopted the goal"" and ""directed the City Manager to review... and create a stakeholder process,"" indicating an official resolution/command. Spatial specificity: Applies to Austin at the community scale: ""Austin City Council"" and ""community-wide"". Weak language: Present due to non-specific timing language ""preferably as soon as feasible"" and process-oriented elements ""create a stakeholder process"" and ""develop a new community-wide plan"" without deadlines/metrics. Strong language: No hard-number mandates or specified deliverables with deadlines; therefore not detected. STRICT VALID RULE fails because has_timeline='No' (and the commitment is largely process-oriented), so the policy is NON-SOUND.",False
Austin City Council Resolution 20150604-048 adopted the 2015 Austin Community Climate Plan supporting net-zero by 2050 with interim targets and directed the City Manager to prioritize resources and create the Joint Sustainability Committee for oversight.,"## 2015 - Adopt the 2015 Austin Community Climate Plan, Resolution 20150604-048
In June 2015, the Austin City Council adopted the 2015 Austin Community Climate Plan, supporting the trajectory to net-zero greenhouse gas emissions by 2050 with interim targets. The resolution also directed the City Manager to identify and prioritize resources to implement the plan and create the Joint Sustainability Committee to oversee its implementation.",individual,,"2015 - Adopt the 2015 Austin Community Climate Plan, Resolution 20150604-048",Cross-sector,Formal plan adoption plus resource prioritization and governance mechanism.,4,individual,individual,,"The verbatim text indicates a formal City Council action (adoption of a resolution) and an implementation/governance directive (City Manager prioritizes resources; creation of a Joint Sustainability Committee). However, it does not include any specific quantifiable interim targets in the excerpt (it only references that “interim targets” exist) and does not state an explicit deadline phrased as a commitment beyond the general “by 2050” net-zero trajectory. Under the strict rule for individual policies, the lack of an explicit, measurable target in the provided text makes it NON-SOUND, even though it is binding in form.",No,Yes,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: NO. The text says it is 'supporting the trajectory to net-zero greenhouse gas emissions by 2050 with interim targets' but provides no measurable interim target values (no % reductions, tCO2e, etc.) in the excerpt. Timeline: YES. It explicitly mentions 'by 2050' ('net-zero greenhouse gas emissions by 2050'). Binding mechanism: YES. It states 'Austin City Council adopted' a 'Resolution 20150604-048' and 'directed the City Manager to identify and prioritize resources' and to 'create the Joint Sustainability Committee,' which are directive/authoritative actions. Spatial specificity: YES. Applies to 'Austin City Council' / 'City Manager' and the 'Austin Community Climate Plan' (citywide Austin context). Weak language: YES. Phrases like 'supporting the trajectory to net-zero' indicate support/trajectory rather than a directly auditable deliverable in this excerpt. Strong language: NO. While 'directed' is strong, there are no hard numbers tied to required outcomes in the quoted text. STRICT VALID RULE fails because has_quantifiable_target != 'Yes' (gold standard not met), so overall NON-SOUND.",False
"Austin City Council Resolution 20190509-019 recommended creating a comprehensive, community-wide climate resilience plan that is fair, just, and equitable, and expressed support for general tenets of the Green New Deal.","## 2019 - Climate Resilience, Resolution 20190509-019
In May 2019, the Austin City Council recommended creating a comprehensive, community-wide climate resilience plan that is fair, just, and equitable. ... They also expressed support for the general tenets of the Green New Deal.",individual,,"2019 - Climate Resilience, Resolution 20190509-019",Adaptation/Resilience,Explicit council recommendation to create a resilience plan with equity criteria.,5,individual,individual,,"The statement describes a council resolution that *recommends creating a plan* and *expresses support* for broad principles. The verbatim text does not include an enforceable requirement, a measurable outcome target, or a specific deadline/year for completion. Under the strict rule for individual policies, it is therefore non-auditable and not “gold standard” (missing both quantifiable target and timeline).",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"AUDITABLE COMMITMENT: The text says the council ""recommended creating a comprehensive, community-wide climate resilience plan"" and ""expressed support"" for Green New Deal tenets—this indicates intent/planning rather than an auditable deliverable with implementation details. QUANTIFIABLE TARGET: No measurable outcome is stated (no % reductions, number of projects, etc.); only the intention to create a plan is mentioned. TIMELINE: No explicit deadline or year is provided beyond the header context ""In May 2019"" (which is not a completion deadline). BINDING MECHANISM: The verb ""recommended"" indicates non-binding guidance; no mandate/requirement is specified. SPATIAL SPECIFICITY: ""community-wide"" specifies the scope/where it applies. LANGUAGE STRENGTH: Weak language is present (""recommended"", ""expressed support""), with no strong mandatory verbs tied to hard numbers.",False
"Austin City Council Resolution 20190509-020 directed the City Manager to analyze EV adoption scenarios and emission reductions, establish interim targets, and identify partnerships to include transportation electrification in the climate plan revision.","## 2019 - Transportation Electrification Plan, Resolution 20190509-020
In May 2019, the Austin City Council declared transportation electrification to be included in the Austin Community Climate Plan revision. The resolution directs the City Manager to analyze electric vehicle adoption scenarios and associated emission reductions, establish interim targets, and identify partnerships.",individual,,"2019 - Transportation Electrification Plan, Resolution 20190509-020",Transport,"Directive with specific required actions (analysis, interim targets, partnerships).",6,individual,individual,,"This resolution is an administrative directive to conduct analysis and planning steps (analyze EV adoption scenarios and emissions, establish interim targets, identify partnerships) to support a climate plan revision. While it is a concrete process requirement, the provided text does not include an explicit deadline/year or any quantifiable outcome target (e.g., EV share, emissions reduction %, fleet numbers). Under the strict rule for individual policies, it therefore fails the “gold standard” requirement and is NON-SOUND as an actionable + measurable policy outcome.",No,No,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text says to ""analyze electric vehicle adoption scenarios and associated emission reductions"" and ""establish interim targets"" but does not state any numeric target or measurable outcome. Timeline: No—no date/deadline/year is provided (only ""In May 2019"" as context, not an implementation deadline). Binding mechanism: Yes—described as a ""Resolution 20190509-020"" that ""directs the City Manager"" to take actions, indicating an official directive. Spatial specificity: Yes—applies to ""Austin"" / ""Austin City Council"" and the ""Austin Community Climate Plan revision."" Weak language: Yes—focuses on planning/process verbs like ""analyze"" and ""identify"" and does not commit to achieving a quantified outcome by a deadline. Strong language: No—no enforceable performance requirement with hard numbers (no 'achieve X by Y'). Therefore fails STRICT VALID RULE because has_timeline='No' and has_quantifiable_target='No'.",False
"Austin City Council Resolution 20190808-078 declared a climate emergency and directed the City Manager to reconsider accountability structures, increase external engagement, and accelerate activity toward the City’s net-zero goal.","## 2019 - Climate Emergency, Resolution 20190808-078
In August 2019, the Austin City Council declared a climate emergency and called for immediate emergency mobilization to restore a safe climate. The resolution directs the City Manager to reconsider accountability structures, increase external engagement, and accelerate activity toward the City's net-zero goal.",individual,,"2019 - Climate Emergency, Resolution 20190808-078",Cross-sector,Formal emergency declaration with implementation directives.,7,individual,individual,,"This is a formal resolution declaring a climate emergency and directing the City Manager to take process-oriented steps (“reconsider accountability structures,” “increase external engagement,” “accelerate activity”). However, the verbatim text provides no explicit deadline/year and no measurable outcome target (e.g., % reductions by a date). It is therefore not auditable against a concrete, time-bound metric under the strict individual-policy rule.",No,No,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text includes no measurable outcome (only 'net-zero goal' without a numeric target or date): 'accelerate activity toward the City's net-zero goal.' Timeline: No—no explicit year/deadline appears ('In August 2019' is the date of the resolution, not a compliance deadline). Binding mechanism: Yes—this is an adopted council resolution that 'directs the City Manager to reconsider accountability structures, increase external engagement, and accelerate activity.' Spatial specificity: Yes—applies to Austin city government operations/policy context: 'Austin City Council' and 'directs the City Manager' (citywide governance scope implied). Weak language: Yes—process verbs without hard metrics: 'called for,' 'reconsider,' 'increase,' 'accelerate.' Strong language: No—no 'require/mandate/achieve X by Y' phrasing with numbers. Under STRICT VALID RULE for individual policies, it fails the gold standard because has_timeline='No' and has_quantifiable_target='No', so result is NON-SOUND.",False
Austin City Council Resolution 20200220-047 directed Texas Gas Service to develop a feasibility assessment of renewable natural gas to support the 2020 update to the Austin Community Climate Plan.,"## 2020 - Renewable Natural Gas, Resolution 20200220-047
In February 2020, the Austin City Council adopted a resolution focused on Renewable Natural Gas, directing Texas Gas Service to develop a feasibility assessment of renewable natural gas to support the 2020 update to the Austin Community Climate Plan.",individual,,"2020 - Renewable Natural Gas, Resolution 20200220-047",Energy,Specific directive to develop an RNG feasibility assessment.,8,individual,individual,,"The statement describes a city council resolution that *directs* Texas Gas Service to *develop a feasibility assessment* for renewable natural gas to support an update to a climate plan. This is primarily a planning/study action (process deliverable) with no explicit deadline/year for completion and no measurable outcome target (e.g., RNG volume, % replacement, emissions reduction). Under the strict rule for individual policies, it lacks both an explicit timeline and a quantifiable outcome, so it is NON-SOUND.",No,No,Yes,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text only says the council adopted a resolution 'directing Texas Gas Service to develop a feasibility assessment of renewable natural gas' and contains no measurable outcome (no %/volume/MW/tons).
Timeline: No. The only year references are contextual ('In February 2020' and 'support the 2020 update'), but there is no explicit deadline such as 'by [date/year]' for completing the assessment.
Binding mechanism: Yes. The verbatim text states the council adopted 'a resolution' 'directing Texas Gas Service' to act, indicating an official directive.
Spatial specificity: Yes. It applies to Austin via 'Austin City Council' and the 'Austin Community Climate Plan.'
Weak language: No. It uses directive language ('directing') rather than 'encourage'/'explore.'
Strong language: No. Although 'directing' is firm, it is not paired with hard numbers or an auditable outcome target.
STRICT VALID RULE check: Fails the gold standard because has_timeline='No' AND has_quantifiable_target='No'. Therefore the policy is NON-SOUND as an actionable+measurable climate policy outcome (it is a study/assessment without deadline/targets).",False
"Austin Energy Resource, Generation, and Climate Protection Plan to 2030 commits to 93% carbon-free generation by 2030 and 100% by 2035.","The plan calls for:
- 93% carbon-free generation by 2030, 100% by 2035",individual,,"Austin Energy Resource, Generation, and Climate Protection Plan to 2030",Energy,Quantified electricity decarbonization targets with years.,9,individual,individual,,"The verbatim text contains explicit, measurable outcome targets for electricity generation decarbonization (93% carbon-free and 100% carbon-free) and includes specific deadlines (by 2030 and by 2035). The statement is an auditable commitment rather than a study/process. While the wording “calls for” is somewhat plan-oriented (weak language), the presence of clear quantified targets and timelines makes it actionable and measurable under the strict rule.",Yes,Yes,No,No,Yes,No,NON-SOUND,0.78,"Quantifiable target: Yes — the text specifies “93% carbon-free generation” and “100% by 2035,” which are measurable outcomes. Timeline: Yes — explicit years “by 2030” and “by 2035.” Binding mechanism: No — the excerpt describes a plan and does not indicate an enforceable ordinance/mandate/code requirement. Spatial specificity: No — it does not state where it applies (e.g., Austin, citywide, service territory) in the provided excerpt. Weak language: Yes — phrasing “The plan calls for” suggests aspirational/planning language rather than a requirement. Strong language: No — no verbs like “require/mandate/shall” appear in the excerpt. STRICT VALID RULE check: Although the gold standard is met (timeline + quantifiable target), criterion (3) fails because weak_language_detected is Yes and has_binding_mechanism is No; therefore validation_result is NON-SOUND.",False
"Austin Energy Resource Plan includes 1,200 MW of conservation (including 225 MW of peak capacity).","The plan calls for:
- 1,200 megawatts (MW) of conservation, including 225 MW of peak capacity",individual,,"Austin Energy Resource, Generation, and Climate Protection Plan to 2030",Energy,Quantified conservation/peak capacity commitments.,10,individual,individual,,"The verbatim text contains a specific, auditable deliverable: “1,200 megawatts (MW) of conservation, including 225 MW of peak capacity,” which is a measurable outcome (MW). However, it does not specify any deadline/year for achieving this conservation/peak capacity, and it is framed as “calls for,” which is more plan/aspirational language than an enforceable mandate. Therefore it fails the strict individual-policy “gold standard” because it lacks an explicit timeline.",Yes,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: Yes — the text specifies “1,200 megawatts (MW) of conservation, including 225 MW of peak capacity,” which is a measurable outcome in MW.
Timeline: No — there is no explicit deadline/year (e.g., “by 2030”) attached to the MW targets.
Binding mechanism: No — the text says “The plan calls for,” which does not indicate an enforceable requirement (no ordinance/mandate/code).
Spatial specificity: No — no location/jurisdiction is stated in the verbatim excerpt (it does not say citywide/service territory, etc.).
Weak language: Yes — “calls for” indicates aspirational/planning language without enforcement.
Strong language: No — no verbs like “require/mandate/achieve by [year]” appear.
STRICT VALID RULE check: Fails because has_timeline = No (and also weak language with no binding mechanism). Therefore NON-SOUND.",False
