policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
"London is committed to being a zero carbon city by 2050, with the Mayor setting out actions within his powers to achieve this as soon as possible.","The Mayor's London Environment Strategy (May 2018) was one of the first plans of any world city to be compatible with the highest ambition of the Paris Agreement. It commits London to being a zero carbon city by 2050. It sets out the actions the Mayor will take, within his powers, to get there as soon as possible.",individual,,What has London committed to?,Economy-wide,Explicit commitment to an economy-wide outcome (zero carbon) with a deadline (2050) and reference to actions the Mayor will take.,0,individual,individual,,"The verbatim text contains a clear, measurable economy-wide outcome (“zero carbon city”) and an explicit deadline (“by 2050”), which satisfies the gold-standard criteria. However, the language about “actions the Mayor will take, within his powers” does not clearly establish an enforceable/binding mechanism (e.g., mandate/ordinance/requirement), and it also includes some weak/vague phrasing (“as soon as possible”). Under the strict rule, the policy can still be VALID because it has both a quantifiable target and a timeline, and weak language is not disqualifying when paired with an auditable commitment (the 2050 target).",Yes,Yes,No,Yes,Yes,No,VALID,0.82,"Quantifiable target: Yes — the text states it 'commits London to being a zero carbon city' (a specific outcome state). Timeline: Yes — 'by 2050' is explicit ('zero carbon city by 2050'). Binding mechanism: No — while it 'sets out the actions the Mayor will take, within his powers,' it does not specify an enforceable mandate/ordinance/regulation or legally binding requirement. Spatial specificity: Yes — it applies to 'London' (citywide scope). Weak language: Yes — 'as soon as possible' is non-specific and dilutes precision. Strong language: No — no mandate/require/install language with hard interim numeric requirements; it is framed as a commitment/plan. STRICT VALID RULE: Passes because it contains an auditable commitment with both (1) measurable outcome (zero carbon city) and (2) explicit deadline (2050); weak phrasing is present but does not invalidate since the core commitment is time-bound and outcome-based.",True
London will follow an emissions pathway aligned with IPCC recommendations to reduce emissions by 60% on 1990 levels by 2030 and by nearly 80% by 2040.,Understanding these different pathways has enabled us to set an ambitious emissions pathway in line with the IPCC recommendations. It will see London reduce its emissions by 60 per cent on 1990 levels by 2030 and by nearly 80 per cent by 2040.,individual,,How will we get there?,Economy-wide,Quantified targets with clear baselines and deadlines constitute an extractable mitigation commitment.,1,individual,individual,,"The verbatim text states a measurable, outcome-based emissions reduction pathway for London with a clear baseline (1990 levels) and explicit deadlines (by 2030 and by 2040). This is an auditable mitigation commitment (economy-wide emissions reductions), with strong target language (“will see London reduce…”). However, the excerpt does not itself establish a binding legal mechanism (e.g., ordinance/mandate), so enforceability is unclear; still, the strict “gold standard” requirement (timeline + quantifiable target) is satisfied and no weak/aspirational verbs dominate.",Yes,Yes,No,Yes,No,Yes,VALID,0.85,"Quantifiable target: Yes — contains measurable outcomes: “reduce its emissions by 60 per cent on 1990 levels by 2030 and by nearly 80 per cent by 2040.” Timeline: Yes — explicit deadlines “by 2030” and “by 2040.” Binding mechanism: No — excerpt provides no enforceable instrument (no ordinance/mandate/regulation), only an announced pathway. Spatial specificity: Yes — explicitly applies to “London” (“It will see London reduce its emissions…”). Weak language: No — does not rely on ‘encourage/aim/explore’; instead uses commitment language tied to numbers. Strong language: Yes — commitment phrasing with hard numbers and dates: “will see London reduce… by 60 per cent… by 2030… nearly 80 per cent… by 2040.” Strict valid rule: (1) Auditable commitment satisfied (economy-wide emissions reductions with baseline). (2) Gold standard satisfied (timeline + quantifiable target both Yes). (3) Language strength satisfied because weak_language_detected is No (binding mechanism not required in that case).",True
At least 70% of London's buildings need to reach energy performance level EPC C by 2030.,Only 35 per cent of homes currently achieve adequate energy efficiency performance (EPC C or above) and many will still be in use by 2050. At least 70 per cent of London's buildings need to reach EPC C by 2030.,individual,,Key messages,Buildings,Quantified building-efficiency target (share of buildings to EPC C) with deadline (2030).,2,individual,individual,,"The verbatim text states a clear, measurable outcome for buildings’ energy efficiency (“At least 70 per cent… reach EPC C”) and includes an explicit deadline (“by 2030”). It is spatially specific to London. However, the phrasing “need to” is not itself a binding legal mechanism (it reads as a requirement/assessment rather than an enacted mandate), but it still satisfies the strict validity rule because it has both a quantifiable target and a timeline, and it does not rely on weak verbs like “encourage” or “explore.”",Yes,Yes,No,Yes,No,Yes,VALID,0.83,"Quantifiable target: ""At least 70 per cent of London's buildings need to reach EPC C"" specifies a measurable share (70%) and a defined performance level (EPC C). Timeline: ""by 2030"" is an explicit deadline year. Spatial specificity: ""London's buildings"" clearly defines the geography (London). Binding mechanism: no explicit enforceable instrument is cited (no ordinance/regulation/mandate text), only ""need to"" wording, so marked No. Weak language: no ""encourage/promote/explore/aim"" style phrasing; instead it sets a numeric requirement, so weak_language_detected=No. Strong language: includes a hard number and performance requirement (""At least 70 per cent"" and ""reach EPC C""), so marked Yes. STRICT VALID RULE: passes because it has both timeline=Yes and quantifiable_target=Yes, and weak_language_detected=No.",True
"Minimum Energy Efficiency Standards should be set to EPC C across all building types, with effective enforcement, to bring buildings up to an EPC C rating.",Regulation with effective enforcement to bring buildings up to an EPC C rating will be the best way to achieve the building energy efficiency levels needed. This includes setting Minimum Energy Efficiency Standards to EPC C across all building types.,individual,,Key messages,Buildings,Specifies a regulatory mechanism (MEES) and performance standard (EPC C) across building types.,3,individual,individual,,"The statement describes a regulatory approach (Minimum Energy Efficiency Standards) and a performance level (EPC C) to be applied “across all building types,” implying a binding mechanism. However, the verbatim text provides no explicit timeline/deadline (e.g., “by 2030”) for when compliance must be reached. Under the strict rule for individual policies, lack of an explicit timeline makes the policy NON-SOUND even though the target level (EPC C) is measurable.",Yes,No,Yes,Yes,No,Yes,NON-SOUND,0.4,"AUDITABLE COMMITMENT: The text proposes an enforceable standard: ""Regulation with effective enforcement"" and ""setting Minimum Energy Efficiency Standards to EPC C across all building types."" This is a concrete deliverable (a minimum standard) rather than a study/process.

QUANTIFIABLE TARGET: Yes, because it specifies a measurable performance threshold: ""EPC C"" and ""bring buildings up to an EPC C rating.""

TIMELINE: No, because there is no explicit deadline/year in the verbatim text; it does not say ""by [year]"" or any specific effective date.

BINDING MECHANISM: Yes, due to explicit regulatory/enforcement language: ""Regulation with effective enforcement"" and ""Minimum Energy Efficiency Standards"" (standards enforced via regulation).

SPATIAL SPECIFICITY: Yes, it defines the scope of application: ""across all building types"" (i.e., applies broadly across the building stock).

LANGUAGE STRENGTH: Strong language detected because it uses enforceable terms tied to a clear standard: ""Regulation with effective enforcement"" and ""setting Minimum Energy Efficiency Standards to EPC C.""

STRICT VALID RULE CHECK: Fails gold standard because has_timeline == 'No' (even though has_quantifiable_target == 'Yes'); therefore validation_result = NON-SOUND. Confidence capped at 0.4 due to missing timeline.",False
"By 2041, around 80% of all trips in London should be made by sustainable modes (cycling, walking and public transport).","By 2041, around 80 per cent of all trips in London should be made by sustainable modes of transport including cycling, walking and public transport.",individual,,8. Decarbonising transport and increasing use of active and public transport remains a key objective for London.,Transport,Quantified modal-share target with a deadline (2041).,4,individual,individual,,"The statement sets a measurable outcome (80% of all trips) with a clear deadline (by 2041) and specifies the geography (in London). However, the verb “should be made” is aspirational rather than binding, and the text does not indicate an enforceable mechanism (e.g., mandate, ordinance, legally adopted plan requirement). Under the strict rule, it fails the language-strength criterion because weak language is present and there is no binding mechanism.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.72,"Quantifiable target: Present — “around 80 per cent of all trips”. Timeline: Present — “By 2041”. Spatial specificity: Present — “in London”. Binding mechanism: Not evidenced — no wording indicating a requirement/mandate/ordinance; statement is a target only. Weak language: Present — “should be made” indicates aspiration rather than enforceable commitment. Strong language: Absent — no terms like “require/mandate” or other enforceable verbs tied to the target. STRICT VALID RULE check: While it meets the gold-standard elements (timeline + quantifiable target), it fails the language-strength requirement because weak_language_detected='Yes' and has_binding_mechanism='No', so it is NON-SOUND.",False
"By 2050, all of London's motorised road transport will need to be battery electric or fuel cell electric vehicles.","By 2050, all of London's motorised road transport will need to be battery electric or fuel cell electric vehicles.",individual,,8. Decarbonising transport and increasing use of active and public transport remains a key objective for London.,Transport,Clear technology/transition target for the road transport fleet with a deadline (2050).,5,individual,individual,,"The statement sets a citywide outcome target for London’s motorised road transport fleet: a complete transition to battery electric or fuel cell electric vehicles by a specified year (2050). This is an auditable, measurable endpoint with a clear deadline. However, it does not explicitly describe the binding instrument (e.g., mandate/ordinance/regulation) that would enforce the transition, so binding mechanism is not evidenced in the provided text.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: The text specifies an all-or-nothing measurable outcome: ""all of London's motorised road transport will need to be battery electric or fuel cell electric vehicles"" (i.e., 100% transition). Timeline: The text includes an explicit deadline: ""By 2050"". Spatial specificity: The scope is clearly defined as ""London's"" motorised road transport (citywide applicability). Binding mechanism: No explicit legal/administrative instrument is named (no ordinance, regulation, standard, or enforcement described), so this criterion is marked 'No'. Language strength: The phrase ""will need to be"" indicates a strong requirement tied to a hard outcome and date. Weak language: No terms like 'encourage', 'explore', or 'aim' appear.",True
"The Mayor and GLA group will work with boroughs and stakeholders to deliver a zero carbon transport system by 2050, including implementing the T-Charge and Ultra Low Emission Zone, developing rapid EV charging networks, ending new diesel taxi licensing and ensuring all new taxis are zero-emissions capable, and rolling out electric buses.","Work with boroughs and other stakeholders to deliver a zero carbon transport system by 2050. This includes the new T-Charge and Ultra Low Emission Zone, development of a public network of rapid EV chargers, no longer licensing new diesel taxis and making sure all new taxis are zero emissions capable, and rolling out electric buses.",individual,,What will the Mayor and the GLA group do?,Transport,"Specific interventions and programmes (T-Charge, ULEZ, EV chargers, taxi licensing changes, electric buses) tied to an overarching 2050 objective.",6,individual,individual,,"The statement includes an overarching outcome (“deliver a zero carbon transport system”) with an explicit deadline (“by 2050”) and lists concrete measures (T-Charge/ULEZ, rapid EV chargers, ending new diesel taxi licensing, requiring new taxis to be zero-emissions capable, electric buses). However, it does not provide quantifiable metrics (e.g., % reductions, number of chargers/buses, compliance dates for taxi rule, or emissions targets) and uses collaborative/aspirational language (“work with”, “deliver”) rather than clearly binding requirements in the provided text. Therefore it fails the strict “gold standard” requirement (timeline + quantifiable target) and is NON-SOUND under the rubric.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Timeline: Yes — explicit deadline in “deliver a zero carbon transport system by 2050.” Quantifiable target: No — “zero carbon transport system” is an outcome aspiration but no measurable metric is specified (no % reduction trajectory, no baseline, no numbers of chargers/buses/taxis). Binding mechanism: No — while measures are listed (“T-Charge and Ultra Low Emission Zone”, “no longer licensing new diesel taxis”), the excerpt does not explicitly state an enforceable legal instrument (ordinance/regulation/code) or binding compliance dates; it is framed as “Work with boroughs and other stakeholders…”. Spatial specificity: No — it does not explicitly state the jurisdiction/area of application (e.g., “London-wide” or named boroughs/areas) in the verbatim text. Weak language: Yes — “Work with boroughs and other stakeholders to deliver…” indicates collaborative/aspirational framing without hard measurable targets. Strong language: No — there are action verbs, but not paired with hard numbers/metrics. Strict rule: fails because has_quantifiable_target=No (gold standard unmet), so overall NON-SOUND. Confidence capped at 0.4 due to missing quantifiable target.",False
The Mayor will ensure new buildings are zero carbon by setting strong policy through the London Plan.,Ensure new buildings are zero carbon through setting strong policy through the London Plan.,individual,,What will the Mayor and the GLA group do?,Buildings,Explicit commitment to a policy instrument (London Plan) to require zero-carbon new buildings.,7,individual,individual,,"The statement expresses an intention to “ensure” zero-carbon new buildings via “setting strong policy” in the London Plan, but it lacks an explicit deadline/year and provides no measurable, auditable target definition (e.g., specific emissions intensity threshold, compliance metric, or percentage/by-when requirement). It also does not clearly establish a binding mechanism (it references a planning instrument but does not state an adopted mandate/change). Under the strict rule for individual policies, missing both timeline and quantifiable target makes it NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text says ""Ensure new buildings are zero carbon"" but provides no measurable metric/threshold or quantified outcome (no %, no standard definition, no compliance measure). Timeline: No—no year or deadline is stated. Binding mechanism: No—the phrase ""setting strong policy through the London Plan"" indicates a potential instrument but does not specify an enacted requirement/mandate or adopted code change. Spatial specificity: Yes—""London Plan"" implies applicability within London. Weak language: Yes—""setting strong policy"" is non-specific and does not state a concrete requirement. Strong language: No—although ""Ensure"" is assertive, it is not paired with hard numbers or an explicit enforceable requirement in the text. Therefore it fails the gold-standard requirement (timeline + quantifiable target) and is NON-SOUND.",False
"The Mayor will support boroughs, Londoners and businesses via technical/support frameworks for energy efficiency and heat networks, and through grant programmes.","Support boroughs, Londoners and businesses to do their part through technical and support frameworks for energy efficiency and heat networks, and grant programmes.",individual,,What will the Mayor and the GLA group do?,Buildings,Concrete support interventions (frameworks and grants) targeted at energy efficiency and heat networks.,8,individual,individual,,"The statement describes supportive actions (technical/support frameworks and grant programmes) but does not specify any measurable outcome (e.g., number of buildings retrofitted, % efficiency gains, MW of heat networks) or any deadline/year. The language is generally enabling (“support”) rather than binding, and there is no indication of a mandate or enforceable requirement. It does specify target groups (“boroughs, Londoners and businesses”), but not a clear spatial boundary like “London-wide” as an application area in the policy text. Under the strict rule for individual policies, lack of both a quantifiable target and a timeline makes it NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text lists instruments ('technical and support frameworks', 'grant programmes') but no measurable outcomes (no %/MW/#). Timeline: No—no year, deadline, or timeframe stated. Binding mechanism: No—no enforceable terms like 'require/mandate/shall' or reference to an ordinance/code; only 'Support'. Spatial specificity: No—mentions audiences ('boroughs, Londoners and businesses') but does not explicitly define where the policy applies (e.g., 'London-wide' or specific boroughs/areas). Weak language: Yes—uses enabling verb 'Support' without hard targets. Strong language: No—no directive verbs paired with numbers. Therefore fails GOLD STANDARD (no target + no timeline) and is NON-SOUND.",False
"The Mayor will improve energy efficiency in all GLA buildings, transition GLA vehicle fleets to zero emissions, increase renewables on GLA estates, and use collective energy procurement to encourage new renewable projects inside and outside London.","Lead by example to make all GLA buildings more energy efficient and transition vehicle fleets to zero emissions. We will also increase renewables on our estates, and use collective energy procurement to encourage new renewable projects inside and outside London.",individual,,What will the Mayor and the GLA group do?,Public sector,"Multiple explicit operational commitments by the public authority (buildings efficiency, fleet electrification, renewables, procurement).",9,individual,individual,,"The statement describes several “lead by example” intentions (improve energy efficiency, transition fleets, increase renewables, use procurement to encourage projects) but provides no measurable outcome (no % efficiency improvement, no number of vehicles, no MW/kW renewables, no procurement volume) and no deadline/year. Language is largely aspirational (“make… more”, “transition”, “increase”, “encourage”) without an identified binding instrument (e.g., ordinance/mandate). Under the strict individual-policy rule, it is therefore NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text includes no measurable outcomes (no %, MW, counts). Phrases are qualitative: ""more energy efficient"", ""transition vehicle fleets to zero emissions"", ""increase renewables"", ""encourage new renewable projects"".
Timeline: No. No explicit deadline or year appears.
Binding mechanism: No. The passage does not cite an enforceable instrument (no ordinance/mandate/code); it is framed as ""Lead by example"" and ""We will"".
Spatial specificity: Yes. It specifies application scope/locations: ""all GLA buildings"", ""on our estates"", and projects ""inside and outside London"".
Weak language: Yes. Uses non-auditable verbs without hard targets: ""more energy efficient"", ""increase"", ""encourage"".
Strong language: No. While ""We will"" appears, it is not paired with hard numbers or enforceable requirements.",False
