policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Italy::a9ea387db36c1ba9256f49b4,Italy::a9ea387db36c1ba9256f49b4,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Build the 400 kV 'Calenzano–Colunga' power line to increase exchange limits on the North–Central Northern section.,Mitigation,,,policy_traces/001_Build_the_400_kV_CalenzanoColunga_power_line_to_increase_exc.json,,,False,False,,,,,,,,
002,Italy::76e9f28bd064ac61d2941d4c,Italy::76e9f28bd064ac61d2941d4c,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Build the 400 kV 'Foggia–Villanova' and 'Deliceto–Bisaccia' power lines to increase exchange limits South→Central Southern and encourage renewable generation in the South.,Mitigation,,,policy_traces/002_Build_the_400_kV_FoggiaVillanova_and_DelicetoBisaccia_power_.json,,,False,False,,,,,,,,
003,Italy::063134fe5bed3c91557f84fa,Italy::063134fe5bed3c91557f84fa,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,"Build the 400 kV 'Montecorvino–Avellino–Benevento' power lines to increase exchange limits South→Central Southern, reduce constraints on the Rossano production centre, and encourage renewable generation in the South.",Mitigation,,,policy_traces/003_Build_the_400_kV_MontecorvinoAvellinoBenevento_power_lines_t.json,,,False,False,,,,,,,,
004,Italy::f652796e750ecc06cb517e77,Italy::f652796e750ecc06cb517e77,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Redevelop the North Calabria network (together with the already completed Traversale Calabra 400 kV Feroleto–Maida line) to reduce constraints on the Rossano production centre and renewable generation in Calabria.,Mitigation,,,policy_traces/004_Redevelop_the_North_Calabria_network_together_with_the_alrea.json,,,False,False,,,,,,,,
005,Italy::f7596bb81f6841b14537c0f7,Italy::f7596bb81f6841b14537c0f7,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Build a 400 kV power line between Milan and Brescia to reduce congestion between the north-west and north-east areas.,Mitigation,,,policy_traces/005_Build_a_400_kV_power_line_between_Milan_and_Brescia_to_reduc.json,,,False,False,,,,,,,,
006,Italy::4c4d3239950b4afc5ccdb389,Italy::4c4d3239950b4afc5ccdb389,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Build the 400 kV 'Udine–Redipuglia' power line to reduce constraints downstream of the Redipuglia junction that limit exchanges with Slovenia and affect use of local resources.,Mitigation,,,policy_traces/006_Build_the_400_kV_UdineRedipuglia_power_line_to_reduce_constr.json,,,False,False,,,,,,,,
007,Italy::edd2f871c9f3c32e7c01b969,Italy::edd2f871c9f3c32e7c01b969,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Streamline the Valle del Piave medium network to reduce congestion and encourage renewable generation.,Mitigation,,,policy_traces/007_Streamline_the_Valle_del_Piave_medium_network_to_reduce_cong.json,,,False,False,,,,,,,,
008,Italy::6ba8b7a54335d71a3e612843,Italy::6ba8b7a54335d71a3e612843,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,"Build 400 kV 'Paternò–Pantano–Priolo' and 'Chiaramonte Gulfi–Ciminna' power lines to improve interchangeability of resources in Sicily and between Sicily and the mainland, increase reliable operation, and encourage renewable generation.",Mitigation,,,policy_traces/008_Build_400_kV_PaternòPantanoPriolo_and_Chiaramonte_GulfiCimin.json,,,False,False,,,,,,,,
009,Italy::8f39693cc1eb6567d4a1c099,Italy::8f39693cc1eb6567d4a1c099,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Build the 150 kV SE S. Teresa–Buddusò power line to reduce congestion and improve safety and quality of electricity transmission service.,Mitigation,,,policy_traces/009_Build_the_150_kV_SE_S_TeresaBuddusò_power_line_to_reduce_con.json,,,False,False,,,keep,0.74,True,,,False
010,Italy::9b455b9927d2cec7e4364652,Italy::9b455b9927d2cec7e4364652,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,"Streamline AAT and AT networks in Turin, Milan, Genoa, Florence, Rome, Naples and Palermo to reduce congestion impacting operating safety and reliability of primary supply networks in high-user-concentration areas.",Mitigation,,,policy_traces/010_Streamline_AAT_and_AT_networks_in_Turin_Milan_Genoa_Florence.json,,,False,False,,,reclassify,0.66,,Adaptation,True,False
011,Italy::be5ccb50cdbf73c5604e6140,Italy::be5ccb50cdbf73c5604e6140,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,"Build a 132 kV 'Elba–Continente' power line and a 150 kV interconnection for the Campania islands to ensure adequate safety, continuity and efficiency of local service.",Resource Efficiency,,,policy_traces/011_Build_a_132_kV_ElbaContinente_power_line_and_a_150_kV_interc.json,,,False,False,,,,,,,,
012,Italy::10c29ca7aab32cd8f0fdc68e,Italy::10c29ca7aab32cd8f0fdc68e,sub,"Terna's Development Plan 2017 identifies priority development actions including overseas connections (HVDC Grand'Ile–Piossasco and Italy–Montenegro) and domestic grid projects to reduce congestion, increase safety/reliability in metropolitan areas, and improve quality and safety.",standalone parent policy,Redevelop the 150 kV network in the Sorrento Peninsula to improve quality and continuity of supply for the local AT network with high load density.,Adaptation,,,policy_traces/012_Redevelop_the_150_kV_network_in_the_Sorrento_Peninsula_to_im.json,,,False,False,,,keep,0.73,True,,,False
