policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Helsinki_Finland::e00a684e4f4ecbac3f6cc6c6,Helsinki_Finland::e00a684e4f4ecbac3f6cc6c6,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,"Improve services in traffic nodes and smoothness of traffic connections, including implementing HSL Solmu and park-and-ride action plans and improving real-time wayfinding via signposts and apps.",Mitigation,,,policy_traces/001_Improve_services_in_traffic_nodes_and_smoothness_of_traffic_.json,,,False,False,,,,,,,,
002,Helsinki_Finland::e59d5aec52d5a32a58f25d3b,Helsinki_Finland::e59d5aec52d5a32a58f25d3b,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,Complete the target network for bicycle traffic in the inner city by 2025.,Mitigation,,,policy_traces/002_Complete_the_target_network_for_bicycle_traffic_in_the_inner.json,,,False,False,,,,,,,,
003,Helsinki_Finland::8bd017c360b6237075c03944,Helsinki_Finland::8bd017c360b6237075c03944,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,Complete the Baana network for bicycle traffic by 2030.,Mitigation,,,policy_traces/003_Complete_the_Baana_network_for_bicycle_traffic_by_2030.json,,,False,False,,,,,,,,
004,Helsinki_Finland::8331b8337270588bbe11db36,Helsinki_Finland::8331b8337270588bbe11db36,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,Expand the cycling lane network with high-level winter maintenance.,Mitigation,,,policy_traces/004_Expand_the_cycling_lane_network_with_high_level_winter_maint.json,,,False,False,,,,,,,,
005,Helsinki_Finland::5d1e720853dff1edb5f1e097,Helsinki_Finland::5d1e720853dff1edb5f1e097,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,"Promote a pleasant and safe pedestrian environment, including by implementing the traffic safety development programme.",Mitigation,,,policy_traces/005_Promote_a_pleasant_and_safe_pedestrian_environment_including.json,,,False,False,,,,,,,,
006,Helsinki_Finland::af6cf067bf79402a74202110,Helsinki_Finland::af6cf067bf79402a74202110,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,"Develop cycling services (city bikes, hubs, parking) and related communications, and improve the ability/capacity to carry bicycles on heavy rail traffic.",Mitigation,,,policy_traces/006_Develop_cycling_services_city_bikes_hubs_parking_and_related.json,,,False,False,,,,,,,,
007,Helsinki_Finland::26c2c90203218125b7863b29,Helsinki_Finland::26c2c90203218125b7863b29,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,"Implement the development programme for tram traffic in Helsinki and achieve objectives for tram speed, flow, reliability and disturbance levels.",Mitigation,,,policy_traces/007_Implement_the_development_programme_for_tram_traffic_in_Hels.json,,,False,False,,,,,,,,
008,Helsinki_Finland::38a038232ab9c957cd9939ac,Helsinki_Finland::38a038232ab9c957cd9939ac,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,Improve public transport service level and rail network coverage by ensuring passenger demand via coordinated land use/transport investment planning and strengthening the trunk network.,Mitigation,,,policy_traces/008_Improve_public_transport_service_level_and_rail_network_cove.json,,,False,False,,,,,,,,
009,Helsinki_Finland::b9110ae317638c7c84544cc6,Helsinki_Finland::b9110ae317638c7c84544cc6,sub,Using sustainable means of transport (key actions related to modes of transport).,structural header,Implement the cycling promotion programme and the bicycle parking development programme.,Mitigation,,,policy_traces/009_Implement_the_cycling_promotion_programme_and_the_bicycle_pa.json,,,False,False,,,,,,,,
011,Helsinki_Finland::b44bc64d238206804ec67d6a,Helsinki_Finland::b44bc64d238206804ec67d6a,sub,"Pricing of transport (parking, public transport and vehicle traffic pricing system) (key actions related to pricing of transport).",structural header,"Prepare for a trial of a vehicle traffic pricing system (road toll/congestion tax) through additional surveys with the State/region, including examining allocation of toll revenues to transport system development.",Mitigation,,,policy_traces/011_Prepare_for_a_trial_of_a_vehicle_traffic_pricing_system_road.json,,,False,False,,,,,,,,
012,Helsinki_Finland::13e9d9ae0f6b72e8373503f1,Helsinki_Finland::13e9d9ae0f6b72e8373503f1,sub,"Pricing of transport (parking, public transport and vehicle traffic pricing system) (key actions related to pricing of transport).",structural header,"Continue current parking policy until 2021 and raise parking fees thereafter to reduce CO2 emissions, with business impact studied before the decision.",Mitigation,,,policy_traces/012_Continue_current_parking_policy_until_2021_and_raise_parking.json,,,False,False,,,,,,,,
013,Helsinki_Finland::1a1b06154e551bee8e490e81,Helsinki_Finland::1a1b06154e551bee8e490e81,sub,"Pricing of transport (parking, public transport and vehicle traffic pricing system) (key actions related to pricing of transport).",structural header,Scale parking fees more heavily based on emissions and to promote joint use of vehicles.,Mitigation,,,policy_traces/013_Scale_parking_fees_more_heavily_based_on_emissions_and_to_pr.json,,,False,False,,,,,,,,
014,Helsinki_Finland::26aa8e6d14ea16aa339469e3,Helsinki_Finland::26aa8e6d14ea16aa339469e3,sub,"Pricing of transport (parking, public transport and vehicle traffic pricing system) (key actions related to pricing of transport).",structural header,Expand parking fee zones.,Mitigation,,,policy_traces/014_Expand_parking_fee_zones.json,,,False,False,,,keep,0.78,True,,,False
016,Helsinki_Finland::98de839bc295dc94a754541f,Helsinki_Finland::98de839bc295dc94a754541f,sub,The growing city structure (key actions related to the growing city structure).,structural header,Promote public transport and other sustainable travel by complementing the city's community structure (as part of MAL planning).,Mitigation,,,policy_traces/016_Promote_public_transport_and_other_sustainable_travel_by_com.json,,,False,False,,,,,,,,
017,Helsinki_Finland::8a5b62421bf60da73c5caa69,Helsinki_Finland::8a5b62421bf60da73c5caa69,sub,The growing city structure (key actions related to the growing city structure).,structural header,Update parking norms to better support sustainable transport in new areas and complementary construction of existing areas.,Mitigation,,,policy_traces/017_Update_parking_norms_to_better_support_sustainable_transport.json,,,False,False,,,keep,0.86,True,,,False
018,Helsinki_Finland::01f73da85326b011ebf62bc1,Helsinki_Finland::01f73da85326b011ebf62bc1,sub,The growing city structure (key actions related to the growing city structure).,structural header,Encourage creation of blocks and areas focusing on bicycle and pedestrian traffic through land use planning.,Mitigation,,,policy_traces/018_Encourage_creation_of_blocks_and_areas_focusing_on_bicycle_a.json,,,False,False,,,,,,,,
020,Helsinki_Finland::2c6677d5715b230a6564fc85,Helsinki_Finland::2c6677d5715b230a6564fc85,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,Develop an environmental zone by assessing expansion and inclusion of CO2 criteria (2017–2021) and preparing a CO2-based environmental zone ready for introduction (2021–2025).,Mitigation,,,policy_traces/020_Develop_an_environmental_zone_by_assessing_expansion_and_inc.json,,,False,False,,,,,,,,
021,Helsinki_Finland::289455f1f98ff83b3768417b,Helsinki_Finland::289455f1f98ff83b3768417b,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,"Enable market-based construction of public charging infrastructure for electric cars, implementing recommendations of the electric traffic working group (by 2035).",Mitigation,,,policy_traces/021_Enable_market_based_construction_of_public_charging_infrastr.json,,,False,False,,,keep,0.9,True,,,False
022,Helsinki_Finland::74e8541b42e9ab3647ca49b3,Helsinki_Finland::74e8541b42e9ab3647ca49b3,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,"Tighten environmental criteria in competitive bidding for delivery/heavy delivery/utilities and machinery services (and related contract work), monitor compliance after procurement, and research introducing an environmental bonus system.",Mitigation,,,policy_traces/022_Tighten_environmental_criteria_in_competitive_bidding_for_de.json,,,False,False,,,,,,,,
023,Helsinki_Finland::1164d318b41d5d9a4517be02,Helsinki_Finland::1164d318b41d5d9a4517be02,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,Apply environmental criteria to procurement/leasing of City vehicles; Stara and HKL fleets will only use vehicles running on biofuels or renewable electricity by 2020.,Mitigation,,,policy_traces/023_Apply_environmental_criteria_to_procurementleasing_of_City_v.json,,,False,False,,,,,,,,
024,Helsinki_Finland::3e5123d5566e980618d722a4,Helsinki_Finland::3e5123d5566e980618d722a4,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,Take an active role in developing city logistics and incentives for low-emissions delivery traffic by researching a delivery parking ID system with emissions-based pricing and expanding loading/unloading points.,Mitigation,,,policy_traces/024_Take_an_active_role_in_developing_city_logistics_and_incenti.json,,,False,False,,,,,,,,
025,Helsinki_Finland::f829dfe201d40f3d870167db,Helsinki_Finland::f829dfe201d40f3d870167db,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,"HSL targets: 10% of ordered bus traffic operated with electric buses by 2022, 30% by 2025, and 90% of ordered traffic run on biofuels by 2020.",Mitigation,,,policy_traces/025_HSL_targets_10_of_ordered_bus_traffic_operated_with_electric.json,,,False,False,,,,,,,,
026,Helsinki_Finland::9ae24990c760bd6cfdc49b35,Helsinki_Finland::9ae24990c760bd6cfdc49b35,sub,Changes in vehicle technology (key actions related to the changes in vehicle technology).,structural header,Expand charging infrastructure for buses as part of the bus traffic competitive bidding programme.,Mitigation,,,policy_traces/026_Expand_charging_infrastructure_for_buses_as_part_of_the_bus_.json,,,False,False,,,keep,0.9,True,,,False
028,Helsinki_Finland::d7edc3a57e646c72cef59acf,Helsinki_Finland::d7edc3a57e646c72cef59acf,sub,Reducing the emissions from the harbours (key actions related to reducing the emissions from the Port operations).,standalone parent policy,"Port of Helsinki will create a 'Carbon-neutral Port by 2035' Action Plan including periodic energy reviews, advancing shore power, environmental criteria for machinery/vehicles, enabling low-emission fuel bunkering, and potential discounts/support for shipping companies; and enabling more energy-efficient ships in Vuosaari Harbour.",Mitigation,,,policy_traces/028_Port_of_Helsinki_will_create_a_Carbon_neutral_Port_by_2035_A.json,,,False,False,,,,,,,,
029,Helsinki_Finland::585bfadcf94f195c7f856207,Helsinki_Finland::585bfadcf94f195c7f856207,sub,Reducing the emissions from the harbours (key actions related to reducing the emissions from the Port operations).,standalone parent policy,Make West Harbour traffic smoother between the Harbour and Länsiväylä.,Mitigation,,,policy_traces/029_Make_West_Harbour_traffic_smoother_between_the_Harbour_and_L.json,,,False,False,,,,,,,,
031,Helsinki_Finland::f380f46836855d0d82cbf5b1,Helsinki_Finland::f380f46836855d0d82cbf5b1,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,Examine implementation status of recent energy survey actions and project unimplemented feasible actions; improve documentation of survey implementation.,Adaptation,,,policy_traces/031_Examine_implementation_status_of_recent_energy_survey_action.json,,,False,False,,,,,,,,
032,Helsinki_Finland::211f6a73a383be0fa308f982,Helsinki_Finland::211f6a73a383be0fa308f982,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,Identify major sources of heat loss and heat recovery opportunities in City service buildings (especially sports halls and apartment buildings) and implement viable projects.,Mitigation,,,policy_traces/032_Identify_major_sources_of_heat_loss_and_heat_recovery_opport.json,,,False,False,,,keep,0.86,True,,,False
033,Helsinki_Finland::0545b5bcc48eb47ef2631dd4,Helsinki_Finland::0545b5bcc48eb47ef2631dd4,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,Better allocate energy cost and savings impacts to actors influencing facility energy consumption and develop an encouraging method for all actors to conserve energy.,Resource Efficiency,,,policy_traces/033_Better_allocate_energy_cost_and_savings_impacts_to_actors_in.json,,,False,False,,,keep,0.86,True,,,False
034,Helsinki_Finland::2fc09196aa7f4c6de9d98222,Helsinki_Finland::2fc09196aa7f4c6de9d98222,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,Develop office-building energy monitoring toward energy-efficiency monitoring by integrating building condition and usage data; connect all City-owned/service properties to the monitoring system.,Mitigation,,,policy_traces/034_Develop_office_building_energy_monitoring_toward_energy_effi.json,,,False,False,,,keep,0.86,True,,,False
035,Helsinki_Finland::7547b464da7b38be2435659a,Helsinki_Finland::7547b464da7b38be2435659a,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,Pilot electricity and heating demand response in City premises and develop a plan for adoption scale and schedule based on pilots.,Mitigation,,,policy_traces/035_Pilot_electricity_and_heating_demand_response_in_City_premis.json,,,False,False,,,,,,,,
036,Helsinki_Finland::83f7d592a7eed87f13da5066,Helsinki_Finland::83f7d592a7eed87f13da5066,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,"Examine property-specific/regional energy storage opportunities and cost effects, set objectives for storage use (demand response and reserve power), and prepare an operating plan.",Mitigation,,,policy_traces/036_Examine_property_specificregional_energy_storage_opportuniti.json,,,False,False,,,,,,,,
037,Helsinki_Finland::ec021af4f006deafe8511525,Helsinki_Finland::ec021af4f006deafe8511525,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,Prepare a target programme for using renewable energy in City construction projects and existing buildings and monitor progress.,Mitigation,,,policy_traces/037_Prepare_a_target_programme_for_using_renewable_energy_in_Cit.json,,,False,False,,,,,,,,
038,Helsinki_Finland::67c0e48249a8619c618d0d46,Helsinki_Finland::67c0e48249a8619c618d0d46,sub,Residential and service buildings and outdoor lighting owned by the City (key actions related to the service buildings of the City).,structural header,"Continuously develop procurement criteria and methods in construction and maintenance to reflect ambitious goals on energy efficiency, lifecycle CO2 emissions and environmental impacts.",Mitigation,,,policy_traces/038_Continuously_develop_procurement_criteria_and_methods_in_con.json,,,False,False,,,,,,,,
