policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
"Hiroshima City will set greenhouse gas emissions reduction targets of 80% by FY2050, 30% by FY2030, and 5% by FY2020 compared to FY2013 (with FY2020 also equivalent to 7% compared to FY2005).","To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become.

| Timeframe            | Target Year   | Reduction Target (Total Target Amount)            |
| Long-term Target     | FY2050        | Compared to FY2013 ▲ 80%                          |
| Mid-term Target *1   | FY2030        | Compared to FY2013 ▲ 30%                          |
| Short-term Target *2 | FY2020        | Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) |",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > 2. Reduction target for greenhouse gas emissions,Economy-wide,"Clear, quantified citywide mitigation targets with target years and base year.",1,individual,individual,,"The statement is an auditable, quantified mitigation commitment with explicit target years (FY2020/FY2030/FY2050) and percentage reductions relative to a stated baseline year (FY2013, also FY2005 for FY2020). It is citywide in scope (“the city will set”), and it is measurable. However, the excerpt frames it as “will set … target” (target-setting) rather than an enforceable mandate or regulation, so binding mechanism is not evidenced in the verbatim text. Despite that, it meets the strict “gold standard” (timeline + quantifiable target) and contains no weak/aspirational verbs like “encourage/explore”.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: The table specifies measurable emissions reductions: 'Compared to FY2013 ▲ 80%' (FY2050), 'Compared to FY2013 ▲ 30%' (FY2030), and 'Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%)' (FY2020). Timeline: Explicit target years are given: 'FY2050', 'FY2030', 'FY2020'. Spatial specificity: Applies to the jurisdiction of 'the city'/'Hiroshima City' ('the city will set...'). Binding mechanism: No ordinance/requirement/enforcement language is shown; it states 'the city will set the long-term target', which indicates target-setting but not a legally binding mechanism. Weak language: Not detected (no 'encourage', 'explore', 'aim'); the intent is stated as 'will set' with specific numeric targets. Strong language: Present insofar as 'will set' is a commitment paired with hard numbers and years in the table.",True
"Hiroshima City will set mid-term (FY2030) sector-specific CO2 reduction targets: Industry 7%, Consumer/household 40%, Consumer/business 40%, Transport 28%, Waste 6.7% (all compared to FY2013), and reduction targets for methane (12.3%), dinitrogen monoxide (6.1%), and fluorocarbon alternative gases (25.1%).","Apart from the total target amount, we set the targets by sector as follows:

- -Carbon Dioxide: Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%
- -Methane ▲ 12.3%
- -Dinitrogen monoxide: ▲ 6.1%
- -4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > *1 Setting of targets by sectors in the mid-term target,Economy-wide,Quantified sector/gas-specific targets tied to the plan’s mid-term goal.,2,individual,individual,,"The verbatim text specifies measurable reduction targets (percent reductions) by sector and by non-CO2 gases, making the commitment auditable and outcome-based. However, the explicit timeline “FY2030” appears in the policy_statement but is not present in the provided verbatim_text; under the strict rule, timeline must be evidenced in verbatim_text. Therefore the policy as grounded here is NON-SOUND due to missing explicit deadline in the quoted source text, despite having clear quantifiable targets.",Yes,No,No,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: YES — verbatim_text lists numeric reduction targets: ""Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%"" and gas targets ""Methane ▲ 12.3%"", ""Dinitrogen monoxide: ▲ 6.1%"", ""4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%"". Timeline: NO — the verbatim_text contains no explicit year/deadline (no ""2030""/""FY2030"" present). Binding mechanism: NO — no enforceable instrument (e.g., ordinance/mandate/regulation) is stated. Spatial specificity: NO — the text does not specify jurisdictional scope (e.g., ""Hiroshima City""/""citywide"") within the verbatim_text itself. Language strength: Strong language YES because the text states ""we set the targets"" and provides hard numbers; Weak language NO because it does not use ""encourage/aim/explore"". STRICT VALID RULE fails because has_timeline != 'Yes' (and gold standard requires both timeline and quantifiable target). Confidence capped at 0.4 due to missing timeline in verbatim_text.",False
Hiroshima City will set a short-term (FY2020) energy-use reduction target of 5% for total energy use not affected by the CO2 emission factor of electric utilities.,"*2 Setting of short-term energy reduction target

Total amount of energy use that is not affected by the carbon dioxide emission factor of electric utility

- -Total amount of energy use: ▲ 5%",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > *2 Setting of short-term energy reduction target,Energy,"Explicit, quantified short-term energy reduction target.",3,individual,individual,,"The statement specifies a measurable outcome (5% reduction in total energy use not affected by the utility CO₂ emission factor) and provides an explicit short-term timeline (FY2020). The text is target-setting rather than purely aspirational, but it does not clearly indicate a legally binding enforcement mechanism or where it applies (though “Hiroshima City” implies municipal scope). Overall it meets the strict “gold standard” because it has both a quantifiable target and a timeline, with no weak/hedging language in the excerpt.",Yes,Yes,No,Yes,No,Yes,VALID,0.84,"Quantifiable target: The verbatim text states ""Total amount of energy use: ▲ 5%"", which is a measurable 5% reduction target. Timeline: The policy_statement specifies ""short-term (FY2020)"", which is an explicit year/fiscal-year deadline. Binding mechanism: The excerpt describes ""Setting of short-term energy reduction target"" but does not cite an ordinance/mandate/regulation or enforcement language; therefore 'No'. Spatial specificity: ""Hiroshima City will set..."" indicates the policy is for Hiroshima City (municipal scope), so 'Yes'. Weak language: No terms like 'encourage/explore/aim' appear in the excerpt; it presents a concrete target, so 'No'. Strong language: The excerpt sets a hard numeric target (5%), which constitutes strong, target-based language even without explicit 'require' wording, so 'Yes'. STRICT VALID RULE check: (1) Auditable commitment present (a defined reduction target). (2) Gold standard satisfied because has_timeline='Yes' and has_quantifiable_target='Yes'. (3) Language strength satisfied because weak_language_detected='No' (binding mechanism not required).",True
Hiroshima City will manage implementation of measures toward the GHG reduction target by setting KPIs (Key Performance Indicators) and managing achievement status using them.,"Considering the frameworks of measures, measures for each scene of daily life and social economic activities will be promoted as follows. The achievement status of the greenhouse effect gas reduction target by implementing these measures will be managed by setting the KPI (Key Performance Indicator)*.

*KPI (Key Performance Indicator) is an index to evaluate the progress status of each measure.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > 5. Concrete measures for achieving the reduction target,Economy-wide,Commitment to a specific governance/monitoring mechanism (KPI-based management).,4,individual,individual,,"The statement describes a governance/monitoring approach (setting KPIs and tracking progress) for measures aimed at a GHG reduction target, but it does not include any specific, measurable outcome (e.g., % GHG reduction, tCO2e, number of actions implemented) nor any explicit deadline/year. The language is largely promotive/managerial (“will be promoted”, “will be managed”) rather than binding, enforceable requirements. Therefore, it is not an actionable + measurable individual policy under the strict criteria.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text mentions a ""greenhouse effect gas reduction target"" but provides no numeric/measurable outcome; it only says progress will be managed by ""setting the KPI (Key Performance Indicator)"". Timeline: No—no year/deadline appears anywhere in the excerpt. Binding mechanism: No—no ordinance/mandate/requirement; phrasing is managerial: ""will be promoted"" and ""will be managed"". Spatial specificity: No—no explicit geographic scope such as ""Hiroshima City"" in the verbatim text (it appears only in the policy statement), and no area/neighborhood specification. Weak language: Yes—""will be promoted"" indicates encouragement/implementation intent without enforceable, time-bound quantified deliverables. Strong language: No—no ""require/mandate"" plus hard numbers. Under the strict rule, failing both timeline and quantifiable target makes it NON-SOUND; confidence capped at 0.4.",False
Household measures will promote energy-saving actions and environmental learning/education through global warming prevention campaigns.,"## ◆ Household

Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > ◆ Household,Buildings,Concrete intervention (campaigns and education) aimed at household energy savings.,5,individual,individual,,"The statement describes a general intention to run household-focused global warming prevention campaigns and education to encourage energy-saving actions. It lacks any measurable outcome (e.g., kWh reduction, number of households reached, participation rate) and has no explicit deadline/year. Language is promotional (“promote”) and there is no indication of a binding mandate or enforceable requirement. Therefore it is not auditable/measurable under the strict individual-policy rule.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text says, ""promote energy saving actions and environment-related learning/education"" but provides no measurable outcome (no kWh/% reduction, no # households, no adoption rate).
Timeline: No. There is no explicit year/deadline; it only references doing this via ""campaign, etc.""
Binding mechanism: No. No ordinance/requirement/mandate is stated; it is framed as promotional activity.
Spatial specificity: No. It applies to ""Household"" generally with no defined jurisdiction/area (e.g., citywide, specific neighborhoods).
Weak language: Yes. Uses ""promote"" and describes campaigns/education without hard targets.
Strong language: No. No verbs like require/mandate/achieve with numbers.
STRICT VALID RULE check: Fails because has_timeline='No' and has_quantifiable_target='No', and commitment is not auditable beyond a general campaign intention.",False
Household measures will promote the introduction of low-carbon houses using innovative technology such as ZEH/ZEB and energy-saving devices based on the state's Top Runner Program.,"Take measures to promote the introduction of low-carbon houses with high energy-saving effect using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > ◆ Household,Buildings,"Specific technology and program-based interventions (ZEH/ZEB, Top Runner devices).",6,individual,individual,,"The statement describes an intent to “promote the introduction” of low-carbon houses/buildings using ZEH/ZEB and Top Runner-based devices. However, it does not specify any measurable outcome (e.g., number of ZEH/ZEB units, % adoption, energy/CO2 reduction) nor any deadline/year. The language is promotional rather than mandatory, and no binding mechanism (law/ordinance/requirement) is indicated. Therefore it is not auditable as an individual policy under the strict rule.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text only says ""promote the introduction of low-carbon houses"" and lists examples (""ZEH"", ""ZEB"", ""Top Runner Program"") but provides no numbers, percentages, or emissions/energy reduction amounts.
Timeline: No—no deadline or year is stated.
Binding mechanism: No—no enforceable terms (e.g., mandate/require) or legal instrument is mentioned; it states ""Take measures to promote"".
Spatial specificity: No—no location/scope such as citywide, regional, or targeted areas is specified in the excerpt.
Weak language: Yes—""promote the introduction"" indicates encouragement without an auditable commitment.
Strong language: No—no mandatory verbs paired with hard targets appear.
STRICT VALID RULE check: fails the gold standard because has_timeline='No' and has_quantifiable_target='No'; also uses weak language without a binding mechanism.",False
Hiroshima City will promote shifting to an environmentally-friendly lifestyle by developing low-carbon communities with residents' initiative under the concept of 'Develop our town by ourselves'.,"Promote the shift to an environmentally-friendly lifestyle developing low-carbon communities, etc. with residents' initiative, under the concept of 'Develop our town by ourselves'.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > ◆ Household,Cross-cutting,Defined community-based action to shift lifestyles; an explicit measure statement.,7,individual,individual,,"The statement is aspirational and programmatic (“promote”, “developing… communities”) but does not specify any measurable outcome (e.g., % emissions reduction, number of communities/households) or any deadline/year. It also lacks any binding mechanism (e.g., ordinance/mandate) and provides no spatial scope beyond an implied city context. Under the strict rule for individual policies, it fails the gold-standard requirement (no timeline and no quantifiable target), so it is NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text includes no numeric/measurable outcome; it only says ""Promote the shift to an environmentally-friendly lifestyle"" and ""developing low-carbon communities"".
Timeline: No—no date/year/deadline is present.
Binding mechanism: No—no enforceable terms (e.g., require/mandate/ordinance) appear; it uses ""Promote"".
Spatial specificity: No—does not explicitly state the jurisdictional scope (e.g., ""Hiroshima City""/""citywide"") in the verbatim text; only general community language is present.
Weak language: Yes—""Promote"" and broad development phrasing indicate encouragement without enforceable or measurable commitments.
Strong language: No—no mandatory verbs with hard numbers.
STRICT VALID RULE: Fails because has_timeline='No' and has_quantifiable_target='No'; therefore NON-SOUND.",False
"For households, Hiroshima City sets KPIs including: newly-built ZEH share 50% by FY2020 and almost 100% by FY2030; low-carbon house share 50% by FY2020; household fuel cells total 15,000 by FY2020 and 56,000 by FY2030; and LED adoption (>80% of household lighting) 50% by FY2020 and almost 100% by FY2030.","## ◇ Key Performance Indicator (KPI)

| ... | ZEH | 4.3% (FY2015) | 50% | Almost100% |
| ... | Low-carbon house | 1.3% (FY2015) | 50% | - |
| Number of introduced household fuel cells (Total) | ... | 822 (FY2015) | 15,000 | 56,000 |
| Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | ... | 12.5% (FY2016) | 50% | Almost100% |",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > ◆ Household > ◇ Key Performance Indicator (KPI),Buildings,Quantified KPI targets with years provide concrete commitments for household sector implementation.,8,individual,individual,,"The verbatim text provides explicit KPI outcome targets (shares/percentages and counts) with baseline years and future target years (FY2020, FY2030) for household building-related measures (ZEH share, low-carbon house share, household fuel cells introduced, and LED lighting adoption). These are measurable and time-bound, satisfying the “gold standard.” The table is framed as KPIs (targets), not merely aspirational language. However, the excerpt does not itself show an enforceable legal instrument (ordinance/mandate), and spatial applicability is implied (Hiroshima City/citizens) but not stated in the excerpt; still, it is reasonably citywide given “Rate of citizens…” wording.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable targets are explicitly stated in the KPI table: ZEH share target values “50%” and “Almost100%”; low-carbon house share “50%”; household fuel cells (total) “15,000” and “56,000”; LED adoption for “more than 80% of household lighting” targets “50%” and “Almost100%”. Timeline is explicit via fiscal years: “50% by FY2020” and “Almost100% by FY2030” (also shown as columns with FY2020/FY2030 alongside baselines like “4.3% (FY2015)” and “12.5% (FY2016)”). Binding mechanism is not evidenced in the excerpt (it is a KPI table without legal/mandatory language like ordinance/require). Spatial specificity is supported by the indicator wording “Rate of citizens…” which implies applicability to the city’s residents/households (Hiroshima City context). Weak language is not present (no 'encourage/aim' wording in the excerpt); strong language is inferred from the presence of hard KPI targets with percentages and absolute numbers tied to specific FY years.",True
"For business activities, Hiroshima City will promote energy management and energy-saving actions and thoroughly manage devices using chlorofluorocarbons with extremely high greenhouse effect.","## ◆ Business activities

Take measures to promote energy management and energy saving actions, as well as thorough management of devices using chlorofluorocarbons that have an extremely high greenhouse effect.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > ◆ Business activities,Industry,Specific interventions for businesses including management of high-GWP refrigerants/CFC-related devices.,9,individual,individual,,"The statement describes general intentions (“promote energy management and energy saving actions” and “thorough management” of high-GWP/CFC-using devices) but provides no measurable outcome (no % reduction, number of facilities/devices, compliance rate, etc.) and no deadline/year. The language is promotional rather than mandatory, and there is no explicit binding mechanism (e.g., regulation/requirement). Therefore it is not auditable as an individual policy commitment under the strict criteria.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text includes no measurable outcome; it only says 'promote energy management and energy saving actions' and 'thorough management of devices using chlorofluorocarbons'. Timeline: No—no year or deadline is provided. Binding mechanism: No—no ordinance/mandate/requirement is stated; phrasing is 'Take measures to promote...' rather than 'require/mandate'. Spatial specificity: No—does not specify where within Hiroshima City or which business categories/facilities; it is only a section header 'Business activities' with no defined coverage. Weak language: Yes—uses 'promote' and 'Take measures to promote', indicating encouragement without enforceable targets. Strong language: No—no mandatory verbs tied to hard numbers. Under the strict rule, lacking both a timeline and a quantifiable target makes it NON-SOUND.",False
"For business activities, Hiroshima City will promote the introduction of low-carbon buildings using innovative technology such as ZEB and energy-saving devices based on the state's Top Runner Program.","Take measures to promote the introduction of low-carbon houses with high energy-saving effect using innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program.",individual,,Chapter 5: Promotion of counteractions against global warming (Mitigation) > ◆ Business activities,Buildings,Specific technology pathway (ZEB) and device efficiency program (Top Runner) for the commercial/industrial building stock.,10,individual,individual,,"The statement describes an intent to “promote” adoption of ZEB/energy-saving devices via the Top Runner Program, but it does not specify any measurable outcome (e.g., number of buildings, % energy reduction) nor any deadline. It also lacks an explicit binding mechanism (e.g., mandate/ordinance), so it is not auditable as an individual policy commitment under the strict rule.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text says ""promote the introduction of low-carbon houses"" and references technologies like ""ZEB"" and ""energy saving devices"" but provides no measurable outcome (no % reduction, no counts, no performance threshold). Timeline: No—no year/deadline is stated. Binding mechanism: No—language is promotional (""promote"") and does not indicate a mandate, requirement, ordinance, or enforceable code. Spatial specificity: No—does not clearly define the jurisdiction or area of application in the verbatim text beyond generic context; no explicit 'citywide' or specified districts are named. Weak language: Yes—""promote the introduction"" indicates encouragement without enforceable or measurable commitments. Strong language: No—no 'require/mandate/achieve' paired with hard numbers is present. Therefore the strict valid rule fails (missing both timeline and quantifiable target).",False
