policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
The City will shift its land use strategy toward infill and redevelopment as land supply declines.,"The plan for existing and future land use recognizes that land supply will greatly reduce over the next thirty years. As existing development agreements and new subdivisions are completed in the western and northwestern part of the City, this plan recognizes the need to shift to a strategy of infill and redevelopment.",individual,,LAND USE,Buildings,This is an explicit municipal planning commitment to pursue infill and redevelopment as the land use strategy for future growth. It is more than context because it states a defined strategic action.,0,individual,individual,,"The statement describes a strategic planning direction, but it does not meet the strict validity standard for an individual climate policy. The verbatim text says the plan “recognizes the need to shift to a strategy of infill and redevelopment,” which indicates intent rather than an auditable, enforceable commitment. It does not provide a specific deadline, numeric outcome target, or binding implementation mechanism. While it does identify where the transition is relevant—“in the western and northwestern part of the City” and implicitly within the City’s land use planning area—the lack of measurable deliverables and timeline makes it NON-SOUND under the strict rule.",No,No,No,Yes,Yes,No,NON-SOUND,0.24,"1) Auditable commitment: The text states the plan 'recognizes the need to shift to a strategy of infill and redevelopment.' This is a strategic intention, not a concrete deliverable such as rezoning specific parcels, adopting a code, or completing a set number of housing units. 2) Quantifiable target: No measurable outcome is given. There is no percentage, acreage, number of projects, or redevelopment volume target. The phrase 'over the next thirty years' refers to land supply reduction context, not a policy outcome target. Therefore has_quantifiable_target = 'No'. 3) Timeline: The text mentions 'over the next thirty years,' but this describes expected land supply conditions, not an explicit deadline such as 'by 2030' for the policy action. Therefore has_timeline = 'No'. 4) Binding mechanism: There is no enforceable authority cited such as an ordinance, mandate, zoning amendment, or required standard. The plan merely 'recognizes the need.' Therefore has_binding_mechanism = 'No'. 5) Spatial specificity: The text specifies 'the western and northwestern part of the City' and concerns future land use within the City, so there is a location context. Therefore has_spatial_specificity = 'Yes'. 6) Language strength: The wording is weak and aspirational: 'recognizes the need to shift' rather than requiring or mandating a specific action. No hard numbers accompany the action. Therefore weak_language_detected = 'Yes' and strong_language_detected = 'No'. 7) Strict valid rule: The policy fails the gold standard because has_timeline = 'No' and has_quantifiable_target = 'No'. It also lacks a binding mechanism. Thus validation_result = 'NON-SOUND'.",False
The 2050 General Plan prioritizes mixed-use transit-oriented development corridors and higher-density development integrating affordable housing.,"To accomplish an infill strategy that ties with many additional goals throughout the plan, the plan links identified regional centers with mixed-use transit-oriented development (TOD) corridors, accented at key nodes. These corridors must be prioritized for higher density development that integrates a diverse range of affordable housing types.",individual,,2050 GENERAL PLAN,Transport,"This is a specific land-use policy with concrete interventions: linking regional centers with mixed-use TOD corridors, prioritizing higher density, and integrating affordable housing.",1,individual,individual,,"The statement describes a land-use priority in the General Plan and uses somewhat directive language: “These corridors must be prioritized for higher density development that integrates a diverse range of affordable housing types.” This supports that there is an intended policy direction and some binding-style wording (“must be prioritized”). However, under the strict validation rule for an individual policy, it lacks the gold-standard elements needed to be considered VALID. The verbatim text does not provide an explicit timeline or deadline, and it does not include a quantifiable outcome such as a percentage, number of units, corridor mileage, or target year. It is also more about prioritization and planning direction than an auditable deliverable. Because the policy lacks both an explicit deadline and measurable target, it should be classified as NON-SOUND despite having spatial specificity and moderately strong language.",No,No,No,Yes,No,No,NON-SOUND,0.33,"Evidence review: (1) Quantifiable target: No. The text says the plan links 'identified regional centers with mixed-use transit-oriented development (TOD) corridors' and that corridors 'must be prioritized for higher density development that integrates a diverse range of affordable housing types.' This describes direction and design characteristics, but gives no measurable outcome such as % increase, number of housing units, miles of corridor, or deadline-linked production target. Per rule, budget or qualitative intent alone is insufficient; here there is not even a numeric budget. (2) Timeline: No. The excerpt contains no explicit year or deadline such as 'by 2030' or 'within 5 years.' The phrase '2050 General Plan' is the name of the plan, not an explicit implementation deadline in the quoted policy text. (3) Binding mechanism: No. Although the text uses 'must be prioritized,' it does not clearly indicate an enforceable ordinance, mandate, code amendment, or other binding legal mechanism. It reflects plan guidance rather than a demonstrated enforceable instrument. (4) Spatial specificity: Yes. The policy specifies where it applies: 'identified regional centers' and 'mixed-use transit-oriented development (TOD) corridors,' including 'key nodes.' (5) Weak language: No. The policy does not rely on verbs like 'encourage,' 'explore,' or 'aim.' (6) Strong language: No. While 'must be prioritized' is directive, the schema requires strong language with hard numbers; there are no hard numbers present. Overall strict rule assessment: the policy fails the gold-standard requirement because has_timeline='No' and has_quantifiable_target='No'. Therefore validation_result is NON-SOUND.",False
"The City will amend code and plant at least 100,000 native and adaptive trees to raise canopy cover to 20 percent.","Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",individual,,URBAN FORESTRY,Adaptation,"This is a quantified urban forestry commitment with a clear numeric planting and canopy target, making it directly extractable as policy.",2,individual,individual,,"The policy statement is partially strong because the verbatim text includes a concrete, measurable outcome: “At least 100,000 public and private high quality, native and adaptive trees” and “increase the canopy to 20%.” It also references a potentially binding instrument through “LVMC and zoning amendments for trees,” which suggests code or regulatory change. However, the text does not provide an explicit deadline or year for when the trees will be planted or canopy will reach 20%. Under the strict validation rule for individual policies, the absence of a timeline prevents the policy from qualifying as VALID, even though it has quantifiable targets and likely binding elements. Therefore, it should be rated NON-SOUND with moderate confidence capped due to the missing timeline.",Yes,No,Yes,No,No,Yes,NON-SOUND,0.4,"1) Auditable commitment: Yes. The text specifies concrete deliverables: ""LVMC and zoning amendments for trees"" and ""At least 100,000 public and private high quality, native and adaptive trees ... are planted to increase the canopy to 20%."" This is more than a study or aspiration. 2) Quantifiable target: Yes. Exact measurable outcomes are stated: ""At least 100,000"" trees and canopy increased ""to 20%."" 3) Timeline: No. The verbatim text contains no explicit year, date, or deadline such as ""by 2030."" 4) Binding mechanism: Yes. ""LVMC and zoning amendments"" indicates a code/regulatory change, which is an enforceable mechanism. 5) Spatial specificity: No. While the action concerns public and private trees, it does not explicitly state a geographic scope such as citywide, neighborhood-specific, or district-specific in the quoted text. 6) Language strength: Strong language detected because the text uses directive wording: ""steps must be taken"" and ""are planted"" alongside hard numbers. Weak language not detected because it does not rely on verbs like ""encourage,"" ""explore,"" or ""aim"" without targets. 7) Strict valid rule application: Fails the gold standard because has_timeline = 'No' even though has_quantifiable_target = 'Yes'. Therefore validation_result = 'NON-SOUND'. Confidence is capped at 0.4 due to missing timeline.",False
The City will develop a Parks System Plan and achieve CAPRA certification.,"Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification",individual,,PARKS AND CONNECTIVITY,Adaptation,"This contains a specific intervention and certification commitment for parks planning, qualifying as a policy.",3,individual,individual,,"The statement describes an intended action: “Develop a Parks System Plan and achieve CAPRA certification.” However, under the strict validation rule for an individual policy, it lacks key elements required for soundness. The verbatim text does not provide an explicit timeline or year, and it does not include a quantifiable outcome target such as a percentage, number of facilities, acreage, or other measurable metric. “Achieve CAPRA certification” is a concrete deliverable, but certification alone is not presented with a deadline or quantified target in the text. The language uses “will,” which indicates commitment, but there is no clear binding legal mechanism such as an ordinance, mandate, or code requirement. Therefore, this is actionable but not sufficiently measurable under the strict standard, so it should be classified as NON-SOUND.",No,No,No,No,No,No,NON-SOUND,0.34,"Auditability: The text contains a concrete intended action: 'Develop a Parks System Plan and achieve CAPRA certification,' which is more specific than a general aspiration. Quantifiable target: No. The text does not include a measurable outcome with hard numbers; 'achieve CAPRA certification' is a discrete milestone but not a quantified target such as '% reduction,' 'MW installed,' or 'units retrofitted.' Timeline: No. There is no explicit deadline or year such as 'by 2030.' Binding mechanism: No. The statement says the City 'will' act, but there is no evidence of enforceable authority such as an ordinance, mandate, or code change. Spatial specificity: No. The text refers generally to 'the City' and parks facilities, but does not specify a policy application area such as 'citywide,' named neighborhoods, or a defined geographic subarea. Weak language: No. The statement does not use verbs like 'encourage,' 'explore,' or 'aim.' Strong language: No. While 'will develop' and 'achieve' indicate intent, the schema requires strong language with hard numbers, which are absent here. Strict valid rule assessment: Fails the gold standard because has_timeline='No' and has_quantifiable_target='No'. Therefore, validation_result is NON-SOUND.",False
"The City will increase park acreage to 7 acres per 1,000 residents, especially in identified areas of need.","Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need",individual,,PARKS AND CONNECTIVITY,Adaptation,This is a quantified parks provision target with a clear metric and geographic prioritization.,4,individual,individual,,"The statement contains a measurable outcome target: “Increase park acreage to 7 acres per 1,000 residents,” which satisfies the quantifiable-target criterion. It also includes spatial specificity through “specifically in noted areas of need.” However, the verbatim text does not provide any explicit year, deadline, or timeline such as “by 2030,” so the timeline criterion is not met. The language is action-oriented (“will increase”), but there is no explicit binding mechanism such as an ordinance, mandate, or code requirement. Under the strict rule for individual policies, absence of an explicit timeline prevents the policy from qualifying as VALID, even though it has a measurable target and some spatial specificity.",Yes,No,No,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: Yes. The text states, ""Increase park acreage to 7 acres per 1,000 residents,"" which is a measurable outcome target. Timeline: No. There is no explicit deadline or year in the verbatim text. Spatial specificity: Yes. The policy applies ""specifically in noted areas of need,"" indicating where the action is prioritized. Binding mechanism: No. The text says ""the City will"" but does not cite an ordinance, mandate, code change, or other enforceable authority. Strong language: Yes. The phrase ""will increase"" is a direct commitment tied to a hard number, ""7 acres per 1,000 residents."" Weak language: No. The text does not use soft verbs like ""encourage,"" ""explore,"" or ""aim."" Validation result: NON-SOUND, because the strict valid rule requires both has_timeline = 'Yes' and has_quantifiable_target = 'Yes' for an individual policy, and the timeline element is missing.",False
The City will ensure that 85 percent of dwelling units are within a short walk of a park or trail.,"Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Ensure 85% of dwelling units are within a short walk of a park or trail",individual,,PARKS AND CONNECTIVITY,Adaptation,This is a quantified accessibility target for parks/trails and therefore a concrete policy commitment.,5,individual,individual,,"The policy contains a clear, measurable outcome: “Ensure 85% of dwelling units are within a short walk of a park or trail.” This supports `has_quantifiable_target = Yes` because it specifies an 85 percent coverage target tied to dwelling units. It also has a concrete deliverable rather than only describing planning or study.

However, the verbatim text does not provide any explicit deadline or year for achieving this target, so `has_timeline = No`. Under the strict rule, an individual policy must have both a quantifiable target and a timeline to be considered VALID. Because the timeline is missing, the policy is NON-SOUND despite having a measurable target.

The language “will ensure” is relatively strong, but there is no explicit ordinance, mandate, code revision, or other enforceable mechanism in the text, so `has_binding_mechanism = No`. Spatial specificity is implicit at the city level because the statement refers to “the City” and city dwelling units, so `has_spatial_specificity = Yes`. No weak language like “encourage” or “explore” appears.",Yes,No,No,Yes,No,Yes,NON-SOUND,0.4,"1) Quantifiable target: Yes. The text states, “Ensure 85% of dwelling units are within a short walk of a park or trail,” which is a measurable outcome tied to a percentage of dwelling units. 2) Timeline: No. The excerpt contains no explicit deadline or year such as 'by 2030' or any dated implementation horizon. 3) Binding mechanism: No. Although the phrase “the City will” signals intent, the text does not reference an ordinance, mandate, regulation, code amendment, or other enforceable authority. 4) Spatial specificity: Yes. The statement applies to dwelling units within the City's jurisdiction, indicating citywide applicability. 5) Weak language: No. The text does not use softer verbs like 'encourage,' 'explore,' or 'aim.' 6) Strong language: Yes. The phrase “will ensure” plus the hard number “85%” indicates a strong commitment. 7) Strict valid rule assessment: The policy has an auditable commitment and a quantifiable target, but it fails the gold standard because has_timeline = 'No'. Therefore, the policy is NON-SOUND.",False
"The City will eliminate food deserts, reduce food swamps, and expand access to community gardens and small agricultural uses.","Given  the  lack  of  regional  agriculture,  it  is  necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure:

- No food deserts and reduce food swamps by increasing healthy food access
- Provide accessibility to community gardens and increase allowable small agricultural uses",individual,,FOOD AND URBAN AGRICULTURE,Agriculture,"This is a specific food-access commitment with concrete outcomes regarding food deserts, food swamps, and community gardens.",6,individual,individual,,"The statement expresses a policy intent around food access and urban agriculture, but it does not satisfy the strict validity standard for an individual climate policy. The verbatim text includes directional commitments such as “No food deserts,” “reduce food swamps,” “increasing healthy food access,” and “provide accessibility to community gardens,” but it does not specify an explicit deadline, year, or measurable numeric outcome. There is also no clear binding mechanism such as an ordinance, mandate, or adopted code change. While the phrase “must ensure” is somewhat strong, the underlying commitments remain non-auditable because they lack quantified targets and a timeline. Therefore, the policy is better classified as NON-SOUND.",No,No,No,No,No,No,NON-SOUND,0.32,"Auditability: The text states the City 'must ensure' and lists goals: '- No food deserts and reduce food swamps by increasing healthy food access' and '- Provide accessibility to community gardens and increase allowable small agricultural uses.' These are outcome-oriented intentions, but they are not auditable because there is no numeric deliverable, no baseline, and no implementation detail. Quantifiable target: No. The text contains no measurable outcome such as a percentage reduction, number of gardens, acres, households served, or similar metric. 'No food deserts' is not paired with a defined measurement method or deadline, and there are no hard numbers. Timeline: No. The verbatim text contains no explicit deadline or year such as 'by 2030.' Binding mechanism: No. Although it says the City 'must ensure,' there is no evidence of an enforceable ordinance, mandate, regulation, or code revision. Spatial specificity: No. The statement does not identify where the policy applies beyond the general 'City'; it does not say citywide, neighborhood-specific, or target a defined geography. Weak language: No. The text uses directive phrasing like 'must ensure' rather than soft verbs such as 'encourage' or 'explore.' Strong language: No. There are no hard numbers attached to action verbs, so the stronger criterion is not met. Under the strict valid rule, the policy fails the gold standard because has_timeline='No' and has_quantifiable_target='No', so it must be classified as NON-SOUND. Confidence is capped below 0.4 accordingly.",False
"The City will prioritize environmental justice by targeting AQI 100 or better, redeveloping brownfields, improving stormwater pollution prevention, and engaging affected communities in planning and transportation decisions.","Reducing  exposure  and  risk  to  low-income  and  minority communities must be prioritized, especially for new transportation and infrastructure projects. The City must:

- Ensure an air quality index of 100 or better
- Eliminate brownfields within the City by redevelopment
- Improve stormwater pollution prevention efforts
- Engage residents of all races, ethnicities, abilities and means  in  the  planning  and  transportation  decisionmaking process",individual,,ENVIRONMENTAL JUSTICE,Adaptation,"This section states prioritized actions for environmental justice, including a quantified AQI target and redevelopment commitment, which are extractable policy actions.",7,individual,individual,,"The policy contains several concrete action statements and some mandatory language (""must""), but it does not meet the strict validity standard for an individual policy. While the text includes one quantifiable outcome—“Ensure an air quality index of 100 or better”—it does not provide an explicit timeline or deadline. It also bundles multiple commitments together, several of which are not measurable as written, such as “Improve stormwater pollution prevention efforts” and “Engage residents ... in the planning and transportation decisionmaking process.” The phrase “within the City” provides spatial specificity, and “must” indicates some binding strength, but the lack of a timeline prevents this from satisfying the gold-standard rule. Therefore, the statement is best classified as NON-SOUND under the strict rubric.",Yes,No,Yes,Yes,No,Yes,NON-SOUND,0.4,"1) Quantifiable target: Yes. The text states, '- Ensure an air quality index of 100 or better,' which is a measurable outcome. 2) Timeline: No. There is no explicit deadline or year such as 'by 2030' or any other stated timeframe in the verbatim text. 3) Binding mechanism: Yes. The text says, 'The City must:' followed by required actions, indicating mandatory policy language. 4) Spatial specificity: Yes. The policy applies to 'low-income and minority communities' and also states, 'Eliminate brownfields within the City by redevelopment,' which specifies location. 5) Weak language: No. Although one item says 'Improve stormwater pollution prevention efforts,' the overall operative clause is 'The City must,' not merely encourage or explore. 6) Strong language: Yes. The verbatim text uses mandatory language: 'must' and action verbs such as 'Ensure' and 'Eliminate,' including the hard number '100 or better' for AQI. 7) Strict valid rule assessment: The policy includes at least one auditable commitment, but it fails the gold-standard requirement because has_timeline = 'No'. Under the rubric, an individual policy must have both a quantifiable target and an explicit timeline. Therefore, the validation result is NON-SOUND.",False
"The City will improve equitable educational outcomes through K-12 improvement, early education support, and attracting or educating new teachers.","The City recognizes that education is an important quality of life issue and is building upon the successes fostered by the City's Department of Youth Development and Social Innovation:

- Ensure equitable  improvement of  overall  educational outcomes for K-12
- Enhance early education programs and support coordinated efforts with Clark County School District
- Attract or educate new teachers",individual,,EQUITABLE EDUCATION,Cross-sectoral,"This is a clear education policy commitment with specific actions for K-12 outcomes, early education, and teacher attraction.",8,individual,individual,,"The statement describes broad education-oriented intentions, but it does not meet the strict standard for a valid individual policy. The verbatim text includes action phrases like “Ensure equitable improvement of overall educational outcomes for K-12,” “Enhance early education programs,” and “Attract or educate new teachers,” but none of these include a measurable outcome, numeric target, geographic implementation scope beyond general city context, or an explicit deadline/year. The language is largely aspirational and programmatic rather than binding or auditable. Because there is no quantifiable target and no timeline, this must be classified as NON-SOUND under the strict rule.",No,No,No,No,Yes,No,NON-SOUND,0.22,"Auditability: The text lists general intended actions: 'Ensure equitable improvement of overall educational outcomes for K-12,' 'Enhance early education programs and support coordinated efforts with Clark County School District,' and 'Attract or educate new teachers.' These are broad commitments, not clearly auditable deliverables with defined outputs. Quantifiable target: No. There are no numbers, percentages, counts, or other measurable outcome targets in the verbatim text. Timeline: No. The text provides no explicit deadline or year such as 'by 2030' or any implementation date. Binding mechanism: No. There is no ordinance, mandate, code revision, legal requirement, or enforceable authority indicated. Spatial specificity: No. Although it refers to 'The City' and coordination with 'Clark County School District,' it does not specify a concrete policy application area such as citywide implementation, named neighborhoods, or a target geography for the action itself. Weak language: Yes. Phrases such as 'Enhance,' 'support coordinated efforts,' and broad outcome-oriented wording indicate aspirational/programmatic intent without hard targets. Strong language: No. While 'Ensure' appears, it is not paired with hard numbers or enforceable requirements. Strict valid rule: Fails because has_timeline = 'No' and has_quantifiable_target = 'No'. Therefore validation_result = 'NON-SOUND'.",False
The City will improve the development process for new schools and prioritize construction of 30 new schools and classroom additions.,"Due  to  existing  overcrowding  and  projected  long-term student  population  growth,  the  City  must  improve  the development process for new schools and prioritize construction of 30 new schools and classroom additions.",individual,,LINK SCHOOL FACILITIES WITH LAND USE,Cross-sectoral,"This is a quantified infrastructure commitment for school construction, not merely a description of need.",9,individual,individual,,"The statement contains a concrete numeric deliverable: “prioritize construction of 30 new schools and classroom additions,” which supports a quantifiable target. However, it does not provide an explicit deadline or year, so the timeline criterion is not met. The phrase “must improve” gives some strength, but “prioritize construction” is weaker than a binding ordinance, mandate, or adopted code requirement, so binding mechanism is not clearly present. Because the strict rule requires both a quantifiable target and a timeline for an individual policy, this policy is NON-SOUND despite having a measurable element.",Yes,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: Yes. The text states 'prioritize construction of 30 new schools and classroom additions,' which includes a hard number ('30 new schools'). Timeline: No. There is no explicit deadline or year such as 'by 2030' in the verbatim text. Binding mechanism: No. Although the text says 'the City must improve the development process,' it does not identify an enforceable ordinance, mandate, code change, or other binding legal mechanism. Spatial specificity: No. The text refers only to 'the City' and does not specify a clearer area of application such as 'citywide,' named districts, or neighborhoods. Weak language: Yes. The phrase 'prioritize construction' indicates prioritization rather than a firm enforceable commitment to complete the schools. Strong language: No. While 'must improve' is assertive, there is not a hard-number outcome paired with a direct action verb like 'build' or 'achieve' under an explicit binding requirement. Under the strict valid rule for individual policies, both a quantifiable target and an explicit timeline are required. Because has_timeline = 'No', the policy is NON-SOUND.",False
