initiative_name,parent_statement,sector,num_sub_actions,coverage_score,coverage_assessment,coherence_score,coherence_assessment,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,weak_signals,strong_signals,initiative_result,confidence_score,initiative_reasoning,final_verdict,parent_row_type,parent_row_type_reasoning,sub_assessments,subs_strong,subs_moderate,subs_weak
Sustainable Buildings,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",Buildings,4,0.68,"Collectively, the sub-actions address important drivers of the parent buildings goal, especially equity, data access, codes, and implementation capacity. However, they do not fully specify how the stated 25% existing-building reduction and 30% natural-gas-related reduction will be delivered, so coverage is meaningful but incomplete.",0.84,"The sub-actions are broadly complementary: Action 1 addresses equitable delivery, Action 2 improves information and benchmarking, Action 3 advances codes and decarbonization measures, and Action 4 supports investment and workforce capacity. There are no obvious contradictions, though several actions are high-level enabling steps rather than clearly sequenced deliverables.",Yes,Yes,No,No,"no sub-action-specific numeric targets, no sub-action-specific deadlines, heavy reliance on partnership/outreach/education language, 3 of 4 subs are process-oriented","2030 deadline, net-zero carbon for all new buildings, 25% emissions reduction for existing buildings, 30% reduction in natural gas-related emissions, expanding benchmarking requirements, new building energy codes and amendments",PARTIAL,0.6,"This initiative aims to decarbonize the buildings sector by 2030 through net-zero carbon new buildings, emissions cuts in existing buildings, and reduced natural gas-related emissions. Across the four sub-actions, 0 are strong, 1 is moderate, and 3 are weak: the strongest element is the codes/amendments action, while the others are enabling actions on outreach, equity, benchmarking, investment, and workforce development. The parent provides a clear measurable goal and timeline, but it does not clearly establish a binding ordinance, regulation, or explicit geographic scope that all subs can inherit. Coverage is above moderate because the subs address several major implementation levers for buildings decarbonization, but they leave gaps in how the numeric existing-building and gas-emissions targets will be achieved. Coherence is high because the actions are mutually reinforcing and non-contradictory. Applying the initiative soundness rule, the cluster is not SOUND because it lacks at least one strong sub-action and too many subs are process-oriented, but it qualifies as PARTIAL because it has parent-level measurable targets, at least one moderate sub-action, and a non-aspirational implementation structure.",True,standalone parent policy,"The parent row states a substantive policy commitment with explicit 2030 outcome targets for new buildings, existing buildings, and natural gas-related emissions. It is more than a thematic header because it contains concrete sector goals that could stand on their own.","[{'action_label': 'Action 1: Energy poverty mitigation strategy', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Outreach, communications, benchmarking, and data access', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Net-zero carbon buildings through codes, amendments, incentives, and utility collaboration', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Local emissions reduction investment and workforce development', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,1,3
Sustainable Buildings,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Buildings,5,0.76,"The sub-actions collectively address the parent goal reasonably well by targeting refrigerant capture, allowable refrigerant types, leak detection and repair, and stakeholder practices across the community. The main gap is that they do not specify quantified sub-targets, enforcement details, or direct performance requirements that would make delivery of the 25% reduction more certain.",0.83,"The sub-actions are complementary and logically aligned around reducing refrigerant leakage through several levers: destruction of legacy refrigerants, code updates, market incentives, training, and reduced refrigerant dependence. There are no obvious contradictions, but several actions overlap as enabling measures and the package lacks a clearly sequenced implementation schedule.",Yes,Yes,No,Yes,"no sub-action-specific numeric targets, no sub-action-specific deadlines, as soon as feasible, awareness/education language, broad aspirational phrasing in Action 5","25% reduction by 2030, community-wide scope, refrigerant destruction program, local code amendments, incentives for leak detection/prevention/repair",PARTIAL,0.72,"This initiative is trying to achieve a 25% reduction in community-wide greenhouse gas emissions from refrigerant leakage by 2030. Across the five sub-actions, 0 are strong, 3 are moderate, and 2 are weak: the stronger items include a refrigerant destruction program, local code amendments, and incentives for leak detection and repair, while awareness/training and broad reduction language are less concrete. The parent supplies useful context by giving a quantified target, a deadline, and community-wide scope, which lifts weaker sub-actions on measurability and scope, but it does not clearly provide an enforceable binding mechanism such as an ordinance or mandate. Coverage is fairly high because the cluster addresses several major sources and solutions for leakage, and coherence is high because the actions are mutually reinforcing rather than contradictory. Applying the initiative soundness rule, the cluster does not qualify as SOUND because it lacks at least one strong sub-action with target + timeline + concrete action at the sub-action level; however, it qualifies as PARTIAL because coverage exceeds 0.4, several sub-actions are moderate, and the parent provides a measurable target and deadline for the cluster.",True,standalone parent policy,The parent row states a substantive commitment: reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030. This is more than a thematic heading because it contains a specific outcome and deadline that could stand on its own as a policy goal.,"[{'action_label': 'Action 1: Refrigerant destruction program', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Code amendments for low- and no-GWP refrigerants', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Incentives for leak detection, prevention, and repair', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Awareness, education, and training campaign', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 5: Reduce and prevent refrigerant use', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,3,2
Sustainable Buildings,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",Buildings,4,0.74,"The sub-actions collectively cover several important pathways for achieving the parent goal of lowering embodied carbon in local construction, including city specifications, incentive programs, market transformation, and education/performance tools. Coverage is not complete, however, because the cluster does not clearly specify enforcement, adoption thresholds, or direct project-level compliance mechanisms tied to the 2030/500 kg CO2e/m2 goal.",0.84,"The sub-actions are complementary and logically aligned around reducing embodied carbon in buildings through several levers: procurement/specifications, incentives and agreements, performance frameworks and education, and market partnerships. There are no contradictions or obvious redundancies, but the cluster lacks sub-action-specific milestones or sequencing details that would make implementation more concrete.",Yes,Yes,No,Yes,"no sub-action-specific numeric targets, no sub-action-specific deadlines, mostly enabling/process-oriented actions, no explicit binding ordinance or mandate in parent text","40% reduction by 2030, 2020 baseline, project-level threshold of 500 kg CO2e/m2, transition voluntary guidance into planning and development agreements, multiple complementary delivery levers across procurement, incentives, education, and market partnerships",PARTIAL,0.58,"This initiative aims to reduce the embodied carbon footprint of building materials used in local construction by 40% by 2030 from a 2020 baseline, with an added project-level threshold of 500 kg CO2e/m2. Across the four sub-actions, there are 0 strong, 4 moderate, and 0 weak sub-actions: each is relevant and fairly concrete, but none contains its own explicit numeric target or deadline. The parent supplies important measurable context and spatial scope for the cluster, but it does not clearly establish an enforceable ordinance, mandate, or code change that all sub-actions inherit. Coverage is solid because the sub-actions address multiple delivery levers needed for embodied-carbon reduction, while coherence is high because the actions are mutually reinforcing and non-duplicative. Applying the initiative soundness rule, the cluster fails SOUND because it has no individually strong sub-action, but it qualifies as PARTIAL because it has good coverage, at least one measurable target and deadline at the initiative level, and multiple meaningful moderate sub-actions.",True,standalone parent policy,"The parent row states a substantive policy commitment with a defined target and deadline: a 40% reduction in embodied carbon by 2030 from a 2020 baseline, plus a project-level emissions threshold. This is more than a thematic header because it can stand on its own as a policy objective.","[{'action_label': 'Action 1: Develop City specifications and purchasing agreements', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Integrate lower-carbon materials into incentive programs and development agreements', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Create performance framework and educational programming', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Prioritize partnerships in local materials markets', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,4,0
Sustainable Buildings,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",Water,3,0.56,"Collectively, the sub-actions address important enabling components of the parent goal, especially equity, participation barriers, and cross-sector efficiency. However, they do not fully cover how the community-wide 2030 water-demand target will be achieved, because the cluster lacks sub-actions with explicit conservation quantities, deadlines, or direct implementation commitments tied to the target.",0.8,"The sub-actions are complementary and logically related to the parent goal: one focuses on engagement and partnerships, one on equitable program participation, and one on water-energy synergies. There are no obvious contradictions, but the cluster leans heavily toward enabling and assessment activities rather than a full sequence of direct delivery actions.",Yes,Yes,No,Yes,"No sub-action contains its own numeric target, no sub-action contains its own explicit deadline, 2 of 3 subs are assessment/process-oriented, limited direct implementation detail tied to the 2030 target","Parent includes numeric target of approximately 152,000 acre-feet per year, parent includes 2030 deadline, community-wide scope, references to advanced metering infrastructure, incentives, and ordinances",PARTIAL,0.6,"This initiative aims to reduce community-wide water demand to approximately 152,000 acre-feet per year by 2030 through Water Forward strategies with an equity focus. Across the three sub-actions, 0 are strong, 1 is moderate, and 2 are weak: Action 1 is a tangible enabling action tied to specific tools such as advanced metering, incentives, and ordinances, while Actions 2 and 3 are primarily evaluative or exploratory. The parent provides important inherited context by supplying a numeric target, a 2030 deadline, and a community-wide scope, but it does not clearly state a binding legal mechanism that would make all subs enforceable. Coverage is moderate because the subs relate to the parent objective but do not fully specify the intervention set needed to deliver the 2030 demand outcome; coherence is strong because the subs fit together without conflict around equity, participation, and optimization. Applying the initiative soundness rule, the cluster is PARTIAL rather than SOUND because aggregate measurability is present and at least one sub-action is moderate, but there is no strong sub-action and most subs are process-oriented.",True,standalone parent policy,"The parent row states a substantive policy commitment with a specific 2030 outcome target of approximately 152,000 acre-feet per year, rather than merely naming a thematic section. It can stand on its own as an initiative-level commitment even though the sub-actions provide implementation detail.","[{'action_label': 'Action 1: Enhance community engagement and partnerships', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Evaluate program criteria and expand low-income participation', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Assess water-energy links and pursue synergies', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,1,2
Transportation and Land Use,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",Transport,4,0.61,"The cluster meaningfully supports the parent objective by addressing land-use planning, business location, transit-adjacent mobility, and parking management. However, it only partially covers the full delivery of the 80% non-residential development target because it lacks explicit zoning, permitting, enforcement, or monitoring steps tied directly to new development outcomes.",0.77,"The sub-actions are complementary and generally aligned with the parent goal of concentrating development in activity centers and corridors. They combine planning, employer siting, mobility infrastructure, and parking reform, though several links to the specific 80% by 2030 outcome are indirect rather than tightly sequenced.",Yes,Yes,No,Yes,"No sub-action has its own numeric target, no sub-action has its own deadline, Action 2 relies on soft collaboration language, no explicit binding ordinance or enforcement mechanism in parent text","Parent includes 80% target by 2030, concrete mobility hub creation, parking phase-out near transit priority network, explicit spatial focus on activity centers and corridors",PARTIAL,0.59,"This initiative aims to ensure that by 2030, 80% of new non-residential development is located within Imagine Austin activity centers and corridors. Of the four sub-actions, 0 are strong, 3 are moderate, and 1 is weak: the actions are mostly concrete and relevant, but they generally lack their own numeric targets and timelines. The parent supplies important scope context by defining the geographic focus as the city's activity centers and corridors, but it does not clearly establish an enforceable binding mechanism such as an ordinance or mandate for all sub-actions. Coverage is above the threshold because the sub-actions collectively support development concentration through planning, employer siting, mobility hubs, and parking reform, though they do not fully specify all policy levers needed to deliver the 80% target. Coherence is solid because the actions are complementary and transit-supportive, with no contradiction or obvious redundancy. Applying the initiative soundness rule: the cluster has adequate coverage and coherence and aggregate measurability from the parent target, but it does not qualify as SOUND because it lacks at least one strong sub-action; therefore the initiative result is PARTIAL, and the final verdict is True given sufficient confidence.",True,standalone parent policy,"The parent row states a substantive commitment with a quantified outcome and deadline: by 2030, 80% of new non-residential development will be located in specified activity centers and corridors. This is more than organizational scaffolding because it can stand alone as a policy objective.","[{'action_label': 'Action 1: Adopt Complete Communities plans', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Work with employers to locate business sites in growth centers and corridors', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Create community mobility hubs adjacent to transit stops', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Phase out free employee parking near the transit priority network', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,3,1
Transportation and Land Use,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",Urban planning,3,0.56,"The sub-actions collectively support the parent goal by addressing vulnerable communities, preservation of affordability, financing capacity, and inclusive anti-displacement program design. However, they do not fully cover how the city will produce the full 135,000 units or ensure that 75% of new housing is located near activity centers and corridors, so coverage is only partial.",0.82,"The sub-actions are complementary and logically aligned around anti-displacement, affordable housing preservation, funding support, and equitable program design. There are no obvious contradictions, but the set is narrower than the parent goal because it emphasizes preservation and inclusion more than the full housing production and transit-oriented siting agenda.",Yes,Yes,Yes,Yes,"No sub-action has its own numeric target, no sub-action has its own timeline, sub-actions do not directly address full housing production pathway, sub-actions do not directly operationalize 75% near-centers siting target","Parent includes 2027 deadline, parent includes 135,000 housing units target, parent includes 60,000 affordable units target, parent includes 75% locational target near activity centers and corridors, Council-adopted Austin Strategic Housing Blueprint reference",PARTIAL,0.58,"This initiative aims to preserve and produce 135,000 housing units by 2027, including 60,000 affordable units, while concentrating 75% of new housing near Imagine Austin activity centers and corridors. Across the three sub-actions, 0 are strong, 2 are moderate, and 1 is weak: the actions are concrete or supportive, but none contains its own explicit numeric target or deadline. The parent text lifts the cluster by supplying a clear measurable goal, a 2027 timeline, Council-adopted policy context, and a planning/geographic scope tied to activity centers and corridors. Coverage is moderate because the subs address anti-displacement, affordability preservation, and funding, but not the full production and land-use pathway needed for the parent target; coherence is high because the actions fit together without conflict. Applying the initiative soundness rule, the cluster is PARTIAL: it has measurable parent-level anchors and meaningful implementation actions, but it lacks a strong sub-action and does not fully cover the full housing production and siting objective.",True,standalone parent policy,"The parent row states a substantive policy commitment with explicit outcomes and a deadline: preserve and produce 135,000 units by 2027, including 60,000 affordable units, with a locational target for new housing. This is more than a thematic header because it can stand on its own as a concrete policy objective.","[{'action_label': 'Action 1: Engage vulnerable communities and monitor at-risk affordable housing', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Increase Housing Trust Fund funding and support CDC capacity building', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Include affected communities in review/program design and enhance outreach', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,2,1
Transportation and Land Use,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",Transport,8,0.82,"Collectively, the sub-actions cover most of the parent goal's main levers for mode shift in Austin, including transit, biking, walking, and trip avoidance through telework, with a strong equity emphasis. The clearest gap is that carpooling is included in the parent outcome but lacks a dedicated sub-action, and many subs do not specify their own deadlines or quantified outputs.",0.88,"The sub-actions are complementary and mutually reinforcing: they combine transit expansion, stop access improvements, walking and biking infrastructure, affordability and safety measures, planning updates, and telework policies to shift travel behavior. There are no obvious contradictions or timeline conflicts, though several actions are broad and would benefit from clearer sub-level milestones.",Yes,Yes,No,Yes,"No dedicated carpooling sub-action, no explicit sub-level deadlines for most actions, several actions use broad language such as create, partner, update, and promote","Parent target of 50% of trips by 2030, baseline of approximately 20% in 2019, voter-approved Proposition B infrastructure implementation, Action 8 target of 15% Austin residents working from home by 2039, Action 8 target of no less than 85% of eligible City employees participating in telework",SOUND,0.83,"This initiative aims to shift Austin travel away from single-occupancy vehicles so that by 2030, 50% of trips are made by transit, biking, walking, carpooling, or are avoided through working from home. Across the 8 sub-actions, 2 are strong, 5 are moderate, and 1 is weak. The parent supplies a clear citywide scope and a strong numeric deadline-based outcome target that helps anchor weaker sub-actions, but it does not clearly establish a universal binding legal mechanism for the whole cluster. Coverage is strong because the sub-actions address transit service, active mobility infrastructure, affordability, access, safety, planning, and telework, though carpooling is not directly operationalized. Coherence is high because the actions are complementary and form a plausible delivery chain from infrastructure and service expansion to behavior change and policy alignment. Under the initiative soundness rule, the cluster is SOUND because coverage and coherence exceed thresholds, aggregate measurability is present, at least half the sub-actions are strong or moderate, and more than one sub-action is strong.",True,standalone parent policy,The parent text is not just a thematic label; it states a substantive policy commitment with a quantified outcome target and deadline: 50% of trips in Austin by 2030. It could stand on its own as a city mode-shift commitment even without the sub-actions.,"[{'action_label': 'Action 1: Implement Project Connect and expand public transportation services', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Create transportation resources and expand free transit access', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Improve transit stops, stations, and access through partnerships', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Implement Proposition B transportation infrastructure', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 5: Provide bicycle access and training; train police officers', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 6: Update the Sidewalk Plan and Urban Trails Plan', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 7: Promote remote work, telework, and flexible commute policies', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 8: Align City telework policies with mode-shift goals', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",2,5,1
Transportation Electrification,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",Transport,6,0.73,"Collectively, the sub-actions cover several important dimensions of the parent goal, especially equitable EV adoption and fleet electrification. However, they do not fully span everything needed to achieve 40% electrified vehicle miles traveled across Austin; notable gaps include explicit charging infrastructure deployment, stronger private light-duty adoption measures at scale, and clearer implementation mandates for most actions.",0.87,"The sub-actions are complementary and largely non-redundant: they move from assessing community needs to designing incentives, reducing operating costs, expanding shared zero-emission mobility, influencing fleet procurement, and mandating/accelerating fleet conversion. The equity focus is consistent across the cluster, and there are no obvious contradictions or sequencing conflicts.",Yes,Yes,No,Yes,"Action 1 is process-only, no explicit timeline for Actions 1-5, no quantified outcomes for Actions 1-4, Action 5 is conditional on availability/cost/operational suitability, no clear binding ordinance or mandate at parent level","Parent target of 40% electrified VMT by 2030, parent quantification of approximately 460,000 EVs, Action 6 target of 100% fleet electrification by 2030, clear Austin geographic scope, multiple concrete equity-focused implementation measures",SOUND,0.8,"This initiative aims to electrify 40% of total vehicle miles traveled in Austin by 2030, roughly 460,000 EVs, while ensuring ownership is equitable across cultural, geographic, and economic lines. Across the six sub-actions, 1 is strong (Action 6), 4 are moderate (Actions 2, 3, 4, and 5), and 1 is weak (Action 1). The parent clearly provides measurable outcome context and city-level scope, which helps anchor weaker enabling actions, but it does not establish a clear inherited binding mechanism such as an ordinance or regulation for the whole cluster. Coverage is solid because the actions address planning, incentives, shared mobility, toll relief, public fleets, and commercial fleets, though they leave some gaps relative to the full VMT target. Coherence is high because the actions are mutually reinforcing and equity-centered. Under the initiative soundness rule, the cluster qualifies as SOUND because coverage_score >= 0.6, coherence_score >= 0.5, aggregate_measurability is Yes, at least half of the sub-actions are moderate or strong, and at least one sub-action is strong.",True,standalone parent policy,"The parent row states a substantive policy commitment with a defined outcome, deadline, geography, and approximate quantified scale: 40% of total vehicle miles traveled electrified in Austin by 2030, equal to about 460,000 EVs. This is more than a thematic header; it is a standalone commitment that the sub-actions are intended to implement.","[{'action_label': 'Action 1: Electric Vehicle Community Needs Assessment', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Inclusive EV purchase and lease incentives', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Reduced or eliminated toll rates for EV drivers from priority communities', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Electric bike and car-sharing program', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 5: Encourage public-sector fleets to buy 100% electric vehicles when suitable', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 6: Transition gig, rideshare, public health, and delivery fleets to 100% electric by 2030', 'has_quantifiable_target': 'Yes', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}]",1,4,1
Transportation Electrification,"By 2030, develop an equitably distributed mix of level 1, level 2, and DC fast charging infrastructure sufficient to accommodate 40% of total vehicle miles traveled in the city.",Transport,4,0.8,"Collectively, the sub-actions cover the main dimensions needed to achieve the parent goal: infrastructure deployment, smart charging functionality, regulatory/code reform, and equity-oriented outreach. The main gap is that the sub-actions do not break the parent's 40% VMT, 226 MW, or 37,000-port ambition into explicit sub-action-level milestones or responsibilities.",0.88,"The sub-actions are complementary and logically aligned with EV charging deployment: incentives support installation, intelligent charging improves grid performance, code changes institutionalize future-ready charging, and outreach expands equitable participation. There is little redundancy and no contradiction, though the sub-actions would be stronger if they translated the parent's 2030 charger/load targets into specific deliverables for each action.",Yes,Yes,No,Yes,"no sub-action-level numeric targets, only 1 of 4 sub-actions has explicit timeline, outreach action is process-oriented, parent target not decomposed into milestones","2030 deadline, 40% of total vehicle miles traveled, 226 megawatts of electrical load, more than 37,000 charging ports, code adoption, intelligent charging network, citywide scope",SOUND,0.79,"This initiative seeks to build an equitable citywide EV charging system by 2030 at a scale sufficient to support 40% of vehicle miles traveled, with quantified parent-level indicators of 226 MW and more than 37,000 charging ports. Of the four sub-actions, 1 is strong, 2 are moderate, and 1 is weak: Action 2 is strong; Actions 1 and 3 are moderate; Action 4 is weak. The parent supplies strong scope and measurable context that lifts weaker sub-actions, especially by providing a 2030 deadline and citywide scale, but it does not clearly establish a parent-level binding mandate. Coverage is strong because the sub-actions jointly address deployment, regulation, smart charging, and equitable engagement; coherence is also strong because the actions form a plausible delivery chain with little overlap. Under the initiative soundness rule, the cluster qualifies as SOUND because coverage_score >= 0.6, coherence_score >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are moderate or strong, and at least one sub-action is strong.",True,standalone parent policy,"The parent row states a substantive policy commitment with a clear deadline, outcome target, and quantified scale: by 2030, Austin will have charging infrastructure sufficient for 40% of vehicle miles traveled, equivalent to 226 MW and more than 37,000 ports. This is more than a thematic header; it is a standalone target that could be evaluated on its own.","[{'action_label': 'Action 1: Incentivize EV charging installation', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Build intelligent charging network by 2030', 'has_quantifiable_target': 'No', 'has_timeline': 'Yes', 'is_concrete_action': 'Yes', 'strength': 'strong'}, {'action_label': 'Action 3: Adopt new energy and building codes for EV charging', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Expand culturally competent outreach', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",1,2,1
Transportation Electrification,Make the Austin-Round Rock-San Marcos area a leader in transportation electrification by adopting policies and technologies that maximize economic and health benefits while supporting industry growth.,Transport,4,0.72,"Collectively, the sub-actions cover most major elements of the parent goal: regional EV adoption, technology advancement, equitable distribution of benefits, workforce/community transition, and industry growth. The main gap is the absence of explicit deployment measures such as charging infrastructure, fleet conversion, or quantified adoption goals, which limits how fully the cluster operationalizes 'leader in transportation electrification.'",0.8,"The sub-actions are complementary and logically aligned: coalition-building supports EV adoption, technology pilots advance deployment, just-transition collaboration addresses equity and workforce effects, and supply-chain support builds the regional industry base. There are no contradictions, but the cluster remains high-level and lacks sequencing details or deadlines that would strengthen implementation logic.",No,Yes,No,Yes,"No numeric targets, no deadlines, no ordinance or mandate, high-level verbs such as support/collaborate/ensure/create without measurable outputs","Regional coalition for EV adoption, five-county MSA scope, early adoption of transportation electrification technologies, equity focus for low-income communities and communities of color, workforce and community collaboration, EV supply-chain economic development",PARTIAL,0.58,"This initiative is trying to make the Austin-Round Rock-San Marcos region a leader in transportation electrification through a combination of regional coordination, early technology adoption, equitable transition planning, and EV-industry development. Across the four sub-actions, there are 0 strong, 4 moderate, and 0 weak assessments: each describes a meaningful intervention, but none includes a quantifiable target or timeline. The parent does provide useful spatial context by defining the regional focus, which helps anchor the sub-actions geographically, but it does not supply a binding mechanism such as an ordinance or mandate. Coverage is above moderate because the sub-actions collectively address adoption, equity, collaboration, and economic development, though they omit concrete deployment targets and timelines. Coherence is high because the actions are mutually reinforcing and non-duplicative. Applying the initiative soundness rule, the cluster is not SOUND because aggregate measurability is 'No' and there are no strong sub-actions, but it is PARTIAL because it has adequate coverage, at least one moderate sub-action, and is not purely aspirational in structure.",True,standalone parent policy,The parent row states a substantive regional policy ambition—to make the Austin-Round Rock-San Marcos area a leader in transportation electrification—rather than serving only as a topical label. It functions as a real umbrella commitment that the sub-actions are intended to deliver.,"[{'action_label': 'Action 1: Regional coalition for EV adoption', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Pilot and early-adopt emerging electrification technologies', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Just transition collaboration for electrified transportation', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Support EV supply-chain economic cluster', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,4,0
