policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Helsinki aims to become carbon-neutral by 2035 by reducing greenhouse gas emissions 80% from 1990 levels and compensating the remaining 20% through emissions reductions outside the city.,The objective of the Helsinki City Strategy 2017-2021 is to make Helsinki  carbon-neutral  by  2035. This  goal will be achieved by reducing the greenhouse gas emissions in Helsinki by 80 per cent. The remaining  20  per  cent  will  be  compensated for by Helsinki taking care of implementing  emissions  reductions  outside  the  city.,individual,,Summary,Economy-wide,Explicit quantified target (carbon-neutral by 2035; -80% reduction; 20% compensation) stated as a city strategy objective.,19,individual,individual,,"The verbatim text contains a clear, economy-wide mitigation objective with an explicit deadline (“by 2035”) and quantified components (“reduce…by 80 per cent” and “remaining 20 per cent…compensated”). This is an auditable commitment (an outcome, not just a study/process). However, the passage frames it as a “goal” in a city strategy and does not, in itself, establish an enforceable mandate or binding legal mechanism.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: The text states it will be achieved by “reducing the greenhouse gas emissions in Helsinki by 80 per cent” and that “The remaining 20 per cent will be compensated”. Timeline: It specifies “carbon-neutral by 2035”. Spatial specificity: It applies to “Helsinki” and emissions “in Helsinki”, with compensation via reductions “outside the city”. Binding mechanism: It is described as an “objective” and “goal” of the “Helsinki City Strategy 2017-2021” but includes no ordinance/regulatory requirement language indicating enforceability. Language strength: Uses outcome-oriented phrasing “will be achieved by reducing…” with hard numbers (80%, 20%) and a deadline, indicating strong language rather than weak verbs like encourage/explore.",True
Helsinki City Strategy sets an intermediate goal to reduce greenhouse gas emissions by 60% from 1990 to 2030.,"In addition to the objective of becoming carbon-neutral, the City  Strategy  2017-2021 also includes an intermediate goal: the greenhouse  gas  emissions  will  be  reduced by  60  per  cent  during  1990-2030.",individual,,Calculation of the required emissions reductions,Economy-wide,Quantified emissions reduction target with timeframe (1990–2030).,20,individual,individual,,"The verbatim text states a specific, measurable outcome—“greenhouse gas emissions will be reduced by 60 per cent”—and ties it to a clear timeframe “during 1990–2030,” which implies a target year of 2030 relative to a 1990 baseline. However, the excerpt does not explicitly indicate a binding mechanism (e.g., ordinance, mandate, legal requirement); it reads as a strategic goal statement. It is spatially specific to the City of Helsinki via “the City Strategy.” Under the strict rule, it qualifies as VALID because it has both a quantifiable target and a timeline, and it does not rely on weak, non-committal language.",Yes,Yes,No,Yes,No,Yes,VALID,0.84,"Quantifiable target: The text states a measurable outcome: ""greenhouse gas emissions will be reduced by 60 per cent"".
Timeline: The target is time-bounded: ""during 1990-2030"" (implies achievement by 2030 against a 1990 baseline).
Spatial specificity: Applies to Helsinki via ""the City Strategy 2017-2021"" and ""the City"" (context indicates City of Helsinki).
Binding mechanism: No explicit enforceable instrument (no ordinance/mandate/code) is mentioned; it is framed as a strategy goal.
Weak language: Not detected; phrasing is not ""aim/encourage/explore"".
Strong language: Detected via commitment wording with a hard number: ""will be reduced by 60 per cent"".",True
City Council decided that the Hanasaari B power plant will be closed down by the end of 2024.,"To  achieve  the  objectives,  the  City Council  decided  on  2  December  2015  that the Hanasaari B power  plant would be closed down by the end of 2024.",individual,,1.2 Helsinki's climate objectives and the role of the City,Energy,Binding decision with a clear deadline (end of 2024) affecting energy emissions.,21,individual,individual,,"This is an auditable, binding City Council decision to close a specific power plant, with a clear deadline (“by the end of 2024”). However, it lacks an explicit quantifiable outcome metric in the text (e.g., MW retired, % emissions reduction, or TWh displaced), so it fails the strict “gold standard” requirement (timeline + quantifiable target).",No,Yes,Yes,Yes,No,Yes,NON-SOUND,0.4,"AUDITABLE COMMITMENT: Yes. The action is concrete and verifiable: ""the Hanasaari B power plant would be closed down"".
TIMELINE: Yes. Explicit deadline: ""by the end of 2024"".
QUANTIFIABLE TARGET: No. The text does not state a measurable outcome such as capacity (MW), generation (MWh), or emissions reductions—only the closure action.
BINDING MECHANISM: Yes. The verbatim text indicates formal authority: ""the City Council decided"" (2 December 2015).
SPATIAL SPECIFICITY: Yes. It applies to a specific facility/location: ""the Hanasaari B power plant"".
LANGUAGE STRENGTH: Strong language detected due to decisive action: ""decided"" and ""closed down""; weak language not detected.
STRICT VALID RULE CHECK: Fails because it does not meet the gold standard requirement (has_quantifiable_target must be 'Yes' AND has_timeline must be 'Yes').",False
Helsinki sets a traffic-sector goal to reduce greenhouse gas emissions from traffic by 69% from 2005 levels by 2035.,"To  reach  the  goal  of  becoming carbon-neutral, the traffic emissions were set a separate goal: the objective is  to  reduce  greenhouse  gas  emissions  by 69 per cent from the level of 2005 by 2035",individual,,Emission reductions of traffic,Transport,Quantified sectoral target with baseline year and deadline.,22,individual,individual,,"The verbatim text contains a clear, measurable outcome for the transport sector (69% GHG reduction from a 2005 baseline) and an explicit deadline (by 2035). However, the phrasing is framed as an “objective” without explicit enforceable instruments (e.g., mandate/ordinance), so it is a target/goal rather than a binding requirement. Still, it meets the strict “gold standard” (timeline + quantifiable target) and does not rely on weak exploratory language.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: The text states ""reduce greenhouse gas emissions by 69 per cent"" and provides a baseline ""from the level of 2005"". Timeline: It specifies a deadline ""by 2035"". Binding mechanism: No explicit enforceable mechanism (e.g., law, mandate, requirement) is described; it is framed as ""the objective is"". Spatial specificity: The statement is about Helsinki’s traffic emissions in context (""To reach the goal of becoming carbon-neutral"" and sets ""traffic emissions"" as a separate goal), indicating applicability to the city’s traffic sector. Weak language: No terms like ""encourage"", ""explore"", or ""aim"" are used; instead it states an objective with a hard numeric goal. Strong language: Presence of an action verb with hard numbers and deadline (""reduce ... by 69 per cent ... by 2035""). Under the strict rule, it is auditable and meets the gold standard (timeline + quantifiable target), so it is VALID despite lacking an explicit binding mechanism.",True
Helsinki sets a buildings energy-use goal to reduce emissions by 82% over 1990–2035.,The emissions reduction goal for the energy use of buildings is 82 per cent during 19902035.,individual,,Emission reductions of construction and use of buildings,Buildings,Quantified sector target with timeframe explicitly stated.,23,individual,individual,,"The verbatim text states a clear, measurable outcome (“82 per cent” emissions reduction goal) and an explicit time window (“1990–2035”) for the energy use of buildings. This satisfies the gold-standard requirement (quantifiable target + timeline). The statement is framed as a “goal” (weak language), but because the target and timeframe are explicit and auditable, it can still be treated as a valid measurable commitment even though no explicit binding mechanism (e.g., ordinance/mandate) is mentioned.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.78,"Quantifiable target: Yes, the text specifies an emissions reduction goal of ""82 per cent"". Timeline: Yes, it specifies the period ""1990–2035"" (""during 19902035""). Binding mechanism: No, the text describes a ""goal"" and does not mention any enforceable instrument (no ordinance/mandate/requirement). Spatial specificity: Yes, it is attributable to Helsinki from the policy statement context (city-level applicability). Weak language: Yes, the word ""goal"" indicates an aim rather than a requirement. Strong language: No, there are no mandate/require/achieve-type verbs. STRICT VALID RULE fails because weak_language_detected is Yes and has_binding_mechanism is No, even though timeline and quantifiable target are present; therefore validation_result is NON-SOUND.",False
Helsinki will focus on examining emission compensation in more detail and will examine and continuously monitor carbon storage and carbon sinks in Helsinki (including across the Helsinki Group).,"In  the  next  few years, the City needs to examine  the  potential  presented  by  emission compensation  in  more  detail.

This requires us to examine the carbon sink potential of the entire Helsinki Group and to constantly  monitor  the  carbon  storage  and carbon sinks in Helsinki.",individual,,Carbon sinks and compensation,AFOLU,Concrete commitment to examine compensation potential and to monitor sinks/storage continuously.,24,individual,individual,,"The statement commits to examining emission compensation potential and monitoring carbon storage/sinks, but it is primarily process-oriented (study/monitoring) rather than an auditable, outcome-based deliverable. The verbatim text provides no quantified target (e.g., tCO₂e sequestered/offset) and no explicit deadline/year (only “in the next few years” and “constantly monitor”), and it does not indicate a binding mechanism. Under the strict rule for individual policies, it is therefore NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text mentions examining/monitoring but gives no measurable outcome (no tCO2e, %, hectares, etc.). Evidence: “examine the potential… in more detail” and “constantly monitor the carbon storage and carbon sinks”.
Timeline: No — no explicit year/deadline; “In the next few years” is vague and “constantly” is ongoing without a date. Evidence: “In the next few years…” and “constantly monitor…”.
Binding mechanism: No — no ordinance/mandate/requirement or enforceable instrument is described; it is framed as a need to examine. Evidence: “the City needs to examine…”.
Spatial specificity: Yes — explicitly applies to Helsinki and the Helsinki Group. Evidence: “carbon sinks in Helsinki” and “entire Helsinki Group”.
Weak language: Yes — uses exploratory/process verbs without targets. Evidence: “needs to examine…”, “examine… in more detail”, “monitor…”.
Strong language: No — no hard-number commitments with enforceable verbs.
STRICT VALID RULE check: Fails gold standard because has_timeline=No and has_quantifiable_target=No; also primarily process-oriented rather than an auditable deliverable.",False
Helsinki will draw up a communication and interaction plan for the Action Plan jointly with interest groups and will develop an openly available monitoring tool for tracking actions and assessing impacts.,"A  communication and interaction plan will be drawn up for the Action Plan jointly with interest groups.

An openly  available  monitoring  tool  will  be  developed for the monitoring of the actions and the assessment of larger-scale impacts.",individual,,"Monitoring, reporting and interaction",Cross-cutting,Specific intervention: creation of communication/interaction plan and development of a public monitoring tool.,25,individual,individual,,"The statement commits to producing two concrete outputs (a communication/interaction plan and an openly available monitoring tool), but it lacks any deadline/year and any quantifiable outcome target (e.g., number of actions tracked, update frequency, coverage, or impact metric targets). The language is descriptive (“will be drawn up”, “will be developed”) but not framed as an enforceable mandate, and there is no clear spatial scope beyond the implied Helsinki context. Under the strict rule for individual policies, absence of both timeline and quantifiable target makes it NON-SOUND.",No,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: No—text only states outputs will be created, with no measurable outcome (e.g., % reduction, number of measures tracked, update cadence). Evidence: ""An openly available monitoring tool will be developed"" and ""A communication and interaction plan will be drawn up"" contain no numbers.
Timeline: No—no explicit date or deadline is given. Evidence: neither sentence includes a year or 'by <date>'.
Binding mechanism: No—no ordinance/mandate/regulatory requirement is stated; it's a planning/implementation intention. Evidence: ""will be drawn up"" / ""will be developed"" without enforcement context.
Spatial specificity: No—no explicit statement of where it applies (e.g., 'citywide in Helsinki'); Helsinki is only in the policy statement framing, not in the verbatim text.
Weak language: No—does not use 'encourage/promote/explore/aim'; it asserts actions will occur.
Strong language: No—although ""will be"" indicates intent, there are no hard numbers/requirements to meet the strong-language definition.
STRICT VALID RULE: Fails gold standard because has_timeline='No' and has_quantifiable_target='No', so result is NON-SOUND.",False
The City Council will be provided with an annual overview of Action Plan progress as part of the environmental reporting system.,The most important channel for monitoring the Action  Plan  is  the  current  environmental  reporting system. The City Council will be provided with an annual overview of the progress of the Action Plan in connection with the environmental reporting: how the emissions in Helsinki are developing and how well the actions have been implemented.,individual,,"Monitoring, reporting and interaction",Cross-cutting,Clear monitoring/reporting commitment with annual cadence and recipient (City Council).,26,individual,individual,,"This statement commits to annual reporting/monitoring (“annual overview”) to the City Council via an existing environmental reporting system. While it has a clear cadence, it does not set a quantifiable climate outcome target (e.g., specific emissions reduction amount by a given year) nor a binding implementation mandate; it is primarily a process/oversight mechanism rather than an auditable delivery target. Under the strict rule for individual policies, it is therefore NON-SOUND.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text mentions monitoring ""how the emissions in Helsinki are developing"" but provides no measurable target (no %/tonnes/MW/etc.). Timeline: Yes — ""annual overview"" specifies a recurring annual cadence. Binding mechanism: No — it describes a reporting channel and that the Council ""will be provided"" an overview, but does not establish an enforceable mandate, ordinance, or requirement with compliance consequences. Spatial specificity: Yes — applies to ""Helsinki"" and reporting to the City Council. Weak language: Yes — primarily monitoring/process language (""monitoring"", ""reporting"", ""overview"") without a hard outcome target. Strong language: No — no mandate/require/achieve language paired with numeric targets. STRICT VALID RULE check: Fails Gold Standard because has_quantifiable_target='No'; also the commitment is largely procedural (monitoring) rather than an auditable emissions/action deliverable.",False
A group will be established to manage and be in charge of implementing environmental and climate-related matters and to report to the City executive group on emissions-reduction work.,The  City  requires  a  group  for  managing  and being  in  charge  of  the  implementation  of  environmental  and  climate-related  matters.  The group will also need to report to the executive group of the City on the realisation of the work on  emissions  reductions.,individual,,"Monitoring, reporting and interaction",Cross-cutting,Institutional commitment to create/maintain a governance group with reporting duties.,27,individual,individual,,"This is an institutional/governance measure (establishing a group and requiring reporting). It describes a process and oversight function but does not specify any measurable emissions-reduction outcome (e.g., % reduction) or any deadline/year for establishing the group or reporting frequency. While the text uses “requires,” it still lacks the gold-standard measurability (quantifiable target + timeline) needed for an individual policy to be considered VALID under the strict rule.",No,No,Yes,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No—text only mentions ""work on emissions reductions"" and ""realisation of the work"" with no numeric outcome (no %, tCO2e, etc.). Timeline: No—no date/year/deadline or reporting frequency is stated. Binding mechanism: Yes—""The City requires a group"" indicates a mandatory governance requirement. Spatial specificity: Yes—applies to ""The City"" / reporting to the City executive group, indicating jurisdictional scope. Weak language: No—does not use ""encourage/promote/aim""; it uses ""requires"" and ""need to report."" Strong language: No—although ""requires"" is mandatory, there are no hard numbers/targets attached. STRICT VALID RULE: fails because has_timeline='No' and has_quantifiable_target='No', so it is NON-SOUND (process-only, not measurable).",False
"Develop existing procurement criteria and introduce new criteria for City of Helsinki procurements focusing on life cycle, circular economy, and climate, with environmental criteria used as minimum requirements or heavily weighted comparison criteria.","107. Existing procurement criteria will be developed and new criteria introduced to the procurements of the City of Helsinki, with regard to life cycle, circular economy and the climate.

· The environmental criteria must be the minimum requirements or the significantly weighed comparison criteria when making procurements.",individual,,## Key actions related to procurements,Public procurement,"Concrete commitment to change procurement rules/criteria, specifying how environmental criteria will be applied in tendering decisions.",28,individual,individual,,"The statement commits to changing City of Helsinki procurement criteria and specifies that environmental criteria “must” be used as minimum requirements or significantly weighted comparison criteria. However, it lacks any explicit deadline/year and provides no measurable outcome target (e.g., % of tenders covered, emissions reductions, number of procurements updated). Under the strict individual-policy rule, missing both a timeline and quantifiable target makes it NON-SOUND despite relatively strong, mandatory wording.",No,No,No,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: No. The text commits to develop and introduce criteria but provides no measurable outcome (no %, counts, emissions), only a qualitative rule: ""Existing procurement criteria will be developed and new criteria introduced"" and ""The environmental criteria must be the minimum requirements or the significantly weighed comparison criteria"".
Timeline: No. No deadline or year is stated.
Binding mechanism: No. While it uses mandatory phrasing (""must""), the excerpt does not specify an enforceable legal instrument (e.g., ordinance, code, regulation) or formal adoption mechanism.
Spatial specificity: Yes. Applies to a defined jurisdiction/actor: ""procurements of the City of Helsinki"".
Weak language: No. Does not use 'encourage/aim/explore'; it uses directive language.
Strong language: Yes. Mandatory phrasing present: ""must be the minimum requirements or the significantly weighed comparison criteria"".
Overall: Fails STRICT VALID RULE because it lacks both timeline and quantifiable target; therefore NON-SOUND.",False
