policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Ensure renewable energy provides 100% of Salt Lake City community electricity needs by 2032.,Salt Lake City is working to ensure that renewable energy provides 100% of community electricity needs by 2032.,individual,,RENEWABLE ENERGY,Energy,Quantified target with deadline (100% renewable electricity by 2032).,4,individual,individual,,"The statement includes a clear, auditable outcome (renewable energy supplying 100% of community electricity needs) and an explicit deadline (by 2032). However, the verbatim text uses weak/non-binding phrasing (“is working to ensure”), which suggests an aspirational effort rather than an enforceable mandate. Under the strict rule, it still qualifies as VALID because it meets the gold standard (timeline + quantifiable target), even though binding mechanism is not evidenced.",Yes,Yes,No,Yes,Yes,No,VALID,0.82,"Quantifiable target: Present — “renewable energy provides 100% of community electricity needs.” Timeline: Present — “by 2032.” Binding mechanism: Not evidenced — text says “is working to ensure,” with no ordinance/mandate/regulatory requirement described. Spatial specificity: Present — applies to “Salt Lake City” and “community electricity needs.” Weak language: Present — “is working to ensure” indicates effort/aspiration rather than a requirement. Strong language: Not present — no terms like “require/mandate” paired with enforcement authority; only the numeric goal is stated. STRICT VALID RULE: (1) Auditable commitment satisfied via 100% RE supply goal; (2) Gold standard satisfied (timeline Yes + quantifiable target Yes); (3) Language strength condition satisfied because weak language is present but the rule allows VALID when gold standard is met (no binding mechanism shown, so confidence reduced but remains >=0.8 given clear metric and date).",True
"Implement the Joint Clean Energy Cooperation Statement with Rocky Mountain Power to work together in good faith on energy goals including energy efficiency, EV infrastructure, smart grid investments, and pathways to net-100% renewable energy.","Salt Lake City Mayor Jackie Biskupski and Rocky Mountain Power CEO Cindy Crane signed a Joint Clean Energy Cooperation Statement in August 2016 that details a vision to work together in good faith on energy goals. Energy efficiency, electric vehicle infrastructure, smart grid investments and pathways to net-100% renewable energy are all part of the vision.",individual,,RENEWABLE ENERGY,Energy,"Formal cooperation statement describing specific intervention areas (efficiency, EV infrastructure, smart grid, pathways to net-100% renewables).",5,individual,individual,,"The verbatim text describes a signed cooperation statement outlining a “vision to work together in good faith” across several energy areas. It does not specify any quantified outcomes (e.g., % renewables achieved, number of chargers installed) or any deadline/year by which outcomes must be delivered. The language is aspirational (vision/pathways) rather than binding requirements, so it is not an auditable, measurable individual policy under the strict rule.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The text lists broad areas—“Energy efficiency, electric vehicle infrastructure, smart grid investments and pathways to net-100% renewable energy”—but provides no measurable outcome (no % by a date, no counts, no capacity). Timeline: No. The only date is “signed…in August 2016,” which is not an implementation deadline or target year. Binding mechanism: No. It is a “Joint Clean Energy Cooperation Statement” describing “a vision to work together in good faith,” not an ordinance/mandate/requirement. Spatial specificity: Yes. The parties are “Salt Lake City” and “Rocky Mountain Power,” implying applicability to the city/utility context. Weak language: Yes, evidenced by “vision to work together in good faith” and “pathways to” (aspirational/process-oriented). Strong language: No; there are no verbs like require/mandate/achieve paired with hard numbers. Under the strict rule, lacking both a quantifiable target and a timeline makes this NON-SOUND.",False
"Commission a third-party renewable energy feasibility study with Summit County and Park City on pathways to 100% renewable energy for each community, to be published in early 2017.",The City partnered with Summit County and Park City to commission a third-party study on pathways to 100% renewable energy for each individual community. This study will be published in early 2017 and help inform ongoing priorities and investments.,individual,,RENEWABLE ENERGY,Energy,Specific planned intervention with a stated deliverable and timeline (publish early 2017).,6,individual,individual,,"This is a process-oriented commitment (commissioning a feasibility study) with a stated deliverable (a published study) and an explicit timeline (“early 2017”). However, it does not contain a quantifiable climate outcome target (e.g., % renewables achieved by a certain year) and uses informational language (“help inform”), so it fails the gold-standard requirement for an individual policy to be measurable in outcome terms.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,Quantifiable target: No — the text mentions 'pathways to 100% renewable energy' but does not commit to achieving 100% by any date or specify any measurable implementation outcome; it is only 'a third-party study'. Timeline: Yes — 'published in early 2017'. Binding mechanism: No — no ordinance/requirement/mandate is stated; it says 'partnered ... to commission a third-party study'. Spatial specificity: Yes — applies to 'each individual community' and names 'Summit County and Park City'. Weak language: Yes — 'help inform ongoing priorities and investments' indicates advisory/aspirational use of the study rather than an enforceable action with outcomes. Strong language: No — no mandatory verbs tied to numeric outcomes. STRICT VALID RULE fails because has_quantifiable_target='No' (gold standard not met) and the action is primarily a study/informational deliverable rather than an auditable emissions/energy outcome.,False
"Release and implement Salt Lake City's Transit Master Plan (2016) and continue collaborating with Utah Transit Authority on enhanced transit service options, including affordability initiatives such as the discounted Hive Pass.",The City released its first Transit Master Plan in 2016 and continues to collaborate with Utah Transit Authority (UTA) on enhanced service options. Affordability is also crucial and served as a catalyst for the discounted transit Hive Pass for City residents.,individual,,CLEAN TRANSPORTATION,Transport,Specific plan (Transit Master Plan) and ongoing collaboration plus a named affordability program (Hive Pass).,7,individual,individual,,"The statement describes that Salt Lake City released a Transit Master Plan in 2016 and is continuing to collaborate with UTA, with an example affordability initiative (discounted Hive Pass). However, it does not specify any measurable outcome (e.g., service frequency increases, ridership targets, emissions reductions, number of passes issued) or any deadline/year by which actions will be completed. The language is largely descriptive/ongoing (“continues to collaborate”) rather than binding (“require/mandate”). Therefore it is not actionable and measurable under the strict rule.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text mentions 'enhanced service options' and a 'discounted transit Hive Pass' but provides no measurable outcome (no % change, counts, frequency, ridership, or emissions). Timeline: Yes, but only as a historical date: 'released its first Transit Master Plan in 2016'—this is not a forward deadline for implementation, so it does not support measurability for the commitment; nonetheless an explicit year is present. Binding mechanism: No. There is no ordinance/mandate/requirement language; it states 'continues to collaborate'. Spatial specificity: Yes. The Hive Pass is described as 'for City residents,' indicating applicability within the city. Weak language: Yes, due to 'continues to collaborate' and 'enhanced service options' without hard targets. Strong language: No; no 'require/mandate/achieve' with numbers. Under the strict rule for individual policies, lack of a quantifiable target makes it NON-SOUND; confidence capped at 0.4.",False
"Develop plans and invest in infrastructure to support active, zero-emissions transportation options such as walking and biking.","The Salt Lake City Transportation Division has developed plans and invested in infrastructure to support active, zero-emissions transportation options such as walking and biking.",individual,,CLEAN TRANSPORTATION,Transport,Concrete intervention (plans and infrastructure investment) aimed at active transportation.,8,individual,individual,,"The statement describes general activity (“has developed plans and invested in infrastructure”) to support walking and biking, but it lacks any measurable outcome (e.g., miles of bike lanes, mode share increase, emissions reductions) and lacks any explicit deadline or timeframe. It is therefore not auditable against a target and does not meet the strict requirements for an individual policy to be considered VALID.",No,No,No,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No — the text says only ""developed plans and invested in infrastructure"" with no measurable outputs/outcomes (no miles, %, counts, or emissions impact). Timeline: No — no year, deadline, or timeframe is stated. Binding mechanism: No — no ordinance/mandate/requirement language appears; it is descriptive of actions taken by a division. Spatial specificity: Yes — applies to ""Salt Lake City"" (""The Salt Lake City Transportation Division...""). Weak language: No — does not use ""encourage/promote/aim/explore""; it asserts actions occurred. Strong language: No — lacks enforceable verbs tied to hard numbers (no ""require/mandate"" plus quantified targets). Because it lacks BOTH a quantifiable target and a timeline, it fails the GOLD STANDARD and is NON-SOUND under the strict rule for individual policies.",False
"Invest in public EV charging infrastructure and collaborate on programs to offer discounted EVs to residents, and prioritize related initiatives and broader policy measures going forward.","The City has invested in public EV charging infrastructure and collaborated on programs to offer discounted EVs to residents. Work on related initiatives, plus broader policy measures, will remain a priority for Salt Lake City going forward.",individual,,CLEAN TRANSPORTATION,Transport,"Specific interventions (EV charging investment, discounted EV programs) and stated ongoing priority.",9,individual,individual,,"The statement describes past actions (“has invested,” “collaborated”) and an ongoing priority, but it does not specify any measurable outcomes (e.g., number of chargers, number of discounted EVs) or any deadline. It is also framed with weak/ongoing language (“will remain a priority… going forward”) rather than a binding requirement. Under the strict rule for individual policies, it is NON-SOUND because it lacks both a quantifiable target and a timeline.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text states, ""has invested in public EV charging infrastructure"" and ""collaborated on programs to offer discounted EVs"" but provides no measurable outcome (no number of chargers, ports, EVs, participants, % uptake, etc.).
Timeline: No. No explicit year/deadline is given; ""going forward"" is vague.
Binding mechanism: No. No ordinance/mandate/requirement is stated; it reports activity and intent.
Spatial specificity: Yes. Applies to ""Salt Lake City"" / ""The City"".
Weak language: Yes. ""will remain a priority ... going forward"" indicates intent without enforceable commitment.
Strong language: No. No 'require/mandate/achieve X by Y' phrasing with hard numbers.
Strict validity: Fails gold standard because has_timeline='No' and has_quantifiable_target='No', therefore NON-SOUND.",False
"Implement Project Skyline to accelerate investment in energy efficiency and raise awareness of energy performance among the largest commercial facilities, encouraging owners to evaluate energy use, set goals, and implement cost-effective improvements.","Project Skyline accelerates investment in energy efficiency and raises public awareness of building energy performance among the largest commercial facilities in Salt Lake City. Building owners across the City are encouraged to pursue energy-saving targets by evaluating building energy use, setting energy savings goals and implementing cost-effective improvement projects.",individual,,Project Skyline,Buildings,"Named initiative with specific actions directed at commercial building performance (benchmarking/evaluation, goal-setting, improvements).",10,individual,individual,,"The statement describes an initiative that “encourages” large commercial building owners to evaluate energy use, set goals, and implement improvements. However, the verbatim text provides no enforceable requirement, no quantified outcome target (e.g., % energy reduction, number of buildings benchmarked), and no explicit timeline/deadline. As written, it is promotional/programmatic rather than an auditable, measurable policy commitment.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text describes general activities but no measurable outcome (no % savings, number of buildings, or performance threshold). Evidence: ""accelerates investment in energy efficiency"" and owners are ""encouraged to pursue energy-saving targets"" but no specific targets are stated.
Timeline: No. There is no year, deadline, or implementation date mentioned.
Binding mechanism: No. The policy uses non-mandatory language and contains no ordinance/requirement. Evidence: ""Building owners across the City are encouraged"".
Spatial specificity: Yes. It specifies the geography/jurisdiction. Evidence: ""among the largest commercial facilities in Salt Lake City"" and ""across the City"".
Weak language: Yes. Evidence: ""encouraged to pursue"".
Strong language: No. No mandatory verbs (require/mandate) paired with hard numbers appear.
STRICT VALID RULE check: Fails gold standard because has_timeline='No' and has_quantifiable_target='No'. Also weak language is present without a binding mechanism, so it cannot be validated as an actionable + measurable individual policy.",False
"Continue encouraging adoption of updated, increasingly efficient state-level energy codes for new construction in Utah.","Salt Lake City will continue to encourage the adoption of updated, increasingly efficient energy codes that support a responsible built environment statewide.",individual,,High-Performance New Construction,Buildings,Explicit ongoing government action commitment related to strengthening energy codes.,11,individual,individual,,"The verbatim text is an ongoing intention to “encourage” adoption of updated energy codes at the state level. It does not include any specific measurable outcome (e.g., code version adopted, % efficiency improvement, number of buildings affected) or any deadline/year. The language is explicitly non-binding (“encourage”) and does not establish an enforceable mandate or code change by Salt Lake City. Therefore it fails the strict validity requirements for an individual, auditable, measurable policy.",No,No,No,Yes,Yes,No,NON-SOUND,0.25,"Quantifiable target: No—text only says ""continue to encourage the adoption of updated, increasingly efficient energy codes"" with no measurable outcome (no %, code edition, number of buildings, etc.). Timeline: No—no year/deadline; ""will continue"" is ongoing and not an explicit deadline. Binding mechanism: No—""encourage"" indicates no mandate/requirement or ordinance/code change by the city. Spatial specificity: Yes—applies ""statewide"" (Utah). Weak language: Yes—uses ""encourage"". Strong language: No—no verbs like require/mandate/achieve with hard numbers. Under the strict rule, lacking both timeline and quantifiable target makes it NON-SOUND.",False
"Prioritize energy benchmarking and tune-ups for commercial buildings using a combination of policy, incentives, and educational resources, and provide guides for home improvements to improve residential efficiency.","Salt Lake City prioritizes energy benchmarking and tune-ups for commercial buildings through a combination of policy, incentives, and educational resources. The City also provides guides for home improvements, including details on thermostat controls, home insulation and efficient appliances, to help move residential buildings toward a cleaner energy future.",individual,,Area Sources,Buildings,"Specific interventions (benchmarking, tune-ups, home improvement guides) described as city priorities/actions.",12,individual,individual,,"The statement describes priorities and supportive actions (benchmarking, tune-ups, incentives, education, guides) but does not include any measurable outcome (e.g., % of buildings benchmarked, number of tune-ups completed, energy savings) or any deadline/year. Language is largely aspirational (“prioritizes,” “provides guides,” “to help move”), and there is no clear binding mechanism (e.g., an ordinance requiring benchmarking). Under the strict rule for individual policies, it is NON-SOUND because it lacks both a quantifiable target and a timeline.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text mentions actions—""prioritizes energy benchmarking and tune-ups"" and ""provides guides for home improvements""—but gives no measurable outcome (no % coverage, number of buildings, kWh/therm savings, etc.). Timeline: No. There is no explicit year or deadline (no ""by 2030""-type language). Binding mechanism: No. Although it says ""through a combination of policy, incentives, and educational resources,"" it does not specify an enforceable requirement (e.g., ""requires benchmarking"" via ordinance/code). Spatial specificity: Yes, implied jurisdictional scope via ""Salt Lake City"" and ""The City"" as the implementing entity. Weak language: Yes, phrases like ""prioritizes"" and ""to help move residential buildings toward a cleaner energy future"" indicate encouragement/support rather than a binding, measurable commitment. Strong language: No, no mandate/require/achieve language with hard numbers. Therefore it fails the strict valid rule (missing both timeline and quantifiable target).",False
Sponsor the annual Clear the Air Challenge to reduce mobile-source emissions.,"the City sponsors an annual Clear the Air Challenge. The program has reduced over 3,600 tons of carbon emissions since its inception in 2006.",individual,,Transportation,Transport,"Named, ongoing city-sponsored program with quantified emissions reductions (evidence of programmatic action).",13,individual,individual,,"The statement describes an ongoing city action (“sponsors an annual…Challenge”), but it does not include an explicit future deadline/year for an intended outcome. While the text reports a quantified historic impact (“reduced over 3,600 tons…since…2006”), it is not framed as a forward-looking target to be achieved by a certain date, nor is it clearly enforceable via a binding mechanism. Under the strict individual-policy rule, missing an explicit timeline makes it NON-SOUND.",Yes,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: Yes, because the text states a measurable outcome: ""has reduced over 3,600 tons of carbon emissions"" (though historical/cumulative). Timeline: No, because there is no explicit deadline/year for a future commitment (""annual"" and ""since its inception in 2006"" are not a deadline like ""by 2030""). Binding mechanism: No, because ""the City sponsors"" does not indicate an ordinance/mandate/requirement. Spatial specificity: No, because no geography/jurisdictional scope (e.g., citywide, specific corridors/neighborhoods) is stated. Weak language: No, because it is an action statement (""sponsors"") rather than ""encourage/explore/aim"". Strong language: No, because there are no mandate/require/install/achieve-type terms tied to a required numeric target by a date. STRICT VALID RULE fails because has_timeline != 'Yes' (gold standard not met), so validation_result is NON-SOUND.",False
