policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,Adaptation,,policy_traces/000_P_3AC_establishes_nine_lines_of_action_to_reduce_significant.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
001,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will carry out prevention of rural fires through structuring interventions in agricultural and forestry areas.",Adaptation,A-2,policy_traces/001_Under_P_3AC_Portugal_will_carry_out_prevention_of_rural_fire.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
002,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will implement soil conservation and fertility improvement techniques.",Adaptation,A-2,policy_traces/002_Under_P_3AC_Portugal_will_implement_soil_conservation_and_fe.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
003,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will implement good water-management practices in agriculture, industry, and the urban sector to prevent drought and water-scarcity impacts.",Adaptation,A-2,policy_traces/003_Under_P_3AC_Portugal_will_implement_good_water_management_pr.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
004,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will increase the resilience of ecosystems, species, and habitats to the effects of climate change.",Adaptation,,policy_traces/004_Under_P_3AC_Portugal_will_increase_the_resilience_of_ecosyst.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
005,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will reduce the vulnerability of urban areas to heat waves and rising maximum temperatures.",Adaptation,A-2,policy_traces/005_Under_P_3AC_Portugal_will_reduce_the_vulnerability_of_urban_.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
006,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will prevent the establishment and spread of invasive alien species, vector-borne diseases, and agricultural and forestry diseases and pests.",Adaptation,A-3,policy_traces/006_Under_P_3AC_Portugal_will_prevent_the_establishment_and_spre.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
007,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will reduce or minimise risks associated with flooding phenomena.",Adaptation,A-3,policy_traces/007_Under_P_3AC_Portugal_will_reduce_or_minimise_risks_associate.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
008,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will increase resilience and coastal protection in areas at high risk from coastal erosion, overtopping, and flooding.",Adaptation,A-2,policy_traces/008_Under_P_3AC_Portugal_will_increase_resilience_and_coastal_pr.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
009,sub,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.,"Under P-3AC, Portugal will develop decision-support tools, capacity building, and awareness-raising actions for adaptation.",Adaptation,A-2,policy_traces/009_Under_P_3AC_Portugal_will_develop_decision_support_tools_cap.json,trace_initiative_policies_valid.csv,parent_statement,P-3AC establishes nine lines of action to reduce significant climate impacts and vulnerabilities in Portugal.
010,individual,,Portugal approved the Carbon Neutrality Roadmap 2050 (RNC2050) as its long-term mitigation strategy and basis for the national carbon neutrality goal in 2050.,Mitigation,M-1,policy_traces/010_Portugal_approved_the_Carbon_Neutrality_Roadmap_2050_RNC2050.json,trace_individual_policies_valid.csv,policy_statement,Portugal approved the Carbon Neutrality Roadmap 2050 (RNC2050) as its long-term mitigation strategy and basis for the national carbon neutrality goal in 2050.
011,individual,,"Portugal set P-3AC result targets including 100% municipal adaptation-plan coverage by 2030 and sectoral contingency/adaptation-plan targets across fire defence, water, transport, energy, wastewater, telecommunications, coastline erosion, invasive species, and vector-borne disease reduction.",Adaptation,A-2,policy_traces/011_Portugal_set_P_3AC_result_targets_including_100_municipal_ad.json,trace_individual_policies_valid.csv,policy_statement,"Portugal set P-3AC result targets including 100% municipal adaptation-plan coverage by 2030 and sectoral contingency/adaptation-plan targets across fire defence, water, transport, energy, wastewater, telecommunications, coastline erosion, invasive species, and vector-borne disease reduction."
012,individual,,Portugal committed as an EU Member State to mobilise 0.15% to 0.20% of GNI as ODA for Least Developed Countries by 2030.,Resource Efficiency,,policy_traces/012_Portugal_committed_as_an_EU_Member_State_to_mobilise_015_to_.json,trace_individual_policies_valid.csv,policy_statement,Portugal committed as an EU Member State to mobilise 0.15% to 0.20% of GNI as ODA for Least Developed Countries by 2030.
