policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Egypt::c5dbbcad6216b98d2d8a2a3a,Egypt::c5dbbcad6216b98d2d8a2a3a,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,"Deploy centralized renewable energy systems at large scale, including wind farms, concentrated solar power (CSP), solar PV plants, and bioenergy plants.",Mitigation,,policy_traces/001_Deploy_centralized_renewable_energy_systems_at_large_scale_i.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
002,Egypt::f8ff4d2ba16bb163d812a9ac,Egypt::f8ff4d2ba16bb163d812a9ac,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,"Promote small-scale decentralized renewable systems including waste-to-energy, bioenergy, rooftop PV, and solar water heaters.",Mitigation,,policy_traces/002_Promote_small_scale_decentralized_renewable_systems_includin.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
003,Egypt::2dc9517573bce8065f5e2305,Egypt::2dc9517573bce8065f5e2305,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,"Develop technologies to accommodate renewable energy use, such as intelligent control systems.",Mitigation,,policy_traces/003_Develop_technologies_to_accommodate_renewable_energy_use_suc.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
004,Egypt::6f74338c9159107559f3c0b5,Egypt::6f74338c9159107559f3c0b5,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,Optimize renewable energy use in off-grid applications.,Mitigation,,policy_traces/004_Optimize_renewable_energy_use_in_off_grid_applications.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
005,Egypt::c3f8c382472481da4d3fcd0a,Egypt::c3f8c382472481da4d3fcd0a,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,"Use energy storage technologies such as batteries, molten salt, and pumped storage.",Mitigation,,policy_traces/005_Use_energy_storage_technologies_such_as_batteries_molten_sal.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
006,Egypt::b7ef48337780d021a451cd9c,Egypt::b7ef48337780d021a451cd9c,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,"Include alternative energy sources such as green hydrogen, blue hydrogen, and nuclear energy in the energy mix.",Mitigation,,policy_traces/006_Include_alternative_energy_sources_such_as_green_hydrogen_bl.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
007,Egypt::dcd20ec99d1c28403f45e05f,Egypt::dcd20ec99d1c28403f45e05f,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,Increase renewable electricity generation within industrial facilities and use solar thermal energy in industrial processes.,Mitigation,,policy_traces/007_Increase_renewable_electricity_generation_within_industrial_.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
008,Egypt::39ceb2c01ee66efc15ea8fe6,Egypt::39ceb2c01ee66efc15ea8fe6,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,Phase out coal and switch to low-carbon fuels.,Mitigation,,policy_traces/008_Phase_out_coal_and_switch_to_low_carbon_fuels.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
009,Egypt::c31eec446df46778d42a4220,Egypt::c31eec446df46778d42a4220,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,Stimulate increased production and use of biofuels as an alternative to fossil fuels.,Mitigation,,policy_traces/009_Stimulate_increased_production_and_use_of_biofuels_as_an_alt.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
010,Egypt::22a250fa1fcf1901084dde7e,Egypt::22a250fa1fcf1901084dde7e,sub,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,Pursue an equitable transition that accounts for the workforce in fossil fuel-based facilities.,Mitigation,,policy_traces/010_Pursue_an_equitable_transition_that_accounts_for_the_workfor.json,trace_initiative_policies_valid.csv,parent_statement,Objective (1.a): Energy transition by increasing the share of all renewable and alternative energy sources in the energy mix.,,,False,False,,,,,,
012,Egypt::df69557d06d41c1a91b1e73a,Egypt::df69557d06d41c1a91b1e73a,sub,Objective (2.e): Implementation of disaster risk reduction concepts.,"Establish early warning systems for all sectors by developing a unified database, activating climate change information centers in ministries, and issuing sector-specific recommendations (e.g., for farmers).",Adaptation,,policy_traces/012_Establish_early_warning_systems_for_all_sectors_by_developin.json,trace_initiative_policies_valid.csv,parent_statement,Objective (2.e): Implementation of disaster risk reduction concepts.,,,False,False,,,,,,
013,Egypt::1419b21e661c0559d3fdd3b3,Egypt::1419b21e661c0559d3fdd3b3,sub,Objective (2.e): Implementation of disaster risk reduction concepts.,Activate and use interactive maps to study expected climate impacts on regions/projects and update interactive maps every five years as part of adaptation measures.,Adaptation,,policy_traces/013_Activate_and_use_interactive_maps_to_study_expected_climate_.json,trace_initiative_policies_valid.csv,parent_statement,Objective (2.e): Implementation of disaster risk reduction concepts.,,,False,False,,,,,,
014,Egypt::35ca05ac67f0159c7b3117eb,Egypt::35ca05ac67f0159c7b3117eb,sub,Objective (2.e): Implementation of disaster risk reduction concepts.,Ministry of Health and Population to study expected health impacts of climate change and develop and adopt a plan to address these impacts effectively.,Adaptation,,policy_traces/014_Ministry_of_Health_and_Population_to_study_expected_health_i.json,trace_initiative_policies_valid.csv,parent_statement,Objective (2.e): Implementation of disaster risk reduction concepts.,,,False,False,,,,,,
015,Egypt::99057ea7d75c1ebb8b6933a7,Egypt::99057ea7d75c1ebb8b6933a7,sub,Objective (2.e): Implementation of disaster risk reduction concepts.,Use climate risk insurance as a financial mechanism to increase societies’ ability to overcome climate risks.,Adaptation,,policy_traces/015_Use_climate_risk_insurance_as_a_financial_mechanism_to_incre.json,trace_initiative_policies_valid.csv,parent_statement,Objective (2.e): Implementation of disaster risk reduction concepts.,,,False,False,,,,,,
016,Egypt::fdaffc32eccf3d28c90205a4,Egypt::fdaffc32eccf3d28c90205a4,sub,Objective (2.e): Implementation of disaster risk reduction concepts.,Establish a coordination mechanism with civil society to implement pilot projects and coordinate among NGOs to disseminate applied models.,Adaptation,,policy_traces/016_Establish_a_coordination_mechanism_with_civil_society_to_imp.json,trace_initiative_policies_valid.csv,parent_statement,Objective (2.e): Implementation of disaster risk reduction concepts.,,,False,False,keep,0.74,True,,,False
018,Egypt::82ec2c90ef8665b0a6edb103,Egypt::82ec2c90ef8665b0a6edb103,sub,"Objective (3.d): Enhancing institutional, procedural and legal arrangements such as the Monitoring, Reporting and Verification (MRV) system.",Operationalize the climate change MRV system approved by the NCCC and included in Egypt’s 2018 updated biennial report.,Adaptation,,policy_traces/018_Operationalize_the_climate_change_MRV_system_approved_by_the.json,trace_initiative_policies_valid.csv,parent_statement,"Objective (3.d): Enhancing institutional, procedural and legal arrangements such as the Monitoring, Reporting and Verification (MRV) system.",,,False,False,,,,,,
019,Egypt::ceeb6b1f3692df34c826e7f2,Egypt::ceeb6b1f3692df34c826e7f2,sub,"Objective (3.d): Enhancing institutional, procedural and legal arrangements such as the Monitoring, Reporting and Verification (MRV) system.",Update statistical data collected by CAPMAS to include more climate change-related data.,Adaptation,,policy_traces/019_Update_statistical_data_collected_by_CAPMAS_to_include_more_.json,trace_initiative_policies_valid.csv,parent_statement,"Objective (3.d): Enhancing institutional, procedural and legal arrangements such as the Monitoring, Reporting and Verification (MRV) system.",,,False,False,,,,,,
