policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Indonesia::ae8955b52a505f21dc3909b5,Indonesia::ae8955b52a505f21dc3909b5,sub,"AFOLU-related policies and measures supporting REDD+ and forest governance include a peatland license moratorium, mandatory sustainable forest management certification, strategic environmental assessments (SEAs) via landscape approach, environmental economic instruments, and establishment of the Environmental Fund Management Agency (BPDLH).",standalone parent policy,Terminate issuance of new licenses on peatland under Presidential Instruction No. 5/2019.,Nature-Based Solutions,,,policy_traces/001_Terminate_issuance_of_new_licenses_on_peatland_under_Preside.json,,,False,False,,,,,,,,
002,Indonesia::1b2eed58cdbfef705334ffe7,Indonesia::1b2eed58cdbfef705334ffe7,sub,"AFOLU-related policies and measures supporting REDD+ and forest governance include a peatland license moratorium, mandatory sustainable forest management certification, strategic environmental assessments (SEAs) via landscape approach, environmental economic instruments, and establishment of the Environmental Fund Management Agency (BPDLH).",standalone parent policy,Implement mandatory certification for sustainable forest management.,Nature-Based Solutions,,,policy_traces/002_Implement_mandatory_certification_for_sustainable_forest_man.json,,,False,False,,,,,,,,
003,Indonesia::fbae3509df87b3d7a01db088,Indonesia::fbae3509df87b3d7a01db088,sub,"AFOLU-related policies and measures supporting REDD+ and forest governance include a peatland license moratorium, mandatory sustainable forest management certification, strategic environmental assessments (SEAs) via landscape approach, environmental economic instruments, and establishment of the Environmental Fund Management Agency (BPDLH).",standalone parent policy,"Apply Government Regulation No. 46/2016 on Strategic Environmental Assessments (SEAs) using a landscape approach to secure food, water, and energy security based on sound ecosystem management.",Nature-Based Solutions,,,policy_traces/003_Apply_Government_Regulation_No_462016_on_Strategic_Environme.json,,,False,False,,,,,,,,
004,Indonesia::9722f8c392174c1818b6a4ea,Indonesia::9722f8c392174c1818b6a4ea,sub,"AFOLU-related policies and measures supporting REDD+ and forest governance include a peatland license moratorium, mandatory sustainable forest management certification, strategic environmental assessments (SEAs) via landscape approach, environmental economic instruments, and establishment of the Environmental Fund Management Agency (BPDLH).",standalone parent policy,Implement Government Regulation No. 46/2017 on Environmental Economic Instruments.,Mitigation,,,policy_traces/004_Implement_Government_Regulation_No_462017_on_Environmental_E.json,,,False,False,,,,,,,,
005,Indonesia::366586089c913fb971d68b4e,Indonesia::366586089c913fb971d68b4e,sub,"AFOLU-related policies and measures supporting REDD+ and forest governance include a peatland license moratorium, mandatory sustainable forest management certification, strategic environmental assessments (SEAs) via landscape approach, environmental economic instruments, and establishment of the Environmental Fund Management Agency (BPDLH).",standalone parent policy,Establish the Environmental Fund Management Agency (BPDLH) via Presidential Regulation No. 77/2018.,Mitigation,,,policy_traces/005_Establish_the_Environmental_Fund_Management_Agency_BPDLH_via.json,,,False,False,,,reclassify,0.72,,Resource Efficiency,True,False
007,Indonesia::682fc0266ed9a5cad3ef5bcd,Indonesia::682fc0266ed9a5cad3ef5bcd,sub,"In forestry and other land uses, Indonesia identifies actions required to reduce emissions and achieve net sink (2050 under CPOS; 2030 under LCCP), including reducing deforestation/peat emissions, increasing sequestration via reduced degradation and enhanced regeneration, peatland restoration, forest restoration/sink enhancement, sustainable forest management, and maximizing use of unproductive lands.",standalone parent policy,Reduce emissions from deforestation and peatland (peat decomposition and peat fire).,Nature-Based Solutions,,,policy_traces/007_Reduce_emissions_from_deforestation_and_peatland_peat_decomp.json,,,False,False,,,,,,,,
008,Indonesia::539e2ba7cc86b0706ba4a008,Indonesia::539e2ba7cc86b0706ba4a008,sub,"In forestry and other land uses, Indonesia identifies actions required to reduce emissions and achieve net sink (2050 under CPOS; 2030 under LCCP), including reducing deforestation/peat emissions, increasing sequestration via reduced degradation and enhanced regeneration, peatland restoration, forest restoration/sink enhancement, sustainable forest management, and maximizing use of unproductive lands.",standalone parent policy,Increase natural forest carbon sequestration capacity by reducing degradation and enhancing regeneration.,Nature-Based Solutions,,,policy_traces/008_Increase_natural_forest_carbon_sequestration_capacity_by_red.json,,,False,False,,,,,,,,
009,Indonesia::3d2c1ab0afa925fdc5daff5a,Indonesia::3d2c1ab0afa925fdc5daff5a,sub,"In forestry and other land uses, Indonesia identifies actions required to reduce emissions and achieve net sink (2050 under CPOS; 2030 under LCCP), including reducing deforestation/peat emissions, increasing sequestration via reduced degradation and enhanced regeneration, peatland restoration, forest restoration/sink enhancement, sustainable forest management, and maximizing use of unproductive lands.",standalone parent policy,Restore peatland.,Nature-Based Solutions,,,policy_traces/009_Restore_peatland.json,,,False,False,,,,,,,,
010,Indonesia::80e046dc22b6bd16b8e7c2ed,Indonesia::80e046dc22b6bd16b8e7c2ed,sub,"In forestry and other land uses, Indonesia identifies actions required to reduce emissions and achieve net sink (2050 under CPOS; 2030 under LCCP), including reducing deforestation/peat emissions, increasing sequestration via reduced degradation and enhanced regeneration, peatland restoration, forest restoration/sink enhancement, sustainable forest management, and maximizing use of unproductive lands.",standalone parent policy,Implement forest restoration (enrichment planting/sink enhancement).,Nature-Based Solutions,,,policy_traces/010_Implement_forest_restoration_enrichment_plantingsink_enhance.json,,,False,False,,,,,,,,
011,Indonesia::59f4b236396685e874c04d3a,Indonesia::59f4b236396685e874c04d3a,sub,"In forestry and other land uses, Indonesia identifies actions required to reduce emissions and achieve net sink (2050 under CPOS; 2030 under LCCP), including reducing deforestation/peat emissions, increasing sequestration via reduced degradation and enhanced regeneration, peatland restoration, forest restoration/sink enhancement, sustainable forest management, and maximizing use of unproductive lands.",standalone parent policy,Adopt sustainable forest management practices.,Nature-Based Solutions,,,policy_traces/011_Adopt_sustainable_forest_management_practices.json,,,False,False,,,,,,,,
012,Indonesia::b71350defb48c98b9c728d7a,Indonesia::b71350defb48c98b9c728d7a,sub,"In forestry and other land uses, Indonesia identifies actions required to reduce emissions and achieve net sink (2050 under CPOS; 2030 under LCCP), including reducing deforestation/peat emissions, increasing sequestration via reduced degradation and enhanced regeneration, peatland restoration, forest restoration/sink enhancement, sustainable forest management, and maximizing use of unproductive lands.",standalone parent policy,Maximize the use of unproductive (idle) lands for establishing forest and agriculture plantations.,Nature-Based Solutions,,,policy_traces/012_Maximize_the_use_of_unproductive_idle_lands_for_establishing.json,,,False,False,,,,,,,,
014,Indonesia::970c06c71fb93409386858bf,Indonesia::970c06c71fb93409386858bf,sub,"To avoid further conversion of forest, Indonesia establishes key regulations including Government Regulation No. 104/2015, Presidential Instruction No. 5/2019, and Government Regulation No. 46/2016 on SEAs.",standalone parent policy,"Ban conversion of forested land (productive production forest) in forest areas for APL, except where non-forested lands in production forest are not available, under Government Regulation No. 104/2015.",Nature-Based Solutions,,,policy_traces/014_Ban_conversion_of_forested_land_productive_production_forest.json,,,False,False,,,,,,,,
015,Indonesia::55441ddfc8deaedbeda59240,Indonesia::55441ddfc8deaedbeda59240,sub,"To avoid further conversion of forest, Indonesia establishes key regulations including Government Regulation No. 104/2015, Presidential Instruction No. 5/2019, and Government Regulation No. 46/2016 on SEAs.",standalone parent policy,Terminate new permits and improve primary natural forest and peatland governance under Presidential Instruction No. 5/2019.,Nature-Based Solutions,,,policy_traces/015_Terminate_new_permits_and_improve_primary_natural_forest_and.json,,,False,False,,,,,,,,
016,Indonesia::1950aada145541067632fa8f,Indonesia::1950aada145541067632fa8f,sub,"To avoid further conversion of forest, Indonesia establishes key regulations including Government Regulation No. 104/2015, Presidential Instruction No. 5/2019, and Government Regulation No. 46/2016 on SEAs.",standalone parent policy,"Use Government Regulation No. 46/2016 on SEAs to guide integrated, comprehensive, spatially explicit land-use planning aimed at food, water, and energy security based on ecosystem management.",Adaptation,,,policy_traces/016_Use_Government_Regulation_No_462016_on_SEAs_to_guide_integra.json,,,False,False,,,keep,0.77,True,,,False
