policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Fiji declares a climate emergency and commits to contribute to a net zero emissions global economy by achieving net zero greenhouse gas emissions by 2050.,"This Act recognises and declares that Fiji and the Earth are facing a climate emergency.

A rapid and ambitious transformation to a net zero emissions global economy is necessary to address and mitigate the climate emergency, and Fiji will contribute to this transformation by achieving net zero greenhouse gas emissions by 2050.",individual,,PART 2-DECLARATION OF CLIMATE EMERGENCY — Declaration of climate emergency,Economy-wide,"Binding legal declaration and an explicit, time-bound mitigation target (net zero by 2050).",2,individual,individual,,"The verbatim text contains an explicit economy-wide mitigation outcome (“achieving net zero greenhouse gas emissions”) with a clear deadline (“by 2050”). It is framed within an “Act,” indicating a statutory/binding basis. The policy is spatially specific to Fiji. Language is strong (“will… by achieving”), not merely aspirational. While “net zero” is a clear measurable outcome in principle, the text does not specify interim targets or measurement method; still, it meets the strict rule because it includes both a quantifiable outcome (net zero) and a timeline (2050) and appears binding.",Yes,Yes,Yes,Yes,No,Yes,VALID,0.86,"Quantifiable target: The Act states Fiji will contribute to a net zero economy ""by achieving net zero greenhouse gas emissions""—a defined outcome condition (net zero). Timeline: It specifies ""by 2050,"" an explicit deadline. Binding mechanism: The commitment is stated in statutory form—""This Act recognises and declares..."" and sets the target within the Act, indicating legal authority rather than a voluntary plan. Spatial specificity: The policy applies to ""Fiji"" explicitly (""Fiji will contribute...""). Weak language: No purely suggestive verbs (e.g., encourage/explore/aim) are used for the core commitment; it uses ""will"" and ""achieving."" Strong language: ""will contribute... by achieving net zero greenhouse gas emissions by 2050"" is a firm commitment paired with a hard endpoint and year. Therefore, it satisfies the strict valid rule (auditable deliverable + timeline + quantifiable target, with binding framing).",True
All ministers must take reasonable steps within their portfolios to promote achievement of any sectoral emissions reduction or limitation targets in Fiji's NDC.,"All ministers must, where relevant and with the assistance of the Committee, take all reasonable steps within their portfolio to promote the achievement of any sectoral emissions reduction or limitation targets in Fiji's NDC.",individual,,PART 3-IMPLEMENTATION OF THE PARIS AGREEMENT — Preparation and implementation of Fiji's Nationally Determined Contributions,Cross-sectoral,Binding whole-of-government obligation linked to NDC sectoral targets.,3,individual,individual,,"The text creates a whole-of-government obligation (“All ministers must…take all reasonable steps”) that is binding in tone, but it does not specify any measurable outcome or any deadline. It also uses weak/elastic implementation language (“reasonable steps” and “promote the achievement”), and relies on external NDC targets without stating them verbatim here. Under the strict rule for individual policies, it fails the gold standard because there is no explicit quantifiable target and no timeline in the provided text.",No,No,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text references 'any sectoral emissions reduction or limitation targets in Fiji's NDC' but does not state any numeric/measurable target in the verbatim excerpt. Timeline: No—no year/deadline ('by 2030', etc.) is provided. Binding mechanism: Yes—uses mandatory language 'All ministers must... take all reasonable steps'. Spatial specificity: Yes—applies within 'Fiji's NDC' (national scope) and to 'All ministers' (government-wide within Fiji). Weak language: Yes—implementation is framed as 'take all reasonable steps' and 'promote the achievement', which are non-specific and not directly auditable. Strong language: No—although 'must' appears, it is not paired with hard numbers or a concrete deliverable. Therefore the policy fails the strict VALID rule because it lacks both an explicit quantifiable target and an explicit timeline.",False
Minister must review implementation of the Act every 5 years and report findings to Parliament; and must report annually to Parliament on implementation status and progress toward net zero and climate resilient development.,"The Minister must review the implementation of this Act every 5 years... and report to Parliament on the findings of the review.

The Minister must report annually to Parliament on the status of implementation of international and national obligations to respond to climate change and progress towards the attainment of net zero emissions and climate resilient development.",individual,,PART 4-GOVERNANCE — Obligation to report on and review the implementation of this Act,Governance,Binding review cycle (5-year) and annual reporting requirement.,4,individual,individual,,"This is a binding governance requirement (mandatory 5-year reviews and annual reports to Parliament), but it is primarily procedural/accountability rather than a measurable emissions or resilience outcome. It contains a timeline (every 5 years; annually) but no quantifiable target (no numeric emissions reduction, date-certain net-zero year, or specified metrics). Therefore it fails the “gold standard” requirement for an individual policy (timeline + quantifiable target) and should be classified as NON-SOUND under the strict rule, despite being enforceable.",No,Yes,Yes,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: No. The text requires reporting on “progress towards the attainment of net zero emissions and climate resilient development” but provides no measurable numeric outcome (no % reduction, no specific net-zero year, no quantified resilience metric). Timeline: Yes. It specifies “every 5 years” and “annually” (""must review... every 5 years""; ""must report annually""). Binding mechanism: Yes. Uses mandatory language (“The Minister must review...”; “The Minister must report annually...”), indicating an enforceable statutory duty. Spatial specificity: No. No location/jurisdictional scope is explicitly stated in the excerpt. Language strength: Strong language detected because of “must review” and “must report,” but it is not paired with hard outcome numbers. Weak language: No, as it does not rely on “encourage/promote/explore/aim.” STRICT VALID RULE: Fails because has_quantifiable_target='No' (gold standard not met), so validation_result is NON-SOUND. Confidence capped at 0.4 due to missing quantifiable target.",False
"Each permanent secretary must appoint a ministry focal point, and each focal point must report bi-annually to the Director on implementation of the Act within their ministry.","The permanent secretary for each ministry must, in consultation with the Director, appoint a person from within their ministry as a focal point.

Each focal point is responsible for promoting the objectives and principles of this Act within their Ministry, and must report to the Director bi-annually on the implementation of this Act within their ministry.",individual,,PART 4-GOVERNANCE — Focal points,Governance,Creates mandatory institutional arrangements and a bi-annual reporting cadence.,5,individual,individual,,"This is an enforceable governance requirement establishing institutional focal points in each ministry and requiring bi-annual reporting to the Director on implementation. It is auditable (appointments and reports can be checked) and uses mandatory language (“must”). However, it lacks an explicit deadline/year and does not include a quantifiable outcome target (it specifies reporting frequency, but not a measurable climate outcome). Under the strict rule for individual policies, missing timeline and quantifiable target makes it NON-SOUND.",No,No,Yes,Yes,No,Yes,NON-SOUND,0.4,"AUDITABLE COMMITMENT: Yes—requires institutional actions and reporting: ""must... appoint a person... as a focal point"" and ""must report to the Director bi-annually on the implementation of this Act"". BINDING MECHANISM: Yes—mandatory statutory language ""must"" directed at ""permanent secretary for each ministry"" indicates an enforceable duty. QUANTIFIABLE TARGET: No—no measurable outcome (e.g., emissions reductions, units, %); ""bi-annually"" is a reporting cadence, not an outcome target. TIMELINE: No—no explicit year/deadline (frequency alone does not specify a deadline such as ""by 2027""). SPATIAL SPECIFICITY: Yes—scope is defined across institutions: ""for each ministry"" / ""within their ministry"". LANGUAGE STRENGTH: Strong language present via repeated ""must""; weak/promotional verb appears (""promoting"") but embedded within a mandatory duty and accompanied by a binding reporting requirement. STRICT VALID RULE: Fails gold standard because has_timeline='No' and has_quantifiable_target='No', therefore NON-SOUND; confidence capped at 0.4.",False
"Within 12 months, Minister must issue guidelines on how State entities ensure decisions and policies are consistent with the Act's objectives and principles; State entities must review/update prior decisions and policies for consistency.","All State entities must review and update relevant decisions made and policies, programmes and processes developed by the State entity prior to the commencement of this section for the purpose of ensuring... consistent with achieving the objectives and the principles of this Act...

Within 12 months of the commencement of this section, the Minister... must prepare and issue guidelines on how State entities must ensure consistency with achieving the objectives and principles of this Act...",individual,,PART 5-CLIMATE CHANGE OBLIGATIONS OF STATE ENTITIES — State entities must ensure consistency with objectives and principles of this Act,Governance,Binding review requirement on State entities plus a deadline-bound requirement for Ministerial guidelines.,6,individual,individual,,"The text establishes enforceable obligations (“must”) for (1) State entities to review/update prior decisions and policies to align with the Act, and (2) the Minister to issue guidelines within 12 months. It is actionable and has a clear timeline for the guidelines, but it lacks a quantifiable, auditable outcome target (no numeric performance metric beyond the 12‑month issuance deadline). Under the strict rule for individual policies, missing a quantifiable target makes it NON-SOUND.",No,Yes,Yes,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: No—there is no measurable outcome like % reduction, number of entities, or compliance rate; the text only requires actions (review/update; issue guidelines) without numeric performance targets. Evidence: 'must review and update relevant decisions... for the purpose of ensuring... consistent with achieving the objectives...' and 'must prepare and issue guidelines...'. Timeline: Yes—explicit deadline 'Within 12 months of the commencement of this section'. Binding mechanism: Yes—uses mandatory language 'must' directed at the Minister and 'All State entities must'. Spatial specificity: Yes—scope is clearly defined as applying to 'All State entities' (jurisdictional applicability). Weak language: No—does not use 'encourage/promote/explore/aim'; it is directive. Strong language: Yes—mandatory 'must' plus a hard time bound 'Within 12 months'. STRICT VALID RULE check: fails Gold Standard because has_quantifiable_target='No', so result is NON-SOUND and confidence capped at 0.4.",False
Minister must issue and publish (in the Gazette) guidelines on scope/application of climate factors that decision-makers must consider under prescribed laws.,"The Minister must issue guidelines for a person making a decision referred to in section 19(1) as to the scope and application of the factors that the person is required to consider under section 19(2)...

The Minister must publish guidelines issued in accordance with this section in the Gazette.",individual,,PART 5-CLIMATE CHANGE OBLIGATIONS OF STATE ENTITIES — Ministerial guidelines for actions and decisions,Governance,Binding requirement to issue and Gazette-publish decision-making guidelines.,7,individual,individual,,"The verbatim text describes a binding procedural requirement: the Minister “must issue guidelines” and “must publish” them in the Gazette. This is enforceable and auditable (a document must exist and be published), but it is not an outcome-based, quantifiable climate target (no numeric performance metric) and it includes no explicit deadline/year. Under the strict individual-policy rule, lacking both a quantifiable target and a timeline makes it NON-SOUND.",No,No,Yes,No,No,No,NON-SOUND,0.4,"Quantifiable target: No — the text requires issuance/publication of guidelines but contains no measurable outcome (no %, number, MW, etc.). Evidence: ""must issue guidelines"" and ""must publish guidelines... in the Gazette"".
Timeline: No — no explicit date/year/deadline is stated. Evidence: the quoted provisions contain no timing language.
Binding mechanism: Yes — mandatory legal language applies to the Minister. Evidence: ""The Minister must issue guidelines"" and ""The Minister must publish guidelines... in the Gazette.""
Spatial specificity: No — no geographic or jurisdictional area (e.g., citywide/provincewide) is specified in the excerpt.
Weak language: No — not framed as encourage/aim/explore; it uses ""must"".
Strong language: No — while ""must"" is present, it is not paired with hard numeric targets; schema definition requires hard numbers for strong_language_detected.
STRICT VALID RULE check: Fails gold standard because has_timeline='No' and has_quantifiable_target='No', therefore NON-SOUND. Confidence capped at 0.4 per instructions.",False
"Environmental impact assessments must assess material GHG emissions, climate vulnerability impacts, and climate risks to proposed activities, and include measures to address them where relevant.","Where an environmental impact assessment is required... and that proposed activity or undertaking may result in material greenhouse gas emissions, increased climate vulnerability... or could be adversely affected by the impacts of climate change, the environmental impact assessment must include an assessment of those matters and measures to address them.",individual,,PART 5-CLIMATE CHANGE OBLIGATIONS OF STATE ENTITIES — Environmental impact assessment,Cross-sectoral,Binding procedural requirement integrating climate considerations into EIA.,8,individual,individual,,"This is a binding, auditable procedural requirement (EIAs “must include” climate-related assessments and measures where relevant). However, it does not specify a measurable outcome target (e.g., emissions reduction amount) or any deadline/year for compliance beyond the conditional “where an environmental impact assessment is required.” Under the strict rule for individual policies, lacking both an explicit timeline and a quantifiable target makes it NON-SOUND.",No,No,Yes,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: No. The text requires EIAs to include an 'assessment' and 'measures to address them' but contains no numeric/measurable outcome (no %, tCO2e, number of projects, etc.). Timeline: No. There is no explicit deadline/year (e.g., 'by 2030'); it applies conditionally 'Where an environmental impact assessment is required'. Binding mechanism: Yes. Uses mandatory language: 'the environmental impact assessment must include an assessment of those matters and measures to address them.' Spatial specificity: No. No geographic scope is specified in the excerpt. Weak language: No. Does not use 'encourage/promote/aim'; it uses 'must'. Strong language: Yes. The verb 'must include' indicates a requirement, though not paired with hard numbers. STRICT VALID RULE check: Fails gold standard because has_timeline='No' and has_quantifiable_target='No', therefore overall NON-SOUND despite being binding/procedural.",False
"Fijian Procurement Office must formulate or update procurement policies consistent with the Act and key climate policies, and where possible set minimum standards to promote adaptation/resilience and source zero/low-emissions products, vehicles, or energy sources.","The Fijian Procurement Office... must formulate procurement policies that are consistent with... the objectives and principles of this Act... and where possible, these procurement policies are to set minimum standards for-
(a) promoting adaptation and climate resilience; and
(b) sourcing zero or low emissions products, vehicles or energy sources.",individual,,PART 5-CLIMATE CHANGE OBLIGATIONS OF STATE ENTITIES — Government procurement,Cross-sectoral,Binding procurement policy reform with specified minimum standard areas.,9,individual,individual,,"The text creates a binding requirement (“must formulate procurement policies…”) and specifies topic areas for minimum standards (adaptation/resilience and sourcing low/zero-emissions goods). However, it lacks any explicit deadline/year and does not include measurable outcome targets (no percentages, quantities, coverage levels, or procurement thresholds). The qualifier “where possible” weakens the commitment and makes it less auditable.",No,No,Yes,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The excerpt specifies areas for standards—“set minimum standards for… (a) promoting adaptation and climate resilience; and (b) sourcing zero or low emissions products, vehicles or energy sources”—but provides no measurable outcome (no % procurement, no emissions threshold, no quantity).
Timeline: No. No explicit date/year/deadline appears.
Binding mechanism: Yes. Uses mandatory language: “must formulate procurement policies that are consistent with… this Act.”
Spatial specificity: Yes. Applies to the national procurement authority: “The Fijian Procurement Office…” (jurisdictionally specific).
Weak language: Yes. Contains conditional qualifier limiting auditable commitment: “where possible.”
Strong language: No. Although “must formulate” is mandatory, there are no hard numbers/targets attached.
STRICT VALID RULE: Fails gold standard because has_timeline='No' and has_quantifiable_target='No'; therefore NON-SOUND. Confidence capped at 0.4 due to missing timeline/quantifiable target for an individual policy.",False
"Education minister must integrate evidence-based climate change learning into Fiji National Curriculum Framework across all levels, in consultation with the climate change Minister.","the minister responsible for education must, in consultation with the Minister, integrate evidence-based learning about climate change into a variety of subjects of the Fiji National Curriculum Framework at all levels of the curriculum.",individual,,PART 5-CLIMATE CHANGE OBLIGATIONS OF STATE ENTITIES — Integration of climate change into curricula,Cross-sectoral,Binding requirement to integrate climate education into national curriculum.,10,individual,individual,,"The verbatim text contains a binding obligation (“must… integrate”) and clearly specifies the action (integrate evidence-based climate change learning) and scope (Fiji National Curriculum Framework, across all curriculum levels, across a variety of subjects). However, it does not include an explicit timeline/deadline or a quantifiable/measurable outcome target (e.g., % of subjects, number of grades, by what year). Under the strict individual-policy rule, the absence of both a timeline and a quantifiable target makes it NON-SOUND.",No,No,Yes,Yes,No,Yes,NON-SOUND,0.4,"Quantifiable target: No—text requires integration but gives no measurable output (e.g., number/percent of subjects or grades), only qualitative wording: “integrate evidence-based learning about climate change into a variety of subjects… at all levels.” Timeline: No—no date or deadline is stated. Binding mechanism: Yes—uses mandatory language: “the minister responsible for education must… integrate…”. Spatial specificity: Yes—applies within a defined jurisdiction/system: “Fiji National Curriculum Framework… at all levels of the curriculum.” Weak language: No—no “encourage/aim/explore”; it is a directive. Strong language: Yes—“must… integrate” indicates a requirement, though without hard numbers. Strict rule check: fails Gold Standard because has_timeline='No' and has_quantifiable_target='No', so validation_result is NON-SOUND; confidence capped at 0.4 accordingly.",False
Finance minister must include climate economic implications in the budget supplement; State entities must include climate-relevant expenditure and support needs in budget submissions; Minister must publish guidelines to assist compliance.,"The minister responsible for finance must provide information on the economic implications of climate change in the supplement to the national budget.

All State entities must include in their budget submissions- (a) actual and estimated details of climate-relevant expenditure... (b) information on support needed and received... under Articles 9, 10 and 11 of the Paris Agreement.

The Minister... must prepare and publish guidelines... assisting State entities to comply...",individual,,PART 5-CLIMATE CHANGE OBLIGATIONS OF STATE ENTITIES — National budget submissions,Climate finance,Binding budget disclosure obligations plus requirement to publish compliance guidelines.,11,individual,individual,,"The verbatim text establishes binding disclosure/ reporting requirements for the finance minister and all State entities (budget supplement content; budget submission details; publication of compliance guidelines). However, it does not include any explicit deadline/year or a quantified climate outcome target (it is procedural reporting, not an emissions/energy/finance delivery target). Under the strict rule for individual policies, missing an explicit timeline and a quantifiable outcome makes it NON-SOUND for ""actionable + measurable"" policy validation, despite being legally binding.",No,No,Yes,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No, because the text requires provision of ""information"" and ""details"" (e.g., ""must provide information on the economic implications of climate change""; ""must include... actual and estimated details of climate-relevant expenditure""; ""information on support needed and received""), but contains no measurable outcome such as % reductions, amounts of finance to be delivered, or units to be achieved. Timeline: No, because there is no explicit date/year/deadline (no ""by 2030""-type language); it only states ongoing obligations tied to budget documents. Binding mechanism: Yes, because it uses mandatory legal language: ""must provide"", ""must include"", and ""must prepare and publish guidelines"". Spatial specificity: Yes, it applies at the national/state level to ""the national budget"" and ""All State entities"". Weak language: No, no ""encourage/aim/explore"" phrasing is used. Strong language: No, although ""must"" is mandatory, the criterion requires hard-number mandates; there are no hard numbers/targets attached.",False
