initiative_name,parent_statement,sector,num_sub_actions,coverage_score,coverage_assessment,coherence_score,coherence_assessment,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,parent_row_type,weak_signals,strong_signals,initiative_result,confidence_score,initiative_reasoning,final_verdict,sub_assessments,subs_strong,subs_moderate,subs_weak
URBAN FORESTRY,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,Adaptation,2,0.75,"The sub-actions align well with the parent goal of reducing heat hazards through green infrastructure: one addresses the enabling policy environment (LVMC/zoning) and the other specifies the core intervention (tree planting to expand canopy). A key gap is the absence of any stated timeframe or interim milestones for planting/canopy expansion, which makes progress tracking and accountability harder.",0.85,"The two sub-actions are complementary and non-contradictory: code/zoning amendments can enable or require tree planting, while the planting target provides the measurable outcome. There are no apparent redundancies, but the lack of sequencing details (e.g., code changes preceding planting) slightly weakens the delivery logic.",Yes,Yes,No,No,structural header,"No deadlines/years stated anywhere in the cluster, 'steps must be taken' framing without specifying accountable parties","Numeric outcome targets (at least 100,000 trees; canopy to 20%), regulatory mechanism referenced (LVMC and zoning amendments)",PARTIAL,0.7,"1) Aim: mitigate urban heat island/heat hazards using green infrastructure, especially trees, via both policy changes and on-the-ground planting. 2) Sub-action strength mix: 0 strong, 2 moderate, 0 weak—Action 1 is a tangible regulatory action but lacks targets/timeline; Action 2 is a tangible implementation action with clear numeric outcomes but no timeline. 3) Parent context: the parent provides problem framing (heat hazards) but does not establish a binding authority (e.g., adopted ordinance/mandate) or a defined spatial scope (e.g., citywide/priority neighborhoods), so subs cannot inherit those. 4) Coverage/coherence: coverage is good because the two subs map directly onto enabling policy + implementation; coherence is high because they are complementary with no contradictions, though sequencing and accountability details are not specified. 5) Soundness rule: fails SOUND because aggregate measurability is Yes but there is no timeline and there are no 'strong' sub-actions; it meets PARTIAL because coverage_score >= 0.4, at least one sub is moderate, and the cluster contains measurable numeric targets (100,000 trees; 20% canopy). Verdict follows as PARTIAL.",True,"[{'action_label': 'Action 1: LVMC and zoning amendments for trees', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Plant at least 100,000 trees to increase canopy to 20%', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,2,0
PARKS AND CONNECTIVITY,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Adaptation,3,0.85,"The three sub-actions collectively deliver on the parent goal of improving park planning and access: one establishes a system plan/certification framework and two set measurable access/supply outcomes. A key gap is the absence of any deadline/year for achieving the acreage and access targets, which limits accountability.",0.9,"The sub-actions are complementary and non-contradictory: planning/certification supports park system improvements, while acreage and walk-access targets provide outcome direction. The only logical weakness is that sequencing and timing are implied rather than specified (no dates), but the components still fit together cleanly.",Yes,Yes,No,No,standalone parent policy,"no deadlines/years stated, walking distance not numerically defined (""short walk"")","numeric outcome targets (7 acres per 1,000 residents; 85% of dwelling units), concrete deliverable (Parks System Plan), CAPRA certification",PARTIAL,0.7,"1) The initiative aims to improve quality of life via better parks planning plus measurable park supply and proximity/access outcomes. 2) Sub-action strength mix: 0 strong, 3 moderate, 0 weak—two have clear numeric targets and one is a concrete planning/certification deliverable, but none specify timelines. 3) The parent text does not add an enforceable mechanism (e.g., ordinance) or a clear citywide/asset scope statement beyond referencing “the City,” so weaker elements are not lifted by inherited binding/scope context. 4) Coverage is high because all subs directly support planning, park acreage expansion (including equity focus on areas of need), and access/proximity; the main gap is missing deadlines and a defined metric for “short walk.” Coherence is high because the actions logically align (plan/certification enabling delivery of acreage and access targets). 5) Applying the soundness rule: it fails SOUND because there is no strong sub-action (and no timelines), but it meets PARTIAL because coverage_score >= 0.4, at least one sub-action is moderate, and the cluster contains measurable targets (7 acres/1,000; 85% proximity). Verdict therefore is PARTIAL with adequate confidence.",True,"[{'action_label': 'Action 1: Develop a Parks System Plan and achieve CAPRA certification.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 2: Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Ensure 85% of dwelling units are within a short walk of a park or trail.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,3,0
FOOD AND URBAN AGRICULTURE,Food and Urban Agriculture: take actions to improve healthy food access and allow small agricultural uses.,Agriculture,2,0.55,"The two sub-actions match the parent’s stated aims (healthy food access and small agricultural uses) because they essentially repeat them. However, there is no detail on what interventions will be used (e.g., zoning changes, incentives, procurement, garden siting) or what scale of change is intended, which leaves major delivery gaps.",0.8,"The sub-actions are consistent and mutually reinforcing: one focuses on healthy food access and the other on community gardens/small agricultural uses. There is no contradiction, but the items are high-level statements rather than a sequenced plan.",No,No,No,No,standalone parent policy,"No numeric targets, no deadlines/years, aspirational phrasing ('must ensure'), no named instruments (ordinance/zoning/program)",None,WEAK,0.6,"1) The initiative aims to improve healthy food access (eliminate food deserts/reduce food swamps) and expand community gardens/small agricultural uses. 2) Sub-action strength mix: 0 strong, 0 moderate, 2 weak (both are goal statements with no metrics or timing). 3) The parent does not add binding authority (no ordinance/regulation) or clear spatial scope (no citywide/areas named) that could strengthen the subs via inheritance. 4) Coverage is moderate because the subs align with the parent’s topics, but there are major gaps in specifying mechanisms and scale; coherence is high because the elements are consistent and non-contradictory. 5) Applying the Initiative Soundness Rule: aggregate_measurability is 'No' and there are no strong/moderate sub-actions and no measurable target or deadline anywhere in the cluster, so the initiative is WEAK and not retained.",False,"[{'action_label': 'Action 1: Eliminate food deserts and reduce food swamps by increasing healthy food access.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Provide accessibility to community gardens and increase allowable small agricultural uses.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,2
ENVIRONMENTAL JUSTICE,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Cross-sector,4,0.55,"All four sub-actions generally relate to reducing environmental risk/exposure (air quality, brownfields, stormwater pollution, and inclusive engagement), which aligns with the parent’s environmental justice intent. However, the parent emphasizes prioritization for new transportation and infrastructure projects, and the sub-actions do not specify how EJ prioritization will be operationalized in those projects (e.g., screening criteria, project requirements, or decision rules).",0.65,"The sub-actions are complementary (air, land contamination, water pollution, and engagement) and do not conflict. The cluster is not logically sequenced (no linkage from engagement to specific project requirements or to measurable remediation/mitigation steps), so it reads more like a list of themes than an execution plan.",No,No,No,Yes,standalone parent policy,"No deadlines/years, no binding instrument (ordinance/mandate) stated, vague verbs ('improve', 'engage'), no EJ prioritization mechanism for new transportation/infrastructure projects","Explicit measurable threshold: 'air quality index of 100 or better', citywide scope ('within the City')",PARTIAL,0.6,"1) The initiative aims to prioritize reducing environmental exposure and risk for low-income and minority communities, especially connected to transportation and infrastructure decisions. 2) Strength mix: 0 strong, 2 moderate (AQI threshold; brownfields elimination as a concrete direction but not quantified), and 2 weak (stormwater ‘improve’ and engagement with no measurable commitments). 3) The parent provides a clear city/institutional scope (“The City must…”, and multiple subs reference “within the City”) but does not provide a binding mechanism (no ordinance/regulation) that would strengthen implementation. 4) Coverage is partial: the themes relate to EJ and environmental risk, but there is a gap in specifying how EJ is embedded into new transportation/infrastructure projects (criteria, requirements, or decision rules). Coherence is fair because the topics are complementary, but the set lacks sequencing and specificity. 5) Applying the initiative soundness rule: it fails SOUND because aggregate_measurability is 'No' and there are no 'strong' sub-actions. It qualifies as PARTIAL because coverage_score is >= 0.4, there is at least one moderate sub-action, and there is at least one measurable element somewhere in the cluster (AQI 100 or better).",True,"[{'action_label': 'Action 1: Ensure an air quality index of 100 or better.', 'has_quantifiable_target': 'Yes', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'moderate'}, {'action_label': 'Action 2: Eliminate brownfields within the City through redevelopment.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Improve stormwater pollution prevention efforts.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 4: Engage residents of all races, ethnicities, abilities, and means in planning and transportation decision-making.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,2,2
EQUITABLE EDUCATION,"Equitable Education: implement actions to improve K-12 outcomes, early education coordination, and teacher attraction/education.",Cross-sector,3,0.6,"The sub-actions align with the parent’s three stated themes (K-12 outcomes, early education coordination, and teacher attraction/education). However, none specify what will be implemented (program types, policy changes, funding mechanisms) or what success looks like, leaving major operational gaps.",0.7,"The three sub-actions are thematically consistent and non-contradictory, covering complementary parts of the education pipeline (K-12, early education, staffing). There is no sequencing or linkage (e.g., how coordination or teacher initiatives drive outcome improvements).",No,No,No,No,structural header,"No numeric targets, no deadlines/years, aspirational verbs (ensure/enhance/attract), no specified deliverables or instruments",None,WEAK,0.6,"1) The initiative aims to improve education quality-of-life outcomes via equitable K-12 improvement, stronger early education coordination with CCSD, and attracting/educating teachers. 2) Sub-action strength count: 0 strong, 0 moderate, 3 weak. 3) The parent text does not provide binding authority (ordinance/mandate) or defined scope (citywide assets, neighborhoods) that could strengthen the sub-actions; it is mainly an aspirational header. 4) Coverage is fair relative to the stated themes (0.6) and coherence is good because the items are complementary (0.7), but there is no implementation pathway, timeline, or measurable outcome anywhere in the cluster. 5) Applying the initiative soundness rule: it fails SOUND because aggregate measurability is 'No' and there are no strong/moderate subs; it also fails PARTIAL because there is no measurable target or deadline anywhere. Therefore the initiative is WEAK.",False,"[{'action_label': 'Action 1: Ensure equitable improvement of overall educational outcomes for K-12.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Enhance early education programs and support coordinated efforts with the Clark County School District.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Attract or educate new teachers.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,3
ECONOMIC & WORKFORCE DEVELOPMENT,"Economic & Workforce Development: implement actions aligned with the regional Comprehensive Economic Development Strategy to diversify the economy, including target industry promotion, partnerships, and new workforce institutions.",Cross-sector,3,0.7,"The three sub-actions match the parent’s stated approach to economic diversification: (1) promote target industries, (2) build higher-ed partnerships and training capacity, and (3) seek a new workforce-focused institution. A gap is that none of the actions specify what level of diversification or workforce outcomes (jobs, trainees, programs, employer commitments) would constitute success.",0.8,"The sub-actions are mutually reinforcing: promotion/attraction is complemented by workforce pipeline development via partnerships and a potential new institution. There are no apparent contradictions, but the steps are high-level and not sequenced with milestones or delivery responsibilities.",No,Yes,No,No,standalone parent policy,"promoting and attracting (aspirational), developing partnerships (process-oriented), requesting development (non-committal), no deadlines/years, no numeric outcome targets",None,WEAK,0.6,"1) The initiative aims to diversify the economy by promoting target industries (including clean energy) and building workforce capacity through university/college partnerships and a potential new NSHE institution. 2) Strength count: 0 strong, 0 moderate, 3 weak—each sub-action lacks an outcome metric and any deadline, and is primarily promotional/process/request language. 3) The parent text provides thematic alignment to a regional strategy but does not supply a binding mechanism (e.g., ordinance/mandate) or a defined spatial/institutional scope that would materially strengthen the subs. 4) Coverage is reasonably good (the subs reflect the parent’s three bullets), and coherence is high (the actions are complementary), but the cluster remains untrackable due to no targets/timelines. 5) Applying the soundness rule: it cannot be SOUND because aggregate measurability is 'No' and there are no strong/moderate subs; it cannot be PARTIAL because there is no measurable target or deadline anywhere in the cluster. Therefore the initiative is WEAK.",False,"[{'action_label': 'Action 1: Promote and attract occupations in target industries (incl. clean energy).', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Develop partnerships with UNLV/CSN, expand campuses, and develop workforce training.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Request development of a new 2–4 year NSHE workforce institution.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,3
HOUSING,"Housing: improve the diversity of housing types with TOD, infill, and diverse housing options by removing zoning barriers, incentivizing and integrating affordable housing, and providing financial tools for housing stakeholders.",Buildings,3,0.55,"The three sub-actions align with the parent’s stated levers (zoning reform, affordability expansion, financial tools) and generally cover the stated approach to improving housing diversity via TOD/infill. However, the initiative does not specify which housing types/areas are targeted, nor any quantified production/affordability outcomes, leaving major gaps in what “improve diversity” means in practice.",0.75,The sub-actions are complementary (regulatory changes + affordability focus + financing support) and do not contradict one another. They read as a high-level bundle of strategies rather than a sequenced implementation plan with defined deliverables or milestones.,No,No,No,Yes,standalone parent policy,"no numeric targets, no deadlines/years, aspirational wording ('must improve', 'increase options', 'provide tools'), no named policy instruments (e.g., rezoning ordinance/code amendment) or responsible entity","Citywide scope implied ('each area of the city'), identifies key levers (TOD/infill, zoning barriers, affordable housing, financial tools)",WEAK,0.6,"1) The initiative aims to improve housing diversity citywide (TOD/infill/diverse housing options) by changing zoning, expanding affordability, and offering financial tools. 2) Sub-action strength count: strong = 0, moderate = 0, weak = 3 because none include a measurable outcome, a timeline, or a concrete committed deliverable. 3) The parent provides broad spatial scope ('each area of the city') but does not provide a binding mechanism (no ordinance/code update commitment) or any targets/timelines that could lift the sub-actions. 4) Coverage is partial (0.55) because the levers match the parent framing, but the lack of specificity (what changes, where, how much housing/affordability) leaves the goal operationally undefined; coherence is fairly high (0.75) because the strategies are complementary. 5) Applying the initiative soundness rule: aggregate_measurability is 'No' and there are no strong/moderate sub-actions, so the initiative is WEAK and fails the PARTIAL criteria (no measurable target or deadline anywhere in the cluster).",False,"[{'action_label': 'Action 1: Remove zoning barriers and incentivize and integrate affordable housing.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Increase affordable housing options and remove barriers to affordability.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Provide financial tools and strategies for developers, homeowners, and investors.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,3
HOMELESSNESS,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",Cross-sector,3,0.55,"The sub-actions generally align with the parent goal by addressing intervention (Courtyard/MORE), a service model (Housing First), and an upstream driver (poverty). However, they do not specify scale, intended coverage of the unsheltered population, housing supply linkages, or interim milestones needed to credibly deliver a 50% reduction and reach functional zero by 2050.",0.7,"The three sub-actions are complementary rather than redundant: outreach/intervention can connect people to services, Housing First provides a stabilizing framework, and poverty reduction supports prevention. There are no internal contradictions, but the pathway is incomplete because the actions are not sequenced, resourced, or operationalized with measurable steps.",Yes,Yes,No,No,standalone parent policy,"continue, employ an approach (no defined deliverables), reduce poverty (aspirational), no sub-action timelines, no sub-action numeric outcomes, unclear scale/coverage","Parent includes 50% reduction in unsheltered homelessness, functional zero homelessness in 2050, identifies coordination with regional stakeholders",PARTIAL,0.6,"1) The initiative aims to reduce unsheltered homelessness by 50% and achieve functional zero by 2050 through coordinated prevention/diversion with regional stakeholders. 2) Sub-action strength mix: 0 strong, 2 moderate (Courtyard/MORE intervention; Housing First approach), 1 weak (reduce poverty). 3) The parent provides measurable endpoints (50% reduction; 2050 functional zero) but does not provide a binding mechanism or explicit spatial scope that would strengthen accountability for the sub-actions. 4) Coverage is partial (0.55) because the actions map to the problem but omit key measurable components (e.g., housing placement targets, prevention counts, interim deadlines) needed to track progress toward the parent outcomes; coherence is decent (0.7) because the actions are complementary and plausibly linked. 5) Applying the initiative soundness rule: it is not SOUND (no strong sub-actions and limited measurability at the sub-action level), but it qualifies as PARTIAL because coverage is >= 0.4, at least one sub-action is moderate, and the parent includes measurable targets/timeline (50% reduction; 2050). Therefore final_verdict is True given confidence >= 0.55.",True,"[{'action_label': ""Action 1: Continue intervention role with the City's Courtyard and MORE team"", 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': ""Action 2: Employ a 'Housing First' approach"", 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Reduce the number of individuals in poverty', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,2,1
COMPLETE STREETS,Complete Streets: recommend a new layered Complete Street network to improve the City’s overall modal split and jobs-housing balance and coordinate/completion of major transportation projects with state and regional partners.,Transport,4,0.5,"The sub-actions align with the parent’s intent to coordinate and complete major transportation projects, since all four items are major corridor/interchange projects. However, the parent goal includes improving modal split and jobs-housing balance, and the sub-actions do not specify Complete Streets elements (e.g., transit priority, bike/ped facilities) or mechanisms by which these highway projects improve those outcomes.",0.8,"The sub-actions are consistent and non-contradictory: each is a named major project to be coordinated/completed with state and regional partners. The list is essentially parallel items (a set of projects) rather than a sequenced pathway, but it is still internally coherent.",No,Yes,No,Yes,standalone parent policy,"recommendations only, coordinate/complete without defined deliverables, no deadlines/years, no quantified mode-share/VMT outcomes, project-name bullets","Named major projects (Downtown Access Project, I-15, I-11, Summerlin Parkway, system-to-system interchanges), coordination with state and regional partners",WEAK,0.6,"1) The initiative aims to recommend a layered Complete Street network and to coordinate/completion of major transportation projects with state/regional partners to improve modal split and jobs-housing balance. 2) Sub-action strength count: 0 strong, 0 moderate, 4 weak (each sub-action is only a project reference with no measurable outcome, timeline, or defined Complete Streets intervention). 3) The parent provides city-level scope (City’s overall outcomes) but does not provide a binding mechanism (no ordinance/mandate) or measurable targets that would strengthen the sub-actions. 4) Coverage is partial: the listed projects plausibly relate to major transportation coordination, but they do not specify how they deliver Complete Streets outcomes or the stated modal split/jobs-housing objectives (coverage_score 0.5). Coherence is high because all items are consistent project-coordination bullets (coherence_score 0.8). 5) Applying the initiative soundness rule: it fails SOUND because aggregate_measurability is 'No' and there are no strong/moderate sub-actions; it also fails PARTIAL because there is no measurable target or deadline anywhere in the cluster. Therefore the initiative is WEAK and not sufficiently actionable/trackable as written.",False,"[{'action_label': 'Action 1: Coordinate and complete the Downtown Access Project and future I-15 improvements with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Coordinate and complete Sheep Mountain Parkway and I-11 with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 3: Coordinate and complete Summerlin Parkway improvements with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 4: Coordinate and complete system-to-system interchanges with state and regional partners.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}]",0,0,4
PUBLIC HEALTH AND SOCIAL SERVICES,"Public Health and Social Services: improve community health indicators by adopting Health-in-all-policies, expanding healthcare capacity and access, completing UNLV School of Medicine build-out, and developing local Health and Wellness Centers.",Health,4,0.7,"The sub-actions match the parent header exactly and collectively cover the stated intent to improve community health indicators via policy integration (Health-in-all-policies), capacity/access expansion, medical education/infrastructure, and local wellness facilities. The main gap is that none of these are specified with measurable deliverables (e.g., how much capacity, how many centers) or timelines, which limits whether the parent goal can be tracked.",0.85,"The sub-actions are complementary: they span upstream policy integration/partnerships, acute-care capacity, workforce/training infrastructure (UNLV School of Medicine), and community-level prevention/access (wellness centers). There is no internal contradiction, but the plan lacks sequencing detail (e.g., whether partnerships enable capacity/wellness delivery).",No,No,No,No,structural header,"no numeric targets, no deadlines/years, improve/increase/develop language without quantities, no named delivery mechanism (ordinance/program/funding)","Focus on tangible service/infrastructure areas (hospital/ICU capacity, UNLV School of Medicine build-out, Health and Wellness Centers)",WEAK,0.6,"1) The initiative aims to improve community health indicators through a mix of cross-sector policy integration (Health-in-all-policies), strengthened public-health partnerships, expanded hospital/ICU capacity and access, completion of the UNLV School of Medicine build-out, and development of local Health and Wellness Centers. 2) Sub-action strength mix: 0 strong, 3 moderate (Actions 2–4 are tangible but unquantified), 1 weak (Action 1 is primarily process/partnership framing). 3) The parent text does not provide an inherited binding mechanism (e.g., ordinance/mandate) or a clear spatial scope (e.g., citywide or specific districts), so weaker elements are not lifted by enforceability or defined coverage. 4) Coverage is reasonably good because the subs directly restate the parent components, but measurability is missing across the cluster, which limits practical tracking; coherence is high because the components are complementary and non-contradictory. 5) Applying the initiative soundness rule: it fails SOUND because aggregate_measurability is 'No' and there is no 'strong' sub-action; it also fails PARTIAL because, while coverage is >= 0.4 and there are moderate sub-actions, there is no measurable target or deadline anywhere in the cluster. Therefore the initiative is WEAK, though it contains plausible action areas.",False,"[{'action_label': 'Action 1: Adopt Health-in-all-policies and strengthen partnerships with the Southern Nevada Health District.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'No', 'strength': 'weak'}, {'action_label': 'Action 2: Increase hospital and ICU capacity and improve healthcare access in medically underserved areas.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 3: Complete the build-out of the UNLV School of Medicine and leverage the Las Vegas Medical District.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}, {'action_label': 'Action 4: Develop local Health and Wellness Centers.', 'has_quantifiable_target': 'No', 'has_timeline': 'No', 'is_concrete_action': 'Yes', 'strength': 'moderate'}]",0,3,1
