policy_id,role,parent_statement,policy_statement,primary_category,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,Near-term climate action priorities for transportation.,Mitigation,policy_traces/000_Near_term_climate_action_priorities_for_transportation.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for transportation.
001,sub,Near-term climate action priorities for transportation.,"Develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.",Mitigation,policy_traces/001_Develop_and_release_a_strategy_to_address_congestion_and_tra.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for transportation.
002,sub,Near-term climate action priorities for transportation.,Pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,Mitigation,policy_traces/002_Pass_a_new_electric_vehicle_readiness_ordinance_in_2018_to_e.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for transportation.
003,sub,Near-term climate action priorities for transportation.,Release a map of optimal distribution of charging infrastructure in 2018 and use it to guide public and private investment with a focus on equitable distribution.,Mitigation,policy_traces/003_Release_a_map_of_optimal_distribution_of_charging_infrastruc.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for transportation.
004,sub,Near-term climate action priorities for transportation.,"Work with stakeholders to create recommendations for electrifying shared/for-hire fleets, determine a year after which all such vehicles must be electric, and prepare to permit only electric vehicles for for-hire use.",Mitigation,policy_traces/004_Work_with_stakeholders_to_create_recommendations_for_electri.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for transportation.
005,sub,Near-term climate action priorities for transportation.,Create a new Green Fleet Action Plan by the end of 2018 to accelerate electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,Mitigation,policy_traces/005_Create_a_new_Green_Fleet_Action_Plan_by_the_end_of_2018_to_a.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for transportation.
006,parent,,Near-term climate action priorities to assess GHG emissions impacts of City decisions.,Adaptation,policy_traces/006_Near_term_climate_action_priorities_to_assess_GHG_emissions_.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities to assess GHG emissions impacts of City decisions.
007,sub,Near-term climate action priorities to assess GHG emissions impacts of City decisions.,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments, with OSE to define scope and method by October 2018.",Mitigation,policy_traces/007_Issue_an_Executive_Order_directing_City_departments_to_asses.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities to assess GHG emissions impacts of City decisions.
008,parent,,Near-term climate action priorities for buildings.,Mitigation,policy_traces/008_Near_term_climate_action_priorities_for_buildings.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
009,sub,Near-term climate action priorities for buildings.,"Pursue state legislation to enable a tiered residential energy code, making it a City priority in the 2019 legislative session.",Mitigation,policy_traces/009_Pursue_state_legislation_to_enable_a_tiered_residential_ener.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
010,sub,Near-term climate action priorities for buildings.,"Create a new pilot program offering additional height and floor area incentives for up to 20 major renovations in exchange for deep reductions including no fossil fuels for heating, and adjust related incentives/penalties consistent with the 2030 Challenge.",Mitigation,policy_traces/010_Create_a_new_pilot_program_offering_additional_height_and_fl.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
011,sub,Near-term climate action priorities for buildings.,"Provide programs and incentives to improve efficiency and reduce emissions in commercial and multifamily buildings, backed by a minimum performance standard beginning in 2030.",Mitigation,policy_traces/011_Provide_programs_and_incentives_to_improve_efficiency_and_re.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
012,sub,Near-term climate action priorities for buildings.,Seattle City Light will pilot Energy Efficiency as a Service (EEaS) as part of whole-building programs to enable deeper energy efficiency in commercial buildings.,Mitigation,policy_traces/012_Seattle_City_Light_will_pilot_Energy_Efficiency_as_a_Service.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
013,sub,Near-term climate action priorities for buildings.,Double the City’s budget allocation from 2021–2025 and target an overall 40% energy and carbon emissions reduction in municipal buildings by 2025.,Mitigation,policy_traces/013_Double_the_Citys_budget_allocation_from_20212025_and_target_.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
014,sub,Near-term climate action priorities for buildings.,"OSE will propose recommendations to accelerate converting 18,000 homes from oil heat to electric heat pumps, including financing for low-income residents and public/private incentives.",Mitigation,policy_traces/014_OSE_will_propose_recommendations_to_accelerate_converting_18.json,trace_initiative_policies_valid.csv,parent_statement,Near-term climate action priorities for buildings.
015,individual,,Seattle adopted a community goal to become carbon neutral by 2050 and directed creation of a plan to meet the goal (Resolution 31312).,Mitigation,policy_traces/015_Seattle_adopted_a_community_goal_to_become_carbon_neutral_by.json,trace_individual_policies_valid.csv,policy_statement,Seattle adopted a community goal to become carbon neutral by 2050 and directed creation of a plan to meet the goal (Resolution 31312).
016,individual,,Seattle adopted a Resource Conservation Management Plan with a goal to reduce energy use across City-owned buildings by 20% by 2020 (2008 baseline).,Mitigation,policy_traces/016_Seattle_adopted_a_Resource_Conservation_Management_Plan_with.json,trace_individual_policies_valid.csv,policy_statement,Seattle adopted a Resource Conservation Management Plan with a goal to reduce energy use across City-owned buildings by 20% by 2020 (2008 baseline).
