policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Utah_United_States::d332d2c2c4f9e69151dfeb41,Utah_United_States::d332d2c2c4f9e69151dfeb41,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",Run Dining with Discretion to provide resources that empower residents to make low carbon food choices.,Mitigation,,policy_traces/001_Run_Dining_with_Discretion_to_provide_resources_that_empower.json,trace_initiative_policies_valid.csv,parent_statement,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",,,False,False,,,,,,
002,Utah_United_States::646a6b58a8234bd7015ecc23,Utah_United_States::646a6b58a8234bd7015ecc23,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",Support Excess SLC Food Recovery to divert consumable food waste from landfill to food assistance programs.,Mitigation,,policy_traces/002_Support_Excess_SLC_Food_Recovery_to_divert_consumable_food_w.json,trace_initiative_policies_valid.csv,parent_statement,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",,,False,False,,,,,,
003,Utah_United_States::3afe8a87af7bf41dc1263bed,Utah_United_States::3afe8a87af7bf41dc1263bed,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",Implement Green City Growers to expand community garden access by making City-owned/managed land available for development.,Nature-Based Solutions,,policy_traces/003_Implement_Green_City_Growers_to_expand_community_garden_acce.json,trace_initiative_policies_valid.csv,parent_statement,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",,,False,False,,,,,,
004,Utah_United_States::60d641a6497351eeb8291e18,Utah_United_States::60d641a6497351eeb8291e18,sub,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",Implement Salt Lake City FruitShare to divert surplus fruit from local trees to individuals with low access to healthy foods.,Mitigation,,policy_traces/004_Implement_Salt_Lake_City_FruitShare_to_divert_surplus_fruit_.json,trace_initiative_policies_valid.csv,parent_statement,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",,,False,False,,,,,,
006,Utah_United_States::356ae5cfd7cadcb99d206b8f,Utah_United_States::356ae5cfd7cadcb99d206b8f,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",Establish fee structures for residential waste and recycling services that encourage waste reduction.,Mitigation,,policy_traces/006_Establish_fee_structures_for_residential_waste_and_recycling.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",,,False,False,,,,,,
007,Utah_United_States::160cc0e44ad72677d1440f30,Utah_United_States::160cc0e44ad72677d1440f30,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",Expand composting capability in the city to enable food waste diversion.,Mitigation,,policy_traces/007_Expand_composting_capability_in_the_city_to_enable_food_wast.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",,,False,False,,,,,,
008,Utah_United_States::ba4314d86dc7bc55387172a8,Utah_United_States::ba4314d86dc7bc55387172a8,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",Work with local and state partners to develop a long-term plan for regional materials management and explore recycling market development opportunities.,Mitigation,,policy_traces/008_Work_with_local_and_state_partners_to_develop_a_long_term_pl.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",,,False,False,,,,,,
009,Utah_United_States::63820cdf9358021b4d56010d,Utah_United_States::63820cdf9358021b4d56010d,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",Require recycling of debris for major construction and renovation projects permitted by the City through the Construction and Demolition Ordinance.,Mitigation,,policy_traces/009_Require_recycling_of_debris_for_major_construction_and_renov.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",,,False,False,,,,,,
010,Utah_United_States::2584dd0795ed1b55b02418c7,Utah_United_States::2584dd0795ed1b55b02418c7,sub,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.","Require multi-family properties, businesses, and special events to implement recycling programs beginning in 2017 through the Business Recycling Ordinance.",Mitigation,,policy_traces/010_Require_multi_family_properties_businesses_and_special_event.json,trace_initiative_policies_valid.csv,parent_statement,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",,,False,False,,,,,,
012,Utah_United_States::1fcf4a5c3854c8c734abd95c,Utah_United_States::1fcf4a5c3854c8c734abd95c,sub,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.","Implement a Comprehensive Energy Management Executive Order requiring measures such as energy benchmarking, efficiency investments, facility operator training, and employee engagement to reduce energy waste and spur clean energy development.",Mitigation,M-1,policy_traces/012_Implement_a_Comprehensive_Energy_Management_Executive_Order_.json,trace_initiative_policies_valid.csv,parent_statement,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",,,False,False,,,,,,
013,Utah_United_States::52204e42900341755c69bc8d,Utah_United_States::52204e42900341755c69bc8d,sub,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.","Require new Salt Lake City government facilities above 10,000 square feet (with certain exceptions) to be constructed to Net Zero Energy standards and include onsite and/or offsite renewables to offset anticipated annual carbon emissions.",Mitigation,,policy_traces/013_Require_new_Salt_Lake_City_government_facilities_above_10000.json,trace_initiative_policies_valid.csv,parent_statement,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",,,False,False,,,,,,
014,Utah_United_States::7fe66692c157c9d457bb3df4::atom::0,Utah_United_States::7fe66692c157c9d457bb3df4,sub,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",Have at least 16 separate government properties that include renewable energy generation.,Mitigation,,policy_traces/014_Have_at_least_16_separate_government_properties_that_include.json,trace_initiative_policies_valid.csv,parent_statement,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",Utah_United_States::7fe66692c157c9d457bb3df4::atom::0,Utah_United_States::7fe66692c157c9d457bb3df4,True,False,,,,,,
015,Utah_United_States::7fe66692c157c9d457bb3df4::atom::1,Utah_United_States::7fe66692c157c9d457bb3df4,sub,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",Receive the equivalent of three megawatts of solar power through Rocky Mountain Power Subscriber Solar.,Mitigation,,policy_traces/015_Receive_the_equivalent_of_three_megawatts_of_solar_power_thr.json,trace_initiative_policies_valid.csv,parent_statement,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",Utah_United_States::7fe66692c157c9d457bb3df4::atom::1,Utah_United_States::7fe66692c157c9d457bb3df4,True,False,,,,,,
016,Utah_United_States::7fe66692c157c9d457bb3df4::atom::2,Utah_United_States::7fe66692c157c9d457bb3df4,sub,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",Achieve 50% renewable electricity for government operations.,Mitigation,,policy_traces/016_Achieve_50_renewable_electricity_for_government_operations.json,trace_initiative_policies_valid.csv,parent_statement,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",Utah_United_States::7fe66692c157c9d457bb3df4::atom::2,Utah_United_States::7fe66692c157c9d457bb3df4,True,False,,,,,,
