policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,Strategy 1 (Pillar 1): Retrofit buildings.,Mitigation,M-1,policy_traces/000_Strategy_1_Pillar_1_Retrofit_buildings.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 1): Retrofit buildings.
001,sub,Strategy 1 (Pillar 1): Retrofit buildings.,"Retrofit residential buildings with 4 or fewer units: retrofit 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.",Mitigation,M-1,policy_traces/001_Retrofit_residential_buildings_with_4_or_fewer_units_retrofi.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 1): Retrofit buildings.
002,sub,Strategy 1 (Pillar 1): Retrofit buildings.,Retrofit 20% of total 5+ unit residential buildings by 2030.,Mitigation,M-1,policy_traces/002_Retrofit_20_of_total_5_unit_residential_buildings_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 1): Retrofit buildings.
003,sub,Strategy 1 (Pillar 1): Retrofit buildings.,Retrofit 20% of total industrial buildings by 2030.,Mitigation,M-1,policy_traces/003_Retrofit_20_of_total_industrial_buildings_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 1): Retrofit buildings.
004,sub,Strategy 1 (Pillar 1): Retrofit buildings.,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,Mitigation,M-2,policy_traces/004_Retrofit_90_of_total_City_owned_and_sister_agency_owned_buil.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 1): Retrofit buildings.
005,parent,,Strategy 2 (Pillar 1): Connect communities to renewable energy.,Mitigation,,policy_traces/005_Strategy_2_Pillar_1_Connect_communities_to_renewable_energy.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 1): Connect communities to renewable energy.
006,sub,Strategy 2 (Pillar 1): Connect communities to renewable energy.,Install 5 megawatts of co-owned community solar projects by 2025.,Mitigation,M-1,policy_traces/006_Install_5_megawatts_of_co_owned_community_solar_projects_by_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 1): Connect communities to renewable energy.
007,sub,Strategy 2 (Pillar 1): Connect communities to renewable energy.,Increase Chicago-based community renewables to 20 megawatts by 2025.,Mitigation,M-1,policy_traces/007_Increase_Chicago_based_community_renewables_to_20_megawatts_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 1): Connect communities to renewable energy.
008,sub,Strategy 2 (Pillar 1): Connect communities to renewable energy.,Increase community renewables subscriptions so that low-income and/or environmental justice low-income residents achieve 25% subscribed by 2030.,Mitigation,,policy_traces/008_Increase_community_renewables_subscriptions_so_that_low_inco.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 1): Connect communities to renewable energy.
009,parent,,Strategy 1 (Pillar 2): Reduce waste and landfilling.,Mitigation,,policy_traces/009_Strategy_1_Pillar_2_Reduce_waste_and_landfilling.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
010,sub,Strategy 1 (Pillar 2): Reduce waste and landfilling.,Introduce community-wide organic waste collection and decomposition by 2025.,Mitigation,,policy_traces/010_Introduce_community_wide_organic_waste_collection_and_decomp.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
011,sub,Strategy 1 (Pillar 2): Reduce waste and landfilling.,Implement equitable waste source prevention strategies by 2030.,Mitigation,,policy_traces/011_Implement_equitable_waste_source_prevention_strategies_by_20.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
012,sub,Strategy 1 (Pillar 2): Reduce waste and landfilling.,"Divert 90% of commercial, industrial, and institutional waste by 2030.",Mitigation,,policy_traces/012_Divert_90_of_commercial_industrial_and_institutional_waste_b.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
013,sub,Strategy 1 (Pillar 2): Reduce waste and landfilling.,Divert 75% of construction and demolition waste by 2030.,Mitigation,,policy_traces/013_Divert_75_of_construction_and_demolition_waste_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
014,sub,Strategy 1 (Pillar 2): Reduce waste and landfilling.,Enable building design for disassembly and reuse by 2035.,Mitigation,,policy_traces/014_Enable_building_design_for_disassembly_and_reuse_by_2035.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
015,sub,Strategy 1 (Pillar 2): Reduce waste and landfilling.,Divert 90% of residential waste by 2040.,Mitigation,,policy_traces/015_Divert_90_of_residential_waste_by_2040.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 2): Reduce waste and landfilling.
016,parent,,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",Mitigation,,policy_traces/016_Strategy_1_Pillar_3_Make_walking_biking_or_transit_viable_op.json,trace_initiative_policies_valid.csv,parent_statement,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips."
017,sub,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",Expand high-quality and low-stress on-street bikeways and off-street trails.,Mitigation,,policy_traces/017_Expand_high_quality_and_low_stress_on_street_bikeways_and_of.json,trace_initiative_policies_valid.csv,parent_statement,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips."
018,sub,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",Increase Divvy bikes and shared micromobility trips 30% by 2030.,Mitigation,,policy_traces/018_Increase_Divvy_bikes_and_shared_micromobility_trips_30_by_20.json,trace_initiative_policies_valid.csv,parent_statement,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips."
019,sub,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.","Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040.",Mitigation,,policy_traces/019_Enable_Chicagoans_to_walk_bike_take_transit_or_use_shared_mi.json,trace_initiative_policies_valid.csv,parent_statement,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips."
020,parent,,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,Mitigation,M-2,policy_traces/020_Strategy_2_Pillar_3_Increase_transit_performance_and_encoura.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.
021,sub,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,"Update land use policies to encourage sustainable development, accessibility, and street safety by 2023.",Mitigation,,policy_traces/021_Update_land_use_policies_to_encourage_sustainable_developmen.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.
022,sub,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,Expand use of commuter benefits by 2024.,Mitigation,M-2,policy_traces/022_Expand_use_of_commuter_benefits_by_2024.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.
023,sub,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,Require transportation demand management plans for new development by 2025.,Mitigation,,policy_traces/023_Require_transportation_demand_management_plans_for_new_devel.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.
024,sub,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,Update citywide car and bike parking requirements by 2025.,Mitigation,M-2,policy_traces/024_Update_citywide_car_and_bike_parking_requirements_by_2025.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.
025,sub,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,Increase CTA ridership 20% by 2030.,Mitigation,,policy_traces/025_Increase_CTA_ridership_20_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.
026,parent,,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,Mitigation,,policy_traces/026_Strategy_3_Pillar_3_Enable_zero_emission_transit_and_fleets.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.
027,sub,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,"Enable electric freight loading docks at commercial and industrial buildings, addressing new buildings by 2025 and existing buildings by 2030.",Mitigation,,policy_traces/027_Enable_electric_freight_loading_docks_at_commercial_and_indu.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.
028,sub,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,Support equitable electrification of ride-hail and taxi fleets by 2030.,Mitigation,,policy_traces/028_Support_equitable_electrification_of_ride_hail_and_taxi_flee.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.
029,sub,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,Enable 100% electrification of delivery fleets by 2035.,Mitigation,M-3,policy_traces/029_Enable_100_electrification_of_delivery_fleets_by_2035.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.
030,sub,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,Electrify 100% of the City's fleet by 2035.,Mitigation,M-3,policy_traces/030_Electrify_100_of_the_Citys_fleet_by_2035.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.
031,sub,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.,Achieve zero-emission transit fleets across Chicagoland by 2040.,Mitigation,,policy_traces/031_Achieve_zero_emission_transit_fleets_across_Chicagoland_by_2.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 3 (Pillar 3): Enable zero-emission transit and fleets.
032,parent,,Strategy 1 (Pillar 4): 100% clean renewable energy.,Mitigation,M-2,policy_traces/032_Strategy_1_Pillar_4_100_clean_renewable_energy.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 4): 100% clean renewable energy.
033,sub,Strategy 1 (Pillar 4): 100% clean renewable energy.,"Aggregate 5,000 megawatts of clean renewable energy within a 250-mile radius of Chicago by 2030.",Mitigation,M-1,policy_traces/033_Aggregate_5000_megawatts_of_clean_renewable_energy_within_a_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 4): 100% clean renewable energy.
034,sub,Strategy 1 (Pillar 4): 100% clean renewable energy.,Install 30 megawatts of clean renewable energy projects on City property by 2030.,Mitigation,M-1,policy_traces/034_Install_30_megawatts_of_clean_renewable_energy_projects_on_C.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 4): 100% clean renewable energy.
035,sub,Strategy 1 (Pillar 4): 100% clean renewable energy.,Achieve 100% clean renewable energy community-wide by 2035.,Mitigation,,policy_traces/035_Achieve_100_clean_renewable_energy_community_wide_by_2035.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 1 (Pillar 4): 100% clean renewable energy.
036,parent,,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,Mitigation,,policy_traces/036_Strategy_2_Pillar_4_Enable_building_and_personal_vehicle_ele.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.
037,sub,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,Enact policies that support electrified renovations and new construction by 2023.,Mitigation,,policy_traces/037_Enact_policies_that_support_electrified_renovations_and_new_.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.
038,sub,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,Electrify 30% of total existing residential buildings by 2035.,Mitigation,,policy_traces/038_Electrify_30_of_total_existing_residential_buildings_by_2035.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.
039,sub,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.,Electrify 90% of total existing City-owned buildings by 2035.,Mitigation,M-3,policy_traces/039_Electrify_90_of_total_existing_City_owned_buildings_by_2035.json,trace_initiative_policies_valid.csv,parent_statement,Strategy 2 (Pillar 4): Enable building and personal vehicle electrification.
