cluster_id,cluster_type,role,section_header,sector,policy_statement,parent_statement,verbatim_text,extraction_rationale,policy_type,parent_policy_name,validation_result,confidence_score,validation_reasoning,final_verdict,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,initiative_name,initiative_result,confidence_score_init,coverage_score,coherence_score,aggregate_measurability,has_implementation_pathway,inherited_binding_mechanism,inherited_spatial_scope,subs_strong,subs_moderate,subs_weak,final_verdict_init,initiative_reasoning,trace_type,trace_id,trace_path,sub_index,sub_action_label,sub_strength,sub_has_quantifiable_target,sub_has_timeline,sub_is_concrete_action
0,individual,individual,Letter from the MAYOR,Cross-sector,"Invest $188 million in equity-focused climate interventions, including building retrofits, expansion of the air quality monitoring network, and planting over 75,000 trees.",,"To kickstart the implementation of my administration's climate strategy, we are investing $188 million in equity-focused interventions, spanning building retrofits, the expansion of the air quality monitoring network, to the planting of over 75,000 trees.",Explicit resource allocation ($188 million) tied to specific interventions; qualifies as a policy commitment.,individual,,NON-SOUND,0.4,"Quantifiable target: Present via ""planting of over 75,000 trees"" (measurable output). Budget alone (""$188 million"") is not counted as a quantifiable outcome, but the tree-count is. Timeline: No explicit deadline/year is stated; phrases like ""To kickstart"" indicate near-term intent but not an auditable date, so has_timeline='No'. Binding mechanism: No ordinance/mandate/requirement is described; it is framed as an investment commitment (""we are investing""), so has_binding_mechanism='No'. Spatial specificity: No location/scope (e.g., citywide, specific neighborhoods) is specified, so 'No'. Language strength: ""we are investing"" and ""planting of over 75,000 trees"" indicates a concrete action with a hard number, so strong_language_detected='Yes'. Weak language: No terms like ""encourage""/""explore""/""aim"" appear, so weak_language_detected='No'. STRICT VALID RULE fails because gold standard requires has_timeline='Yes' AND has_quantifiable_target='Yes'; timeline is missing, therefore validation_result='NON-SOUND'. Confidence is capped at 0.4 due to has_timeline='No' for an individual policy.",False,Yes,No,No,No,No,Yes,,,,,,,,,,,,,,,individual,ind:0,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
1,individual,individual,TREE EQUITY,AFOLU,"Plant 75,000 trees by 2026.",,"Together with city departments and community partners, Chicago has the goal of planting 75,000 trees by 2026.","Quantified target with deadline (75,000 trees by 2026).",individual,,NON-SOUND,0.78,"Quantifiable target: Yes — ""planting 75,000 trees"" is a measurable outcome. Timeline: Yes — ""by 2026"" provides an explicit deadline/year. Binding mechanism: No — the text does not mention an ordinance, requirement, mandate, or enforcement mechanism; it is framed as ""the goal of"". Spatial specificity: Yes — applies to ""Chicago"" (named jurisdiction). Weak language: Yes — ""has the goal of"" indicates aspiration rather than obligation. Strong language: No — no enforceable verbs like ""require""/""mandate"" are used (""goal"" framing dominates). STRICT VALID RULE check: Although it meets gold standard (timeline+quant target), it fails language strength because weak_language_detected='Yes' and has_binding_mechanism='No', so result is NON-SOUND.",False,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,individual,ind:1,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
2,individual,individual,GHG REDUCTION TARGETS / ACCOUNTABILITY AND IMPLEMENTATION,Cross-sector,Reduce Chicago's GHG emissions by a minimum of 62% by 2040 based on 2017 inventory levels.,,"The 2022 CAP aims to chart an equitable path to reduce Chicago's GHG emissions by a minimum of 62% by 2040.

Guided by the strategies and actions of this plan, the City of Chicago aims to reduce the city's level of GHG emissions by 62% by 2040, based on 2017 GHG inventory levels.",Quantifiable economy-wide emissions reduction target with year.,individual,,NON-SOUND,0.78,"Quantifiable target: Yes — the text specifies 'reduce Chicago's GHG emissions by a minimum of 62%'. Timeline: Yes — it states 'by 2040'. Spatial specificity: Yes — applies to 'Chicago' / 'the city'. Binding mechanism: No — the passage describes a plan and does not cite any ordinance, mandate, regulation, or enforceable requirement; it uses aspirational framing. Weak language: Yes — 'aims to chart' and 'the City of Chicago aims to reduce' indicate aspiration rather than a binding commitment. Strong language: No — no verbs like 'require/mandate/shall' accompany the target. STRICT VALID RULE check: while the policy is auditable and meets the gold standard (timeline + quantifiable target), it fails the language-strength criterion because weak language is present and there is no binding mechanism; therefore NON-SOUND.",False,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,individual,ind:2,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
3,individual,individual,The Role of Offsets,Cross-sector,Do not count carbon offset credits toward Chicago’s 62% GHG reduction goal; prioritize reducing the City's own emissions before action beyond its borders.,,"Chicago will not count offset credits toward its 62% GHG reduction goal achievement. Furthermore, the City will reduce its own emissions before taking action beyond its borders.",Clear policy rule restricting use of offsets for meeting the target.,individual,,NON-SOUND,0.4,"Quantifiable target: The text says, ""will not count offset credits toward its 62% GHG reduction goal achievement"" but does not set a measurable outcome for this specific policy (it constrains accounting; it does not specify an auditable numeric deliverable such as '0 offsets used starting in year X' or a quantified reduction amount). Therefore has_quantifiable_target=No under the strict requirement for a measurable outcome in the policy itself.
Timeline: No explicit year/deadline is provided; statements are general (""will not count"", ""will reduce"") with no 'by 20XX'. Therefore has_timeline=No.
Binding mechanism: The excerpt does not cite an ordinance, regulation, code change, or enforceable mandate—only an intention statement. Therefore has_binding_mechanism=No.
Spatial specificity: Applies to ""Chicago"" / ""the City"" (""Chicago will not count..."", ""the City will reduce its own emissions""). Therefore has_spatial_specificity=Yes.
Language strength: Uses firm commitment language ""will not count"" and ""will reduce"". Therefore strong_language_detected=Yes.
Weak language: No 'encourage/explore/aim' phrasing is present. Therefore weak_language_detected=No.
STRICT VALID RULE: Fails because has_timeline=No AND has_quantifiable_target=No, so validation_result=NON-SOUND. Confidence capped at 0.4 due to missing timeline/quantifiable target.",False,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,,individual,ind:3,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
4,individual,individual,CLIMATE FINANCING AND DELIVERY CAPACITY,Buildings,"Benchmarking Ordinance (2013) requiring covered buildings (50,000 sq ft and larger) to track and annually report energy use to the City and verify data accuracy every three years; expanded in 2019 via Chicago Energy Rating System requiring on-site display of ratings.",,"Benchmarking Ordinance, 2013: This ordinance supports greater transparency on energy usage across the building sector. Existing municipal, commercial, and residential buildings that are 50,000 square feet and larger are called to track energy use, report to the City annually, and verify data accuracy every three years. Chicago's benchmarking program was expanded in 2019 with the Chicago Energy Rating System, which assigns an energy rating to covered buildings based on their reporting and requires buildings to display the rating in a prominent location onsite.",Binding mechanism (ordinance) with clear requirements and thresholds.,individual,,NON-SOUND,0.4,"Quantifiable target (OUTCOME): No. The text requires actions (""track energy use, report to the City annually"") but gives no measurable outcome such as an emissions/energy reduction percentage, absolute reduction, or efficiency target.
Timeline: Yes. It includes explicit recurring deadlines: ""report to the City annually"" and ""verify data accuracy every three years"" (also references expansion year ""expanded in 2019"").
Binding mechanism: Yes. It is explicitly an ""Ordinance"" and states requirements, including ""requires buildings to display the rating"".
Spatial specificity: Yes. Applies to ""Existing municipal, commercial, and residential buildings"" in Chicago that are ""50,000 square feet and larger"" (city jurisdiction implied by ""report to the City"" and named Chicago programs).
Weak language: Yes. Uses non-mandatory phrasing in part: buildings ""are called to track energy use"".
Strong language: Yes. Uses mandatory phrasing: ""requires buildings to display the rating"" and specifies firm compliance frequencies (annual; every three years).
STRICT VALID RULE check: Fails gold standard because has_quantifiable_target='No' (even though timeline and binding mechanism are present). Therefore validation_result = NON-SOUND. Confidence capped at 0.4 due to missing quantifiable outcome target.",False,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,individual,ind:4,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
5,individual,individual,CLIMATE FINANCING AND DELIVERY CAPACITY,Transport,EV Readiness Ordinance (2020) requiring specified new buildings to provide 20% of parking spaces as EV-ready (5+ unit residential with on-site parking; non-residential with 30+ spaces).,,"EV Readiness Ordinance, 2020: This ordinance requires new construction of a residential building with 5 or more units and on-site parking to have 20% of parking spaces EV Ready, and in non-residential buildings with 30 or more parking spaces to provide 20% of parking spaces as EV ready.",Binding mechanism (ordinance) with explicit percentage requirements and applicability thresholds.,individual,,NON-SOUND,0.4,"Quantifiable target: Yes — the ordinance 'requires...to have 20% of parking spaces EV Ready' and 'provide 20% of parking spaces as EV ready.' Timeline: No — while it is titled 'EV Readiness Ordinance, 2020', the text does not state an explicit deadline such as 'by 2025/2030'; it applies upon 'new construction' without a dated compliance requirement. Binding mechanism: Yes — explicitly described as an 'ordinance' and uses 'requires'. Spatial specificity: Yes — applies to 'new construction of a residential building with 5 or more units and on-site parking' and 'non-residential buildings with 30 or more parking spaces'. Weak language: No — no 'encourage/explore/aim' phrasing. Strong language: Yes — 'requires' with a hard numeric requirement '20%'. STRICT VALID RULE fails because has_timeline != 'Yes' (gold standard not met), so result is NON-SOUND and confidence is capped at 0.4.",False,Yes,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,individual,ind:5,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
6,individual,individual,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,Buildings,Chicago Recovery Plan climate investment: Decarbonize Affordable Multifamily Buildings program to retrofit and decarbonize 200 multifamily affordable housing units in underserved communities using $6 million.,,Decarbonize Affordable Multifamily Buildings | $6 million | Retrofit and decarbonize 200 multifamily affordable housing units in underserved communities.,Resource allocation ($6M) with quantified deliverable (200 units).,individual,,NON-SOUND,0.4,"Quantifiable target: Yes — the text states, ""Retrofit and decarbonize 200 multifamily affordable housing units,"" which is a measurable outcome (200 units). Timeline: No — there is no explicit deadline/year (no 'by 20XX' or date) in ""Decarbonize Affordable Multifamily Buildings | $6 million | Retrofit and decarbonize 200 multifamily affordable housing units in underserved communities."" Binding mechanism: No — the line item does not indicate an enforceable mandate/ordinance/requirement; it reads as a program investment description only. Spatial specificity: Yes — it specifies the beneficiary/location scope as ""in underserved communities."" Language strength: Strong language detected Yes — ""Retrofit and decarbonize"" is an action verb tied to a hard number (200 units). Weak language detected No — no words like 'encourage'/'explore'/'aim' appear. Strict rule outcome: Fails because has_timeline='No' even though has_quantifiable_target='Yes', so validation_result is NON-SOUND and confidence is capped at 0.4.",False,Yes,No,No,Yes,No,Yes,,,,,,,,,,,,,,,individual,ind:6,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
7,individual,individual,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,Buildings,Chicago Recovery Plan climate investment: Low- or Moderate-Income (LMI) Housing Retrofits program to retrofit and decarbonize 250 LMI homes in underserved communities using $15 million.,,Low- or Moderate-Income (LMI) Housing Retrofits | $15 million | Retrofit and decarbonize 250 LMI homes in underserved communities.,Resource allocation ($15M) with quantified deliverable (250 homes).,individual,,NON-SOUND,0.4,"Quantifiable target: Yes — the text states “Retrofit and decarbonize 250 LMI homes,” which is a measurable outcome (250 homes). Timeline: No — there is no deadline/year/by-when date in “Low- or Moderate-Income (LMI) Housing Retrofits | $15 million | Retrofit and decarbonize 250 LMI homes in underserved communities.” Binding mechanism: No — the text does not indicate an enforceable mandate/ordinance/requirement; it reads as a program/investment line item. Spatial specificity: Yes — it applies to “underserved communities” (and targets “LMI” households). Language strength: Strong language detected = Yes because it uses action verbs “Retrofit and decarbonize” tied to a hard number (250). Weak language detected = No because it does not use hedging verbs like “encourage,” “explore,” or “aim.” STRICT VALID RULE check: fails Gold Standard because has_timeline='No' (even though has_quantifiable_target='Yes'); therefore overall is NON-SOUND. Confidence capped at 0.4 due to missing timeline.",False,Yes,No,No,Yes,No,Yes,,,,,,,,,,,,,,,individual,ind:7,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
8,individual,individual,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,AFOLU,"Chicago Recovery Plan climate investment: Expand Canopy Coverage program to plant 75,000 trees over 5 years using $46 million.",,"Expand Canopy Coverage | $46 million | Plant 75,000 trees over 5 years in underserved community areas.","Budgeted program with quantified deliverable (75,000 trees) and timeframe (5 years).",individual,,VALID,0.86,"Quantifiable target: Yes — the text states ""Plant 75,000 trees"" (measurable output). Timeline: Yes — the text states ""over 5 years"" (explicit timeframe). Binding mechanism: No — the line item describes an investment/program expansion but does not cite an enforceable ordinance/mandate/code requirement. Spatial specificity: Yes — applies ""in underserved community areas"" (defined target areas). Weak language: No — no 'encourage/aim/explore' phrasing; it is a direct commitment to plant trees. Strong language: Yes — uses action verb ""Plant"" paired with a hard number ""75,000"" and a timeframe ""over 5 years"". Strict valid rule: (1) auditable commitment satisfied by planting 75,000 trees; (2) gold standard satisfied (timeline Yes + quantifiable target Yes); (3) language strength satisfied because weak_language_detected is No (binding mechanism not required).",True,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,,,,,individual,ind:8,outputs/policy_pipeline_v4/traces/individual_policy_traces.jsonl,,,,,,
9,parent_with_subs,parent,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",,"1 Increase access to utility savings and renewable energy, prioritizing households | 1. Retrofit buildings | A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households B. Retrofit 20%of total 5+ unit residential buildings by 2030 C. Retrofit 20%of total industrial buildings by 2030 D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035 E. Retrofit 20%of total commercial buildings by 2035",A named strategy with multiple lettered sub-actions and quantified targets; extract as parent plus sub-policies.,parent,,,,,,,,,,,,Pillar 1 | Strategy 1. Retrofit buildings,SOUND,0.82,0.9,0.95,Yes,Yes,No,No,5.0,0.0,0.0,True,"This initiative aims to increase access to utility savings/renewable energy by retrofitting buildings, with distinct targets for major building segments (small residential, multifamily, industrial, public/sister-agency, commercial). All 5 sub-actions are strong (5 strong / 0 moderate / 0 weak) because each contains (i) a concrete retrofit action, (ii) a quantifiable target (% of stock), and (iii) an explicit deadline year. The parent text does not provide an enforceable mechanism (ordinance/regulation) or explicit geographic scope to inherit, but the cluster remains highly measurable and operationally oriented. Coverage is high because the actions map directly onto the parent’s stated building categories; coherence is high because the actions are segmented and timelines are compatible (2030/2035 with an additional 2040 milestone). Applying the initiative soundness rule: coverage_score (0.9) >= 0.6, coherence_score (0.95) >= 0.5, aggregate_measurability is Yes, at least half of sub-actions are strong/moderate (all are), and at least one is strong (many are) → SOUND; therefore final_verdict is True given confidence_score 0.82.",initiative,init:Pillar 1 | Strategy 1. Retrofit buildings:parent,outputs/policy_pipeline_v4/traces/initiative_parent_sub_traces.jsonl,,,,,,
