policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Memphis_Tenesse_United_States::e218ce68de6dd06883f0b45e,Memphis_Tenesse_United_States::e218ce68de6dd06883f0b45e,sub,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).","Implement green building standards by 2022 with 100% compliance by 2025, including requiring new municipal buildings and major renovations to meet LEED Silver or Net Zero Energy standards and adopting improved green building/energy codes.",Mitigation,,policy_traces/001_Implement_green_building_standards_by_2022_with_100_complian.json,trace_initiative_policies_valid.csv,parent_statement,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",,,False,False,,,,,,
002,Memphis_Tenesse_United_States::aa22fcfadd6c21868dee8583,Memphis_Tenesse_United_States::aa22fcfadd6c21868dee8583,sub,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",Expand weatherization/retrofit programs for low-income housing to increase the number of low-income residences served annually by 500% over 10 years and target a 30% reduction in household energy use.,Mitigation,,policy_traces/002_Expand_weatherizationretrofit_programs_for_low_income_housin.json,trace_initiative_policies_valid.csv,parent_statement,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",,,False,False,keep,0.93,True,,,False
003,Memphis_Tenesse_United_States::c7cf71363789ae7be9608bdd,Memphis_Tenesse_United_States::c7cf71363789ae7be9608bdd,sub,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",Enhance and expand energy outreach and education programs to achieve a 10% or greater reduction in average electricity consumption in the residential and commercial sectors.,Mitigation,,policy_traces/003_Enhance_and_expand_energy_outreach_and_education_programs_to.json,trace_initiative_policies_valid.csv,parent_statement,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",,,False,False,keep,0.9,True,,,False
004,Memphis_Tenesse_United_States::144425dc2ec27c67b96403b2,Memphis_Tenesse_United_States::144425dc2ec27c67b96403b2,sub,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).","Replace all existing non-LED streetlights and leased outdoor lighting with LED bulbs by 2030 or sooner, beginning in 2025.",Mitigation,,policy_traces/004_Replace_all_existing_non_LED_streetlights_and_leased_outdoor.json,trace_initiative_policies_valid.csv,parent_statement,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",,,False,False,keep,0.93,True,,,False
005,Memphis_Tenesse_United_States::bcb07a69614678626d05b505,Memphis_Tenesse_United_States::bcb07a69614678626d05b505,sub,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).","Expand financing options for residential energy efficiency retrofits so that by 2025, 15% of all residences have energy-efficient space heating/cooling equipment and major appliances (including tariffed on-bill financing and advocacy for residential PACE and rebates).",Mitigation,M-2,policy_traces/005_Expand_financing_options_for_residential_energy_efficiency_r.json,trace_initiative_policies_valid.csv,parent_statement,"Improve energy efficiency of buildings and key infrastructure through a package of priority actions (green building standards, low-income efficiency, outreach/education, LED streetlights, and residential retrofit financing).",,,False,False,,,,,,
007,Memphis_Tenesse_United_States::bdec0e8114a9e8b4a4fa258a,Memphis_Tenesse_United_States::bdec0e8114a9e8b4a4fa258a,sub,"Transform the community energy supply through priority actions, including decarbonizing the electric grid with renewable energy.","Increase the percentage of carbon-free energy in the electricity supply to 80% by 2035 and 100% by 2050, focusing on renewable sources such as solar and wind, including implementing at least one community shared solar project with low-income subsidies by 2022.",Mitigation,,policy_traces/007_Increase_the_percentage_of_carbon_free_energy_in_the_electri.json,trace_initiative_policies_valid.csv,parent_statement,"Transform the community energy supply through priority actions, including decarbonizing the electric grid with renewable energy.",,,False,False,,,,,,
009,Memphis_Tenesse_United_States::6f7415156eea8d2bd4f4c6b7,Memphis_Tenesse_United_States::6f7415156eea8d2bd4f4c6b7,sub,"Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.",Increase urban tree canopy coverage countywide to 60% by 2050 through tree planting/replanting and related program and code measures.,Adaptation,,policy_traces/009_Increase_urban_tree_canopy_coverage_countywide_to_60_by_2050.json,trace_initiative_policies_valid.csv,parent_statement,"Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.",,,False,False,,,,,,
010,Memphis_Tenesse_United_States::42dc454a835ad6a2378408b6,Memphis_Tenesse_United_States::42dc454a835ad6a2378408b6,sub,"Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.","Identify and prioritize cross-cutting strategies that address climate change mitigation and adaptation, including implementing Mid-South Regional Resilience Plan projects upon completion and adoption and developing neighborhood-scale demonstration projects.",Adaptation,,policy_traces/010_Identify_and_prioritize_cross_cutting_strategies_that_addres.json,trace_initiative_policies_valid.csv,parent_statement,"Increase green infrastructure and community resilience through priority actions, including expanding the urban tree canopy and aligning mitigation and adaptation efforts.",,,False,False,,,,,,
012,Memphis_Tenesse_United_States::07b702e6d7e4343b8155de14,Memphis_Tenesse_United_States::07b702e6d7e4343b8155de14,sub,"Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).","Implement land use patterns that support active transportation and transit by implementing the Memphis 3.0 growth strategy and updating zoning/development codes to support walkable infill, mixed-use development and transit-oriented development.",Mitigation,,policy_traces/012_Implement_land_use_patterns_that_support_active_transportati.json,trace_initiative_policies_valid.csv,parent_statement,"Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",,,False,False,,,,,,
013,Memphis_Tenesse_United_States::0f08296ba9246078ed38a8e4,Memphis_Tenesse_United_States::0f08296ba9246078ed38a8e4,sub,"Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).","Create Complete Streets to convert 10% of vehicle trips to walking/bicycling by 2030 (starting in 2020) and increase to 40% of vehicle trips by 2050, including establishing a dedicated annual funding source of $20 million for pedestrian and bicycle safety improvements.",Mitigation,,policy_traces/013_Create_Complete_Streets_to_convert_10_of_vehicle_trips_to_wa.json,trace_initiative_policies_valid.csv,parent_statement,"Shift to low-carbon transportation modes and reduce reliance on motor vehicles through a package of priority actions (land use, complete streets, public transit, and demand management).",,,False,False,,,,,,
