location,policy_commitment,source_quote,has_measurable_target,has_deadline,has_legal_mandate,has_geographic_scope,extraction_notes,is_actionable,soundness_confidence,validation_reasoning,weak_language_detected,strong_language_detected,climate_strategy_type,additional_strategy_types,causal_mechanism,policy_instruments,classification_signals,classification_confidence,co_benefits_identified,classification_notes
miami_dade,"Miami-Dade County will cut communitywide greenhouse gas emissions 50% by 2030 from 2019 levels, and achieve net zero by 2050.","this plan describes work taking place on multiple fronts to cut MiamiDade's greenhouse gas emissions 50 percent by 2030 from 2019 levels,  with  the  goal  of  achieving  net  zero  by  2050.

This pledge is mobilizing communities to swiftly enact measures to reduce GHG emissions 50% by 2030 compared to 2019 levels and then progress forward to achieve net zero by 2050.",Yes — '50% by 2030 (from 2019)'; net zero by 2050,Yes — 50% by 2030; net-zero by 2050,No (County commitment / pledge; not presented as a legally binding ordinance in the excerpt),Yes — Miami-Dade County (communitywide),"Clear, numerical community target and repeated as the Strategy's core goal (quantifiable target). It is a stated County commitment (Race to Zero pledge) and frames the Strategy.",True,0.85,VALID,,,Mitigation,,Human activity → ↓ GHG emissions / ↑ carbon sinks → ↓ atmospheric forcing,Not specified in the text (mechanism is a target/pledge). Likely/typical mechanisms to meet the target could include: renewable energy deployment; electrification of transport and buildings; energy efficiency measures; fuel switching; carbon sequestration/offsets; and decarbonization of waste and industrial sectors.,"""cut ... greenhouse gas emissions 50% by 2030""; ""net zero by 2050""; ""reduce GHG emissions 50% by 2030 compared to 2019 levels""; ""pledge ... enact measures to reduce GHG emissions""",0.95,,
miami_dade,Retune 1.1 billion square feet of communitywide buildings by 2030.,RETUNE 1.1 BILLION SQUARE FOOTAGE OF COMMUNITY WIDE BUILDINGS BY 2030,Yes — Retune 1.1 billion sq ft by 2030,Yes — by 2030,"No (target stated; the text elsewhere recommends an ordinance, but this line is a target)",Yes — communitywide (Miami-Dade County),Explicit numerical target for retuning (quantifiable target and specific intervention).,True,0.85,VALID,,,Resource Efficiency,Mitigation,Same service → ↓ energy input (reduced energy consumption per service),Building tune-ups / retro-commissioning / recommissioning; HVAC controls optimization; operations & maintenance improvements; building automation tuning; efficiency measures (no explicit new construction or ecosystem action),"""Retune""; ""buildings""; ""communitywide""; ""1.1 billion square feet""; ""by 2030"" (implies building operational optimization/retro‑commissioning at scale)",0.9,GHG emissions reductions; reduced energy costs; peak load reduction; improved occupant comfort/indoor environmental quality,
miami_dade,"Retrofit 167,500 homes (prioritizing LMI households) to reduce energy costs by 28% by 2030.","RETROFIT 167,500 HOMES TO REDUCE ENERGY COSTS 28% PRIORITIZING LOW TO MODERATE INCOME (LMI) HOMES BY 2030","Yes — Retrofit 167,500 homes to reduce energy costs 28% by 2030",Yes — by 2030,No (stated target and prioritization; not shown as a legal mandate),"Yes — communitywide (Miami-Dade County), prioritizing Low- to Moderate-Income (LMI) homes","Specific numerical retrofit target and performance outcome for homes, prioritized for LMI households (quantifiable target + equity focus).",True,0.87,VALID,,,Resource Efficiency,Mitigation,Same service (housing thermal comfort/utility) → ↓ energy input/use per household,Home/building energy retrofits including insulation and air-sealing; window upgrades; HVAC/heating system upgrades or replacement; efficient appliances and lighting; energy audits; weatherization programs; targeted subsidies/grants or financing for LMI households; program outreach and prioritization,"""Retrofit 167; 500 homes""; ""reduce energy costs 28%""; ""homes""; ""prioritizing LMI""; ""by 2030""",0.95,Emissions reduction (lower GHGs); improved occupant comfort and indoor air quality; reduced energy poverty for LMI households; health benefits; lower peak demand and grid stress; local job creation in retrofit services,
miami_dade,"Install 61,725 kW of solar energy by 2030 on County buildings, land, and water.","INSTALL 61,725 KW OF SOLAR ENERGY BY 2030 ON COUNTY BUILDINGS, LAND, AND WATER EQUIVALENT TO 7,498 HOMES' ELECTRICITY USE FOR ONE YEAR","Yes — Install 61,725 kW on County buildings/land/water by 2030",Yes — by 2030,No (targeted installations and program participation; specific financing/programs are proposed elsewhere but not a binding law in this line),"Yes — on County buildings, land, and water (Miami-Dade County)",Solar-installation capacity targets are explicit numeric commitments distinguishing County assets from commercial/residential (quantifiable targets and specific interventions).,True,0.82,VALID,,,Mitigation,,Deployment of low-carbon electricity (solar PV) → ↓ fossil-fuel electricity generation → ↓ GHG emissions / ↓ atmospheric forcing,Deployment of solar photovoltaic (PV) systems on county assets — rooftop and ground-mounted solar; and floating/over-water solar installations; on-site renewable electricity generation to displace grid fossil generation,"""Install""; ""solar energy""; ""61; 725 kW""; ""by 2030""; ""on County buildings; land; and water""; ""equivalent to 7; 498 homes' electricity use""",0.95,Increased local energy resilience and reliability; reduced energy bills/cost savings; local air quality improvements; job creation in installation and maintenance,
miami_dade,"Install 794,000 kW of solar energy by 2030 on commercial and residential buildings.","INSTALL 794,000 KW OF SOLAR ENERGY BY 2030 ON COMMERCIAL AND RESIDENTIAL BUILDINGS EQUIVALENT TO 104,014 HOMES' ELECTRICITY USE FOR ONE YEAR","Yes — Install 794,000 kW on commercial and residential buildings by 2030",Yes — by 2030,No (target for installations across commercial and residential buildings; not presented as regulatory requirement),Yes — commercial and residential buildings across Miami-Dade County (communitywide),Large commercial/residential solar capacity target (quantifiable target and sectoral specificity).,True,0.78,VALID,,,Mitigation,,Increased deployment of renewable electricity (solar PV) → ↓ GHG emissions from power generation → ↓ atmospheric forcing,Deployment/installation of rooftop and building-integrated solar PV capacity; explicit capacity target (794; 000 kW) with a deadline (by 2030),"""Install 794; 000 kW of solar""; ""solar energy""; ""by 2030""; ""commercial and residential buildings""; ""equivalent to 104; 014 homes' electricity use""",0.95,Energy cost savings for households/businesses; improved energy security/resilience; local job creation in installation/maintenance; reduced air pollution,
miami_dade,Reduce the energy use intensity of new buildings 20% by 2030 below 2020 levels.,REDUCE THE ENERGY USE INTENSITY OF NEW BUILDINGS 20% BY 2030 BELOW 2020 LEVELS,Yes — Reduce EUI of new buildings 20% by 2030 below 2020 levels,Yes — by 2030 (relative to 2020 baseline),No (stated performance target; other text indicates County programs to require ULE for County buildings but this line is a target),Yes — new buildings in Miami-Dade County (communitywide/new construction),Clear numerical energy-performance target for new buildings (quantifiable target and specific intervention towards efficiency).,True,0.82,VALID,,,Resource Efficiency,Mitigation,Same service → DECREASED energy input,Building energy efficiency standards / codes; energy performance targets for new construction; mandatory energy use intensity benchmarking for new buildings,"""Reduce the energy use intensity""; ""new buildings""; ""20% by 2030 below 2020 levels""; energy performance target",0.92,Emissions reduction (lower CO2); lower energy bills / operating cost savings; reduced peak electricity demand; improved building performance,
miami_dade,All new County buildings will be Ultra-Low Energy (ULE) by 2030.,All new County buildings will be Ultra-Low Energy by 2030,Yes — all new County buildings will be Ultra-Low Energy by 2030 (performance standard),Yes — by 2030,Yes — County policy/administrative requirement (statement: 'All new County buildings will be Ultra-Low Energy by 2030'),Yes — County-owned new buildings (Miami-Dade County government operations),Direct County-level commitment that requires County construction to meet a specific standard (specific intervention and County-level administrative requirement).,True,0.9,VALID,,,Resource Efficiency,Mitigation,Same service → DECREASED energy input,Mandatory building performance/energy efficiency standard for new County buildings (ULE requirement); procurement/design requirements; building codes or internal county construction specifications to achieve ultra-low energy use (insulation/airtightness; high-efficiency HVAC; passive design; energy modelling/verification),"""Ultra-Low Energy (ULE)""; ""All new County buildings""; ""by 2030""; building performance/standard implication",0.92,Emissions reduction (lower operational GHGs); reduced energy bills/operational costs; improved occupant comfort/indoor environmental quality; reduced peak electricity demand,
miami_dade,Adopt a Building Performance Ordinance to ensure benchmarking and retuning of large existing buildings community-wide.,Adopt a Building Performance Ordinance to ensure benchmarking and retuning of large existing buildings community-wide,No (the ordinance is a binding mechanism; the benchmarking/retuning targets are separate items already captured),No explicit deadline in the quoted sentence (ordinance adoption proposed as action),Yes — proposed legal/regulatory mechanism ('Adopt a Building Performance Ordinance') to mandate benchmarking and retuning,Yes — large existing buildings community-wide in Miami-Dade County,Explicit proposed regulatory measure to ensure benchmarking and retuning of large buildings (binding mechanism / specific intervention).,True,0.8,VALID,,,Resource Efficiency,Mitigation,Same service → DECREASED energy input,Energy benchmarking and disclosure; mandatory building performance standards/ordinance; periodic building tune-ups/retuning (operational optimization); compliance/reporting requirements for large existing buildings,"""Building Performance Ordinance""; ""benchmarking""; ""retuning""; ""large existing buildings""; ""performance""",0.92,Emissions reduction (GHG savings); lower energy costs; reduced peak electricity demand; improved occupant comfort/indoor environment; potential public health benefits,
miami_dade,Shift 10% of transportation mode away from single-occupant vehicles by 2030.,SHIFT 10% OF TRANSPORTATION MODE AWAY FROM SINGLE OCCUPANT VEHICLES BY 2030,Yes — Shift 10% of transportation mode away from single occupant vehicles by 2030,Yes — by 2030,No (mode-shift target and planning objective; implementation requires multiple measures),Yes — communitywide (Miami-Dade County),Transport modal-shift numeric target (quantifiable target addressing mode share).,True,0.78,VALID,,,Mitigation,Resource Efficiency,Human activity (transport mode choice) → DECREASED GHG emissions,Mode‑shift target / target setting (10% shift away from SOVs); implies transport demand management measures such as expanded public transit; active‑transport infrastructure; carpooling/carpool priority; parking/pricing incentives; and travel behavior change programs (note: the statement itself is a mode‑share target rather than a specific implementation instrument),"""shift ... away from single-occupant vehicles""; ""transportation mode""; ""10% by 2030""",0.88,Reduced congestion; improved air quality; public health benefits (active travel); lower energy use per passenger; reduced road wear and parking demand; potential equity and cost savings for households,
miami_dade,Electrify the County fleet: 80% of light vehicles and 50% of public transit buses by 2030.,ELECTRIFY THE COUNTY FLEET: 80% OF LIGHT VEHICLES AND 50% OF PUBLIC TRANSIT BUSES BY 2030,Yes — 80% of light vehicles and 50% of public transit buses electrified by 2030,Yes — by 2030,Yes — County operational commitment/administrative policy to electrify its fleet (implied procurement/operational requirement),Yes — County fleet and public transit bus fleet (Miami-Dade County government operations/public transit),Explicit electrification targets for County fleet and buses (quantifiable targets and administrative/operational commitment).,True,0.93,VALID,,,Mitigation,,Human activity (fossil-fuel vehicles → EV adoption) → ↓ GHG emissions (vehicle sector) → ↓ atmospheric forcing,Fleet electrification targets / procurement mandate for electric vehicles; transition from internal-combustion vehicles to battery electric vehicles; (implied) deployment of vehicle charging infrastructure and phase-out schedule for ICE vehicles,"""Electrify the County fleet""; ""80% of light vehicles""; ""50% of public transit buses""; target year ""by 2030""; ""electrify""",0.95,Improved local air quality (reduced tailpipe pollutants); lower fuel/operating costs; reduced noise; potential energy-cost savings; potential long-term GHG reductions depending on grid decarbonization,
