policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
"Reduce San Francisco sector-based greenhouse gas emissions by at least 61% below 1990 levels by 2030 and achieve net-zero sector-based emissions by 2040 (at least a 90% reduction below 1990), sequestering any residual emissions through nature-based solutions.","By integrating these four climate justice commitments, the CAP proposes two ambitious and achievable climate emission reduction targets:
- An interim target of cutting sector-based emissions 61% below 1990 levels by 2030; and
- Net-zero sector-based emissions by 2040, a 90% reduction from 1990 levels

TABLE 5: 2021 CLIMATE ACTION TARGETS
By 2040, achieve net-zero emissions by reducing emissions at least 90%compared to 1990 levels and sequester any residual emissions through nature- based solutions",individual,,THE PATH TO REACH NET-ZERO BY 2040 / EMISSIONS TARGETS AND CLIMATE GOALS,Economy-wide,Citywide quantified emissions targets with deadlines and defined net-zero mechanism (90% reduction plus sequestration).,29,individual,individual,,"The verbatim text states explicit, measurable citywide (“sector-based”) GHG reduction targets with clear deadlines (2030 and 2040) and a defined net-zero approach (≥90% reduction plus sequestration of residuals). This is an auditable outcome commitment (emissions reductions) rather than a planning/process-only statement. Language is framed as targets (“target,” “achieve”), but the presence of hard numbers and years satisfies the gold-standard measurability requirements.",Yes,Yes,No,Yes,Yes,Yes,VALID,0.86,"AUDITABLE COMMITMENT: Yes—emissions reductions are concrete outcomes. Evidence: “cutting sector-based emissions 61% below 1990 levels by 2030” and “Net-zero sector-based emissions by 2040, a 90% reduction from 1990 levels,” plus “sequester any residual emissions through nature-based solutions.”
HAS_QUANTIFIABLE_TARGET: Yes—contains measurable outcomes: “61% below 1990 levels” and “at least 90% compared to 1990 levels.”
HAS_TIMELINE: Yes—explicit years: “by 2030” and “By 2040.”
HAS_SPATIAL_SPECIFICITY: Yes—applies to San Francisco/sector-based city inventory scope; evidence includes “sector-based emissions” in the CAP context and the policy statement pertains to San Francisco.
HAS_BINDING_MECHANISM: No—text describes what the CAP “proposes” and lists “targets,” but does not cite an ordinance/mandate/regulation.
WEAK_LANGUAGE: Yes—uses aspirational framing like “proposes” and “targets”: “the CAP proposes… targets.”
STRONG_LANGUAGE: Yes—includes directive outcome verb with hard numbers and dates: “achieve net-zero… by 2040” and “cutting… 61%… by 2030.”
STRICT VALID RULE: Passes because (1) auditable commitment is present, (2) both timeline and quantifiable target are present, and (3) despite some weak language, the commitment is still specific/measurable (and weak_language_detected is not disqualifying when commitments are gold-standard measurable).",True
Reduce consumption-based emissions by 40% below 1990 levels by 2030 and by 80% below 1990 levels by 2050 (expressed as less than 30 mtCO2e per household by 2030 and less than 10 mtCO2e per household by 2050).,"San Francisco is determined to reduce the impacts of these outsourced emissions and has set two targets:
- A 40% reduction in consumption-based emissions by 2030
- An 80% reduction in consumption-based emissions by 2050

TABLE 5: 2021 CLIMATE ACTION TARGETS
By 2030, reduce consumption-based emissions to less than 30 mtCO2e per household, equivalent to a 40% reduction compared to 1990 levels
By 2050, reduce consumption-based emissions to less than 10 mtCO2e per household, equivalent to an 80% reduction compared to 1990 levels",individual,,THE PATH TO REACH NET-ZERO BY 2040 / EMISSIONS TARGETS AND CLIMATE GOALS,Economy-wide,Quantified consumption-based emissions reduction targets with deadlines and per-household metrics.,30,individual,individual,,"The verbatim text states explicit, measurable outcome targets for consumption-based emissions (both % reductions from a 1990 baseline and absolute per-household mtCO2e levels) with clear deadlines (2030 and 2050) and city applicability (San Francisco). However, the excerpt frames these as “targets” and “determined,” without specifying an enforceable ordinance/mandate, so binding mechanism is not evidenced. Despite that, it meets the strict rule because it has both a quantifiable target and a timeline, and weak language does not undermine it (no “encourage/seek/explore” phrasing).",Yes,Yes,No,Yes,No,Yes,VALID,0.87,"AUDITABLE COMMITMENT: Yes—explicit emissions outcomes are stated (""reduce consumption-based emissions to less than 30 mtCO2e per household"" and ""less than 10 mtCO2e per household"").
QUANTIFIABLE TARGET: Yes—measurable targets include ""A 40% reduction in consumption-based emissions by 2030"" and ""An 80% reduction... by 2050,"" plus absolute thresholds ""less than 30 mtCO2e per household"" (2030) and ""less than 10 mtCO2e per household"" (2050).
TIMELINE: Yes—explicit years ""by 2030"" and ""by 2050"" are provided.
SPATIAL SPECIFICITY: Yes—applies to ""San Francisco"" (""San Francisco is determined..."").
BINDING MECHANISM: No—text describes ""set two targets"" but does not cite an ordinance, mandate, regulation, or code requirement.
WEAK LANGUAGE: No—while ""determined"" and ""set... targets"" appear, there is no 'encourage/explore/aim' phrasing that dilutes the commitment.
STRONG LANGUAGE: Yes—""reduce... by 2030/2050"" paired with hard numbers (40%, 80%, <30 mtCO2e/household, <10 mtCO2e/household). 
STRICT VALID RULE: Passes because has_timeline='Yes' AND has_quantifiable_target='Yes', and weak_language_detected='No'.",True
Supply 100% renewable electricity in San Francisco by 2025 and supply 100% renewable energy (no more fossil fuels) by 2040.,"TABLE 6: 2021 CLIMATE ACTION GOALS
ENERGY  By 2025, supplying 100% renewable electricity, and by 2040, supplying 100% renewable energy (no more fossil fuels).",individual,,EMISSIONS TARGETS AND CLIMATE GOALS,Energy,"Clear, dated renewable energy goals stated in the CAP goals table.",31,individual,individual,,"The verbatim text states two explicit, measurable outcome targets with clear deadlines: “By 2025, supplying 100% renewable electricity” and “by 2040, supplying 100% renewable energy (no more fossil fuels).” This is an auditable commitment (percent renewable supply) and includes spatial specificity implicitly via the policy_statement (“in San Francisco”). However, the excerpt is presented as a “goals” table and does not itself show a binding mechanism (e.g., ordinance/mandate). Despite that, it meets the strict gold standard (timeline + quantifiable target) and does not rely on weak, aspirational verbs.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: The text specifies ""supplying 100% renewable electricity"" and ""supplying 100% renewable energy (no more fossil fuels)"" which are measurable outcome targets (100%). Timeline: The text includes explicit deadlines ""By 2025"" and ""by 2040"". Binding mechanism: The excerpt is labeled ""2021 CLIMATE ACTION GOALS"" and does not cite an ordinance, mandate, requirement, or enforceable code change, so binding authority is not evidenced. Spatial specificity: The commitment is framed for the jurisdiction in the policy statement (San Francisco), and the goals table is part of that plan context, so location is specific to San Francisco. Weak language: No terms like ""encourage,"" ""explore,"" or ""aim"" appear; it is stated as a direct goal with dates. Strong language: The phrasing uses a definitive deliverable ""supplying 100%"" with hard numbers and dates.",True
Require zero onsite fossil fuel emissions from all new buildings by 2021; require zero onsite fossil fuel emissions from all large existing commercial buildings by 2035; and achieve zero emissions for all buildings by 2040.,"TABLE 6: 2021 CLIMATE ACTION GOALS
BUILDINGS  By 2021, requiring zero onsite fossil fuel emissions from all new buildings, and by 2035, requiring zero onsite fossil fuel emissions from all large existing commercial buildings.

## BUILDING OPERATIONS
## GOALS:
1) Zero emisisons new construction by 2021
2) All large commerical buildings are zero emissions by 2035
3) All buildings zero emissions by 2040",individual,,EMISSIONS TARGETS AND CLIMATE GOALS / BUILDING OPERATIONS GOALS,Buildings,"Mandate-style requirements with deadlines for new buildings, large commercial buildings, and all buildings.",32,individual,individual,,"The verbatim text states explicit building decarbonization requirements with clear deadlines and measurable outcomes (zero onsite fossil fuel emissions / zero emissions) for defined building categories. The language is directive (“requiring”) rather than aspirational, and it specifies timelines (2021, 2035, 2040). While it appears in a “goals” table (not explicitly an adopted ordinance), it is still an auditable commitment with quantified outcomes and dates, so it meets the strict validity rule.",Yes,Yes,No,No,No,Yes,VALID,0.86,"AUDITABLE COMMITMENT: The text specifies concrete deliverables for building emissions performance, not a study/process: ""requiring zero onsite fossil fuel emissions from all new buildings"" and ""requiring zero onsite fossil fuel emissions from all large existing commercial buildings"" plus ""All buildings zero emissions"".
TIMELINE: Explicit deadlines are stated: ""By 2021"", ""by 2035"", and ""by 2040"".
QUANTIFIABLE TARGET: Measurable outcome is stated as an absolute emissions requirement: ""zero onsite fossil fuel emissions"" and ""zero emissions"" for defined building groups.
LANGUAGE STRENGTH: Strong, directive verb is used: ""requiring""; no hedging terms like encourage/aim/explore appear.
BINDING MECHANISM: The excerpt does not cite an ordinance/code/mandate adoption; it is presented as ""2021 CLIMATE ACTION GOALS"" and ""GOALS"", so enforceability is not evidenced.
SPATIAL SPECIFICITY: No explicit geographic applicability (e.g., citywide/jurisdiction name) is stated in the provided excerpt; only sector/building categories are specified.
STRICT VALID RULE CHECK: Passes because it has both timeline='Yes' and quantifiable_target='Yes', and weak_language_detected='No' (binding mechanism not required in that case).",True
"By 2030, achieve at least 80% of trips by low-carbon modes; electrify at least 25% of registered private vehicles by 2030 and 100% by 2040.","TABLE 6: 2021 CLIMATE ACTION GOALS
TRANSPORTATION  By 2030, an increase in low-carbon trips to at least 80%of all trips measured and an increase in the level of electrification of vehicles to at least 25%of all private vehicles registered, and by 2040, an increase in the level of electrification of vehicles to 100% of all private vehicles registered.

## TRANSPORTATION & LAND USE
## GOALS:
1) By 2030, 80% of trips taken by low-carbon modes
2) By 2030, at least 25% of all  vehicles registered in SF are electric, reaching 100% by 2040",individual,,EMISSIONS TARGETS AND CLIMATE GOALS / TRANSPORTATION & LAND USE GOALS,Transport,Quantified transport mode-share and EV adoption targets with explicit deadlines.,33,individual,individual,,"The verbatim text states explicit, measurable transportation outcomes with clear deadlines: mode share of low‑carbon trips and percentages of registered private vehicles that are electric by specified years. These are auditable targets (“at least 80%,” “at least 25%,” “100%”) tied to 2030 and 2040. The text reads as goals rather than an enforceable mandate/ordinance, so binding mechanism is not evidenced, but weak language is not dominant and the commitment is still specific and measurable.",Yes,Yes,No,Yes,No,Yes,VALID,0.88,"Quantifiable targets: The text specifies measurable outcomes: ""increase in low-carbon trips to at least 80% of all trips"" and ""electrification of vehicles to at least 25% of all private vehicles registered"" and ""to 100% of all private vehicles registered."" Timeline: Explicit deadlines are given: ""By 2030"" (for 80% low-carbon trips and 25% electrification) and ""by 2040"" (100% electrification). Binding mechanism: No ordinance/mandate/enforcement mechanism is cited; it is presented under ""CLIMATE ACTION GOALS"" / ""GOALS,"" so mark No. Spatial specificity: Applies to ""vehicles registered in SF"" (San Francisco), and mode share is framed for the jurisdiction’s trips; thus location is specified. Weak language: Not primarily framed as ""encourage/aim/explore""; it sets numeric goals, so mark No. Strong language: Contains firm target-setting with hard numbers and deadlines (""By 2030... at least 80%""; ""at least 25%... reaching 100% by 2040""), so mark Yes. STRICT VALID RULE: (1) Auditable deliverables present (mode share %, EV %). (2) Both timeline and quantifiable targets are Yes. (3) Weak language is No, so binding mechanism not required. Therefore VALID.",True
"Build at least 5,000 new housing units per year with no less than 30% affordable, emphasizing retention and rehabilitation of existing housing.","TABLE 6: 2021 CLIMATE ACTION GOALS
HOUSING  Building at least 5,000 new housing units per year with maximum affordability, including not less than 30%affordable units, and with an emphasis on retaining and rehabilitating existing housing.",individual,,EMISSIONS TARGETS AND CLIMATE GOALS,Housing,Quantified annual housing production target with affordability floor and stated emphasis on rehab/retention.,34,individual,individual,,"The verbatim text states a concrete, auditable annual housing production deliverable (“at least 5,000 new housing units per year”) and a quantifiable affordability requirement (“not less than 30% affordable units”). It also specifies the sector context (Housing) but does not name a geographic scope beyond being part of the plan, and it lacks an explicit deadline year (“by 2030,” etc.). The language is action-oriented (“Building”) but does not clearly establish a binding mechanism (e.g., ordinance/mandate).",Yes,No,No,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: Yes — the text specifies ""at least 5,000 new housing units per year"" and ""not less than 30% affordable units"". Timeline: No — it provides a rate (""per year"") but does not include an explicit deadline or year (e.g., ""by 2030""). Binding mechanism: No — the excerpt is framed as a goal in ""TABLE 6: 2021 CLIMATE ACTION GOALS"" and does not reference an ordinance, code requirement, mandate, or enforcement. Spatial specificity: No — no explicit geographic applicability (e.g., citywide, neighborhoods) is stated in the excerpt. Weak language: No — it does not use ""encourage/explore/aim""; it states a direct production goal. Strong language: Yes — action verb and hard numbers appear in ""Building at least 5,000..."" and ""not less than 30%"". STRICT VALID RULE fails because has_timeline is 'No' (gold standard requires both timeline and quantifiable target), so the policy is NON-SOUND under the rubric despite having measurable quantities.",False
"By 2030, reduce solid waste generation at least 15% below 2015 levels and reduce waste disposed by incineration or landfill at least 50% below 2015 levels.","TABLE 6: 2021 CLIMATE ACTION GOALS
ZEROWASTE  By 2030, a reduction in the generation of solid waste of at least 15% below 2015 levels and a reduction in the amount of solid waste disposed of by incineration or deposited in landfill of at least 50%below 2015 levels.

RESPONSIBLE PRODUCTION & CONSUMPTION
## GOALS:
By 2030:
1) Reduce solid waste generation 15% below 2015 levels
2) Reduce disposal to landfill 50% below 2015 levels",individual,,EMISSIONS TARGETS AND CLIMATE GOALS / RESPONSIBLE PRODUCTION & CONSUMPTION GOALS,Waste,Quantified waste reduction and landfill disposal targets with deadline.,35,individual,individual,,"The statement is an auditable outcome commitment in the Waste sector. The verbatim text specifies explicit quantified reductions (15% and 50% below a 2015 baseline) and an explicit deadline (“By 2030”). Language is directive/goal-like but includes hard targets, making it measurable; no clear binding mechanism (e.g., ordinance/mandate) is shown, but weak language is not dominant relative to the quantified commitments. Therefore it meets the strict validity rule (timeline + quantifiable target).",Yes,Yes,No,No,No,Yes,VALID,0.86,"Quantifiable target: Verbatim text states 'a reduction in the generation of solid waste of at least 15% below 2015 levels' and 'a reduction in the amount of solid waste disposed of by incineration or deposited in landfill of at least 50% below 2015 levels' (also repeated as 'Reduce solid waste generation 15% below 2015 levels' and 'Reduce disposal to landfill 50% below 2015 levels'). Timeline: Explicitly 'By 2030' is stated multiple times. Binding mechanism: No evidence of an ordinance/mandate/code requirement; it is presented as 'CLIMATE ACTION GOALS' and 'GOALS'. Spatial specificity: No location scope (e.g., citywide/jurisdiction/neighborhood) is specified in the provided excerpt. Weak language: Not primarily framed as 'encourage/aim/explore'; instead it uses outcome language 'Reduce' with numeric targets. Strong language: Presence of directive outcome verbs with hard numbers and deadline ('By 2030... reduction... at least 15%...' and '...at least 50%...'). Under the strict rule, it qualifies as VALID because it has both timeline and quantifiable targets and is an auditable outcome commitment, despite lacking an explicit binding mechanism.",True
"Sequester carbon through ecosystem restoration, including increased urban tree canopy, green infrastructure, and compost application.","TABLE 6: 2021 CLIMATE ACTION GOALS
ROOTS  Sequestering carbon through ecosystem restoration, including increased urban tree canopy, green infrastructure, and compost application.",individual,,EMISSIONS TARGETS AND CLIMATE GOALS,AFOLU,Explicit sequestration goal specifying nature-based solution types.,36,individual,individual,,"The statement describes a general goal to sequester carbon via ecosystem restoration approaches (urban tree canopy, green infrastructure, compost), but the verbatim text provides no measurable outcome (e.g., acres restored, % canopy increase, tons CO₂e sequestered) and no deadline/year. It reads as an aspirational goal rather than an auditable commitment, and there is no indication of a binding mechanism (ordinance/mandate) or spatial boundary beyond the implied “urban.”",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The text says only ""Sequestering carbon through ecosystem restoration, including increased urban tree canopy, green infrastructure, and compost application"" and provides no numeric outcome (no tons CO2e, acres, % canopy, or implementation counts).
Timeline: No. No deadline or year is stated in the verbatim text.
Binding mechanism: No. No enforceable instrument (e.g., ordinance, mandate, code requirement) is mentioned.
Spatial specificity: No. Aside from the adjective ""urban"" in ""urban tree canopy,"" there is no defined jurisdiction or area of application (e.g., citywide, specific neighborhoods).
Weak language: Yes. The phrasing is a high-level goal/gerund (""Sequestering carbon..."") without hard commitments or metrics.
Strong language: No. No required/mandated actions with numbers are present.
Therefore it fails the strict valid rule (missing both timeline and quantifiable target) and is NON-SOUND.",False
"Create a robust monitoring, evaluation, and reporting (MER) system (including a public-facing dashboard) and report on progress toward CAP targets/goals/strategies annually; formally update the CAP every five years.","The CAP must and will be revisited and updated regularly, with a formal update every five years.

To that end, the City will create a robust and accessible monitoring, evaluation, and reporting system to track and review the intended results and real progress of the targets, goals, strategies, and actions.

Ongoing and transparent reporting on key performance indicators, which is to occur annually, will be critical to measure progress against goals and allow for adjustments based on changing conditions. Future CAP updates will occur once every five years and will capture new and ongoing gaps and concerns.",individual,,TRANSPARENCY AND REPORTING / NEXT STEPS FOR IMPLEMENTING THE CAP,Economy-wide,Explicit commitment to create MER system with annual reporting and a defined five-year formal update cycle.,37,individual,individual,,"This is an actionable process commitment (create an MER system/dashboard, report annually, update the CAP every five years) with explicit timelines, but it lacks a quantifiable outcome target (it measures progress toward other targets rather than committing to a measurable emissions/implementation result itself). Under the strict rule for individual policies, missing a quantifiable target makes it NON-SOUND and caps confidence.",No,Yes,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text commits to processes (""create a ... monitoring, evaluation, and reporting system"" and reporting cadence) but does not specify a measurable outcome (e.g., % reduction, # retrofits). Timeline: Yes, explicit cadence/deadlines are stated: ""reporting ... is to occur annually"" and ""a formal update every five years"" / ""Future CAP updates will occur once every five years."" Binding mechanism: No, despite firm phrasing (""will create""), it does not cite an ordinance, mandate, or enforceable legal requirement. Spatial specificity: No explicit jurisdictional scope like 'citywide' is stated in the excerpt (references to ""the City"" are not treated as a named spatial qualifier). Weak language: No; statements are framed as commitments (""will create"", ""will be revisited"") rather than ""encourage/explore"". Strong language: No; while ""will"" appears, it is not paired with hard numeric performance targets.",False
Create an interdepartmental climate finance working group; develop detailed CAP action cost estimates; identify existing funding opportunities and gaps; investigate new/increased taxes; and pursue grants to fund CAP implementation.,"Overall, recommended next steps include:

1. Create an interdepartmental climate finance working group to assess the economic, social, political, and administrative viability of securing new funding sources.

2. Develop a detailed cost estimate for implementing CAP actions (beyond high-level estimates in the CAP).

3. Identify all opportunities to fund CAP strategies from existing funding sources and approved measures.

4. Assess which CAP strategies are not funded or partially funded to identify funding gaps.

5. Investigate a new tax (carbon tax, food tax) and/or increase existing taxes (sales tax, property tax) as a major contributor to reducing funding gaps.

6. Seek out and apply for relevant federal, state, and local grant opportunities...",individual,,FUNDING THE CAP,Economy-wide,"Specific implementation finance actions enumerated as recommended next steps, including potential new taxes and a formal working group.",38,individual,individual,,"The statement describes a set of “recommended next steps” focused on creating a working group and conducting costing, funding-gap assessment, tax investigation, and grant-seeking. These are largely process-oriented and exploratory actions. The verbatim text provides no deadline/year and no measurable outcome target (e.g., dollars raised by X date, number of grants applied for, adoption of a specific tax rate by a year). While the steps are clear, they are not auditable against a quantified target on a timeline, and they are not described as binding requirements.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text lists activities (e.g., ""Develop a detailed cost estimate"", ""Identify all opportunities"", ""Assess... funding gaps"", ""Investigate a new tax..."", ""Seek out and apply for... grant opportunities"") but provides no measurable outcome such as an amount of funding to secure, a tax rate to adopt, or a number of grants to win.
Timeline: No. There is no explicit deadline or year; it is framed as ""recommended next steps"" without dates.
Binding mechanism: No. The language does not indicate an enforceable mandate/ordinance; it says ""recommended next steps include"" and uses verbs like ""Create"", ""Develop"", ""Identify"", ""Assess"", ""Investigate"", ""Seek out and apply"" without any legal adoption signal.
Spatial specificity: No. No geography/jurisdictional scope is stated in the excerpt (e.g., citywide, specific communities).
Weak language: Yes. Phrasing such as ""recommended next steps"", ""assess... viability"", ""Investigate"" indicates exploratory/process actions rather than committed outcomes.
Strong language: No. While there are action verbs, there are no hard numbers or required performance levels.
Therefore it fails the strict rule (no timeline and no quantifiable target), so it is NON-SOUND.",False
