policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Budapest_Hungary::58f04bfb4e39a7e608957c16,Budapest_Hungary::58f04bfb4e39a7e608957c16,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M1: Refurbish and operate energy-consciously municipal buildings and facilities and those of public service providers, including planned refurbishments of multiple institutions by 2023 and continued fundraising for further modernization.",Mitigation,,policy_traces/001_M1_Refurbish_and_operate_energy_consciously_municipal_buildi.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,keep,0.86,True,,,False
002,Budapest_Hungary::f2fef910a4982c58d2708699,Budapest_Hungary::f2fef910a4982c58d2708699,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M2: Upgrade Budapest’s public lighting by replacing worn-out/outdated luminaires with LED technology, aiming for electricity savings of 18,242 MWh/year and CO2 mitigation of 4,200 tCO2/year by 2027 (implementation timeframe noted as 2026/2027).",Mitigation,,policy_traces/002_M2_Upgrade_Budapests_public_lighting_by_replacing_worn_outou.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,,,,,,
003,Budapest_Hungary::98c7029a6098185c30d2fb21,Budapest_Hungary::98c7029a6098185c30d2fb21,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M3: Implement a residential building refurbishment program (insulation, heating modernization, renewables) targeting renovation of one third of Budapest’s residential buildings by 2030, with estimated savings potential of 4,809,105 MWh/year and 981,977 tCO2/year.",Mitigation,,policy_traces/003_M3_Implement_a_residential_building_refurbishment_program_in.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,,,,,,
004,Budapest_Hungary::e43964b7591d68f09dead012,Budapest_Hungary::e43964b7591d68f09dead012,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M4: Promote photovoltaic deployment in Budapest to reach a potential total installed solar capacity of about 1,500 MW by 2030, with an estimated CO2 savings potential of about 467,224 tCO2/year (as per the measure’s indicator).",Mitigation,,policy_traces/004_M4_Promote_photovoltaic_deployment_in_Budapest_to_reach_a_po.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,,,,,,
005,Budapest_Hungary::e1d34c258e545c4b56399aa7,Budapest_Hungary::e1d34c258e545c4b56399aa7,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M5: Implement a district heating development program to refurbish and expand district heating assets and increase renewable/waste heat/cogeneration shares to qualify as 'efficient district heating and cooling', with multiple quantified component projects through 2030.",Mitigation,,policy_traces/005_M5_Implement_a_district_heating_development_program_to_refur.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,,,,,,
006,Budapest_Hungary::b1b179ba7dd35b5105cdd057,Budapest_Hungary::b1b179ba7dd35b5105cdd057,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M6: Conduct surveys and research (including detailed building modelling and databases, renewable potential assessment, and life-cycle analyses) to support planning for emissions reduction and renewable deployment, by 2022.",Adaptation,,policy_traces/006_M6_Conduct_surveys_and_research_including_detailed_building_.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,,,,,,
007,Budapest_Hungary::9d184040f9aba412ca9a9e38,Budapest_Hungary::9d184040f9aba412ca9a9e38,sub,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.","M7: Support industrial and tertiary-sector decarbonisation by providing information on best available technologies and assistance in finding financing, through 2030.",Mitigation,,policy_traces/007_M7_Support_industrial_and_tertiary_sector_decarbonisation_by.json,trace_initiative_policies_valid.csv,parent_statement,"Má-1 objective: Improve energy efficiency of buildings, industrial production and tertiary-sector facilities and increase the share of renewable energy.",,,False,False,,,,,,
009,Budapest_Hungary::39fe2519a694fb5668f58c8a,Budapest_Hungary::39fe2519a694fb5668f58c8a,sub,Má-2 objective: Improve energy efficiency of transport infrastructure and support and develop environmentally friendly transport modes.,"M8: Develop and modernize public transport and related systems to increase public transport modal share to 50% by 2030 (distance-based), including continued fleet modernization and service/infrastructure improvements.",Mitigation,,policy_traces/009_M8_Develop_and_modernize_public_transport_and_related_system.json,trace_initiative_policies_valid.csv,parent_statement,Má-2 objective: Improve energy efficiency of transport infrastructure and support and develop environmentally friendly transport modes.,,,False,False,,,,,,
010,Budapest_Hungary::3a98744362729e5f26ee25d6,Budapest_Hungary::3a98744362729e5f26ee25d6,sub,Má-2 objective: Improve energy efficiency of transport infrastructure and support and develop environmentally friendly transport modes.,"M9: Expand and improve cycling and pedestrian infrastructure to increase cycling share to 5% and walking share to 15% by 2030 (distance-based), including core network development and supporting facilities (bike stands, B+R, MOL Bubi expansion).",Mitigation,,policy_traces/010_M9_Expand_and_improve_cycling_and_pedestrian_infrastructure_.json,trace_initiative_policies_valid.csv,parent_statement,Má-2 objective: Improve energy efficiency of transport infrastructure and support and develop environmentally friendly transport modes.,,,False,False,,,,,,
011,Budapest_Hungary::cca663b9c3d44c2ff5357b59,Budapest_Hungary::cca663b9c3d44c2ff5357b59,sub,Má-2 objective: Improve energy efficiency of transport infrastructure and support and develop environmentally friendly transport modes.,"M10: Facilitate uptake of electric/low-emission vehicles by supporting incentives (e.g., free parking initially) and establishing/supporting public charging infrastructure, targeting 30% (225,000) vehicles of environmental class 5 by 2030.",Mitigation,,policy_traces/011_M10_Facilitate_uptake_of_electriclow_emission_vehicles_by_su.json,trace_initiative_policies_valid.csv,parent_statement,Má-2 objective: Improve energy efficiency of transport infrastructure and support and develop environmentally friendly transport modes.,,,False,False,,,,,,
