policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,New_York_United_States::29e1182928b282d57d4ce18b,New_York_United_States::29e1182928b282d57d4ce18b,sub,B5. Expand Access to Public and Private Low-Cost Financing (strategy framework).,structural header,"Require that by no later than 2023, all new construction projects receiving HCR Tax Credit funding be high-performance and all-electric buildings per HCR Sustainability Guidelines for New Construction, and streamline access to incentives through housing agencies for regulated affordable housing decarbonization.",Mitigation,,,policy_traces/001_Require_that_by_no_later_than_2023_all_new_construction_proj.json,,,False,False,,,,,,,,
002,New_York_United_States::dc73407a632093f71077ff17,New_York_United_States::dc73407a632093f71077ff17,sub,B5. Expand Access to Public and Private Low-Cost Financing (strategy framework).,structural header,Provide support for lenders to underwrite to energy performance standards; consider updating HCR underwriting standards to account for reduced operational costs from high-performance building standards informed by data from existing projects.,Mitigation,,,policy_traces/002_Provide_support_for_lenders_to_underwrite_to_energy_performa.json,,,False,False,,,keep,0.9,True,,,False
003,New_York_United_States::5410d5d52df3704a9be142cd,New_York_United_States::5410d5d52df3704a9be142cd,sub,B5. Expand Access to Public and Private Low-Cost Financing (strategy framework).,structural header,"Provide greater access to low-cost financing products for upgrades (including for low-income homeowners and buildings in Disadvantaged Communities), including financing for non-energy improvements needed for code compliance and electrification; explore low-interest financing coupled with credit enhancement/insurance; prioritize CDFIs and credit unions.",Mitigation,,,policy_traces/003_Provide_greater_access_to_low_cost_financing_products_for_up.json,,,False,False,,,,,,,,
004,New_York_United_States::93c4657c6cdc52c13ab5ecf0,New_York_United_States::93c4657c6cdc52c13ab5ecf0,sub,B5. Expand Access to Public and Private Low-Cost Financing (strategy framework).,structural header,"Enact enabling legislation to expand energy savings performance contracting for State and municipal buildings, schools, and other public facilities, including expanding eligible measures and payback terms and allowing retention of some cost savings.",Resource Efficiency,,,policy_traces/004_Enact_enabling_legislation_to_expand_energy_savings_performa.json,,,False,False,,,,,,,,
005,New_York_United_States::2b207506d30122ada64f23af,New_York_United_States::2b207506d30122ada64f23af,sub,B5. Expand Access to Public and Private Low-Cost Financing (strategy framework).,structural header,"Create a revolving loan fund for building decarbonization and reuse of buildings and building materials, implemented through a bond-issuing government authority.",Mitigation,,,policy_traces/005_Create_a_revolving_loan_fund_for_building_decarbonization_an.json,,,False,False,,,,,,,,
007,New_York_United_States::5e8ae5a55fddec27d38d5f23,New_York_United_States::5e8ae5a55fddec27d38d5f23,sub,B6. Support Development of Thermal Energy Networks (strategy framework).,structural header,"Provide workforce training and transition support for gas sector workers to install/operate thermal energy networks, coordinating PSC/DPS, DOL, Office of Just Transition, utilities and unions.",Mitigation,,,policy_traces/007_Provide_workforce_training_and_transition_support_for_gas_se.json,,,False,False,,,,,,,,
008,New_York_United_States::560bcada73247142c06c58ea,New_York_United_States::560bcada73247142c06c58ea,sub,B6. Support Development of Thermal Energy Networks (strategy framework).,structural header,"Develop geothermal well regulations and revise statutory financial security and permit fee provisions to reduce burden for geothermal wells >500 feet, including allowing DEC to set requirements/fees in regulation and developing geothermal/stratigraphic well regulations.",Mitigation,,,policy_traces/008_Develop_geothermal_well_regulations_and_revise_statutory_fin.json,,,False,False,,,keep,0.83,True,,,False
009,New_York_United_States::1c114f48b93606ff75a2a8ca,New_York_United_States::1c114f48b93606ff75a2a8ca,sub,B6. Support Development of Thermal Energy Networks (strategy framework).,structural header,Develop clear processes/rules for thermal energy networks to access public and utility rights-of-way and establish default compensation levels for affected property owners; provide transparent access to heat sources/sinks.,Mitigation,,,policy_traces/009_Develop_clear_processesrules_for_thermal_energy_networks_to_.json,,,False,False,,,,,,,,
010,New_York_United_States::65b273e41ba954426eed90b4,New_York_United_States::65b273e41ba954426eed90b4,sub,B6. Support Development of Thermal Energy Networks (strategy framework).,structural header,"Emphasize public sector support for thermal energy networks serving LMI/affordable/public housing and Disadvantaged Communities, including requiring at least one pilot per utility territory be located in a Disadvantaged Community per the Utility Thermal Energy Networks and Jobs Act.",Mitigation,,,policy_traces/010_Emphasize_public_sector_support_for_thermal_energy_networks_.json,,,False,False,,,,,,,,
012,New_York_United_States::70338abae395df5b6efa2720,New_York_United_States::70338abae395df5b6efa2720,sub,B8. Invest in Workforce Development (buildings sector) (strategy framework).,structural header,"Increase training investments for incumbent and new clean energy workers via training infrastructure, career pathways, apprenticeships, on-the-job training, and industry partnerships in specified priority areas.",Mitigation,,,policy_traces/012_Increase_training_investments_for_incumbent_and_new_clean_en.json,,,False,False,,,,,,,,
