policy_id,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path
000,parent,,structural header,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,Adaptation,Resource Efficiency,A-2,policy_traces/000_Urban_Forestry_green_infrastructure_for_heat_mitigation_take.json
001,sub,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,structural header,Amend Las Vegas Municipal Code (LVMC) and zoning related to trees.,Adaptation,Nature-Based Solutions,A-1,policy_traces/001_Amend_Las_Vegas_Municipal_Code_LVMC_and_zoning_related_to_tr.json
002,sub,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,structural header,"Plant at least 100,000 public and private high-quality native and adaptive trees to increase canopy to 20%.",Adaptation,Nature-Based Solutions,A-1,policy_traces/002_Plant_at_least_100000_public_and_private_high_quality_native.json
003,parent,,standalone parent policy,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Adaptation,Nature-Based Solutions,A-1,policy_traces/003_Parks_and_Connectivity_implement_park_planning_and_access_ta.json
004,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,standalone parent policy,Develop a Parks System Plan and achieve CAPRA certification.,Adaptation,Nature-Based Solutions,A-1,policy_traces/004_Develop_a_Parks_System_Plan_and_achieve_CAPRA_certification.json
005,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,standalone parent policy,"Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need.",Adaptation,Nature-Based Solutions,A-1,policy_traces/005_Increase_park_acreage_to_7_acres_per_1000_residents_specific.json
006,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,standalone parent policy,Ensure 85% of dwelling units are within a short walk of a park or trail.,Adaptation,Nature-Based Solutions,A-1,policy_traces/006_Ensure_85_of_dwelling_units_are_within_a_short_walk_of_a_par.json
007,parent,,standalone parent policy,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Adaptation,,,policy_traces/007_Environmental_Justice_prioritize_reducing_exposure_and_risk_.json
008,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",standalone parent policy,Ensure an air quality index of 100 or better.,Resource Efficiency,,,policy_traces/008_Ensure_an_air_quality_index_of_100_or_better.json
009,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",standalone parent policy,Eliminate brownfields within the City through redevelopment.,Nature-Based Solutions,,,policy_traces/009_Eliminate_brownfields_within_the_City_through_redevelopment.json
010,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",standalone parent policy,Improve stormwater pollution prevention efforts.,Nature-Based Solutions,,,policy_traces/010_Improve_stormwater_pollution_prevention_efforts.json
011,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",standalone parent policy,"Engage residents of all races, ethnicities, abilities, and means in the planning and transportation decision-making process.",Mitigation,Resource Efficiency,M-1,policy_traces/011_Engage_residents_of_all_races_ethnicities_abilities_and_mean.json
012,parent,,standalone parent policy,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",Mitigation,,,policy_traces/012_Homelessness_continue_and_enhance_coordinated_prevention_div.json
013,sub,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",standalone parent policy,Continue to play an intervention role with the City’s Courtyard and MORE team.,Mitigation,,,policy_traces/013_Continue_to_play_an_intervention_role_with_the_Citys_Courtya.json
014,sub,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",standalone parent policy,Employ a ‘Housing First’ approach.,Adaptation,,,policy_traces/014_Employ_a_Housing_First_approach.json
015,sub,"Homelessness: continue and enhance coordinated prevention, diversion, and regional measures to reduce the total unsheltered homeless population by 50% and achieve functional zero homelessness in 2050.",standalone parent policy,Reduce the number of individuals in poverty.,Adaptation,,,policy_traces/015_Reduce_the_number_of_individuals_in_poverty.json
