policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Singapore pledged to reduce emissions intensity by 36% from 2005 levels by 2030 and stabilise emissions with the aim of peaking around 2030.,"In 2015, building on our earlier commitment, Singapore pledged to reduce our Emissions Intensity (EI) by 36 per cent from 2005 levels by 2030, and stabilise emissions with the aim of peaking around 2030.",individual,,SINGAPORE'S COMMITMENTS TO ADDRESS CLIMATE CHANGE,Economy-wide,Formal pledge with numeric EI target and timeframe; reiterated national commitment.,4,individual,individual,,"The verbatim text contains a quantified mitigation outcome (“reduce our Emissions Intensity (EI) by 36 per cent from 2005 levels”) with an explicit deadline (“by 2030”), and it is framed as a national “pledged” commitment. It also includes a secondary, weaker element (“aim of peaking around 2030”) that is less precise, but the primary EI target remains measurable and time-bound. No explicit binding legal mechanism (e.g., law/mandate) is stated in the excerpt.",Yes,Yes,No,Yes,Yes,Yes,VALID,0.82,"Quantifiable target: Yes — the text states “reduce our Emissions Intensity (EI) by 36 per cent from 2005 levels”. Timeline: Yes — it specifies “by 2030”. Binding mechanism: No — the excerpt describes a “pledged” commitment but does not cite an enforceable instrument (law/regulation/mandate). Spatial specificity: Yes — it applies to “Singapore”. Weak language: Yes — it includes “with the aim of peaking around 2030”, which is aspirational and uses “around”. Strong language: Yes — “pledged to reduce… by 36 per cent… by 2030” is a firm, numeric commitment. STRICT VALID RULE: (1) Auditable commitment met via EI reduction metric; (2) Gold standard met because timeline and quantifiable target are both present; (3) Language-strength rule satisfied because despite weak language in the peaking clause, the presence of a clear numeric target with deadline supports validity even without an explicit binding mechanism in the excerpt.",True
Singapore pledged to reduce emissions by 16% from business-as-usual levels by 2020.,"In 2009, Singapore pledged to reduce emissions by 16 per cent from business-as-usual (BAU) levels by 2020.",individual,,SINGAPORE'S COMMITMENTS TO ADDRESS CLIMATE CHANGE,Economy-wide,Quantified target with a deadline (2020).,5,individual,individual,,"The verbatim text contains a clear, auditable mitigation commitment with both (1) a quantifiable emissions-reduction target (“reduce emissions by 16 per cent from … BAU levels”) and (2) an explicit deadline (“by 2020”). It is economy-wide in scope (“Singapore”). However, the statement is framed as a “pledged” commitment rather than an enforceable mandate, so binding mechanism evidence is not present.",Yes,Yes,No,Yes,Yes,No,VALID,0.82,"Quantifiable target: Yes — the text states ""reduce emissions by 16 per cent from business-as-usual (BAU) levels"" (a measurable % outcome). Timeline: Yes — it specifies ""by 2020"". Binding mechanism: No — it is described as a ""pledged"" action, with no indication of an ordinance, regulation, mandate, or enforceable requirement in the excerpt. Spatial specificity: Yes — applies to ""Singapore"" (national/economy-wide scope). Weak language: Yes — ""pledged"" indicates a political commitment rather than a requirement. Strong language: No — no mandate/require language is used. Despite weak language, the strict rule passes because it meets the gold standard (timeline + quantifiable target) and the commitment is auditable as stated.",True
"NEA and EDB will work with manufacturing industries to achieve industrial energy efficiency improvement rates similar to 1–2% per year, and the Energy Conservation Act will be reviewed regularly.","The National Environment Agency (NEA) and Economic Development Board (EDB) will work with the manufacturing sector industries to achieve energy efficiency improvement rates similar to the 1 to 2 per cent per annum being achieved in leading developed countries like Belgium and the Netherlands. The Energy Conservation Act (ECA), which covers energy-intensive industrial firms, will be reviewed regularly so that it remains effective in supporting energy efficiency improvements.",individual,,Increasing Energy Efficiency,Industry,Contains an explicit ongoing government action (work with industry) and a specified improvement rate benchmark; also includes a commitment to regular regulatory review.,6,individual,individual,,"The text describes collaborative intent (“will work with…”) and a benchmarked efficiency improvement rate (“1 to 2 per cent per annum”), but it does not set a binding requirement on firms nor an explicit deadline/year by which outcomes must be achieved. “Reviewed regularly” is also non-specific and non-auditable without a defined schedule or milestone. Therefore it fails the strict criteria requiring both a quantifiable target and an explicit timeline for an individual policy.",Yes,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: Present as a measurable rate—“achieve energy efficiency improvement rates similar to the 1 to 2 per cent per annum”. Timeline: No explicit deadline/year is provided; “per annum” describes a rate, and “will be reviewed regularly” has no stated frequency or date, so has_timeline='No'. Binding mechanism: Although the “Energy Conservation Act (ECA)… will be reviewed regularly” is mentioned, the text does not state a new mandate/requirement or code change, only a review, so has_binding_mechanism='No'. Spatial specificity: Applies to a defined scope—“manufacturing sector industries” and “energy-intensive industrial firms” covered by the ECA. Weak language: “will work with” and “will be reviewed regularly” indicate facilitative/process language without enforceable obligations. Strong language: No ‘require/mandate’ plus hard-number compliance language is present; the numeric rate is framed as ‘similar to’ a benchmark rather than a mandated target. Under the strict rule, missing an explicit timeline makes it NON-SOUND; confidence capped at 0.4.",False
"Energy-intensive industrial users covered by the Energy Conservation Act must appoint an energy manager, monitor and report energy use and GHG-related information annually, and submit and annually review an energy efficiency improvement plan.","Energy-intensive users in the industrial sector are required to appoint an energy manager, monitor and report energy use and GHG emissions-related information annually. They also have to submit an energy efficiency improvement plan and review this plan annually.",individual,,Energy Conservation Act (ECA),Industry,"Binding regulatory requirements stated explicitly (appoint, report annually, submit plans).",7,individual,individual,,"The verbatim text describes enforceable (“required”) compliance actions for energy-intensive industrial users: appoint an energy manager, monitor/report annually, and submit/review an efficiency improvement plan annually. These are binding and auditable as procedural obligations, but the text does not specify any quantifiable outcome target (e.g., % energy reduction) or an explicit deadline/year beyond “annually.” Under the strict rule for individual policies, missing a quantifiable target (and no explicit year deadline) makes it NON-SOUND.",No,No,Yes,No,No,Yes,NON-SOUND,0.4,"Quantifiable target: No. The text requires actions (""monitor and report energy use and GHG emissions-related information annually""; ""submit an energy efficiency improvement plan"") but provides no measurable outcome (no % reduction, absolute emissions limit, or efficiency target).
Timeline: No. ""Annually"" indicates frequency, but there is no explicit deadline/year (e.g., ""by 2030"").
Binding mechanism: Yes. The text uses enforceable language: ""are required to appoint"" and ""have to submit"".
Spatial specificity: No. It applies to a category (""energy-intensive users in the industrial sector"") but does not specify a jurisdiction or location (e.g., city, country, specific region).
Weak language: No. No ""encourage/explore/aim"" phrasing is present.
Strong language: Yes. ""Required"" / ""have to"" indicate mandatory obligations, though without hard numeric outcomes.
STRICT VALID RULE check: Fails because has_quantifiable_target='No' and has_timeline='No'. Therefore NON-SOUND.",False
"NEA co-funds up to 50% of design workshop costs for resource-efficient design, capped at S$600,000 per project.","NEA co-funds up to 50 per cent of the cost of design workshops to integrate energy and resource efficiency in the design of new facilities, capped at $600,000 per project.",individual,,Resource-Efficient Design,Industry,Specific fiscal support with clear funding share and cap.,8,individual,individual,,"This is a specific funding offer (co-funding up to 50% of workshop costs, capped at $600,000 per project), but it does not set a measurable climate outcome (e.g., energy savings, emissions reduction, number of facilities) nor an explicit timeline/deadline. It is also a subsidy program description rather than a binding requirement. Under the strict rule for individual policies, it is NON-SOUND because it lacks both a quantifiable outcome target and a timeline; budget/cap figures alone do not qualify as quantifiable targets.",No,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: NO. The text provides financial parameters—""co-funds up to 50 per cent"" and ""capped at $600,000 per project""—but no measurable outcome (e.g., % energy reduction, tCO2e reduced, number of facilities upgraded). Timeline: NO. There is no year/deadline stated. Binding mechanism: NO. The text describes an offering (""co-funds"") and does not indicate a mandate/requirement or enforceable code/ordinance. Spatial specificity: NO. No location/jurisdiction is specified in the excerpt. Weak language: NO. No verbs like ""encourage/promote/aim"" appear; it is a concrete funding description. Strong language: NO. While concrete, it lacks hard outcome numbers tied to climate performance. STRICT VALID RULE check: fails Gold Standard because has_timeline='No' and has_quantifiable_target='No', therefore validation_result = NON-SOUND. Confidence capped at 0.4 due to missing timeline and quantifiable outcome target.",False
"NEA co-funds 50% of energy audit costs for existing facilities, capped at S$200,000 per project.","NEA co-funds 50 per cent of the costs of an energy audit, which assesses energy consumption and helps to develop energy efficiency improvement plans for existing facilities, capped at $200,000 per project.",individual,,Energy Audits,Industry,Specific fiscal support with clear funding share and cap.,9,individual,individual,,"This is a specific financial support measure (co-funding) with a clear rate (50%) and cap ($200,000 per project). However, it does not include an explicit timeline/deadline (e.g., by a certain year) and does not specify a quantifiable *outcome* (e.g., number of audits, facilities covered, or energy savings). It is therefore not measurable against climate outcomes under the strict rule for individual policies.",No,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: The text provides funding parameters—""co-funds 50 per cent of the costs... capped at $200,000 per project""—but does not state a measurable outcome (e.g., number of audits, facilities served, or energy/emissions reduction). Under the rubric, budget/cost caps alone are not an outcome, so has_quantifiable_target='No'. Timeline: No explicit deadline/year is present; the text contains no 'by 20XX' or similar, so has_timeline='No'. Binding mechanism: 'co-funds' indicates a program/incentive but not an enforceable requirement/mandate; no ordinance/requirement language is shown, so has_binding_mechanism='No'. Spatial specificity: Applies generally to ""existing facilities"" without stating where (e.g., citywide/countrywide/particular zones), so has_spatial_specificity='No'. Language strength/weakness: The statement is descriptive of funding ('co-funds') and lacks mandate verbs ('require/mandate') and also lacks weak aspirational verbs ('encourage/aim'); thus weak_language_detected='No' and strong_language_detected='No'. STRICT VALID RULE fails because it lacks both a timeline and a quantifiable outcome target, so validation_result='NON-SOUND'. Confidence is capped at 0.4 due to has_timeline='No' and has_quantifiable_target='No'.",False
EDB and NEA co-fund up to 20% of investment cost for energy-efficient retrofit equipment or technologies.,EDB and NEA co-fund up to 20 per cent of the investment cost of energy efficient equipment or technologies.,individual,,Retrofit Projects,Industry,Specific incentive mechanism with stated co-funding rate.,10,individual,individual,,"The statement describes a financial incentive (co-funding up to 20% of investment cost) for energy-efficient equipment/technologies, but it lacks (a) a deadline/timeframe and (b) a quantifiable outcome target (e.g., number of retrofits, energy savings, emissions reductions). It is therefore not auditable against specific performance outcomes under the strict individual-policy rule.",No,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text only specifies funding intensity: ""co-fund up to 20 per cent of the investment cost"" and does not state measurable outcomes (e.g., kWh saved, tCO2 reduced, number of retrofits). Timeline: No. No explicit year/deadline is provided. Binding mechanism: No. It describes co-funding but does not indicate a mandate/requirement/ordinance. Spatial specificity: No. No defined jurisdiction or eligible area is stated in the excerpt. Weak language: No. It is not framed as ""encourage/explore/aim""; it states a co-funding arrangement. Strong language: No. No mandatory verbs with hard outcome numbers are present. Under the strict rule for individual policies, missing both timeline and quantifiable outcome makes it NON-SOUND; confidence capped at 0.4.",False
The SCEM training grant covers about 70% of training costs for the Singapore Certified Energy Manager programme.,This is a training and certification programme in energy management. The SCEM training grant covers about 70 per cent of training costs.,individual,,Singapore Certified Energy Manager (SCEM),Industry,Named programme with committed financial support level.,11,individual,individual,,"The statement describes a funding support level (grant covers ~70% of training costs) for an energy management training/certification programme. It does not specify any measurable climate/energy outcome (e.g., number of trainees, energy savings, emissions reductions) nor any deadline/year by which something must be achieved. It also reads as descriptive program information rather than a binding mandate. Therefore it fails the strict “individual policy” validity rule requiring both a quantifiable outcome target and an explicit timeline.",No,No,No,Yes,No,No,NON-SOUND,0.35,"Quantifiable target: No. The text only states an input subsidy level: ""covers about 70 per cent of training costs"" and provides no measurable outcome (no number of participants, no energy/emissions reduction). Timeline: No. No year/deadline is mentioned. Binding mechanism: No. The passage describes a grant/programme but does not indicate a legal requirement/mandate/standard. Spatial specificity: Yes. It is tied to Singapore (""Singapore Certified Energy Manager programme""). Language strength/weakness: No strong mandate verbs (e.g., require/mandate) and no weak aspirational verbs (e.g., encourage/aim) are present; it is factual/descriptive. Because the policy lacks both a quantifiable outcome target and a timeline, it fails the strict validity rule and is NON-SOUND.",False
"Under the EE Financing Pilot Programme, companies can receive financing for up to 100% of upfront capital investment for energy efficiency projects, with cost savings shared between financier and company.","Under this programme, companies receive financing for up to 100 per cent of the upfront capital investment of energy efficiency projects. Cost savings are shared between the financier and the company.",individual,,EE Financing Pilot Programme,Industry,Concrete financing mechanism with explicit financing share.,12,individual,individual,,"The statement describes an implementation mechanism (financing up to 100% of upfront capex and shared savings), but it does not specify any measurable *outcome* (e.g., energy saved, emissions reduced, number of projects/companies financed) nor any deadline/year. “Up to 100% financing” is a program feature, not an auditable climate performance target. Therefore it fails the strict “timeline + quantifiable outcome” requirement and is NON-SOUND under the rubric.",No,No,No,No,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text includes a program parameter—“financing for up to 100 per cent of the upfront capital investment”—but provides no measurable climate/energy outcome (no kWh saved, % efficiency improvement, tCO2e reduced, number of projects financed). Timeline: No. No deadline or year is stated. Binding mechanism: No. The text describes that companies “receive financing” but does not cite a mandate/requirement, regulation, or enforceable obligation. Spatial specificity: No. No location/jurisdiction is named. Weak language: No. It does not use verbs like 'encourage' or 'explore'; it asserts program features. Strong language: No. Although it states “receive financing… up to 100 per cent,” it lacks a hard outcome target tied to required action or achievement.",False
The Accelerated Depreciation Allowance Scheme allows write-off/depreciation within one year of capital expenditure on energy-efficient or energy-saving equipment replacing existing ones.,"The Accelerated Depreciation Allowance Scheme (ADAS) allows the writeoff or depreciation, within one year, of capital expenditure on more energy efficient or energysaving equipment to replace existing ones.",individual,,"Besides grants, tax incentive schemes are also available.",Industry,Specific tax incentive mechanism stated clearly.,13,individual,individual,,"The statement describes a specific fiscal incentive (accelerated depreciation within one year) for energy-efficient equipment, which is an actionable mechanism. However, the verbatim text does not specify any measurable outcome (e.g., number of units, % energy reduction, emissions reduction) and does not include an explicit calendar deadline/year for achieving results—“within one year” refers to the depreciation period, not an implementation/achievement timeline. Under the strict rule for individual policies, missing a quantifiable target (and timeline as defined) makes it NON-SOUND with capped confidence.",No,No,Yes,No,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text states only that ADAS ""allows the writeoff or depreciation, within one year, of capital expenditure"" and contains no measurable outcome such as % energy savings, emissions reductions, or number of installations.
Timeline: No. ""within one year"" describes the depreciation/write-off period, not an explicit policy deadline like ""by 2030"" for achieving an outcome.
Binding mechanism: Yes. The phrase ""Allowance Scheme (ADAS) allows"" indicates an implemented tax/allowance mechanism rather than a voluntary aspiration.
Spatial specificity: No. No jurisdiction or covered geography is stated in the verbatim text.
Language strength: Strong language No; it uses enabling language (""allows"") without hard targets. Weak language No; it does not use verbs like ""encourage"" or ""explore""—it specifies a mechanism.
STRICT VALID RULE: Fails because has_quantifiable_target='No' and has_timeline='No', so it cannot be VALID for an individual policy.",False
