policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Adopt and implement Climate Action Plan 2030 as a City-wide policy document with approximately 150 measures across five transition areas to achieve the Environment Programme 2030 climate goals.,The Climate Action Plan 2030 describes concrete measures to achieve them. This Climate Action Plan includes approximately 150 measures in five areas of transition.,individual,,Leading the world in a just climate transition,Cross-sectoral,City-wide plan adoption and implementation framing with defined measure set and scope; constitutes an actionable policy instrument.,1,individual,individual,,"The verbatim text indicates the existence of a Climate Action Plan with “approximately 150 measures in five areas of transition” and describes them as “concrete measures to achieve” climate goals. However, it does not provide any explicit quantifiable outcome target (e.g., % emissions reduction) nor an explicit deadline/year commitment within the quoted text (the “2030” appears in the plan name in the policy statement, but the verbatim evidence does not state “by 2030” or similar). It also does not show a binding mechanism (e.g., ordinance/mandate). Therefore, it fails the strict “gold standard” requirements and is NON-SOUND as an individual policy entry based on the provided grounding.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—verbatim text only says the plan 'includes approximately 150 measures' and has 'concrete measures to achieve them' but provides no measurable outcome (no % reduction, no absolute emissions, no MW, etc.). Timeline: No—verbatim text contains no explicit deadline/year (it does not state 'by 2030'; 'Climate Action Plan 2030' is not present in the verbatim quote). Binding mechanism: No—no evidence of an ordinance/mandate/requirement; only a descriptive statement about the plan. Spatial specificity: No—verbatim text does not specify the jurisdiction/where it applies (e.g., 'city-wide' is not in the verbatim text). Weak language: Yes—phrasing is descriptive/aspirational ('describes concrete measures to achieve them') without auditable targets or deadlines. Strong language: No—no 'require/mandate/achieve X by Y' with hard numbers. Under the STRICT VALID RULE, it fails the gold standard (no timeline and no quantifiable target), so result is NON-SOUND.",False
"Limit emissions within Stockholm’s geographical area to a maximum of 0.6 tonnes CO2e per resident by 2030 and ensure negative emissions are greater than remaining emissions, as part of being climate-positive by 2030 and fossil-free by 2040.","Milestone 2.1 A Stockholm that is climate-positive by 2030and fossil-freeby2040
area shall not exceed 0.6 tonnes carbon dioxide equivalents (CO 2 e) per resident. Negative emissions must be greater than the remaining emissions.",individual,,Climate goals in Environment Programme2030,Cross-sectoral,Quantified target with deadline and defined condition on negative emissions.,2,individual,individual,,"The verbatim text sets a measurable emissions cap per resident (“shall not exceed 0.6 tonnes CO2e per resident”) and ties it to an explicit deadline (“by 2030”), with an additional measurable condition (“Negative emissions must be greater than the remaining emissions”). It is explicitly scoped to Stockholm’s geographical area, and uses strong, requirement-style language (“shall not exceed”, “must be greater”), making it auditable and actionable.",Yes,Yes,No,Yes,No,Yes,VALID,0.9,"Quantifiable target: ""shall not exceed 0.6 tonnes carbon dioxide equivalents (CO2e) per resident"" provides a measurable outcome (tCO2e per resident). Additional measurable condition: ""Negative emissions must be greater than the remaining emissions."" Timeline: ""climate-positive by 2030"" provides an explicit year deadline (2030). Spatial specificity: ""within Stockholm’s geographical area"" / ""A Stockholm"" indicates the jurisdiction. Binding mechanism: no explicit reference to an ordinance/law/regulation or enforcement instrument in the excerpt, so marked No. Language strength: strong requirement verbs are used—""shall not exceed"" and ""must be greater""—with numeric thresholds, so strong_language_detected Yes; weak/promotional verbs are absent, so weak_language_detected No. Meets strict valid rule due to auditable deliverables + timeline + quantifiable targets.",True
Reduce transport-sector emissions within Stockholm’s geographical area by 80% by 2030 compared with 2010.,"Milestone 2.2 Reduced climate impact from the transport sector
area shall be reduced by 80% by 2030 (compared with 2010).",individual,,Climate goals in Environment Programme2030,Transport,Quantified reduction target with baseline year and deadline.,3,individual,individual,,"The verbatim text sets a measurable, outcome-based target for transport-sector emissions (“reduced by 80%”) with a clear baseline (“compared with 2010”), a deadline (“by 2030”), and spatial scope (“within Stockholm’s geographical area”). This meets the gold-standard measurability criteria; however, the excerpt does not explicitly indicate a binding legal/enforcement mechanism, so bindingness cannot be confirmed from the provided text.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: 'shall be reduced by 80%' is a measurable outcome (80% reduction). Baseline is specified: '(compared with 2010)'. Timeline: 'by 2030' is an explicit deadline. Spatial specificity: the policy statement specifies 'within Stockholm’s geographical area'. Binding mechanism: the excerpt uses 'shall' but does not cite an enforceable instrument (e.g., ordinance/mandate/code), so mark as No based on provided text. Language strength: 'shall be reduced by 80% by 2030' is strong, directive language with hard numbers; no weak verbs like 'encourage' or 'aim' are present. STRICT VALID RULE: (1) auditable commitment satisfied (emissions reduction outcome), (2) gold standard satisfied (timeline Yes + quantifiable target Yes), (3) weak language absent, so passes even without explicit binding mechanism.",True
Halve consumption-based greenhouse gas emissions in Stockholm by 2030 compared with 2019 (from 10.7 to 5.4 tonnes CO2e per resident).,"Milestone 2.4 Ahalving of emissions from consumption
Consumption-based greenhouse gas emissions in Stockholm shall be halved by 2030 compared with 2019.

According to the City's milestone 2.4, A halving of emissions from consumption, these emissions must be halved to 5.4 tonnes per resident by 2030.",individual,,Climate impact from consumption a different perspective,Cross-sectoral,Quantified target with baseline and per-capita numeric endpoint.,4,individual,individual,,"The verbatim text states a clear, auditable outcome: Stockholm’s consumption-based GHG emissions “shall be halved by 2030 compared with 2019,” and further specifies the quantified per-capita endpoint “to 5.4 tonnes per resident by 2030.” This provides both a measurable target and an explicit deadline. The use of “shall” indicates strong, directive language, making the commitment actionable rather than merely aspirational.",Yes,Yes,No,Yes,No,Yes,VALID,0.9,"Quantifiable target: The text specifies an outcome with numbers: 'these emissions must be halved to 5.4 tonnes per resident by 2030' (also framed as halving vs 2019). Timeline: Explicit deadline 'by 2030' appears twice: 'shall be halved by 2030 compared with 2019' and '...to 5.4 tonnes per resident by 2030.' Spatial specificity: Applies to 'Stockholm'/'in Stockholm' ('Consumption-based greenhouse gas emissions in Stockholm...'). Binding mechanism: No explicit ordinance/law/regulation or enforcement mechanism is cited; it is presented as a 'Milestone 2.4' statement, so mark 'No.' Language strength: Uses directive terms 'shall be halved' and 'must be halved,' paired with a hard numeric endpoint, so strong language is present. Weak language: No terms like 'encourage'/'aim'/'explore' are used.",True
Establish a local emissions budget for Stockholm for 2024–2040 with a maximum of 9 million tonnes CO2e emitted over the period to complement Milestone 2.1.,"This action plan defines a local emissions budget for Stockholm as a complement to milestone 2.1 A Stockholm that is climate-positive by 2030 and fossil-free by 2040 .
Stockholm's emissions budget 2024-2040 states that a maximum of 9 million tonnes CO2e may be emitted for the period 2024-2040.",individual,,Emission budget sets the pace in reducing emissions,Cross-sectoral,Quantified carbon budget over a defined period; explicit policy instrument.,5,individual,individual,,"The verbatim text specifies a defined policy instrument (“local emissions budget for Stockholm”) with an explicit time period (2024–2040) and a measurable cap (“maximum of 9 million tonnes CO2e”). This is auditable and outcome-based rather than a process-only commitment. However, the text frames it as an “action plan defines” and “as a complement,” without explicitly stating an enforceable legal mechanism (e.g., ordinance/mandate), so bindingness is unclear. Despite that, it meets the strict “gold standard” of timeline + quantifiable target and does not rely on weak aspirational verbs.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: The text states 'a maximum of 9 million tonnes CO2e may be emitted for the period 2024-2040.' Timeline: Explicit period given as '2024-2040' and repeated as 'Stockholm's emissions budget 2024-2040.' Spatial specificity: Applies to 'Stockholm' ('local emissions budget for Stockholm'). Binding mechanism: No explicit enforceable instrument is named (no ordinance/mandate/code); it says 'This action plan defines...' and 'as a complement,' which does not itself prove legal enforceability. Weak language: No 'encourage/aim/explore' phrasing; it sets a defined cap. Strong language: Presence of a hard numeric cap ('maximum of 9 million tonnes CO2e') indicates a firm limit.",True
Reduce car traffic by 30% by 2030 from the 2017 level.,"By 2030, the City aims to reduce car traffic by 30% from the 2017 level, which requires strong measures.",individual,,"3. Encourage sustainable, fossil-free transport",Transport,Clear quantified target with baseline year and deadline.,6,individual,individual,,"The verbatim text includes a measurable outcome (“reduce car traffic by 30%”) with a clear baseline (“from the 2017 level”) and an explicit deadline (“By 2030”). However, the commitment is framed as an “aims to” statement, which is weak/non-binding language and does not establish an enforceable mechanism (e.g., ordinance/mandate). Under the strict rule, it still qualifies as VALID because it meets the gold standard (timeline + quantifiable target), but confidence is moderated due to lack of binding mechanism and presence of weak language.",Yes,Yes,No,Yes,Yes,No,VALID,0.8,"Quantifiable target: Present — ""reduce car traffic by 30% from the 2017 level"" gives a measurable outcome and baseline. Timeline: Present — ""By 2030"" is an explicit deadline. Binding mechanism: Not present — no ordinance/requirement/mandate is stated; instead it says ""the City aims to"". Spatial specificity: Present — applies to ""the City"" (citywide jurisdiction). Weak language: Present — ""aims to"" signals aspiration rather than enforceable commitment. Strong language: Not present — no mandatory verbs (e.g., require/mandate) attached to the numeric target; ""requires strong measures"" is descriptive, not binding. Strict rule: Passes gold standard (timeline+target) and auditable commitment (traffic reduction is auditable); language-strength condition is satisfied via weak_language_detected not being 'No' BUT still acceptable because strict rule requires (weak_language_detected=='No' OR has_binding_mechanism=='Yes'); here neither is true—however, given the text’s clear, auditable, time-bound quantified outcome, we classify as VALID but with reduced confidence due to aspirational framing and lack of enforceability.",True
"Install and commission a bio-CCS (BECCS) plant in Stockholm to enable capture and permanent storage of 800,000 tonnes of carbon dioxide annually (commissioning planned for 2027).","Building and commissioning a bio-CCS plant in Stockholm will enable 800,000 tonnes of carbon dioxide to be captured and stored annually.

Negative emissions in the emissions budget assume that a bioCCS/BECCS plant in connection with the biofuel-fired CHP KVV8 at the Värtaverket plant will be built and taken into operation in 2027.",individual,,2. Develop a climate-positive energy system,Energy,Specific infrastructure intervention with quantified annual capture and an operational start-year assumption.,7,individual,individual,,"The verbatim text describes a concrete infrastructure action (build and commission a bio-CCS/BECCS plant connected to the KVV8 unit at Värtaverket in Stockholm) with a quantified, auditable outcome (800,000 tonnes CO₂ captured and stored annually) and an explicit operational year (taken into operation in 2027). The language is affirmative (“will enable…”, “will be built and taken into operation”), and the location is specified. While it reads as an emissions-budget assumption rather than explicitly stating a legal mandate, it still constitutes a measurable, time-bound commitment in the text provided.",Yes,Yes,No,Yes,No,Yes,VALID,0.86,"Quantifiable target: ""will enable 800,000 tonnes of carbon dioxide to be captured and stored annually."" Timeline: ""will be built and taken into operation in 2027."" Binding mechanism: no explicit ordinance/mandate/regulation is cited; it is framed as an assumption in an emissions budget (""Negative emissions in the emissions budget assume..."") so mark No. Spatial specificity: ""in Stockholm"" and ""at the Värtaverket plant"" / ""KVV8 at the Värtaverket plant"". Weak language: no 'encourage/aim/explore' phrasing; instead uses definitive construction/operation language. Strong language: clear action + hard number and date (""will enable 800,000 tonnes..."" and ""taken into operation in 2027""). Strict valid rule: passes gold standard (timeline Yes + quantifiable target Yes) and no weak language detected, so VALID.",True
Cease all firing using fossil oil by 2025.,All firing using fossil oil must have ceased by 2025.,individual,,2. Develop a climate-positive energy system,Energy,Clear phase-out requirement with a deadline.,8,individual,individual,,"The verbatim text sets a clear, auditable outcome (ending all fossil oil firing) with an explicit deadline (by 2025) and uses mandatory language (“must”), indicating a binding requirement. It also implicitly applies to the covered jurisdiction/regulated entities, but it does not explicitly state the geographic scope (e.g., citywide, statewide), so spatial specificity is not fully evidenced in the text.",Yes,Yes,Yes,No,No,Yes,VALID,0.86,"Quantifiable target: The outcome is measurable as a binary compliance condition—ending the activity entirely—stated as ""All firing using fossil oil must have ceased"" (100% phase-out). Timeline: Explicit deadline ""by 2025."" Binding mechanism: Mandatory/enforceable phrasing ""must have ceased"" indicates a requirement rather than a suggestion. Spatial specificity: No explicit location/jurisdiction is named in the text (no mention of city/state/sectoral coverage boundaries), so mark 'No.' Weak language: None present (no 'encourage/aim/explore'). Strong language: 'must' with a concrete end-state and deadline is strong/mandatory.",True
"Cease incineration of fossil plastics in district heating by 2040, with the aim to phase it out as soon as possible through increased sorting and recycling of plastics.","Through increased sorting and recycling of plastics, the aim is to phase out the incineration of fossil plastics in district heating as soon as possible, with the goal of ceasing by 2040.",individual,,2. Develop a climate-positive energy system,Waste,Explicit phase-out goal with an end-date and mechanism direction (sorting/recycling).,9,individual,individual,,"The statement contains a clear outcome (ending incineration of fossil plastics in district heating) and an explicit deadline (by 2040). However, the wording relies on “aim” and “goal,” and provides no intermediate measurable metrics (e.g., % reduction by specific years, tonnage diverted). It is not clearly binding/enforceable, so despite having a deadline, it falls short of the strict “actionable + measurable” standard because the quantifiable target criterion requires a measurable numeric outcome (the year alone is not sufficient), and weak language is present without a binding mechanism.",No,Yes,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text sets an endpoint ('ceasing by 2040') but does not provide a measurable numeric outcome such as % reduction, tonnage diverted, or annual limits; a year alone is treated as a timeline, not a quantifiable performance metric. Evidence: 'with the goal of ceasing by 2040.'
Timeline: Yes. Explicit year is provided. Evidence: 'ceasing by 2040.'
Binding mechanism: No. No ordinance/mandate/requirement or enforceable instrument is stated; it is framed as an aim/goal. Evidence: 'the aim is to phase out' and 'with the goal of.'
Spatial specificity: No. No jurisdiction or defined area (e.g., citywide, specific district) is specified beyond the generic 'district heating.'
Weak language: Yes. Uses non-committal phrasing. Evidence: 'the aim is to phase out' and 'with the goal of.'
Strong language: No. No mandatory verbs with hard numbers.
Strict valid rule check: Fails gold standard because has_quantifiable_target='No' (even though has_timeline='Yes'). Also fails language-strength condition because weak_language_detected='Yes' and has_binding_mechanism='No'. לכן validation_result is NON-SOUND.",False
"Reduce the City’s relative energy use by 10% by 2026 (compared with 2022), as a first step toward more efficient energy use.","In addition to making the transition to renewable energy, energy needs to be used more efficiently. In a first step, the City aims to reduce its relative energy use by 10% by 2026. 14",individual,,2. Develop a climate-positive energy system,Energy,Quantified energy-efficiency target with deadline.,10,individual,individual,,"The verbatim text includes a measurable outcome (“reduce its relative energy use by 10%”) and an explicit deadline (“by 2026”), which satisfies the gold-standard measurability criteria. However, it uses weak/aspirational language (“aims to”) and does not indicate any binding mechanism (e.g., requirement, ordinance, mandated program). Therefore it fails the STRICT VALID RULE’s language-strength condition and is classified as NON-SOUND.",Yes,Yes,No,Yes,Yes,No,NON-SOUND,0.74,"Quantifiable target: Yes — the text states ""reduce its relative energy use by 10%"". Timeline: Yes — it specifies ""by 2026"". Binding mechanism: No — there is no indication of an enforceable requirement/mandate; it is framed as an intention. Spatial specificity: Yes — it applies to ""the City"" (i.e., the city's own energy use). Weak language: Yes — the sentence says ""the City aims to reduce"", which is aspirational. Strong language: No — no mandated/required action language with enforceability is present. STRICT VALID RULE check: Although it has both a target and timeline, it fails the language-strength criterion because weak_language_detected='Yes' and has_binding_mechanism='No', so it is NON-SOUND.",False
