policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,Adaptation,A-2,policy_traces/000_Urban_Forestry_green_infrastructure_for_heat_mitigation_take.json,trace_initiative_policies_valid.csv,parent_statement,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.
001,sub,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,Amend Las Vegas Municipal Code (LVMC) and zoning related to trees.,Adaptation,A-1,policy_traces/001_Amend_Las_Vegas_Municipal_Code_LVMC_and_zoning_related_to_tr.json,trace_initiative_policies_valid.csv,parent_statement,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.
002,sub,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.,"Plant at least 100,000 public and private high-quality native and adaptive trees to increase canopy to 20%.",Adaptation,A-1,policy_traces/002_Plant_at_least_100000_public_and_private_high_quality_native.json,trace_initiative_policies_valid.csv,parent_statement,Urban Forestry (green infrastructure for heat mitigation): take steps to reduce heat hazards with appropriate green infrastructure.
003,parent,,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Adaptation,A-1,policy_traces/003_Parks_and_Connectivity_implement_park_planning_and_access_ta.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.
004,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Develop a Parks System Plan and achieve CAPRA certification.,Adaptation,A-1,policy_traces/004_Develop_a_Parks_System_Plan_and_achieve_CAPRA_certification.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.
005,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,"Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need.",Adaptation,A-1,policy_traces/005_Increase_park_acreage_to_7_acres_per_1000_residents_specific.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.
006,sub,Parks and Connectivity: implement park planning and access targets to improve quality of life.,Ensure 85% of dwelling units are within a short walk of a park or trail.,Adaptation,A-1,policy_traces/006_Ensure_85_of_dwelling_units_are_within_a_short_walk_of_a_par.json,trace_initiative_policies_valid.csv,parent_statement,Parks and Connectivity: implement park planning and access targets to improve quality of life.
007,parent,,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Adaptation,,policy_traces/007_Environmental_Justice_prioritize_reducing_exposure_and_risk_.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects."
008,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Ensure an air quality index of 100 or better.,Resource Efficiency,,policy_traces/008_Ensure_an_air_quality_index_of_100_or_better.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects."
009,sub,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects.",Eliminate brownfields within the City through redevelopment.,Nature-Based Solutions,,policy_traces/009_Eliminate_brownfields_within_the_City_through_redevelopment.json,trace_initiative_policies_valid.csv,parent_statement,"Environmental Justice: prioritize reducing exposure and risk to low-income and minority communities, especially for new transportation and infrastructure projects."
