policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Adaptation,A-2,policy_traces/000_Adaptation_Plans_to_enhance_the_resilience_of_the_Fisheries_.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
001,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Enhance awareness by involving the local community in the protection and sustainable consumption of marine life.,Nature-Based Solutions,NBS-3,policy_traces/001_Enhance_awareness_by_involving_the_local_community_in_the_pr.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
002,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Provide financial and technical support to institutions and sectors responsible for marine life protection.,Nature-Based Solutions,NBS-1,policy_traces/002_Provide_financial_and_technical_support_to_institutions_and_.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
003,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Increase awareness about the marine ecosystem and the impact of climate change on it.,Mitigation,,policy_traces/003_Increase_awareness_about_the_marine_ecosystem_and_the_impact.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
004,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Undertake risk and vulnerability assessment of the fisheries value chain.,Adaptation,A-2,policy_traces/004_Undertake_risk_and_vulnerability_assessment_of_the_fisheries.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
005,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Enhance individual and institutional technical capacities on the impact of climate change on fisheries.,Adaptation,A-2,policy_traces/005_Enhance_individual_and_institutional_technical_capacities_on.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
006,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Designate new marine protected areas.,Nature-Based Solutions,NBS-1,policy_traces/006_Designate_new_marine_protected_areas.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
007,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop and implement local marine conservation and restoration options.,Nature-Based Solutions,NBS-2,policy_traces/007_Develop_and_implement_local_marine_conservation_and_restorat.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
008,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Develop adaptation and development plans for marine life and fisheries.,Adaptation,A-2,policy_traces/008_Develop_adaptation_and_development_plans_for_marine_life_and.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
009,sub,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change.",Support research and initiatives to gather information on climate change impacts on Kuwait's marine ecosystem.,Adaptation,A-2,policy_traces/009_Support_research_and_initiatives_to_gather_information_on_cl.json,trace_initiative_policies_valid.csv,parent_statement,"Adaptation Plans to enhance the resilience of the Fisheries and Marine Sector set out short-, medium-, and long-term actions to increase resilience of marine ecosystems and fisheries to climate change."
