policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Stockholm_Sweden::a49ed1fca90fe12e0151fec6,Stockholm_Sweden::a49ed1fca90fe12e0151fec6,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Develop a City-wide forum to coordinate applications for external financial support (2024–2030).,Mitigation,,,policy_traces/001_Develop_a_City_wide_forum_to_coordinate_applications_for_ext.json,,,False,False,,,keep,0.74,True,,,False
002,Stockholm_Sweden::2c6a9413e1458c9440c4540e,Stockholm_Sweden::2c6a9413e1458c9440c4540e,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Develop work with digital tools in the climate transition including IoT and AI, as well as data management, structuring and visualisation (2024–2030).",Adaptation,,,policy_traces/002_Develop_work_with_digital_tools_in_the_climate_transition_in.json,,,False,False,,,,,,,,
003,Stockholm_Sweden::3013ceb289ec2ec4a1e26b81,Stockholm_Sweden::3013ceb289ec2ec4a1e26b81,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Develop labour market and education initiatives to meet the climate transition’s skills supply needs (2024–2030).,Adaptation,,,policy_traces/003_Develop_labour_market_and_education_initiatives_to_meet_the_.json,,,False,False,,,reclassify,0.74,,Mitigation,True,False
004,Stockholm_Sweden::2eeb6ad3f836a322208de983,Stockholm_Sweden::2eeb6ad3f836a322208de983,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Develop local arenas for collaboration where municipality, business and civil society collaborate to improve health and reduce climate impact (2024–2030).",Mitigation,,,policy_traces/004_Develop_local_arenas_for_collaboration_where_municipality_bu.json,,,False,False,,,,,,,,
005,Stockholm_Sweden::78a03a69b6b4be170003adec,Stockholm_Sweden::78a03a69b6b4be170003adec,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Create extended opportunities for Stockholmers to rent, repair, exchange, share, borrow or give instead of buying new (2024–2026).",Mitigation,,,policy_traces/005_Create_extended_opportunities_for_Stockholmers_to_rent_repai.json,,,False,False,,,,,,,,
006,Stockholm_Sweden::7d637f79ac1824c741a1761f,Stockholm_Sweden::7d637f79ac1824c741a1761f,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Collaborate with civil society and business to reduce plastics use and increase reuse and recycling of plastics (2024–2030).,Mitigation,,,policy_traces/006_Collaborate_with_civil_society_and_business_to_reduce_plasti.json,,,False,False,,,,,,,,
007,Stockholm_Sweden::20a7d1e64f93cd8ad87a37b8,Stockholm_Sweden::20a7d1e64f93cd8ad87a37b8,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Strive to strengthen the electricity grid in Stockholm where expansion is needed and coordinate planning between grid companies and the City (2024–2030).,Mitigation,,,policy_traces/007_Strive_to_strengthen_the_electricity_grid_in_Stockholm_where.json,,,False,False,,,,,,,,
008,Stockholm_Sweden::0ce6aa9fcedb641b9db9a1e6,Stockholm_Sweden::0ce6aa9fcedb641b9db9a1e6,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Install solar panels on existing and new City-managed buildings based on a cost-efficiency principle (2024–2030).,Mitigation,,,policy_traces/008_Install_solar_panels_on_existing_and_new_City_managed_buildi.json,,,False,False,,,,,,,,
009,Stockholm_Sweden::c3eb05d9e4802830edb1be53,Stockholm_Sweden::c3eb05d9e4802830edb1be53,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Commission the RUS (Resource Extraction Stockholm) facility in Högdalen for sorting food waste, plastic and metal (2024).",Mitigation,,,policy_traces/009_Commission_the_RUS_Resource_Extraction_Stockholm_facility_in.json,,,False,False,,,,,,,,
010,Stockholm_Sweden::d40fdd09887140a72f70243e,Stockholm_Sweden::d40fdd09887140a72f70243e,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Build and commission a bio-CCS (BECCS) plant in Värtan (2027).,Mitigation,,,policy_traces/010_Build_and_commission_a_bio_CCS_BECCS_plant_in_Värtan_2027.json,,,False,False,,,,,,,,
011,Stockholm_Sweden::b22f9eaea0d83be8e60abc08,Stockholm_Sweden::b22f9eaea0d83be8e60abc08,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Investigate CCS/CCU from energy recovery through waste incineration and, if necessary and appropriate, introduce CCS/CCU in collaboration with other municipalities (2024–2030).",Mitigation,,,policy_traces/011_Investigate_CCSCCU_from_energy_recovery_through_waste_incine.json,,,False,False,,,,,,,,
012,Stockholm_Sweden::7a0ae868961b13138c5c92ea,Stockholm_Sweden::7a0ae868961b13138c5c92ea,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Strive to reduce relative energy use in existing buildings and facilities by 10% during 2023–2026.,Mitigation,,,policy_traces/012_Strive_to_reduce_relative_energy_use_in_existing_buildings_a.json,,,False,False,,,keep,0.93,True,,,False
013,Stockholm_Sweden::12b947732b93f4f1a4d0660b,Stockholm_Sweden::12b947732b93f4f1a4d0660b,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Build adequate and appropriate charging infrastructure throughout the City, including coordinating planned infrastructure for equal access (2024–2030).",Mitigation,,,policy_traces/013_Build_adequate_and_appropriate_charging_infrastructure_throu.json,,,False,False,,,keep,0.86,True,,,False
014,Stockholm_Sweden::8ea72905ac5b28fe9e2a915a,Stockholm_Sweden::8ea72905ac5b28fe9e2a915a,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Implement Class 3 Clean Air Zone in Stockholm (2024–2030).,Mitigation,,,policy_traces/014_Implement_Class_3_Clean_Air_Zone_in_Stockholm_20242030.json,,,False,False,,,,,,,,
015,Stockholm_Sweden::f47f7fa4d0b203780f8b0380,Stockholm_Sweden::f47f7fa4d0b203780f8b0380,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Continue expansion of electrical connections for ships at quayside in Stockholm (shore power) (2024–2030).,Mitigation,,,policy_traces/015_Continue_expansion_of_electrical_connections_for_ships_at_qu.json,,,False,False,,,,,,,,
016,Stockholm_Sweden::77e1cb19a9971b16660b7f2b,Stockholm_Sweden::77e1cb19a9971b16660b7f2b,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,"Develop and conduct climate analyses at different stages of the planning and development process, from comprehensive planning to detailed planning (2025–2030).",Adaptation,,,policy_traces/016_Develop_and_conduct_climate_analyses_at_different_stages_of_.json,,,False,False,,,,,,,,
017,Stockholm_Sweden::b1d613b8946736459063ab9a,Stockholm_Sweden::b1d613b8946736459063ab9a,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Enable resource-efficient use of the built environment by making it easier for builders to adapt existing buildings instead of demolition and new production (2024–2030).,Resource Efficiency,Adaptation,RE-2,policy_traces/017_Enable_resource_efficient_use_of_the_built_environment_by_ma.json,,,False,False,,,,,,,,
018,Stockholm_Sweden::20a831bae43cf856cc3dfc3d,Stockholm_Sweden::20a831bae43cf856cc3dfc3d,sub,"Tables presenting measures in the transition areas: implement and manage approximately 150 assigned measures (with designated responsible bodies) to achieve the climate goals by 2030, with new measures generated over time.",structural header,Conduct climate analysis when designing construction and civil engineering projects and identify and implement measures to reduce emissions (2024–2030).,Mitigation,,,policy_traces/018_Conduct_climate_analysis_when_designing_construction_and_civ.json,,,False,False,,,,,,,,
