policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
Miami-Dade County will adopt a Building Performance Ordinance to require benchmarking and retuning of large existing buildings community-wide.,"Miami-Dade County actions:

- Pass Building Performance Ordinance for benchmarking and retuning large existing buildings",individual,,"APPROACH 1: BENCHMARK, RETUNE AND RETROFIT EXISTING BUILDINGS",Energy & Buildings,"This is a concrete regulatory commitment by the County to pass an ordinance, which qualifies as a standalone policy.",7,individual,individual,,"The policy is a specific regulatory action in the buildings sector: “Pass Building Performance Ordinance for benchmarking and retuning large existing buildings.” This supports the presence of a binding mechanism because it explicitly refers to passing an ordinance. It also has some spatial/application specificity through “Miami-Dade County” and “large existing buildings,” indicating where and to what building class it applies. However, the verbatim text does not provide an explicit timeline or year, and it does not include a quantifiable outcome target such as a percentage reduction, number of buildings, or compliance deadline. Under the strict validation rule for individual policies, absence of both an explicit timeline and a measurable outcome means the policy is NON-SOUND despite being actionable and regulatory in nature.",No,No,Yes,Yes,No,No,NON-SOUND,0.38,"Evidence of binding mechanism: the text states, ""Pass Building Performance Ordinance,"" which indicates an enforceable legal instrument if adopted, so has_binding_mechanism = 'Yes'. Evidence of spatial specificity: the text is under ""Miami-Dade County actions"" and applies to ""large existing buildings,"" so the jurisdiction and covered building category are specified, making has_spatial_specificity = 'Yes'. No quantifiable target is present: ""benchmarking and retuning large existing buildings"" does not include a measurable outcome such as a percent reduction, number of buildings, square footage threshold, or installation quantity, so has_quantifiable_target = 'No'. No timeline is present: there is no explicit year, deadline, or phrase like ""by 2030,"" so has_timeline = 'No'. Strong language is not detected under the strict rule because although ""Pass"" is directive, the text lacks hard numbers tied to verbs like require/achieve/install, so strong_language_detected = 'No'. Weak language is not detected because the statement is not framed as ""encourage,"" ""explore,"" or ""aim""; it is a direct action to pass an ordinance, so weak_language_detected = 'No'. Under the STRICT VALID RULE, an individual policy must have both has_timeline = 'Yes' and has_quantifiable_target = 'Yes'. Because both are missing, the policy is classified as 'NON-SOUND'. Confidence is capped below 0.4 because has_timeline = 'No' and has_quantifiable_target = 'No'.",False
Miami-Dade County will complete installation of solar on County buildings identified in the Solar Feasibility Study Phase 2.,"## Miami-Dade County actions:

-   Complete  the  installation  of  solar  on County  buildings  as  identified  in  the Solar Feasibility Study Phase 2",individual,,APPROACH 2: EXPAND ON-SITE AND OFF-SITE RENEWABLE ENERGY GENERATION,Energy & Buildings,This is a direct County action commitment tied to a defined implementation study.,8,individual,individual,,"The statement describes an implementation action rather than a study alone: “Complete the installation of solar on County buildings as identified in the Solar Feasibility Study Phase 2.” This indicates a deliverable, so it meets the auditable commitment criterion at a basic level. However, the verbatim text does not provide an explicit timeline or deadline, and it does not include a quantifiable outcome such as number of buildings, MW installed, or percentage target. Because the strict rule requires both a timeline and a quantifiable target for an individual policy, the policy is NON-SOUND. The language is fairly strong (“Complete the installation”), but there is no explicit binding legal mechanism such as an ordinance, mandate, or code change. Spatial specificity is present because it applies to “County buildings.”",No,No,No,Yes,No,No,NON-SOUND,0.33,"Auditable commitment: Yes, because the text states a concrete implementation action: 'Complete the installation of solar on County buildings as identified in the Solar Feasibility Study Phase 2.' However, has_timeline = 'No' because no explicit year, deadline, or phrase such as 'by 2030' appears. Has_quantifiable_target = 'No' because the text does not specify a measurable outcome like number of buildings, MW of solar, or percent coverage; reference to a study does not itself provide a quantified target in the quoted text. Has_binding_mechanism = 'No' because there is no ordinance, mandate, required code change, or similarly enforceable authority stated. Has_spatial_specificity = 'Yes' because the policy applies to 'County buildings.' Weak_language_detected = 'No' because the action uses directive language rather than terms like 'encourage' or 'explore.' Strong_language_detected = 'No' under the strict definition because although 'Complete' is strong action language, it is not paired with hard numbers in the verbatim text. Under the strict valid rule for individual policies, the absence of both an explicit timeline and a quantifiable target means the policy must be classified as NON-SOUND.",False
Miami-Dade County will require new County buildings to be solar ready.,-   Require new County buildings to be solar ready for the County to lead by example Community Recommendation,individual,,APPROACH 2: EXPAND ON-SITE AND OFF-SITE RENEWABLE ENERGY GENERATION,Energy & Buildings,"This is a specific future requirement for County buildings, constituting a policy intervention.",9,individual,individual,,"The statement describes an intended requirement: “Require new County buildings to be solar ready,” which indicates a concrete policy direction and a potentially binding mechanism. However, under the strict validation rule for individual policies, it lacks two essential elements from the verbatim text: no explicit timeline or deadline is provided, and no quantifiable outcome target is stated. “Solar ready” is a qualitative design requirement, not a measurable target like a number of buildings, percentage, or completion year. The text is spatially specific because it applies to “new County buildings.” The language is relatively strong because it uses “Require,” but without a measurable target and timeline, the policy cannot meet the gold-standard validity threshold. Therefore it should be assessed as NON-SOUND with capped confidence.",No,No,Yes,Yes,No,No,NON-SOUND,0.35,"Evidence review: (1) Binding mechanism: Yes. The verbatim text says, 'Require new County buildings to be solar ready,' which signals an enforceable requirement. (2) Quantifiable target: No. The phrase 'solar ready' is not a measurable outcome with a numeric target, percentage, or count. There is no auditable quantity such as number of buildings, MW, or percent reduction. (3) Timeline: No. The text provides no explicit year, deadline, or schedule. (4) Spatial specificity: Yes. It specifies applicability to 'new County buildings.' (5) Weak language: No. The operative verb is 'Require,' not a weak verb like 'encourage' or 'explore.' (6) Strong language: No under the schema's strict standard, because although 'Require' is strong, it is not paired with hard numbers. Overall strict rule assessment: fails the gold standard because has_timeline='No' and has_quantifiable_target='No'. Therefore validation_result is NON-SOUND. Confidence is capped below 0.4 due to missing timeline and quantifiable target.",False
Miami-Dade County will plan for its first ultra-low energy or net-zero energy County building.,"## Miami-Dade County actions:

-   Plan for the first ULE or NZE County building",individual,,APPROACH 3: BUILD ULTRA-LOW ENERGY BUILDINGS,Energy & Buildings,This is a specific County implementation commitment related to ultra-low energy construction.,10,individual,individual,,"The statement is not a sound individual climate policy under the strict rule. The verbatim text says only “Plan for the first ULE or NZE County building,” which describes a planning activity rather than an auditable implementation outcome. It does not include an explicit deadline or year, and it does not provide a measurable outcome target beyond “first,” which is insufficiently specific as a quantifiable climate outcome in this framework. There is also no clear binding mechanism such as an ordinance, mandate, or code change. While the policy does indicate spatial scope through “County building,” it uses weak action language centered on planning. Therefore it should be classified as NON-SOUND with low confidence capped due to missing timeline and quantifiable target.",No,No,No,Yes,Yes,No,NON-SOUND,0.22,"Evidence review: (1) Auditable commitment: the text states, ""Plan for the first ULE or NZE County building."" This is a planning/process commitment, not a completed deliverable such as constructing, requiring, or retrofitting a building. Therefore it fails the auditable commitment test. (2) Quantifiable target: the phrase ""first ULE or NZE County building"" does not provide a measurable outcome target such as a number of buildings retrofitted by a date, percent energy reduction, or emissions reduction. Under the strict rule, this is marked ""No."" (3) Timeline: there is no explicit deadline or year in the text, so has_timeline = ""No."" (4) Binding mechanism: the text contains no enforceable authority such as ordinance, mandate, code revision, or requirement; it only says ""Plan for,"" so has_binding_mechanism = ""No."" (5) Spatial specificity: ""County building"" identifies the policy applies within county government facilities, so this is ""Yes."" (6) Language strength: ""Plan for"" is weak/process-oriented language, so weak_language_detected = ""Yes."" There are no strong enforceable verbs with hard numbers, so strong_language_detected = ""No."" Because the policy lacks both a timeline and a quantifiable target, and is framed as planning rather than implementation, the validation_result is ""NON-SOUND.""",False
Miami-Dade County will implement the community-driven Better Bus Network.,-   Implement the community-driven Better Bus Network,individual,,APPROACH 4: REDUCE TRANSPORTATION-RELATED FUEL CONSUMPTION,Land Use & Transportation,This is a named programmatic intervention explicitly stated as an action item.,11,individual,individual,,"The statement identifies an action—“Implement the community-driven Better Bus Network”—but it does not provide the elements required for a strictly valid individual policy. The verbatim text contains no explicit timeline, no measurable outcome target, no spatial qualifier, and no clearly binding legal mechanism such as an ordinance or mandate. While “Implement” is action-oriented, it is not paired with hard numbers or a deadline. Therefore, under the strict rule, this is NON-SOUND.",No,No,No,No,No,No,NON-SOUND,0.28,"Evidence review: The only text provided is '- Implement the community-driven Better Bus Network'. Quantifiable target: No, because the text gives no measurable outcome such as ridership increase, route miles, frequency improvements, emissions reductions, or number of buses. Timeline: No, because no deadline or year such as 'by 2030' is stated. Binding mechanism: No, because there is no reference to an ordinance, mandate, code change, or other enforceable authority; 'Implement' alone does not establish legal binding force. Spatial specificity: No, because no location scope such as 'countywide', 'in Miami-Dade', or specific neighborhoods appears in the verbatim text itself. Weak language: No, because the statement does not use verbs like 'encourage', 'explore', or 'aim'. Strong language: No, because although 'Implement' is action-oriented, the schema requires strong language with hard numbers, and no hard numbers are present. Strict valid rule assessment: Fails the gold standard because has_timeline='No' and has_quantifiable_target='No'. Therefore validation_result is NON-SOUND.",False
Miami-Dade County will build out SMART Plan corridors.,-   Build out SMART Plan corridors,individual,,APPROACH 4: REDUCE TRANSPORTATION-RELATED FUEL CONSUMPTION,Land Use & Transportation,This is a specific infrastructure implementation commitment.,12,individual,individual,,"The statement identifies an implementation-oriented action, “Build out SMART Plan corridors,” which suggests infrastructure delivery rather than a study or aspiration. However, under the strict validation rule for individual policies, it lacks the required measurable outcome and explicit timeline. There is also no clearly stated binding mechanism in the provided verbatim text. While “build out” is relatively strong action language, the absence of a deadline and quantifiable target means the policy cannot be considered fully actionable and auditable to the required standard. Therefore it should be rated NON-SOUND.",No,No,No,Yes,No,Yes,NON-SOUND,0.34,"Evidence review: (1) Auditable commitment: the verbatim text says 'Build out SMART Plan corridors,' which indicates a concrete implementation action rather than a study or planning exercise. (2) Quantifiable target: No. The text does not specify any measurable outcome such as number of corridors, miles, percentage completion, ridership, or emissions reduction; 'SMART Plan corridors' is a named program area, not a numeric target. (3) Timeline: No. There is no year, deadline, or date such as 'by 2030' in the verbatim text. (4) Binding mechanism: No. The text does not mention an ordinance, mandate, requirement, code change, or other enforceable authority. (5) Spatial specificity: Yes. 'SMART Plan corridors' identifies the geographic/application scope of the action within the county transportation system. (6) Language strength: Strong language detected = Yes because 'Build out' is a directive implementation verb. Weak language detected = No because the text does not use hedging verbs like 'encourage,' 'explore,' or 'aim.' Final assessment: despite being action-oriented, the policy fails the strict gold standard because it lacks both an explicit timeline and a quantifiable target, so it is NON-SOUND.",False
Miami-Dade County will implement the Miami-Dade 2045 Bicycle/Pedestrian Master Plan.,-   Implement the Miami-Dade 2045 Bicycle/Pedestrian Master Plan,individual,,APPROACH 4: REDUCE TRANSPORTATION-RELATED FUEL CONSUMPTION,Land Use & Transportation,This is a concrete plan implementation commitment.,13,individual,individual,,"The statement commits to implementing a named plan, which suggests an action rather than a mere study. However, under the strict validation rule for individual policies, the verbatim text does not include any explicit measurable outcome, numeric target, deadline, or spatial scope beyond the county name embedded in the plan title. Because the gold-standard requirements require both a timeline and a quantifiable target in the verbatim text, this policy cannot be rated VALID. It is therefore NON-SOUND despite being action-oriented.",No,No,No,Yes,No,No,NON-SOUND,0.33,"Evidence review: (1) Auditable commitment: the text says '- Implement the Miami-Dade 2045 Bicycle/Pedestrian Master Plan,' which indicates an action commitment to implement a plan. (2) Quantifiable target: No. There is no measurable outcome in the verbatim text such as miles of bike lanes, mode share increase, emissions reduction, or number of projects. The phrase '2045' appears only in the plan name and does not by itself state a target. (3) Timeline: No. The text does not say 'by 2045' or provide any explicit deadline for implementation; '2045' is embedded in the title of the plan rather than expressed as a deadline. (4) Binding mechanism: No. There is no ordinance, mandate, code revision, or other enforceable authority stated. (5) Spatial specificity: Yes. 'Miami-Dade' identifies the jurisdiction where the plan applies. (6) Language strength: Weak language is not present; the verb 'Implement' is action-oriented, but strong language with hard numbers is also absent because there are no numeric performance commitments. Therefore strong_language_detected = 'No'. Under the strict valid rule, an individual policy must have both has_timeline = 'Yes' and has_quantifiable_target = 'Yes'. Since both are missing, the policy is NON-SOUND.",False
Miami-Dade County will implement Complete Streets and Vision Zero pedestrian and cyclist safety programs.,-   Implement Complete Streets and Vision Zero pedestrian and cyclist safety programs,individual,,APPROACH 4: REDUCE TRANSPORTATION-RELATED FUEL CONSUMPTION,Land Use & Transportation,This is a named programmatic commitment with a defined intervention.,14,individual,individual,,"The statement identifies a concrete programmatic action—“Implement Complete Streets and Vision Zero pedestrian and cyclist safety programs”—which is more specific than a purely aspirational goal. However, under the strict validation rule for individual policies, it lacks the required measurable outcome and explicit timeline. The text does not specify by when implementation will occur, nor does it include a quantifiable target such as miles of streets redesigned, number of intersections improved, or a percentage reduction in fatalities/injuries. It also does not clearly indicate a binding legal mechanism such as an ordinance, mandate, or code revision. Because the gold-standard criteria are not met, this should be rated NON-SOUND despite being a recognizable policy direction.",No,No,No,No,No,No,NON-SOUND,0.33,"Auditability: The text states a deliverable-oriented action, 'Implement Complete Streets and Vision Zero pedestrian and cyclist safety programs,' so it is more concrete than a study or exploration. Quantifiable target: No. There is no measurable outcome in the verbatim text—no percentage reduction, mileage, number of projects, or other numeric target. Timeline: No. The text provides no explicit deadline or year. Binding mechanism: No. 'Implement' indicates action, but the text does not reference an ordinance, requirement, mandate, code, or other enforceable authority. Spatial specificity: No. While the jurisdiction may be implied by the policy statement, the verbatim text itself does not specify where the policy applies using terms like 'countywide' or named neighborhoods. Weak language: No. The text does not use verbs like 'encourage,' 'explore,' or 'aim.' Strong language: No. Although 'Implement' is action-oriented, the schema requires strong language with hard numbers; none are present. Because has_timeline = 'No' and has_quantifiable_target = 'No', the strict gold-standard rule fails, so the policy is NON-SOUND.",False
Miami-Dade County will implement a shore power program for PortMiami cruise operations to reduce engine use.,-   Implement  a  shore  power  program  for  PortMiami  cruise operations to reduce engine use.,individual,,"Actions to Reduce Emissions at PortMiami, Airports & Other Commercial Hubs",Land Use & Transportation,This is a specific infrastructure and operational commitment to reduce port emissions.,15,individual,individual,,"The statement describes a concrete action—“Implement a shore power program for PortMiami cruise operations”—and it is more specific than a general aspiration. However, under the strict validation rule for individual policies, it lacks two required elements from the verbatim text: an explicit timeline and a quantifiable outcome target. The phrase “to reduce engine use” indicates intended impact, but it does not specify by how much, by when, or how many berths/vessels will be covered. It also does not clearly indicate a binding legal mechanism such as an ordinance, mandate, or code change. Because the gold-standard criteria are not met, the policy should be classified as NON-SOUND despite being a concrete commitment.",No,No,No,Yes,No,No,NON-SOUND,0.34,"1) Auditable commitment: The text states, 'Implement a shore power program for PortMiami cruise operations,' which is a concrete action rather than a study or exploration. 2) Quantifiable target: No. The phrase 'to reduce engine use' expresses an intended outcome, but gives no measurable target such as a percent reduction, number of vessels, berths, or emissions quantity. 3) Timeline: No. There is no explicit year, deadline, or implementation date in the verbatim text. 4) Binding mechanism: No. The text does not mention an ordinance, mandate, requirement, code revision, or other enforceable authority. 5) Spatial specificity: Yes. It specifies where the policy applies: 'PortMiami cruise operations.' 6) Weak language: No. The verb 'Implement' is action-oriented, not weak promotional language like 'encourage' or 'explore.' 7) Strong language: No. Although 'Implement' is concrete, the schema requires strong language with hard numbers; no hard numbers are present. Because the policy lacks both an explicit timeline and a quantifiable target, it fails the strict gold-standard rule and is NON-SOUND.",False
Miami-Dade County will install Visual Guidance Docking Systems at airports to reduce aircraft idling.,-   Install  Visual  Guidance  Docking System (VGDS) at airports to reduce aircraft idling.,individual,,"Actions to Reduce Emissions at PortMiami, Airports & Other Commercial Hubs",Land Use & Transportation,This is a specific intervention identified to cut airport emissions.,16,individual,individual,,"The statement identifies a concrete intervention—“Install Visual Guidance Docking System (VGDS) at airports”—which suggests an actionable measure rather than a general aspiration. However, under the strict validation rule for individual policies, it lacks two required gold-standard elements in the verbatim text: there is no explicit timeline or deadline, and there is no quantifiable outcome target such as number of systems, percentage reduction in idling, or emissions reduced. The phrase “to reduce aircraft idling” indicates intended impact, but it is not measurable as written. The language is relatively strong because it uses “Install,” but there is no explicit binding mechanism such as an ordinance, mandate, or code requirement. Therefore, this should be classified as NON-SOUND.",No,No,No,Yes,No,No,NON-SOUND,0.34,"Evidence review: (1) Auditable commitment: Yes, the text states 'Install Visual Guidance Docking System (VGDS) at airports,' which is a concrete action. (2) Quantifiable target: No. The text does not specify how many VGDS units will be installed, at which airports, or any measurable outcome such as '% reduction' or 'tons reduced.' The phrase 'to reduce aircraft idling' is an intended effect but not a quantified target. (3) Timeline: No. There is no explicit year, deadline, or completion date in the text. (4) Binding mechanism: No. The text does not mention any ordinance, mandate, required code change, or other enforceable authority. (5) Spatial specificity: Yes. The phrase 'at airports' identifies the place of application, though broadly. (6) Weak language: No. The verb 'Install' is action-oriented, not merely aspirational like 'encourage' or 'explore.' (7) Strong language: No under the strict definition, because although 'Install' is a strong verb, it is not paired with hard numbers. Conclusion: The policy fails the strict valid rule because has_timeline='No' and has_quantifiable_target='No'. Therefore validation_result='NON-SOUND'.",False
