policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,San_Francisco_California_United_States::e4adb60beb399723213c00af,San_Francisco_California_United_States::e4adb60beb399723213c00af,sub,ES.1: Supply 100% renewable electricity to residents and businesses.,Provide 100% renewable electricity at affordable rates (ES.1-1).,Mitigation,,policy_traces/001_Provide_100_renewable_electricity_at_affordable_rates_ES1_1.json,trace_initiative_policies_valid.csv,parent_statement,ES.1: Supply 100% renewable electricity to residents and businesses.,,,False,False,,,,,,
002,San_Francisco_California_United_States::d991bac58695851aff0b4cb8,San_Francisco_California_United_States::d991bac58695851aff0b4cb8,sub,ES.1: Supply 100% renewable electricity to residents and businesses.,"Promote early adoption of 100% renewable electricity products to all San Franciscans, with a preference for City programs (ES.1-2).",Mitigation,,policy_traces/002_Promote_early_adoption_of_100_renewable_electricity_products.json,trace_initiative_policies_valid.csv,parent_statement,ES.1: Supply 100% renewable electricity to residents and businesses.,,,False,False,,,,,,
003,San_Francisco_California_United_States::594ab308e2703fc58b0ddef4,San_Francisco_California_United_States::594ab308e2703fc58b0ddef4,sub,ES.1: Supply 100% renewable electricity to residents and businesses.,Ensure 100% renewable electricity is the only option for San Francisco residents and businesses by 2025 by supporting regulatory requirements and/or acquiring PG&E grid assets serving San Francisco (ES.1-3).,Mitigation,,policy_traces/003_Ensure_100_renewable_electricity_is_the_only_option_for_San_.json,trace_initiative_policies_valid.csv,parent_statement,ES.1: Supply 100% renewable electricity to residents and businesses.,,,False,False,,,,,,
004,San_Francisco_California_United_States::8037f6510ae4fec3072a488e,San_Francisco_California_United_States::8037f6510ae4fec3072a488e,sub,ES.1: Supply 100% renewable electricity to residents and businesses.,Expand programs and rates that provide low-income customers with renewable electricity and ensure community and stakeholder engagement in program development and rate-setting (ES.1-4).,Mitigation,,policy_traces/004_Expand_programs_and_rates_that_provide_low_income_customers_.json,trace_initiative_policies_valid.csv,parent_statement,ES.1: Supply 100% renewable electricity to residents and businesses.,,,False,False,,,,,,
006,San_Francisco_California_United_States::fd89b5dd543f95b006a3876b,San_Francisco_California_United_States::fd89b5dd543f95b006a3876b,sub,ES.3: Design and develop the reliable and flexible grid of the future.,Plan for changes in electricity demand due to electrification via SFPUC Integrated Resource Plans and ensure community engagement (ES.3-1).,Mitigation,,policy_traces/006_Plan_for_changes_in_electricity_demand_due_to_electrificatio.json,trace_initiative_policies_valid.csv,parent_statement,ES.3: Design and develop the reliable and flexible grid of the future.,,,False,False,keep,0.86,True,,,False
007,San_Francisco_California_United_States::867af22dd9eebe8ec0039b4c,San_Francisco_California_United_States::867af22dd9eebe8ec0039b4c,sub,ES.3: Design and develop the reliable and flexible grid of the future.,"By 2023, evaluate rate and program options to facilitate an affordable transition to all-electric buildings (ES.3-2).",Mitigation,,policy_traces/007_By_2023_evaluate_rate_and_program_options_to_facilitate_an_a.json,trace_initiative_policies_valid.csv,parent_statement,ES.3: Design and develop the reliable and flexible grid of the future.,,,False,False,,,,,,
008,San_Francisco_California_United_States::eb6a2f00e28e4f46a8e9c761,San_Francisco_California_United_States::eb6a2f00e28e4f46a8e9c761,sub,ES.3: Design and develop the reliable and flexible grid of the future.,"Invest in distribution infrastructure (including acquisition of PG&E assets) and smart-grid technologies such as advanced metering, demand response, and distribution automation (ES.3-3).",Mitigation,,policy_traces/008_Invest_in_distribution_infrastructure_including_acquisition_.json,trace_initiative_policies_valid.csv,parent_statement,ES.3: Design and develop the reliable and flexible grid of the future.,,,False,False,keep,0.86,True,,,False
010,San_Francisco_California_United_States::0b81386eccc5490b9e87ec0e,San_Francisco_California_United_States::0b81386eccc5490b9e87ec0e,sub,ES.4: Develop workforce capacity to deliver clean energy resources.,Champion clean energy installers in City-funded incentive programs that include workforce development (ES.4-1).,Mitigation,,policy_traces/010_Champion_clean_energy_installers_in_City_funded_incentive_pr.json,trace_initiative_policies_valid.csv,parent_statement,ES.4: Develop workforce capacity to deliver clean energy resources.,,,False,False,,,,,,
011,San_Francisco_California_United_States::d6a2208df8074cd53cbeef0c,San_Francisco_California_United_States::d6a2208df8074cd53cbeef0c,sub,ES.4: Develop workforce capacity to deliver clean energy resources.,Use programs such as Project Pull Internship and CityBuild and education programs to expose youth to clean-energy jobs and diversify the workforce (ES.4-2).,Mitigation,,policy_traces/011_Use_programs_such_as_Project_Pull_Internship_and_CityBuild_a.json,trace_initiative_policies_valid.csv,parent_statement,ES.4: Develop workforce capacity to deliver clean energy resources.,,,False,False,,,,,,
012,San_Francisco_California_United_States::81ac70d7e794b281ac5ee229,San_Francisco_California_United_States::81ac70d7e794b281ac5ee229,sub,ES.4: Develop workforce capacity to deliver clean energy resources.,"Include community benefits criteria for renewable energy and other contracts of $5 million or more, preferring contracts committed to community benefits and environmental justice (ES.4-3).",Mitigation,,policy_traces/012_Include_community_benefits_criteria_for_renewable_energy_and.json,trace_initiative_policies_valid.csv,parent_statement,ES.4: Develop workforce capacity to deliver clean energy resources.,,,False,False,reclassify,0.83,,Resource Efficiency,True,False
